ENSG00000116688	ENSG00000132965	ENSG00000007312	ENSG00000196565	ENSG00000141506	ENSG00000158050	ENSG00000147202	ENSG00000155465	ENSG00000136045	ENSG00000084234	ENSG00000115085	ENSG00000164062	ENSG00000052841	ENSG00000123338	ENSG00000197872	ENSG00000140678	ENSG00000027075	ENSG00000213983	ENSG00000168010	ENSG00000107742	ENSG00000116701	ENSG00000175463	ENSG00000140105	ENSG00000134644	ENSG00000100353	ENSG00000198286	ENSG00000123146	ENSG00000000938	ENSG00000198909	ENSG00000184922	ENSG00000115457	ENSG00000134910	ENSG00000101474	ENSG00000164674	ENSG00000091140	ENSG00000172890	ENSG00000100325	ENSG00000095319	ENSG00000109790	ENSG00000101310	ENSG00000143537	ENSG00000067704	ENSG00000132300	ENSG00000096060	ENSG00000188404	ENSG00000108582	ENSG00000205744	ENSG00000143870	ENSG00000168056	ENSG00000163956	ENSG00000047365	ENSG00000143119	ENSG00000055163	ENSG00000155629	ENSG00000167986	ENSG00000140943	ENSG00000100453	ENSG00000162231	ENSG00000035681	ENSG00000188976	ENSG00000167895	ENSG00000197157	ENSG00000104870	ENSG00000183431	ENSG00000123329	ENSG00000229164	ENSG00000106263	ENSG00000072786	ENSG00000100219	ENSG00000141524	ENSG00000182866	ENSG00000075884	ENSG00000166986	ENSG00000134539	ENSG00000138744	ENSG00000223553	ENSG00000138095	ENSG00000136040	ENSG00000110713	ENSG00000125347	ENSG00000070961	ENSG00000132334	ENSG00000170345	ENSG00000100991	ENSG00000141968	ENSG00000106565	ENSG00000196305	ENSG00000013441	ENSG00000064012	ENSG00000172053	ENSG00000105819	ENSG00000185215	ENSG00000109320	ENSG00000132424	ENSG00000095564	ENSG00000147168	ENSG00000159674	ENSG00000115828	ENSG00000101294	ENSG00000081320	ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
4.935017	1.8787217	1.203227	2.3594694	1.7201778	1.4679855	1.4662993	1.3892386	2.830776	3.1883972	2.4439611	2.985338	2.1328685	2.631991	2.183533	3.0674915	3.7317107	1.6640387	2.4099157	2.4630196	3.105193	1.9189076	3.5080822	2.1409435	1.8562899	1.643152	4.813073	3.7501774	2.0153399	1.07169	2.9677932	1.4977734	4.652359	1.0776746	3.928351	1.4927773	2.1448765	1.0098767	4.32108	2.4418669	0.8847434	2.9648633	1.1124401	2.8489408	2.8721185	1.1226921	1.6491013	1.8696055	1.0195714	1.519186	1.2619638	1.8174529	3.800442	2.8330457	6.547265	1.290792	2.2927897	2.6014864	1.7149847	1.3399338	1.1157936	5.1412487	2.0585892	1.1950035	2.4871297	1.6739475	3.8717837	2.5429964	1.184073	2.4931195	3.9414506	2.339219	5.026534	1.1548038	1.5528889	1.7891394	1.9071014	0.8910887	3.106975	1.4180447	1.7915597	2.4081256	0.94737715	1.987047	2.300695	1.1137316	6.3871965	2.4726448	1.8988338	3.7330534	2.3200958	2.772563	2.7614772	2.1928806	2.004758	2.6065054	1.340463	1.211412	1.2313954	1.7091236	1.2414994	3.2441003	3.3307123	3.2042396	1.4278791	0.91154534	1.9612777	4.5386767	2.6722243	1.1537447	4.496679	3.1042855	1.142001	1.8300508	1.9905496	2.5929105	1.2523739	0.9573006	2.2482395	1.3082829	1.966768	1.5370358	2.7140918	1.0094099	1.1808803	3.260455	2.3061273	0.95462024	1.9418333	0.94975936	2.980727	1.5136793	2.3957481	1.2708688	7.4225497	1.0379312	1.4622998	3.3329232	1.8384457	1.3355883	1.5054102	2.020316	1.8298717	1.2560967	8.592269	1.6686666	1.0907798	1.793499	1.979939	3.1666017	1.489542	2.6205552	2.4564009	1.2579354	3.8771875	1.0647634	3.0921006	3.0893168	1.5746402	1.3031853	1.6593299	1.4692733	1.4766381	0.91201353	4.740906	1.3628263	1.120898	1.1418664	1.0656979	0.9948158	2.249056	1.4903116	1.4243758	2.005822	1.3197343	1.7620076	1.0810547	3.1959636	1.4582472	2.2123742	2.6374478	2.265596	4.021585	1.43325	3.8194695	1.206042	3.5271564	1.3906772	1.5738403	2.7801535	1.4945629	1.1533018	2.1981165	2.2041798	1.2682655	3.0814865	2.1932523	3.9711387	5.7301207	4.406545
5.676474	3.1466868	2.404089	3.3632278	2.3239124	2.4684374	3.7261322	2.743552	2.093319	5.760986	3.8828962	2.8011692	4.5972257	3.8731308	3.0228689	5.470787	2.5183432	2.435183	4.926234	3.6678896	4.9140778	2.37688	4.829387	3.1289918	3.9363232	3.110538	4.830532	5.373211	2.814875	3.5678625	5.6975946	1.7384571	3.3941224	2.4615278	2.2568123	4.341005	3.331621	3.2034047	5.2787232	2.4735813	1.3273284	2.0505264	4.357108	3.2068346	6.7723823	3.3474193	3.6513157	3.7081444	2.7524257	2.451936	5.320993	3.2746975	4.3562765	1.7547148	2.3550968	2.5010219	3.3822224	3.4966767	1.9307308	2.8513901	2.0015662	4.2073774	4.0041995	3.1689196	4.0546327	3.6867929	4.3709807	3.6578195	2.1218188	3.949828	3.0842032	4.9692035	4.4869514	3.5154655	3.6383448	3.9422882	5.5518656	2.7569976	4.5091968	5.152424	5.492159	3.266423	3.9066327	2.1934743	4.391804	1.3227938	2.0726311	5.0429373	2.0667741	3.9268913	3.565778	4.1796227	4.5364556	4.504258	6.579971	4.1412387	3.4282985	1.6655741	3.5539625	3.5558076	3.6530776	4.630132	3.8369777	5.573321	5.1424813	3.4099617	2.3635612	6.0780964	6.123007	4.7785735	6.4589567	4.734363	4.046531	4.003936	2.2042983	2.1080081	5.46288	2.782995	2.7081187	4.764517	3.5747366	2.652021	1.9997036	3.569525	5.4250803	5.237212	2.748269	2.5583632	3.232055	5.4477243	4.644296	3.4439967	4.7807417	5.794552	2.5942442	9.0077095	5.799443	3.977642	3.869353	4.309222	2.3619738	3.4865887	2.632135	2.1079845	11.544307	5.1978807	3.399739	5.0637856	6.9073215	4.427017	8.998998	4.36582	3.5506904	1.6179407	3.4192681	7.8229938	3.5887954	6.6552076	5.997114	2.7566278	1.9524183	2.5944667	3.900541	6.899005	6.8539352	5.473844	3.771587	2.32108	3.3205729	1.3838347	4.1867075	4.425549	7.1514564	7.948332	2.9159284	3.3216772	5.345551	5.631508	1.3185141	4.974553	6.7617946	3.6822007	2.8112903	3.0465686	7.6563907	2.9897523	5.083801	3.0448132	4.5300336	3.2239285	6.218129	2.9409485	4.1498466	7.520856	3.545257	4.0294867	5.4613214	8.356434	6.635908	10.090914
6.046066	5.1033454	2.9366698	3.5167987	5.4220295	2.9976988	4.665572	4.1075726	3.3255804	7.097092	4.675887	3.7901576	5.6217537	6.449833	4.858006	4.149236	4.5066705	4.351807	5.2720046	3.29654	7.036358	5.219738	6.47708	4.386053	6.1504097	4.142831	6.103478	6.9218345	4.2571225	5.344291	6.2444825	3.2806327	4.793891	4.200687	3.7703252	6.259868	4.80736	4.6960354	7.180079	5.057292	2.7599926	3.384072	3.7270997	6.4580746	6.930382	4.6375375	4.7840943	6.4014688	3.1490896	6.7449393	4.0585895	6.078117	5.153929	5.1581635	4.8695846	3.8998618	4.6401315	4.640663	4.216198	3.1412823	3.9048436	6.0454273	4.3151937	5.655144	6.116883	4.483872	4.872955	5.6509824	4.222888	5.330917	5.294064	5.55663	5.309187	4.0521617	5.383775	4.420199	5.1156454	6.155868	7.066035	6.1793766	4.734618	5.9138575	5.3672814	4.8198433	4.555486	3.251935	3.5543153	7.144008	3.778161	5.0863433	4.426682	5.160733	5.396931	4.5564857	5.41874	6.962966	3.9681137	6.5005627	6.6995273	4.6244855	5.1321063	5.6261516	6.3264513	5.9459624	4.7950687	4.254874	4.918586	9.093869	6.2938557	5.4693556	6.6264296	5.2755613	4.643453	4.5720115	4.013722	4.2366333	4.381672	2.8603382	5.8702803	4.7457	6.8327365	4.914689	4.211133	6.6413383	4.4684653	7.545744	5.2967544	5.4861684	6.5134563	3.665584	5.103203	3.8241231	7.947196	5.846568	4.741068	2.1743913	4.6174793	6.1822133	4.921472	5.031782	5.2906013	4.615377	3.9898329	5.9993353	10.979272	5.457567	3.9869113	7.72099	6.3052382	5.714765	4.9657803	5.7759385	4.388636	5.9755726	5.746872	6.370347	6.772289	8.248071	4.9873495	6.4507756	4.526806	6.824621	5.4127016	1.8788435	9.093546	5.5601344	5.481789	3.2522411	5.300507	5.047275	5.67725	5.923039	1.940975	6.3503346	5.2478504	6.862055	6.662009	4.458755	3.2502549	6.946835	7.8327837	7.237718	7.0697093	6.5177093	9.796934	5.727301	5.276276	6.8156996	5.673814	6.642079	6.46695	4.6568685	7.0813375	8.270187	4.1648245	7.6154666	7.407513	4.940606	1.8623844	2.399801
6.813031	1.8889608	3.8676293	2.4715226	3.4744916	2.2420275	1.8607869	2.2796566	3.281643	2.884525	4.2719607	4.1040306	3.8997695	4.5343895	1.8550986	3.095828	3.6823423	5.756805	4.8387885	3.665867	3.9048638	5.1321025	3.5750003	4.3858843	5.4122677	4.7620625	5.0966578	4.0587454	3.1454473	4.9127483	2.870717	2.820949	3.413587	3.6354866	3.6219037	4.157484	3.8707259	2.042002	2.643791	2.0764546	3.1804636	2.6582353	1.9846826	1.7412679	6.7485766	1.2144562	3.3062258	3.1967144	5.5523257	5.397668	2.0805717	4.330695	7.577786	2.5023754	4.289118	3.777386	5.014432	4.5822663	2.896481	2.939234	3.4968255	3.438718	2.9089344	3.4821799	4.8436337	4.6973977	3.4689782	4.551361	2.9640446	5.663502	7.038768	4.3007855	3.417082	4.456306	3.305909	2.0949976	2.3219895	1.2600709	1.6579722	3.223479	2.7347226	3.708867	1.9760859	4.283726	3.4906225	1.3921409	4.0290375	4.2237854	3.2766852	4.528845	5.236122	1.8876634	2.8797257	5.68179	2.822985	5.7079616	3.5915897	1.2929908	2.973686	2.9568503	3.3895211	3.4596865	4.0471215	5.090966	4.6792145	1.6137749	3.3222437	7.957861	5.6792912	1.8890178	5.2457657	4.9370446	3.1034713	1.7958367	3.854858	3.4856665	4.089367	3.9939702	3.8224645	4.269767	3.3512342	1.9371092	5.1664834	2.1494346	4.178604	5.9032984	3.1168773	2.8409154	4.8607726	4.156147	4.5476046	2.4344535	4.5170116	1.4269538	3.1114058	1.15393	6.7000494	4.4638143	2.5429077	3.4533622	2.068817	2.0931053	2.7690525	3.1085622	10.458919	5.503868	3.8587713	3.781481	5.290043	2.1995866	1.5607789	4.081716	3.7531219	6.735317	3.0427759	2.161234	4.3260965	4.340765	2.1389773	5.0721955	2.1017196	4.0217495	2.8951046	1.2839302	8.102355	3.004779	3.0123038	2.022229	1.8890624	1.5275874	4.6225314	2.440486	1.808622	5.5628424	2.3141763	3.3902555	3.5415585	2.9970422	1.2316136	5.333169	4.3563533	3.4910378	1.5578582	4.075741	7.699377	4.4799085	2.7653406	2.7497652	1.9885268	1.911483	1.459496	2.272293	3.7739797	7.553244	2.2093015	4.3308516	4.0867376	3.075724	3.4423633	1.9711194
6.5525193	1.1712513	1.1103423	0.98459923	1.4312165	1.7414403	1.1160471	0.96156746	4.761912	3.254779	3.0162082	2.3441727	1.0937487	2.501466	1.164657	1.7352409	3.2523665	2.6594234	1.353065	1.4345183	3.0123408	1.715452	3.3898814	5.476041	2.1470556	1.860255	4.190269	1.789834	1.9641314	1.1533616	1.7776792	0.9139827	2.0536807	0.96176136	4.6464705	1.29215	2.483039	0.95586765	2.2710013	1.4525381	0.88551754	5.223552	1.4591303	1.1069801	2.627901	0.9815711	1.3477511	1.7239892	0.9453505	1.7597209	1.6181915	1.5487851	4.48825	2.411061	7.803443	1.0505515	2.7648766	1.8015559	2.5064905	1.4820044	1.071294	1.9286327	1.099737	1.2740912	2.366106	1.1347303	1.7434678	3.6279168	1.1691866	2.9353034	3.9209626	2.2444615	1.941145	1.3883891	1.0116051	0.94032425	0.99478686	0.8752302	1.1744591	1.5596197	1.213654	2.3856792	0.8831643	3.40234	1.551335	0.880483	3.7688165	2.412737	1.3296711	5.0273995	1.9654765	1.0922476	1.7416837	2.4944665	1.9063025	2.554084	1.2366827	0.8967449	1.0513234	1.274179	1.0781801	1.4968417	3.1101906	7.136661	1.2467673	0.89575756	1.3041102	8.672503	2.0122797	1.0107887	3.1980584	3.0443914	0.9450997	0.91517353	2.1716218	3.7117102	1.3930447	1.1614993	3.698244	1.5135367	1.8925762	0.9674488	1.5641599	0.9287165	1.1562891	2.6515849	1.1613734	0.88763237	2.3861547	1.0491397	3.348193	0.9790974	2.883463	0.893232	11.36519	0.9760927	2.150633	3.5408914	1.2589628	1.6238523	1.0388248	0.98669195	1.0390793	1.3938665	9.68243	1.7963784	1.0981193	2.6872122	2.7708402	1.9079568	0.8867833	1.5823739	1.890454	1.4783444	1.2443618	0.8993798	2.815095	2.7255085	0.99563456	1.7090391	1.3088466	1.2998034	1.2904474	0.95839226	5.3700476	0.93323004	1.0473115	0.98538256	0.90941167	0.89038396	1.340735	1.1270485	1.017503	2.3576882	1.8503016	1.592143	0.9420513	2.1416621	0.9619428	2.4806557	3.2766044	1.2810339	1.1155165	1.2251143	3.4392037	1.1521845	2.2836235	0.9042563	0.92443085	1.5777446	0.90034324	1.2597167	1.4750931	3.2000182	0.88027716	3.8751578	1.7145413	1.0290414	3.0553224	6.192117
6.0554614	4.97127	5.287188	2.8559039	4.417911	4.9771285	4.0496464	4.113713	4.2973633	7.5971	5.596012	5.6742773	5.0120854	5.3108582	4.981937	4.946754	5.9306245	5.5824885	5.015822	4.636783	5.47089	5.622892	7.202645	5.6272435	6.5755787	5.0135117	6.940848	5.5579014	6.331676	4.4135284	3.8973074	3.8038332	5.8792596	4.5493603	5.814974	5.9146004	5.533249	5.858244	5.896641	4.3528204	4.961842	3.3762305	3.9485664	4.8820024	5.6860867	3.9901407	6.126246	5.8561964	3.6586943	5.8390393	5.002064	5.3111415	6.7831264	4.75535	5.188923	4.8003654	6.1904974	6.308672	6.3679137	4.814559	4.510965	7.004448	4.832152	5.415533	5.9412727	4.2880464	5.409391	6.3185377	4.4791884	5.4117303	5.551714	5.7023106	4.901202	5.2520547	4.4369025	3.3217752	5.102124	3.6661217	5.837478	6.9310637	6.196805	4.9624805	5.125773	4.4312205	4.4511847	4.4954853	4.6699862	5.148955	5.039223	5.90503	5.1931586	4.606295	6.1680417	5.356968	5.2637324	8.409261	5.531437	3.8090801	4.1866255	5.3402395	5.3741636	5.654446	5.727201	7.4970236	5.6521153	3.8342028	5.453964	8.220589	7.2848463	5.252319	6.416178	6.798324	5.1000433	4.489864	6.151125	7.25295	5.036094	4.9161644	5.5312567	5.0644183	5.493286	3.8586216	4.771936	4.5190444	4.0736747	4.2381268	3.6532505	5.419755	6.0848136	4.4298625	6.01676	4.2246842	6.1491647	3.0525784	4.561843	4.1862273	5.721905	7.11563	4.38495	6.210982	3.9006264	5.5765686	5.3415995	5.458565	10.301853	6.3985143	5.034246	6.7970595	6.7477627	3.4038093	4.2416615	4.7050757	4.4915123	4.0662904	5.149608	4.7119365	4.8350015	7.6110573	4.5011673	6.913642	5.833414	5.346627	4.8851733	3.8729808	9.000323	5.3899713	5.108658	5.070858	4.810407	4.4521074	6.2419043	6.4591284	5.6297417	7.4131317	5.188365	5.9768014	5.294653	3.878813	3.0668151	7.991486	7.124989	5.901174	3.672188	7.000118	4.6397967	6.2477903	5.5550146	5.420812	4.8531475	6.1643734	4.0186315	5.69431	6.9805436	8.343841	1.8570894	7.8140855	7.0358114	5.0422935	3.9186609	2.7126148
6.736763	1.9512413	3.5966759	2.6507995	1.8849578	3.714646	2.9643166	2.3462656	3.6725318	3.0340562	6.001835	3.6934032	3.4599948	4.171719	2.3586268	3.498716	3.8304257	3.7469108	3.294172	3.2391102	3.4408214	3.7109323	3.8586628	5.5718474	4.9103966	3.5378609	4.4171214	4.784485	2.5269742	4.4963565	4.0744677	2.5954897	3.9098668	3.0167978	3.1324184	4.538013	3.0710292	2.0701764	5.836945	2.2163117	2.7433655	4.3695474	2.2979732	1.7455261	5.394358	2.0394816	5.0424185	2.3808615	2.7214534	3.5907233	4.4970984	4.8333445	6.1176004	3.0238383	4.5104537	4.8848925	5.314783	3.1855664	3.2291799	3.3533788	4.013555	3.2419896	2.5438547	3.9724996	4.6585765	5.67432	2.8785734	5.1192293	3.6828513	4.8320594	7.1207995	4.9514837	2.9483516	4.362791	2.9871836	3.7718914	3.4739094	1.4863598	2.1280012	3.774618	4.3133855	4.371413	2.0488198	4.5724545	4.5620246	1.5590398	5.801769	3.8501732	3.5464804	4.4198527	5.599485	2.7457023	3.3820395	5.5242357	4.295465	5.497648	2.5881884	1.6938794	3.5739288	3.1650732	3.2269115	4.010535	4.959163	6.534962	3.0197878	1.4594463	2.9304783	6.939097	5.0137644	2.6919053	4.2455254	5.9416895	3.6636145	1.5069553	4.138383	4.871403	4.583441	3.0605617	3.8303668	4.222346	2.928064	2.3188272	5.1809516	2.760664	3.4827285	4.3024726	2.6338737	3.2252612	3.9109201	4.4399776	4.0719686	4.3968186	4.59452	1.4130211	5.7091894	1.4297624	4.8771	4.716972	2.579784	5.218884	2.0803547	1.8783913	3.000329	2.839119	6.863932	4.3345246	5.701253	4.3628254	6.0416613	3.4974084	1.4573995	3.00524	5.189062	5.712558	3.2625632	1.6202497	5.4768696	4.603998	3.1919293	3.446055	3.3687153	3.6200066	2.1240385	1.329629	6.333487	4.508522	3.8359826	3.3856936	1.8236972	1.9270737	4.5028877	3.195423	2.4387236	4.4609957	2.374005	3.3150034	3.8296382	2.3230064	1.3129135	5.69721	5.0438776	3.8307817	1.8500558	4.185986	5.446425	3.453202	2.5271926	2.4635158	1.8391256	2.821759	2.036027	3.314933	5.0647497	6.130257	5.6663065	4.898918	3.7153876	2.7478015	2.6735113	1.779618
4.856043	2.466253	2.872667	2.6818519	2.018027	4.0658264	3.6372275	2.2696137	4.6956854	5.5256324	4.5831404	4.357594	3.396754	4.0170674	2.3911707	3.728192	2.48957	4.4203296	3.630861	1.8492017	5.4699583	3.3535993	3.795406	4.486296	6.271847	3.027454	4.483173	4.629945	4.2527356	4.407996	4.845941	3.2499876	3.1628904	2.0155401	3.4022446	4.42819	2.594272	2.4066806	5.0795	2.667108	3.013791	4.35147	2.7354474	2.671627	4.6504335	2.0635746	4.691351	2.3155794	3.0124707	3.7411618	4.305043	3.425449	4.7415357	1.9481273	3.222068	2.626785	5.0580077	5.825896	4.9732146	2.8134928	3.0421562	2.9610863	2.3148549	3.5212016	4.398819	4.719846	3.0085278	3.708229	1.7975237	5.6437674	4.8028774	5.378783	3.350252	2.7418916	2.2175581	3.5070176	3.010229	1.9092829	1.4850845	4.175735	3.6301823	4.012071	3.3631728	2.3310962	2.1564364	1.6032711	4.0278068	4.6898127	3.646837	5.1159782	4.065242	2.593368	3.43169	4.2858934	3.2590122	5.1840115	2.0534756	1.8305309	4.1833177	2.5583086	3.3923752	3.1051004	3.977984	5.051966	3.175289	1.8946216	2.8525007	6.853027	4.4713664	3.1198058	3.2073348	5.493509	2.6916623	1.7655673	6.1220636	3.1215324	4.0670104	3.0653923	2.503614	4.5713153	3.7357183	2.769573	3.9552364	2.0857317	2.483478	5.399557	5.4254255	3.0049837	4.1835847	5.4910474	3.7249498	4.114268	3.9439108	1.2916001	9.355066	3.6869605	4.1939716	3.9248	2.2321942	6.7892284	2.4265487	2.677709	2.0573473	2.538306	6.9336653	4.3794885	3.1017556	4.47389	5.706634	2.9576566	2.2758152	1.6897569	3.406325	3.267756	3.3644826	2.0420203	4.174628	4.8180537	3.748675	4.5255733	3.1048496	4.481327	1.7914624	3.1282117	6.714417	2.706575	3.9889646	3.7488165	3.293645	2.0093546	2.7184317	4.1084776	2.1648672	5.5779896	3.5721545	3.3746812	2.4401014	3.7244577	4.930578	4.9156423	3.7585416	5.104852	2.7307608	2.7787259	6.3749056	2.525815	6.821301	3.8122928	2.012283	2.5445383	2.4698713	2.446759	5.221645	5.1530375	5.6123085	4.9717317	4.9412646	2.6467106	3.0825875	1.9674122
4.9366527	1.9944944	3.7665322	1.2342255	2.5098155	3.221557	2.7331645	2.0908084	2.3982801	2.9417741	3.6459904	3.0938878	4.8154087	3.339607	1.9773693	3.580938	2.891117	2.8565607	4.3381753	2.7643785	4.0811667	4.3107767	2.7144318	4.0880256	4.061273	3.0269058	5.333235	3.9363039	2.594903	5.25655	4.2947927	2.7978778	4.0326524	2.7597497	4.023069	6.469295	1.8327601	2.448775	4.8959923	2.6474407	2.6030679	2.586382	1.9867461	2.1253018	3.4958982	2.312978	2.8700004	2.62866	3.665132	3.0541816	3.2230377	3.4096673	4.4708095	2.87946	3.464552	2.6288443	6.073706	4.262422	5.833326	1.9163241	2.2710283	3.579666	2.7086594	4.47104	4.442688	3.2013452	2.4612067	3.1066046	2.4619808	4.4034314	3.1477706	4.840612	2.2836576	2.4220006	2.068027	2.201055	5.778082	2.110134	2.8400815	5.9154086	4.6238136	3.5508673	2.5612514	3.26912	3.573429	1.3599263	4.676858	4.9929085	1.6606407	4.5852265	3.1911795	3.1388068	5.3380923	4.2712674	3.7125998	5.2312317	3.0372524	1.4734436	2.6388767	2.6853504	2.667935	2.7052205	3.7031374	5.073418	3.105003	2.8891387	2.6025858	6.412227	5.405415	1.6760383	3.95669	4.4420247	2.3789406	1.7026349	4.150687	3.1146371	2.8673394	3.2915523	3.0712461	3.2256823	2.7803552	1.8586593	3.1958609	2.507115	3.430536	5.784961	2.5270634	2.587077	4.153039	4.066232	2.7509587	2.424491	4.015838	1.4233057	5.017181	1.0711465	5.314949	4.1304674	2.234409	2.7851038	2.303843	1.5148935	2.7548754	3.7413409	5.702453	5.1469564	2.4034994	3.9239337	6.0255456	1.805542	1.6753768	3.1739469	2.9506087	5.0341964	1.969795	2.6473672	3.0459461	3.5834007	2.4985864	4.144876	3.5993657	3.2066765	2.0643644	0.94231135	6.4907336	4.2764764	2.4885604	3.9124317	1.9059694	1.6163836	2.8966134	2.901727	1.045885	4.948612	2.0124576	3.2156677	4.24433	1.6931875	1.863205	5.3539286	4.9993296	3.1395686	4.203666	3.5528889	7.9426775	2.720377	6.69887	3.0920074	1.4818056	2.409617	1.4521858	3.1250591	4.838768	7.147227	5.010627	3.5655758	3.2367897	2.1789527	4.00559	1.6839702
5.9420366	6.4959097	5.2290745	3.4739394	6.2578683	6.574006	6.499616	5.753768	6.207227	7.758576	5.529079	5.779607	7.095779	6.1481104	6.5756273	6.9558835	5.7514963	6.8180885	7.314243	6.3234277	7.218449	6.3218412	7.249642	6.4810576	7.622093	5.8208933	8.31093	6.816407	6.231381	6.072909	4.5328975	5.682371	7.1037583	6.025191	6.8756557	6.7081456	6.075147	5.7613754	5.3018155	6.2214675	6.359493	6.2360835	5.913738	6.324029	7.75808	6.489277	6.5902505	7.4199486	5.3899813	7.71044	5.93393	6.4589844	7.4080534	5.983926	6.547824	5.5090566	7.300196	7.2818365	6.746852	5.739371	6.0113206	6.6002164	7.3009353	6.6938853	7.100992	6.23261	7.170266	7.1434317	6.2072425	6.667004	7.147816	7.1623693	6.7319875	5.934727	6.5290756	4.5275254	7.056125	5.683345	6.3384643	8.041404	6.803943	6.8302917	6.424874	7.190255	6.34008	5.3624945	6.551038	7.521318	6.6975203	7.4205174	6.7376766	7.146886	7.699569	6.738262	7.0469375	7.338357	6.188003	5.6235003	6.010829	7.511257	5.887321	7.6945825	6.7909093	8.113209	6.2400165	6.285958	7.016824	9.125114	9.06165	6.224619	8.3198805	7.393464	6.448719	6.5028644	7.4340134	7.2978783	5.890447	5.7229576	7.8232293	6.4824553	6.2479863	6.8491197	6.415971	7.153767	6.1200747	5.223391	6.07193	6.2627754	6.9860077	4.924309	6.0034547	7.5596423	7.4289703	6.1401176	5.977469	5.7835736	7.3699946	8.296361	6.7774167	6.4214606	5.4237165	6.752618	7.1874027	8.212329	10.653208	7.389041	5.584824	8.752054	7.3337255	6.3874655	5.6059165	7.3397346	6.9183874	6.016414	6.784525	6.9320827	6.272979	8.2229185	6.403507	7.9317327	7.5712724	6.925013	6.446484	4.74973	9.554392	7.292503	6.693877	6.965894	7.05556	6.3678846	6.957368	7.3040423	5.01298	8.343467	7.697701	8.125991	7.022553	5.8698688	6.692205	8.849107	8.219227	8.321597	7.7560883	7.6526194	6.1733103	6.660886	6.552543	8.070484	6.1388474	7.9336295	6.8068924	7.3758636	8.969073	8.941927	3.2855139	8.448136	9.182219	7.939897	3.9734828	2.28171
