ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
1.4300492	2.8257394	1.2079794	1.2755888	2.7310596	1.9720173	3.9156952	5.0863605	2.1316464	3.2130287	1.1647513	2.2868986	1.8615805	3.0384142	5.926877	2.3489096	1.6399255	0.98060375	1.7800808	1.1199225	4.0304894	3.6106381	6.151606	4.999854	4.2369976	6.283282	1.4402484	9.524155	1.1229194	3.7922382	3.3225186	3.2546465	3.8901916	2.191568	6.1812406	2.1301546	3.089554	3.4183457	2.053707	3.6632335	4.08975	0.97522837	4.9079113	4.4715934	3.8863254	5.5544467	4.713548	5.4581256	2.1764812	3.0127745
2.2882938	6.970586	1.4633473	1.0480261	4.3438377	1.1409011	3.2950509	4.781918	1.6508343	1.7348831	1.6792879	1.1914922	0.99553406	1.0231503	3.4601915	1.3415601	1.1963209	1.0418695	1.0454235	0.9724355	1.3911431	2.1931798	0.9224138	1.199352	2.3442962	1.2086304	1.6386094	3.9022148	0.87665856	2.2662082	2.4417553	1.6972457	1.576381	1.9084234	5.2170305	1.700659	2.4856777	1.4654183	0.921544	1.5025365	1.2148142	0.975978	1.6118864	2.9755096	1.2001957	3.259182	1.2567203	10.301922	1.5738306	2.857087
5.8753233	7.0460324	7.0700407	7.3469944	6.757085	7.1693354	7.97753	9.413822	9.155228	7.658337	5.2301016	7.9939647	8.361862	1.0311549	11.4161005	8.458029	8.545713	2.8986287	7.2929416	8.650779	8.337989	9.892594	1.0177109	9.401901	9.003232	9.546315	9.386732	5.539297	2.3147876	5.9744925	6.63078	9.773025	8.803421	7.0225763	8.269151	7.7360992	3.8607767	9.800292	8.6292095	8.467249	9.99831	3.7233286	10.646423	10.839768	6.85755	9.952367	11.404043	6.2417517	0.9421507	1.1139958
1.2113256	1.51383	2.4522262	6.125037	2.6532612	1.1728683	5.648566	4.887127	1.3519317	5.605607	5.4084177	4.8429527	1.1701448	1.7424661	8.232159	4.211739	4.925907	3.385962	1.668718	1.1873103	3.8251154	2.1280763	2.4553192	5.4342275	2.4133043	1.5857962	3.8616912	5.0162597	0.88547045	6.154731	4.0965414	2.5692394	0.9279758	4.0343857	1.2579904	5.4477506	1.8586986	1.3912841	0.97610956	1.8869898	0.9127472	5.1427436	3.296671	5.5302105	2.1463206	2.1479142	2.3260126	9.852098	1.217732	2.3105054
5.9542327	7.8122554	6.597473	4.474731	7.612002	6.4679747	5.573506	8.762651	5.8142705	7.5849166	6.816775	6.2074485	6.6502495	6.2925196	8.908312	6.8523555	5.9766536	8.151782	6.992214	6.681774	7.2168493	7.129955	7.433028	8.523948	6.2019463	7.3000836	6.801036	5.215809	8.622097	10.10244	8.850354	9.155648	7.557234	7.8276486	3.9949844	7.7640653	3.8670688	8.282539	5.655042	7.8258142	7.266624	8.400673	8.689692	9.377189	2.9535165	9.192441	9.566475	8.442807	3.4699287	1.1300734
2.0606713	1.7694476	1.1986322	1.0652761	3.4920375	2.0675387	1.6172715	5.463886	2.1859457	2.7919028	3.104537	1.2252705	5.6230965	1.0875242	5.787865	1.7127092	1.9523122	6.42421	1.8618813	3.8032427	2.034794	3.4495654	1.0296448	4.1318374	2.0939262	3.0725596	1.4593742	4.5133915	1.1387963	5.0028977	2.8749392	3.53637	2.3290472	2.0186377	3.5006735	1.610422	2.5632293	1.3243772	1.6422734	2.1581786	2.4633737	2.1354165	3.8302174	2.6069722	1.3091868	3.230639	2.264645	3.0575387	1.5262129	9.496449
4.011385	4.090421	3.7664063	2.3297565	3.2378006	2.248931	5.008057	5.2973633	3.449884	2.5285645	5.144136	3.4356103	2.114093	4.166965	6.3162866	4.1445704	3.5606089	1.7693539	3.28234	2.2989926	2.8709278	3.1991727	3.062922	4.400576	5.3183875	2.7152317	3.1922908	2.1092262	1.7672486	5.0860176	3.8307393	3.1445715	3.3399649	2.6256883	5.5629435	4.680088	6.0927176	2.5017812	1.9032362	4.8748975	2.9825628	4.4175224	3.6293201	6.0989504	10.457071	4.4299874	2.9365337	7.9742875	1.73884	2.0899649
4.2649465	4.3887672	4.4212646	2.702303	5.1242223	3.2562385	4.9210367	8.659661	6.492882	3.5179763	3.380042	4.232948	4.937667	4.8908386	8.199656	4.300149	3.8671908	2.645062	3.92996	2.791795	5.114986	4.1749945	5.828457	6.3700376	3.0218194	5.494051	4.149443	5.1351066	1.1791921	6.2453423	4.944396	5.630229	4.3116674	5.828116	5.8126297	5.193722	2.783557	3.0960646	3.2629156	5.4930787	3.250421	3.3105297	6.123582	7.502504	5.895308	4.435142	5.82258	2.786778	1.8957193	10.451365
3.6401572	8.902027	6.401428	5.130749	6.717118	7.7482557	5.6451836	8.875422	7.020196	7.5603538	6.591765	7.2165723	6.908138	2.2217476	9.986977	7.584116	6.7908907	3.694156	5.6588125	7.545151	7.6622896	7.7248793	2.0769742	8.632895	9.190525	8.406772	7.718181	4.6479974	3.6798418	7.2266145	7.74057	8.471906	7.5504413	6.386736	7.051964	7.782919	6.2708616	7.9982033	7.953339	8.917332	8.794112	6.9523177	9.368712	9.977445	5.685602	10.197081	10.653692	5.4305587	1.3664409	0.9011182
2.6287344	5.3378286	5.1108212	4.527704	5.651403	5.6652284	6.4736185	7.3055663	4.6881337	5.7708235	4.6722484	6.1444674	5.060693	2.3976576	9.37856	5.17248	6.201972	1.5094086	3.8183165	4.3537054	5.841112	5.522127	3.076168	6.790218	8.093839	5.9079146	5.849625	5.8569903	2.6871853	4.776665	4.8658447	6.507159	6.2114587	4.3434606	6.466643	6.0572777	7.2895308	5.426857	6.4221234	5.9984345	6.8430676	2.367423	8.46872	7.5134883	4.1418376	8.682226	7.2557917	5.2387686	1.2252178	0.9143764
