ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
6.7661724	4.9654174	7.5100985	8.911604	5.496599	3.8850355	7.3149557	5.936734	5.801349	7.627796	8.571377	6.7311296	5.0889807	6.8385	6.0929756	8.874716	7.729846	5.5314827	4.089306	7.7647095	9.299524	7.829353	8.826845	7.431488	4.4476967	8.05359	5.4490137	5.121792	6.799778	5.3611712	4.075671	7.401454	5.4165707	3.5480509	7.0599155	5.135756	5.4774284	8.244939	6.8802686	7.817966	6.3174553	7.1006227	7.5737476	5.5777855	5.9496565	5.918597	6.0120273	7.2806034	8.598829	6.4190235	6.9277363	7.3035173	8.159743	3.7156048	6.764572	6.3369803	9.465857	5.032892	6.4055686	4.3696537	5.0658054	7.2992663	9.423756	5.198309	4.199144	6.5480003	6.7338705	7.6584883	4.862918	6.366972	7.0324526	4.8235154	5.2222238	8.027052	7.7445335	6.5131264	7.301978	5.361484	6.7001824	6.283838	6.213745	5.835352	4.944711	3.5370903	7.0337152	5.8775363	3.831172	8.220638	3.843326	5.910054	4.798916	6.078316	7.7707796	4.31271	3.7532988	8.772547	7.172753	7.7526994	3.274705	7.6376634
6.33799	5.5496655	7.9661765	9.487059	7.2691855	7.0917425	9.283702	5.9976387	6.374817	7.8105526	8.782691	6.724227	7.0972285	6.6776295	7.7946906	9.565178	7.377349	6.6395426	6.473057	8.512054	10.969467	8.8448715	7.965632	7.3311954	5.908662	9.500045	5.491946	7.177728	7.8757415	6.5188236	6.767355	8.642035	6.510415	5.3588204	8.273748	6.829862	5.87057	8.939953	9.033867	9.004707	9.240742	9.433793	8.884967	5.7196875	7.363344	7.486634	7.929834	7.8135157	8.978115	8.900824	6.9384665	8.679125	9.440683	5.4948077	8.238192	8.309719	9.387466	6.1220236	7.0898204	5.801879	6.836259	7.9483175	10.800943	7.0583076	6.8864384	6.4203954	7.781736	9.477926	4.3062086	7.7029543	8.885496	7.5678167	7.5816827	7.076372	9.076401	8.343089	9.453445	8.529154	9.233103	5.6478014	7.436557	7.3662047	5.6189995	6.1672554	7.89024	5.793269	6.3110914	8.040747	5.644055	7.0171714	5.703127	7.646183	9.500939	7.55289	6.7017097	8.651805	4.555716	6.003254	5.017975	10.597981
5.0777364	4.697939	6.8749323	6.8589225	6.9829836	5.055146	7.6224627	4.932413	5.67486	6.300853	7.623927	4.6920953	5.8325663	5.179639	5.809473	8.544468	5.971648	4.244602	5.32069	5.823883	7.897695	8.239254	8.1826515	3.7957678	5.1204023	7.1844873	4.3963137	4.9728565	4.9471545	3.966924	4.8402877	6.3758106	6.074707	4.251512	5.010607	3.570711	5.0759587	7.0284615	4.254724	6.361565	4.78863	6.125267	6.5699463	3.799788	4.5200872	7.0552673	4.861336	6.696912	7.6307917	5.439586	4.7250443	6.607274	8.277454	4.927286	5.133265	5.573827	8.595819	3.770133	5.9608345	4.1402273	7.093203	7.743502	7.584523	5.0121927	4.9032183	4.0514483	5.471736	6.9144096	11.581912	6.4921064	6.064967	4.564084	5.3938518	4.763714	9.102059	4.602668	5.79445	6.6223326	6.629216	4.3164916	6.7812943	6.5454993	5.902543	3.8535404	5.607116	6.1762614	4.705581	5.7299123	4.5423155	5.339847	5.9939833	6.724777	12.329815	6.2092466	5.0884695	6.0471973	11.968105	4.327904	13.751776	9.989063
6.992919	6.916231	9.658881	10.253849	8.582044	7.255815	10.096123	7.514206	7.2911267	9.434446	10.173304	5.2008057	8.128702	4.3019037	8.736862	10.333511	7.9322906	7.0193267	6.826961	9.419167	11.267272	10.2899885	9.412527	6.6991377	7.2916408	10.3856125	6.336834	6.810215	8.731228	7.094165	6.691354	9.943268	7.8046083	6.417616	8.288855	6.837655	6.8864307	10.355019	8.588913	9.713194	8.191755	10.63138	8.740209	6.1611695	7.4864144	8.713034	8.112129	9.1129	10.442821	9.549049	7.2088656	9.490534	10.996113	6.5303135	8.502907	8.890558	10.821007	6.922306	8.281647	7.2798147	7.3569326	9.136548	11.487888	8.198792	8.132255	6.543514	7.556398	10.629776	4.775312	8.72432	9.826248	6.915142	7.803557	7.2311206	10.73702	8.878968	10.084578	8.925619	9.691017	7.2686024	8.267218	8.745755	4.092765	6.4666157	9.339338	6.423114	8.207203	8.6327095	7.2615275	8.997786	4.3158064	9.183151	10.912389	8.588543	8.694375	10.887084	5.3744755	6.060337	3.7382104	5.5107646
7.951071	7.5827656	9.029491	9.106353	6.4667597	7.2657404	9.575592	6.877106	7.2453337	9.547298	9.370667	7.022521	7.1562066	6.049287	7.540198	9.721307	7.837285	7.153052	6.3201265	8.727928	9.39558	9.237873	9.7887745	7.6173096	6.7812796	9.546088	7.060522	6.481004	7.3680215	7.398296	6.0719185	8.424954	7.5374837	5.782872	8.243755	6.108995	8.101694	8.716236	7.7331653	9.029987	8.229427	9.468462	8.155977	7.870309	7.9505053	7.5246773	8.045755	8.76067	9.662276	8.055352	7.317166	8.487989	9.410061	5.7109766	7.9467087	9.02599	9.528666	6.895075	7.77315	5.241666	7.849739	8.908423	10.080193	8.381277	7.0281143	6.897832	7.664665	9.302984	6.3391056	8.957037	8.555335	6.4860554	8.388878	7.9903817	9.671939	8.28816	9.228434	7.5308194	9.27447	7.0146112	7.6363983	8.429261	4.8438888	5.4807806	8.113565	7.386312	6.8714714	9.313189	5.9405127	7.7858467	4.789627	8.793995	8.489019	7.230867	6.4421988	9.2636795	6.971144	5.0364447	5.6363993	9.867157
5.8945966	4.1077085	7.7806277	8.078152	6.8006964	6.033316	9.596333	5.439531	6.598566	7.0979433	8.131097	6.199254	8.291458	6.660554	7.61891	9.194128	6.409272	5.554556	5.997816	7.4645095	9.283434	9.095525	7.2233734	5.465481	6.182624	8.504595	4.8174586	7.6625023	7.191881	5.787248	5.4687862	8.572495	5.5592823	6.0239134	7.3920836	5.625345	4.2172456	8.350536	7.522872	7.9625454	7.2644777	7.67243	7.6289124	4.224079	5.474198	7.618083	7.898904	7.4585333	8.684626	7.709203	5.4369087	8.1488085	9.608906	5.9898095	6.967468	8.20552	8.410855	6.702033	6.5032406	6.4929237	6.4707756	6.5354776	9.80311	5.620359	5.334882	4.71598	5.1726418	8.327982	6.231176	6.761525	7.92924	7.840348	5.913929	5.6400127	7.7676654	7.3059464	8.129615	8.276628	8.306207	5.541006	8.01675	6.5423365	5.7827363	6.0430436	6.891632	5.1506777	6.371516	6.136183	6.989624	5.7257357	4.9371033	6.067763	10.623155	7.0694504	6.9046617	7.0336437	6.953456	10.50166	12.75449	6.299852
5.702172	4.3171544	6.440851	7.086935	5.9636316	4.5425453	7.5645156	4.837427	4.6420197	6.73878	7.4212756	4.439624	6.357213	4.7420287	5.8347063	8.696117	6.3178606	4.766611	4.4551234	5.510341	8.038828	7.7769675	7.6548448	4.1675844	4.5268126	7.590615	4.105084	5.2120657	5.3846493	4.535881	4.0608783	5.929273	5.8870373	4.277311	4.6916733	4.025124	4.387155	7.3177986	4.8139286	6.2559633	4.9947124	6.0242968	6.53951	4.557272	4.2384048	6.478376	4.7871895	5.8325443	7.3795776	5.4233046	5.107703	5.883769	7.998714	3.820123	4.9707327	5.288372	7.8812013	4.0491376	5.536147	4.8388567	5.408554	7.283424	7.7635384	4.7949896	4.9327507	3.9095564	5.32437	6.7897134	6.1946883	4.7237453	5.364295	4.149895	5.1318665	5.0855665	8.015167	4.569916	5.887047	5.354121	6.565895	4.317989	6.267733	5.4700136	3.853445	3.463813	6.4204006	5.223745	4.242695	5.8382006	4.3558993	5.898905	3.3238125	6.3010445	10.488525	6.342593	5.9490204	7.048492	7.1089153	6.782035	13.682505	5.9181967
5.816206	5.3563223	8.488948	9.066551	6.68583	5.7989426	8.119436	4.879035	5.400626	8.220728	8.880812	8.034895	5.7953806	5.953312	7.9350877	9.3420925	7.6437325	6.24557	4.967671	7.966177	9.846759	8.5612545	7.8923206	6.051179	4.846796	9.790945	6.0211153	5.895838	7.9528437	5.7773905	4.697652	8.012827	6.573945	4.257002	7.6410685	4.984889	5.3724155	9.263011	7.6103983	8.491432	7.8984895	8.721842	8.529045	5.035678	5.4653068	6.767044	7.492035	8.066357	8.924182	8.512356	5.269784	8.576343	10.0128975	4.4861355	8.858345	7.877085	9.918798	5.136505	8.028853	4.781657	5.9447365	6.8829823	9.687359	5.970893	5.9160614	5.9062853	6.3683662	9.184492	5.893094	8.388334	8.252504	8.246546	6.118612	6.9991484	8.224224	7.5738683	8.284822	5.850299	8.475766	6.32957	5.9099984	6.490894	10.182068	4.214802	7.6706276	5.993676	4.7625294	6.3578806	4.3175306	6.8449736	10.474877	6.440138	10.464409	5.8020406	4.966773	8.404718	6.2455177	4.435302	3.6550379	4.6821356
3.8892963	3.1204667	6.5682383	6.9322615	5.4283667	3.2440972	6.2426844	4.2870994	4.354085	5.373624	6.6524496	6.3969693	4.790696	4.5225244	6.1492743	7.565787	4.396444	3.3164775	3.3051708	6.818886	8.204269	6.6776485	6.3568754	3.8626769	3.701458	7.7457047	3.2609584	3.4304092	6.2678037	3.1799154	3.2920876	5.228982	4.0798497	3.2620335	5.3964405	3.2502167	3.2368994	7.734696	5.114788	6.255876	6.2054157	5.7232704	5.810108	3.938545	3.2484324	4.9038963	5.199705	5.3377247	7.6479163	6.460694	4.21375	5.9901	7.8017635	3.129788	5.895812	4.8760977	7.665546	3.3653083	5.336809	3.5115144	4.0376573	6.51682	9.192474	4.071842	3.7855814	3.3523657	4.822557	6.710454	5.5079803	5.311098	6.781227	7.227675	4.0221767	3.4076438	6.1722107	6.1826124	6.048115	5.4008846	6.44048	3.3293839	4.8049173	4.3880377	3.1811662	3.1055717	4.5010567	3.5214138	3.111127	3.76124	3.2046535	4.161739	3.0973115	4.42177	8.153595	3.585668	3.6788702	4.358728	5.101758	3.4390101	3.1318665	13.356338
6.846561	6.800667	10.01363	10.347021	8.789885	7.9895225	10.676711	8.665949	9.1247425	10.334111	10.810214	5.269498	8.845946	4.198144	9.077101	10.97249	7.354871	8.330219	7.5232134	9.786489	11.917451	10.083574	10.291281	7.0961294	8.110441	10.763903	5.5353527	6.4536486	7.9007783	6.6142855	7.4893327	10.135555	8.018911	6.389903	8.323523	8.218577	7.4774623	10.279493	8.79862	10.527466	8.597799	10.862931	8.67358	7.235414	7.157809	9.157772	8.632949	9.43553	10.459477	9.593912	7.8117104	9.037817	11.033048	7.225985	8.273749	8.945854	10.7372675	7.5978484	8.917929	6.870783	7.6456485	10.593744	11.741716	8.450027	8.168549	7.194975	7.925755	10.156438	4.6005383	8.299364	9.935234	6.4616194	8.619403	7.49102	12.126014	9.575645	9.757107	9.364517	10.258112	7.98992	8.872301	9.246144	4.1352215	7.667498	9.093702	6.451585	8.96604	9.568208	8.291792	9.821992	5.110061	10.00797	11.6192465	10.259365	10.267698	11.692382	5.1296988	4.439808	3.2023418	6.5111046
