d_loss,gradient_norm
0.7319618314504623,0.06971504
0.01649277216080236,0.099761434
0.0039937301722687835,0.050361857
0.0026480877304457806,0.038745783
0.0021515992151250884,0.03057276
0.0007979550808159819,0.014674011
0.0013660032006838352,0.020768238
0.0015501716111430142,0.021186637
0.0014904659785202057,0.025582723
0.0012673427678606686,0.021165298
0.0006837688328715785,0.010130663
0.00047216846150721636,0.008134168
0.0003680394138131926,0.0069607063
0.0003294349783065087,0.0060362886
0.00023042032584670601,0.004151212
0.0001514194485094933,0.0038966415
0.0003476600037859434,0.007972195
0.003193325260109958,0.021653559
9.810716326796864e-05,0.0021741923
0.0007755485210998586,0.0077870255
1.3175068859562836e-05,0.0004994959
3.425102485062406e-05,0.0013256357
3.0214514890047894e-05,0.0007750922
2.4219243766943066e-05,0.0007439495
5.064415940481126e-05,0.0013579321
3.243938056129991e-05,0.0011812993
5.987462913736863e-05,0.0016259626
7.275688562202731e-05,0.0011749469
1.9173844698627818e-05,0.0011480507
7.019838687938318e-05,0.0014596059
0.000235582421069358,0.0033104995
3.524769083007584e-05,0.00074681133
5.925114201099646e-05,0.0013756035
5.722929113267938e-05,0.001332129
5.238931257256496e-06,0.00018961634
4.649131225034219e-06,9.047854e-05
1.5599779430885974e-05,0.0003213654
1.0257778026285386e-05,0.00021901738
5.8989231632722294e-06,0.00025773433
4.081785056616466e-06,0.00016444735
3.6229756954497816e-06,6.0043978e-05
9.891061034994486e-06,0.00032189014
1.0433045289914844e-05,0.00037945056
1.72917780058221e-06,4.3647324e-05
2.9014329537835337e-06,6.715895e-05
4.021685910515771e-06,0.0002512155
0.00011646133978264559,0.00030591505
4.863244177264695e-07,2.1478152e-05
3.736437969581452e-07,1.8598392e-05
9.341014139963022e-08,3.1980283e-06
1.4153467978728074e-06,4.153357e-05
2.0106911247097514e-08,5.3304996e-07
2.3501917074174187e-05,0.0002550565
4.858921149875073e-07,1.2121347e-05
9.884862092746083e-08,5.98316e-06
7.382545028633558e-07,7.719392e-06
3.1449373949499204e-07,6.137881e-06
1.3345460416758215e-06,6.2910954e-06
4.6340934743249566e-07,1.0024445e-05
3.2939300609018774e-05,6.238219e-05
5.211174478048086e-10,4.6801127e-08
3.427701347757939e-08,2.560889e-06
1.3066330285110839e-08,3.211339e-07
1.5984281809267031e-07,1.4798681e-07
5.140313891205395e-08,1.113282e-06
5.281560816472464e-08,1.8292324e-06
1.6264415177384e-06,1.9127705e-05
3.846080440933486e-08,1.1531631e-06
1.0800317618020472e-07,1.8488706e-06
1.5245639639616115e-08,5.876794e-07
1.719925923904242e-09,2.691907e-07
8.396348954997634e-07,2.392393e-05
2.5183047791782053e-08,1.9683075e-06
1.679157399792075e-07,2.8552881e-06
5.4263265214515854e-08,6.224644e-06
1.7428194765464061e-06,1.4470092e-05
5.478937910308179e-07,2.4283616e-05
9.96199512812157e-09,1.4982216e-07
6.59553858195494e-08,7.2502957e-07
5.6635188626537325e-09,5.914799e-07
2.9045730907256706e-08,8.4074753e-07
3.3570655255665827e-08,4.644262e-07
5.850933221251964e-08,5.5933224e-06
3.38884409770146e-08,1.2543295e-06
2.0549433998873212e-07,1.0041045e-05
2.167331499592501e-06,4.454626e-06
2.32943439537614e-09,2.416671e-07
6.395975207795779e-10,2.0694795e-09
2.8301512137597737e-09,1.26899815e-08
1.2810004793029073e-11,5.9239275e-10
1.0204296851945571e-08,3.479805e-07
1.049132086761162e-09,1.2317215e-08
7.875855392580622e-07,2.0769074e-08
7.62973648896588e-10,3.3021095e-07
3.167604287185712e-11,1.8957413e-09
1.4899280073588095e-09,1.5789794e-08
1.5040503653120096e-06,2.8769068e-06
2.0367616759288908e-11,1.0386413e-08
4.633355233095741e-12,3.541596e-10
1.6333732968509124e-07,2.1472426e-06
7.72998662692051e-13,2.7573915e-11
5.942669099867626e-12,2.0461498e-10
1.2413141844166801e-11,5.4230308e-11
3.191653723757815e-13,7.3522525e-12
1.1809580778176537e-09,8.425169e-08
2.1279499694914696e-09,8.924693e-08
5.1467726964787765e-11,3.3351422e-09
1.1327673174466035e-09,9.9193294e-08
3.3305006093518275e-10,8.043504e-09
