ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
7.608961	8.224018	7.2810125	8.621927	5.9903665	6.4805474	6.925738	6.678714	3.9861348	7.8618336	6.496907	5.1728563	6.6315804	4.170747	5.938055	6.9832683	6.123002	10.141123	4.7134843	5.1930127	7.80458	4.827671	9.255501	6.1771812	4.73403
6.4407034	7.8960466	5.1683707	7.3843226	3.8098435	5.5961933	6.1709366	5.495929	3.3287406	6.3077993	5.420002	3.3058722	6.271074	3.7940912	5.904942	5.0935717	6.603101	9.067341	4.819746	3.954341	7.5329533	8.116596	5.5550566	3.3632298	8.918021
9.001738	9.926561	8.012224	10.200645	6.4347553	8.440332	7.810016	3.1406622	5.561107	9.87548	7.4426756	5.699477	8.021906	6.751563	9.022251	3.1564493	8.515771	7.4067645	6.2816405	7.431106	9.968468	3.6315825	3.9688134	3.145905	8.807235
8.114515	8.752622	8.411178	8.718066	8.412779	7.6302757	8.1817465	3.269053	7.723194	8.345086	8.245695	7.548136	8.3366375	7.9967732	8.631504	3.2482147	8.973763	10.15573	9.347488	8.881996	10.115996	4.936998	6.798066	5.945238	7.1377525
7.6476235	7.663912	7.427632	8.166866	6.279654	6.4557257	6.5571356	4.1622567	5.72075	6.604432	6.6399775	6.1084046	6.98446	6.1360683	7.8066487	4.102643	6.497325	11.152349	7.027565	7.0518103	8.294363	7.7539907	8.113426	8.37606	3.841538
5.3768315	6.2355185	4.6457157	6.7318	3.9394965	5.2477407	5.3510494	4.829032	3.1385102	6.031493	4.280052	3.2327838	6.2226896	3.305437	4.8105555	4.609103	5.4295816	8.370605	3.5613544	3.7052183	6.9055266	5.5197506	3.636817	4.1007667	9.34898
5.267683	6.228778	5.626826	6.008217	3.5851815	5.4084144	4.6163144	5.5373287	3.2358055	4.923188	3.7639298	3.8021789	4.4143486	3.7813182	4.348544	5.278031	4.6926694	10.146862	5.277491	4.934906	5.803994	7.867656	3.6240983	3.5801346	7.980984
5.8618307	6.7615166	5.196271	6.920511	3.1875973	4.556596	4.370184	6.232189	3.0974302	6.0567293	3.5472732	3.1704876	5.1559134	3.2968628	4.7347636	4.7657886	4.689061	8.633125	4.115862	3.585803	5.553543	6.4268875	3.9594474	3.3542185	9.246567
7.089953	7.039212	5.3962083	7.437984	3.9884386	5.027936	4.696926	6.0680857	3.1711504	4.7334814	4.2075233	3.4600718	5.7452564	3.5539968	4.7466516	5.039198	4.741759	9.018297	4.0059032	3.703209	5.7466826	5.7049904	4.2521987	3.117544	7.4895563
7.1022696	7.962655	7.320963	7.9925785	6.7616024	7.8642745	7.3665075	5.868041	7.0138693	8.658924	7.412962	7.164293	7.8719153	6.9806833	8.859542	6.2302628	8.706596	8.398594	8.769543	8.1283865	9.508743	5.073578	5.6954966	3.8579888	5.0621495
6.580592	7.1370773	5.68421	7.016508	4.4201794	5.6151667	5.7267	3.1146061	4.4349575	5.881956	5.0976224	4.5190687	5.5169554	3.8294806	5.15124	3.0928226	5.8239326	7.4775257	5.179376	4.5897875	6.585575	5.641839	8.276379	5.200098	8.51233
9.435968	9.88559	7.9766626	9.795656	8.153567	7.9566264	8.219753	3.1344533	6.8543925	8.069557	7.1881084	6.077673	9.215788	6.4493055	8.419764	3.15347	8.568338	9.037595	8.583763	7.0342665	10.048704	3.3473196	5.7241564	4.4834504	4.7734156
7.383981	8.6624565	8.490568	8.880855	7.451698	7.383897	7.746932	3.6288147	7.3136234	8.481403	7.6606207	6.9881234	7.2887115	7.062516	8.406392	3.6581936	8.360769	11.103751	8.855324	7.781819	9.057527	5.9687862	7.9547863	3.1784704	7.373686
3.656581	4.173541	3.7490158	4.0533404	3.2903025	3.940442	3.5053272	3.087667	3.421225	3.6721034	3.2631357	3.6750443	3.617365	3.2885668	4.1972322	3.0837293	4.275361	9.142485	3.4668791	3.8498533	4.8504844	4.1722236	8.415073	3.0840023	10.532738
7.126428	7.987742	7.5250897	8.016699	7.0653744	7.409827	6.967621	3.3024683	5.7541895	8.610388	7.403998	6.318373	6.8960953	6.0178757	6.8288784	3.1911027	7.6347528	9.234804	6.744565	6.754934	9.213299	6.0064607	8.032617	3.222095	5.0666504
6.1540194	7.94029	5.0655947	7.313402	4.8690863	5.387354	5.9635096	3.1000924	4.082205	5.832985	5.5903683	4.538294	5.607409	4.3329563	5.7529936	3.0950725	5.988327	10.945328	4.968158	4.98001	7.9373984	3.676671	8.46684	10.578112	9.226679
5.364894	6.087099	5.496046	6.1301823	4.1573687	5.325472	5.1115026	4.930792	3.9858406	6.5287704	4.178961	4.782421	5.444426	4.257593	5.3310037	3.7564774	5.624105	7.5153174	4.6868315	4.5746946	6.2196903	4.9291134	7.973586	3.6910393	5.5551353
6.791317	7.5228443	6.2989616	7.374533	3.9780602	5.0862465	5.0888844	3.0832973	4.342673	5.4349403	4.59929	3.8862114	4.2452426	4.0093637	5.15806	3.0832157	4.883872	11.122939	4.7993517	4.4721775	5.5265164	6.8758593	8.87532	4.4156957	7.0228643
6.2489095	7.3004756	5.9451733	6.924277	5.040021	5.6108637	5.7543297	3.3097603	3.772044	5.9613905	5.7432	5.2793207	5.3490734	4.8306923	5.834351	3.2280185	5.769456	10.695792	4.860063	4.472085	7.058544	8.51354	4.564485	3.7734628	3.1028929
