ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
7.2832365	8.534569	10.1117325	6.246531	8.908115	8.152197	9.978256	6.9186087	7.740943	6.9310064	7.4233303	8.440928	10.433268	7.3459024	6.220932	6.6556363	7.6919284	9.869638	5.7875624	8.249439	9.599375	7.4278107	6.8989496	7.321958	8.729388	8.27323	9.091255	7.7821355	9.093874	7.7570033	8.057625	7.811182	3.116252	5.621174	9.07144	7.310676	7.917478	7.0868626	5.75422	7.5397987	3.1266103	7.7117376	10.201232	7.8912377	6.419348	8.960594	5.6191587	8.356369	5.5573454	5.0336895
4.388151	5.1361656	7.161176	3.0953507	4.4820356	4.497498	6.8002677	3.3517764	5.4421396	3.1990566	3.457647	7.863114	6.9078493	3.7824206	4.0628624	3.2920861	4.388134	5.952114	4.204513	4.253394	5.663473	4.784935	4.193022	3.4072564	6.5954614	4.5235333	5.176584	5.234105	5.41652	3.2611966	4.0275865	3.9151828	3.6493769	3.1147993	4.4797287	3.3767018	3.7743094	4.078203	3.4160523	4.688323	3.6570363	4.158372	7.4977036	5.82345	3.977092	6.259894	4.3423185	5.3726416	6.497662	7.6233788
3.8371406	5.651112	7.5841193	3.257475	5.0617547	5.237131	7.194376	3.698665	5.1432667	4.3053493	3.9156327	7.556256	7.967354	4.520875	4.1471915	3.5407264	4.658003	6.2130356	5.0358963	4.674109	5.9247346	7.7770643	4.1543274	4.124715	6.3954244	4.818937	5.9888034	6.043145	6.2632246	3.3075182	4.705396	4.2067842	4.7515864	3.288729	4.994171	3.4660227	4.3834925	4.6204844	3.7578807	4.9185286	4.0796666	4.8850603	6.8553305	5.8333874	4.4099016	5.2612214	5.819429	3.42711	3.3815973	8.4187
6.308773	7.028965	9.705769	5.784509	7.695553	6.9028416	9.1820965	5.2797184	8.230175	5.7130985	6.401126	7.9654565	9.240763	6.3681736	7.0321865	5.2718363	6.3028774	8.18364	4.4165134	6.907521	7.5519843	5.3226795	6.2417355	5.1811523	10.172629	7.7251763	7.7885814	7.4456334	8.41862	4.7260427	7.7032003	6.588088	3.6562352	6.8599586	7.167971	6.2748737	4.9371343	7.2890186	7.6087594	8.87397	3.6923409	7.473589	12.230966	7.1907587	7.3257647	9.943719	4.554457	4.7254176	3.2854524	7.958129
4.014304	5.4306498	7.7347097	3.172136	5.234106	5.1562767	7.2685194	3.598539	5.683007	3.483204	3.6071663	7.445367	8.04618	3.882811	4.011839	3.4049177	4.4244614	6.9475894	3.8453727	4.704399	6.141606	7.801762	3.914129	4.062491	6.1327257	5.0935693	5.9843645	6.07238	6.5793676	3.2501268	4.8453856	3.8309975	6.5886555	3.15343	5.2369156	3.3670254	4.347075	4.404988	3.4186666	5.0551248	4.292339	4.694595	8.076115	5.8726196	3.8621085	5.407481	4.2964697	6.7551517	4.3620853	4.2911973
8.026829	6.4021482	8.005332	5.76016	6.438151	6.274646	8.479038	6.720279	7.6242723	6.2411137	6.1142216	9.387375	8.232519	5.9420166	6.9478464	5.919793	6.767149	7.6207485	5.676735	5.962327	6.689436	4.4881907	7.1404715	6.754108	9.390775	6.8397536	6.970811	6.036132	7.3331575	7.2810464	7.6463933	6.5096006	7.245883	4.5709867	7.592382	6.006672	6.3446503	6.3202252	5.7731123	7.342855	7.339607	8.332208	9.470028	6.1916904	6.4301467	9.58761	6.266927	3.2385418	3.2411127	11.723844
5.896175	6.4173765	8.173587	4.586552	6.7175303	5.5586634	7.852032	5.135582	6.063444	5.2253265	5.059752	7.9964104	8.28702	5.7264485	5.545123	5.2136726	6.533407	7.351109	7.910039	4.8205137	6.287081	4.876595	6.0043306	5.9919043	9.099093	5.7577133	6.7166977	6.613167	6.604484	5.431445	5.875262	6.1078887	6.0023413	4.1163015	5.761507	5.627678	5.7156315	6.969206	5.603453	6.1099386	5.390958	6.865714	9.122206	5.782401	6.179522	7.90509	8.28126	3.9864955	3.2655056	6.885043
3.7012982	5.3238363	7.243428	3.1075556	5.2200155	4.720648	7.3254337	3.3244932	5.3982906	3.3130682	3.5871465	6.530535	7.3896337	3.7299347	3.512035	3.3001375	4.1351953	6.610201	7.2881646	4.5965204	5.8411417	5.3600526	3.8010385	4.253859	6.9700146	4.9187965	5.574979	4.887006	5.614765	3.3032048	4.395721	4.2486753	4.576358	3.1085014	5.4240494	3.5367951	3.3546703	4.322384	3.1874077	4.3878174	4.7182903	4.178212	8.464729	4.38812	3.742628	6.3412013	8.988828	4.176169	5.0630836	5.0362473
6.718318	7.3679543	8.836231	5.6830616	7.085461	7.6754417	8.188499	6.886243	7.4562716	6.7380047	6.558367	9.217939	9.0988655	7.403406	5.7611217	7.5368676	7.3898177	8.098841	3.9116483	6.743754	7.494705	7.708212	7.2009816	6.72529	9.140634	7.3255267	7.9793205	6.2661505	8.064989	5.987157	7.26728	7.182989	6.722781	5.7603455	6.783251	6.011049	7.116201	7.722431	6.1810865	7.0732355	6.4657364	8.542896	8.438366	7.184298	6.546285	8.880814	4.0727563	5.8329062	4.5807	8.565764
5.1995363	6.764137	7.8722005	4.289391	5.736103	5.5547695	6.9232235	4.787839	6.2425714	4.9793243	6.5338135	7.199052	7.814071	4.9583244	4.503641	4.3985095	5.486528	6.7582197	8.884537	5.288988	6.345908	6.1341724	4.8176994	4.8950434	8.073332	5.710141	5.9717526	6.422851	5.780404	3.9657032	5.5625124	5.5294666	4.3657455	4.1208963	5.8644176	5.3567343	5.0348597	6.100834	4.576302	6.2273984	3.6220179	6.112249	8.347008	5.5013485	6.2440076	6.0766764	10.038979	3.5955734	3.5376024	6.034666
7.465195	7.4150696	9.164961	6.7563434	7.5538588	7.555889	9.069258	7.93904	7.552879	6.022788	6.924527	8.732723	8.745762	7.584958	7.139953	7.8877034	8.092005	8.048139	7.177012	6.914133	7.6652274	5.5680847	8.153929	8.084263	9.186471	7.3829036	8.040785	6.27016	8.415884	7.7287807	8.168137	8.161224	7.8406305	5.455514	8.685473	7.888622	7.3821044	7.925781	6.2543583	7.232338	7.8987617	8.351284	8.632605	7.2926745	6.784814	9.395091	7.696382	4.86166	3.8688066	8.623688
6.459668	7.234957	8.59083	4.47172	7.0765104	6.7245836	8.652342	5.033236	6.357559	4.475411	5.723727	8.451714	9.169928	6.152253	4.387165	6.0515766	7.4760866	8.80538	5.687728	6.7946124	7.3788877	5.1030817	6.2671647	6.954006	8.248296	7.912232	8.088137	5.9586773	7.6141877	5.934679	6.732335	7.257374	5.0733953	4.038776	7.660044	6.425775	5.0646873	7.2950487	4.137605	6.444765	4.2943783	7.1638613	7.4422474	4.97505	4.234248	8.377241	5.971779	6.4575834	4.710475	11.367221
3.6690183	4.8426313	6.1900125	3.085582	4.5430307	3.9176545	5.8737574	3.153154	4.1505713	3.1902063	3.319004	5.396488	6.8190613	3.5664532	3.236825	3.204198	4.523792	6.099844	7.240146	3.8905482	5.1305523	4.152298	3.5467088	4.028027	7.020941	4.4709787	5.0952168	3.8860936	4.8094854	3.1538997	4.0837617	3.8617852	4.1290064	3.083922	5.5839458	3.2371802	3.1283283	3.7358513	3.0962393	3.5681486	4.1516895	3.7185323	6.9979477	3.8287978	3.19982	4.8171635	9.458896	4.3335023	3.1274629	9.418121
3.2342188	4.271443	6.29842	3.0848715	4.371331	3.666393	5.570557	3.1586006	4.3505073	3.0993285	3.2102857	5.6630135	6.0693817	3.3612857	3.2985775	3.1281288	3.5536895	5.256948	6.352128	3.5618684	4.499405	3.9121094	3.597476	3.211012	5.885318	3.691121	4.45909	4.4430456	4.375344	3.1081293	3.5442853	3.4635496	3.2153144	3.086682	3.8583567	3.1971893	3.1486366	3.5544934	3.159898	3.3979	3.233646	3.5678675	7.4185247	4.671017	3.7779694	3.9840062	8.783365	3.3946471	11.074026	8.048608
4.826063	7.3931413	8.614281	4.42369	7.1142235	7.0706425	8.880363	4.295451	6.7250004	4.053739	5.832183	7.764891	9.622482	5.2234898	5.150075	4.729707	6.0329475	8.077313	6.985634	7.338221	8.111016	6.7454753	5.4270563	4.5075464	7.881725	7.439105	8.535166	8.327458	8.666464	4.372081	7.1280146	5.985683	5.441985	5.2864695	7.1841493	5.251914	4.9804354	4.920123	6.079632	6.569796	5.7498317	6.2468815	9.979084	6.8952875	6.6537914	7.2844872	8.510132	9.06978	3.1509733	4.096468
3.3919878	4.0375924	5.9616556	3.0862384	4.134742	3.6874635	5.86455	3.14558	4.392728	3.1419256	3.3072023	6.033436	6.1641383	3.401938	3.3957248	3.117919	3.748209	6.0722055	5.2428765	3.6287866	4.242823	3.9906747	3.4609556	3.306925	6.0289783	3.9032216	4.6910686	4.1709933	4.9555817	3.1031446	3.5909977	3.3915586	3.445141	3.096466	4.2442703	3.1382124	3.3357196	3.4089491	3.123125	3.779929	3.1224647	3.7510598	6.395049	4.55814	3.5942452	4.2469134	6.471383	3.784289	3.5851336	7.226554
6.428475	5.742112	7.972489	4.327238	5.882432	5.3972526	7.43745	5.7787685	6.9739923	5.2168126	6.097129	8.836223	8.061475	6.017213	5.3059874	5.475115	6.0473123	7.1965275	4.475437	5.2698517	5.8123674	5.069406	6.4620886	5.836855	8.541494	5.61185	6.0230193	6.377242	6.030612	5.1984925	6.292009	5.3553767	6.27479	6.0558476	6.7276917	6.016305	6.6432877	5.834198	5.538858	6.973527	5.534396	7.926804	9.224632	6.9955673	5.7418137	8.32114	5.390571	4.4718237	3.1245985	8.774293
3.4498448	5.027012	7.2581205	3.0921233	5.2830195	4.632525	7.077735	3.2082238	4.8831043	3.1913817	3.6008968	6.6047573	8.001364	3.5574005	3.467786	3.2440865	3.8454032	6.9631524	10.091501	4.5132713	5.3465033	5.3511305	3.5564244	3.418999	6.9016724	5.146412	5.659848	5.108157	5.6828585	3.172558	4.4874964	3.759682	3.757331	3.1168828	4.521192	3.3388853	3.3116148	3.7819161	3.3389132	4.5641465	3.4553738	4.0353417	7.9535108	4.505583	3.807713	4.6453805	12.263769	3.650413	5.9909086	9.840422
6.9123898	9.788988	11.88542	5.8658223	10.662678	9.38995	11.493419	7.134004	7.4584956	5.919344	7.917943	8.089161	11.641047	8.8515835	6.2014055	7.222376	9.173019	11.110636	5.7644405	9.503336	10.456236	6.5191517	8.349299	9.1013565	10.269987	9.801687	10.8252945	7.7613525	11.016582	7.948769	8.968193	8.453879	3.6737022	5.292994	9.733049	7.2279053	5.599783	8.014503	5.497591	8.2986145	3.564112	8.971341	11.465648	6.6536837	7.3651667	10.26512	7.1172414	4.2900095	6.401889	4.4206934
3.6637678	8.251997	10.099493	3.1116767	9.019848	8.230536	9.318974	3.432067	5.223676	3.1210115	4.064299	5.8485813	11.090575	4.653825	3.5062156	3.4996915	3.933782	9.131948	6.6560016	7.97734	9.042108	8.681305	4.0603952	3.7825923	6.0621285	8.75053	8.685858	7.0116715	9.322262	3.4300632	5.760863	5.105027	4.5111938	3.1554604	7.3618627	3.7298348	3.3434365	4.6511054	3.571866	4.4412704	5.2102804	4.5433707	12.397853	4.218049	4.1117086	6.1583176	8.563488	5.439787	12.228073	6.076725
4.06558	7.687527	9.390091	3.6189504	8.079351	8.163464	9.052387	3.7465885	5.2713737	3.944415	4.8946114	6.0974293	10.702739	5.070996	4.5340424	4.66407	5.0966387	8.973462	6.1431875	7.592992	8.21089	8.778887	4.0761213	4.702049	6.874426	7.844436	8.260544	6.283247	7.8073378	3.9328737	5.779477	5.7052364	3.0840678	3.3929534	6.571094	4.855542	4.0359845	4.5556703	4.4877577	5.323288	3.0834985	4.7111354	8.278642	4.9547596	5.129076	7.141231	7.8420405	5.2133684	3.417507	5.572475
3.2487304	3.924696	5.380909	3.0857468	3.8039064	3.5151885	5.512334	3.1087277	4.393671	3.0930252	3.1898792	5.716772	5.479681	3.2146826	3.2163863	3.1095288	3.318706	5.050716	8.659327	3.5878737	4.338769	3.9887633	3.188156	3.20424	5.7592916	3.7868743	4.2823553	4.7084827	4.043857	3.0920072	3.6344552	3.3594105	3.7467782	3.088399	3.9544575	3.144609	3.2732568	3.3014228	3.135663	3.6808035	3.2660818	3.3769066	9.247552	3.685349	3.4583635	3.9220567	11.505013	3.570729	4.271176	4.716622
5.195038	5.7021394	7.9847317	4.6769624	6.6272063	5.6312723	7.184823	4.952114	7.6990333	4.569695	5.43911	8.095736	8.213377	4.529455	5.4153347	4.4348803	6.142524	6.786257	5.4847536	5.8083277	6.186873	5.980876	5.7580647	4.9182835	8.102095	5.206554	5.575527	7.2690268	6.4488826	4.4954643	5.0816355	5.115078	5.998881	4.3337364	4.7704806	5.4745264	9.216198	5.450165	5.034463	6.1515913	7.0322933	6.7287903	11.286785	7.1405225	6.316736	6.764657	6.9806404	5.489993	3.0920682	3.216294
3.534518	4.645233	5.9289417	3.0883157	4.4974694	4.1550875	6.326143	3.2642722	4.5440493	3.136779	3.2671037	5.9947643	6.3834047	3.4177072	3.3206453	3.1697419	3.9154842	5.788501	4.6737795	4.3532133	5.0110683	5.268858	3.649637	3.4033525	5.8393173	4.1465564	5.2823505	4.369337	4.783739	3.1624916	3.820043	3.6352048	4.332656	3.0870929	4.148985	3.2662919	3.2984266	3.5013208	3.1548338	3.792619	3.5519004	3.6780605	7.0987906	4.46693	3.4116652	4.6405287	5.6581826	4.8313046	3.1215944	3.8478343
5.1623907	10.197388	11.575474	4.6827683	9.034922	10.30121	10.895617	5.013092	7.1170564	5.3089886	6.582969	7.284601	12.144684	6.7273912	6.103961	6.488205	6.5510664	10.639498	6.1138334	9.672189	9.940547	8.989002	6.371793	6.0372586	8.730654	10.367886	10.74781	8.210432	10.191597	6.0823727	8.840953	7.7325644	6.650852	4.53678	8.860038	6.002513	5.1354227	6.77792	4.8278365	6.772868	8.639631	7.7867465	10.235981	5.4583054	6.056628	9.064339	7.137391	5.523138	4.5698853	5.0143013
4.4737935	6.3884125	7.4648	3.1452465	5.362791	4.887698	7.4127803	3.5902967	5.237129	3.710123	3.9377298	6.378147	7.722086	4.93885	3.637978	3.6949453	4.986472	6.339935	4.5909567	5.137549	5.9623327	6.307059	4.0042806	4.988755	6.919423	5.3247714	6.500553	4.7682714	6.122865	3.4246182	4.537395	4.9319854	5.010514	3.1522305	5.528661	3.7229242	3.9249048	4.515683	3.2618854	4.569476	4.3467417	4.4690986	6.288292	5.611581	3.740037	6.2754803	4.898363	5.8433228	3.0978603	8.599867
6.8159184	8.718054	10.492123	5.593785	8.952788	8.274077	10.551687	6.1756983	7.410048	5.582506	6.9269943	7.5502234	10.787855	7.4562383	4.941988	6.320595	8.648153	9.836076	5.7981267	8.71666	9.264898	7.2814646	6.7341743	7.873095	8.590639	8.238937	9.468365	7.7315564	9.267271	6.6098375	8.102692	8.110457	3.202162	5.365329	9.117676	7.030881	6.974344	7.9904	5.4606833	7.6997232	3.1952276	7.697022	10.882556	6.0851707	5.6217046	9.568838	6.2574472	7.556746	7.89183	4.054532
4.7959113	9.0415745	9.601598	3.4026349	7.918249	8.611192	9.19046	3.8311534	5.1061163	3.494194	4.9932737	5.8427954	10.510738	5.360845	4.1164703	4.2738667	5.5767365	9.523998	4.0336156	6.9591284	8.7219515	7.944239	4.6916094	4.6658845	6.8523417	8.365002	9.198779	6.7649956	8.4848175	3.7799006	7.0549507	5.855646	3.1336498	3.4331946	7.435379	4.615633	4.1827774	5.2822933	4.238229	6.1216035	3.1167986	5.4059258	11.218013	3.9086318	4.4200644	6.6711493	5.1175537	4.7910604	3.9157262	7.2470307
