ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
3.0839787	3.0830917	3.185829	3.3304958	3.1653554	3.083108	3.941114	3.0874124	3.1674688	5.501248	4.697419	3.0867183	3.2426443	3.0830996	3.089969	4.972925	3.0837517	3.0831273	3.0831034	3.2505887	6.1343527	3.713565	8.468628	3.0830917	3.0837607	3.3275838	3.0830917	3.0868738	3.0911632	3.0830948	3.0830917	3.1146746	3.08356	3.0830956	3.0840082	3.0830917	3.0830917	3.204166	3.0996468	3.8341877	3.0858006	3.122178	3.0981176	3.083096	3.0830917	3.0844684	3.08337	3.3764699	3.1310103	4.249729	3.0831063	3.0922017	4.8548813	3.0832005	3.1225946	3.1000657	3.704486	3.0831976	3.2121325	3.083094	3.08408	4.557199	7.771484	3.0868692	3.0830953	3.0831304	3.0905693	3.1828094	3.0830917	3.0830991	3.0929577	3.0831099	3.1083837	3.0843453	3.7876694	3.0832064	3.1614406	3.0908895	4.674025	3.0830917	3.0876067	3.0831301	3.0830917	3.0830932	3.0889506	3.1105263	3.0852587	3.0874178	4.627433	3.0849726	3.0830917	4.039455	4.557832	3.4466581	3.596412	5.051868	3.0830917	3.083333	3.0830917	4.070922
5.1802015	3.55707	7.382719	7.4835134	5.9363737	4.8954782	7.105157	5.056166	5.2205696	7.2035613	7.929665	7.3608847	6.165261	6.189602	6.5003605	8.227834	5.239606	3.980548	4.4789295	7.6652884	8.933148	7.9294295	7.7009053	3.9334154	4.666694	8.853952	3.558098	5.120257	6.6216397	4.413917	3.5905352	7.4325943	5.622962	4.3108053	6.6137247	3.6478877	3.6305802	7.843422	6.6751966	7.977571	7.153921	7.652944	8.189941	4.0843735	3.9996266	6.2235556	6.9797025	7.1317277	8.588139	7.4953814	4.905349	6.746834	7.89499	3.707652	6.9475474	6.3877053	8.252924	4.1926894	6.4510927	3.6394718	4.9431534	7.680539	9.499008	5.154603	5.7231383	4.226565	4.827119	8.037899	5.6268215	7.104234	8.143071	8.377969	4.0994306	5.1617966	8.086337	6.169783	7.4029145	6.910349	7.6517043	3.9972906	5.9604216	5.3831725	6.9543858	3.5437589	5.9379053	3.9309926	4.1111937	5.0506268	4.334993	6.263939	5.2255807	5.6380653	10.013506	7.0844374	4.691115	5.550515	5.7939777	8.740335	4.4605303	10.644074
3.0847008	3.0830917	3.203321	3.3263066	3.310165	3.0830975	3.4773521	3.085816	3.1684089	6.279439	4.6776996	3.0855014	3.276604	3.0830953	3.0879035	5.875169	3.0840087	3.0831406	3.0831025	3.1608922	5.7383947	3.7918022	7.0328875	3.0830917	3.0835829	3.2687469	3.0830917	3.0906367	3.0884228	3.083094	3.0830917	3.1044693	3.0838122	3.083094	3.0849273	3.0830917	3.0830917	3.2153306	3.10563	3.7418036	3.0853856	3.0959525	3.0894125	3.0830963	3.0830917	3.0846133	3.0835965	3.3122044	3.126369	3.9849586	3.0831184	3.0926833	5.1364436	3.0831592	3.1076732	3.1070101	3.6817243	3.083248	3.1182668	3.0830934	3.0842469	5.0427365	5.9858446	3.0860312	3.083094	3.083141	3.0914083	3.1503081	3.0830917	3.0831006	3.0895827	3.0831137	3.1145134	3.0846975	4.0416894	3.083171	3.1799955	3.0904667	5.466882	3.0830917	3.0859542	3.083142	3.0830917	3.083094	3.0877817	3.098533	3.084344	3.0919833	3.5517032	3.0859654	3.0830917	4.0500846	3.741662	3.4637294	3.2784975	5.7371945	3.0830917	3.0837092	3.0830917	4.990315
7.905977	6.003542	9.770821	10.444656	7.1617556	4.7740817	8.989044	5.9258823	5.225666	7.842475	10.128323	5.7379074	6.352915	3.7779274	7.5344667	9.227695	8.807074	5.7021666	4.48304	8.655203	10.632266	8.67202	8.255949	7.2170496	5.1873527	9.423464	5.8458557	6.2931194	7.5126996	5.4574747	3.6450381	7.6468463	7.4235435	4.4636693	8.279947	4.4830275	4.3218164	10.269725	7.747439	9.274294	7.7671247	8.230628	7.1092405	4.6848445	5.742472	6.168108	7.169432	10.1064625	10.209057	8.820825	5.42803	8.574137	11.03464	3.7341695	7.898109	8.095831	11.319654	5.484502	8.058468	4.4272118	6.892831	7.6551876	10.164536	6.146597	6.199937	4.8963313	7.1606236	9.55142	3.5735602	6.6206846	10.020361	6.074251	6.581068	7.869915	9.535341	6.8135242	8.604137	6.78409	10.099745	6.4875813	8.183175	7.887646	3.333109	4.1873717	7.565881	7.0881014	4.9873714	7.4357915	4.6162825	7.82971	3.8734937	6.477914	11.32731	5.1676664	8.050493	7.922885	3.9191217	5.02458	3.378985	7.3228006
5.039117	3.1001458	6.833936	6.407305	6.5780983	3.274688	6.945607	3.9328399	3.9928975	7.3532605	7.54867	3.358482	6.3931036	3.2955537	4.067913	7.1669836	3.8364847	3.4327068	3.362211	3.9278812	8.733578	7.0142612	8.028719	3.3265789	3.5467231	6.67101	3.0834534	5.262126	4.068327	3.1485188	3.1744678	5.0737143	4.5869894	3.2760663	3.8575833	3.1116047	3.1596897	5.483678	4.3835945	6.659594	4.3786707	4.391011	4.368129	3.6847825	3.0920665	4.896295	4.0218554	5.8283277	5.0689077	7.4957633	3.5436034	4.690979	7.839838	3.7454977	4.5951686	5.58424	7.0083013	3.9390614	4.2044168	3.4308708	3.5931473	9.471519	8.06908	3.7667747	3.4313662	3.442224	4.1060534	6.025732	3.1067984	3.4215539	3.8553662	3.675467	5.7413616	3.6183932	7.0789146	3.323321	5.8825817	4.3999577	6.423906	3.1997797	5.8140383	3.4606802	3.106057	3.8179612	4.8546705	3.7967553	4.9287806	5.450824	4.7855277	5.4256554	3.0876114	6.45642	9.620558	9.201699	5.3897552	8.282501	3.128889	3.5194247	3.0878136	6.238076
3.1448035	3.083115	4.126279	5.8096347	4.3491926	3.093214	5.684931	3.2239804	3.7944865	8.05932	5.5819645	3.426354	4.280202	3.0860968	3.459652	7.8335958	3.1904693	3.0924807	3.0910015	5.4686923	7.8857665	5.996122	7.1246624	3.0836196	3.155785	3.9929674	3.0830917	3.2003214	3.318731	3.0882936	3.0836015	3.4383767	3.164235	3.0898366	3.199652	3.084117	3.0868583	4.3804855	3.4336262	6.4588137	3.2143776	3.678801	3.317951	3.0881858	3.0831163	3.2199163	3.105205	4.5762815	3.7454216	4.470878	3.0909395	3.5729997	7.7259045	3.1075184	3.5849702	3.3653736	5.6520452	3.0965192	6.1258907	3.0855207	3.3059556	6.7738876	8.7036705	3.6176353	3.0880246	3.1004562	3.3605006	4.1242423	3.0832477	3.0906093	3.3505127	3.0875108	3.4355688	3.2057407	5.7058263	3.14076	4.0877233	3.254467	7.485791	3.0841427	3.2711563	3.1058526	3.0844817	3.08458	3.2886972	3.5275574	3.3018737	3.278716	5.053985	3.1735485	3.0831137	6.0635214	4.828556	4.2361307	4.254227	4.783618	3.0837553	3.1318452	3.0830917	7.0359297
4.1367874	3.205211	6.917218	7.3665085	5.7470713	3.816958	8.376032	6.956704	6.3989916	6.7168264	7.821954	6.571395	7.292929	4.2349505	6.3015947	7.879761	4.35832	3.4188256	4.381144	5.3601513	7.3592105	7.7012377	8.000117	3.2164626	5.6389146	8.970469	3.093466	4.625769	5.302711	3.3367345	3.1710496	5.5130424	4.7059064	4.057857	7.2365294	3.2126217	3.2977133	6.995689	5.3596215	7.8086233	4.8367214	6.075053	8.295809	3.546219	3.2048888	6.2130604	5.4824286	6.7033176	7.267662	6.5093465	4.3619657	5.6759925	7.221359	3.4623935	5.0961857	6.4798355	7.461624	3.6948278	7.8249555	3.2807198	4.2988367	6.800227	8.128241	4.665275	4.3931494	3.3545237	3.90891	6.479059	4.924986	4.265921	5.023843	6.0497	4.064432	4.0303845	7.5815973	4.8416953	5.737968	5.991919	6.6880426	3.2356017	4.743197	3.7362897	4.790278	3.7819715	4.79503	3.7488275	4.620002	4.5771446	4.3517876	5.8631487	3.4619904	5.7720294	10.087531	7.099225	6.4724503	5.09585	5.9806185	6.304646	3.3602674	9.9433365
3.9901028	3.204337	7.3621817	6.9946003	5.0451574	3.6829672	6.2324305	4.4560366	4.45627	5.1904182	6.12866	6.305992	5.8227973	4.877897	6.582073	6.5628567	4.226652	3.5332336	3.4186666	5.764911	7.664061	7.2741847	6.9553175	3.237666	3.674755	7.8950257	3.197896	4.1866455	5.9760575	3.5039315	3.1209764	5.1582365	5.129182	3.4815795	5.1128173	3.2384443	3.1580596	7.4015493	4.431827	6.4266424	5.250416	5.7290754	5.277769	3.4076262	3.2987313	5.723734	4.8791757	5.0165286	7.1376505	6.1649284	4.515809	5.323641	6.9213257	3.1739454	5.6276536	4.8344955	7.2723937	3.2184765	5.471643	3.2366023	4.035854	7.228292	8.001921	4.320859	3.8570042	3.488598	4.183607	6.5038395	4.796837	4.755525	6.990703	5.8353896	3.3743305	3.75809	7.1684065	4.6851807	6.1243815	5.6638365	6.004876	3.457735	4.2714972	4.130885	4.440087	3.1347582	4.4741316	3.3165116	3.3438163	3.9218805	3.2601824	5.709526	3.9328713	4.172569	8.219862	4.7786393	4.2427135	4.7158513	5.773946	8.197168	3.663963	10.869867
6.6392345	3.8198454	7.318381	8.125075	7.989398	5.643573	7.9273987	6.460123	6.206807	8.243937	7.0598087	7.0460434	7.601388	5.3702574	5.4768977	8.66004	5.4329724	5.9397006	5.7237105	6.0964413	8.676391	8.6041355	7.7196627	4.745295	5.770252	8.085682	3.344176	6.459297	5.9650517	4.8806906	5.13643	6.576547	7.317329	6.607376	5.993885	5.293045	5.30161	7.497775	6.3289356	7.147727	6.708765	6.3982964	7.608939	6.176995	3.6917577	7.166881	6.2475977	8.158138	7.94248	7.08672	5.0724144	6.4388895	8.917081	6.3529396	6.0834627	6.903818	9.256572	7.497159	7.26167	5.2468715	6.435499	9.662029	10.048693	6.099085	5.1280785	4.8606	7.656596	8.686203	3.9557137	6.4273396	5.6942625	5.042644	8.151031	5.081773	8.067892	5.7353897	6.999004	6.507967	7.9728436	4.9215746	6.9416957	5.104103	4.566239	6.168047	6.9890194	5.5815525	8.218502	7.602674	6.7837744	7.456016	3.8024616	7.178028	9.420786	8.268433	7.601369	8.315534	4.4297376	4.9972634	3.6597261	7.462553
7.572973	3.2123206	8.171589	6.7594843	8.483257	3.9556885	8.36643	5.4549103	4.999739	6.8112364	9.370941	3.280784	5.8847113	3.479961	5.2969522	6.4429226	5.0114756	3.903369	5.2863793	7.021179	9.037168	6.7012153	8.60853	3.8512626	4.4475436	7.3096943	3.091665	6.387729	4.88444	3.4103973	4.05163	5.6224174	5.21394	3.327938	4.878407	3.4639945	3.7807927	7.6967034	6.219844	7.263881	4.7742543	6.4123096	3.9435022	4.325228	3.232622	6.6986723	4.2071753	7.9093766	8.071704	6.6341286	4.389125	6.124707	8.003134	4.5106654	5.677477	4.626707	7.5574107	4.5736	5.61614	4.055414	3.909438	10.763218	8.577192	3.8234487	3.8138225	4.80286	6.1662083	7.4410143	3.148876	4.3645506	5.817641	3.8976293	6.601157	5.0856037	8.924467	4.1208553	6.7923927	6.4147663	8.413135	3.4269726	6.95831	5.598856	3.1003916	4.520921	5.235758	5.214446	6.924682	5.9641223	5.7986894	5.0939226	3.1340146	10.422533	9.801227	5.5232506	6.332674	10.984844	3.2011094	3.6979983	3.0896087	4.294362
