ENSG00000075884	ENSG00000173020	ENSG00000142765	ENSG00000160883	ENSG00000227507	ENSG00000137818	ENSG00000174501	ENSG00000034510	ENSG00000089157	ENSG00000091592	ENSG00000064687	ENSG00000047410	ENSG00000013441	ENSG00000135596	ENSG00000137841	ENSG00000101596	ENSG00000181163	ENSG00000162894	ENSG00000132424	ENSG00000115524	ENSG00000089009	ENSG00000156508	ENSG00000170345	ENSG00000188846	ENSG00000173821	ENSG00000052841	ENSG00000117676	ENSG00000115268	ENSG00000121064	ENSG00000149311	ENSG00000197043	ENSG00000030582	ENSG00000198502	ENSG00000124126	ENSG00000111144	ENSG00000105373	ENSG00000182866	ENSG00000101336	ENSG00000108107	ENSG00000143870	ENSG00000198755	ENSG00000111371	ENSG00000138744	ENSG00000132182	ENSG00000164308	ENSG00000130592	ENSG00000104870	ENSG00000163220	ENSG00000168028	ENSG00000123146	ENSG00000141068	ENSG00000196565	ENSG00000120708	ENSG00000156738	ENSG00000233927	ENSG00000166441	ENSG00000140988	ENSG00000182718	ENSG00000187653	ENSG00000198034	ENSG00000162231	ENSG00000148303	ENSG00000100316	ENSG00000105193	ENSG00000100345	ENSG00000151651	ENSG00000189343	ENSG00000100650	ENSG00000167286	ENSG00000147162	ENSG00000123329	ENSG00000101347	ENSG00000211895	ENSG00000000938	ENSG00000149273	ENSG00000171863	ENSG00000105374	ENSG00000100453	ENSG00000183878	ENSG00000055163	ENSG00000116688	ENSG00000011600	ENSG00000147604	ENSG00000167978	ENSG00000083845	ENSG00000005844	ENSG00000115415	ENSG00000116701	ENSG00000131018	ENSG00000163660	ENSG00000131238	ENSG00000182578	ENSG00000203875	ENSG00000143119	ENSG00000152795	ENSG00000123338	ENSG00000136942	ENSG00000134419	ENSG00000072818	ENSG00000142541	ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
3.9035006	4.698318	4.0335064	3.611177	3.2769291	8.6737385	4.078602	3.8745358	5.2683945	3.5704339	3.891798	5.024315	3.6051135	3.5056105	3.685776	4.1710563	4.860075	3.2436702	3.319824	4.1500645	4.462886	13.533319	3.324045	5.470872	3.6554236	3.7468507	5.036417	5.241841	3.3089964	3.7794058	4.6021957	4.0255227	3.1152773	3.4520686	5.948416	5.237174	3.7415657	5.6973953	6.48619	3.3175042	4.3086257	3.5110512	3.3642125	3.7983525	3.65524	4.068672	3.150589	5.739569	5.4234257	4.4341736	3.7402081	3.7734082	3.246177	3.5161214	4.814556	4.4359713	7.772623	4.2296705	3.524784	6.3514524	3.237784	4.9963903	11.559859	3.9823687	9.354794	3.4653292	5.063179	3.6091175	3.869421	8.689399	3.59196	3.631594	3.250813	4.0590134	7.889448	4.3672733	4.688903	5.456641	3.216327	6.2487884	5.9717903	4.1545105	11.450337	3.9394188	3.7763028	3.6672037	3.3808646	4.936926	3.3136444	3.4533036	4.4368424	3.6589944	8.1244335	3.8869731	4.756798	5.2901635	6.200285	6.632105	5.796454	9.037968	5.3381557	4.139188	6.553176	9.889854	4.0423684	3.809612	11.265336	3.6651673	4.75913	7.2638254	7.4256043	4.547975	4.7755666	3.803053	5.8787084	12.050282	5.0960207	4.2439027	3.4845312	7.066762	10.02185	10.781185	6.5955	4.208182	3.9395626	9.839817	3.1933627	4.084081	6.1763115	3.7567472	3.434904	6.671013	3.6833627	3.1569383	5.5373664	3.1890903	3.245034	7.718194	4.162112	8.233952	4.1206236	9.327279	5.6287575	3.4318848	4.45843	6.9835243	6.058976	5.7681823	8.45163	5.1466293	4.173007	8.797106	8.773418	3.1292734	5.0832644	4.2034597	7.0492043	4.2540116	6.86837	3.3410685	3.8731499	5.067501	6.2514753	3.9572518	5.501869	3.65135	4.1228714	10.11268	4.0998955	5.511866	5.0192685	3.8174512	3.4449553	6.840809	9.258529	5.3700566	6.9609356	4.449637	6.380436	3.2477415	4.069337	4.1708193	3.3285396	3.1144392	4.153966	5.0307093	3.3913088	4.2894726	3.145269	4.52964	3.6115584	4.2473345	13.180165	8.100678	4.9040356	9.596621	3.66857	3.8832963	3.678777	5.8902674
4.925055	7.285886	4.0680327	4.0580573	5.9315996	10.416203	7.3037148	5.6452637	6.6740913	4.2221146	4.858773	6.925565	5.313198	4.3139596	5.1274996	6.7080555	5.5365496	4.4610643	5.3754225	6.220055	5.651533	10.346035	5.0389504	6.705489	5.5292253	5.173382	5.886265	8.247358	4.105387	3.9721205	5.664816	6.0536776	3.9549837	4.793544	6.7999744	5.183999	5.706146	5.9695086	6.3768854	4.0093174	5.9867945	5.012004	4.648713	4.261955	4.1284995	5.7398214	3.952116	6.5259023	6.9783497	4.317703	5.772202	5.69174	4.9430285	5.086135	7.26282	5.8932676	8.14198	5.592083	6.3315897	5.856371	3.637024	6.9361696	7.4131336	6.7304373	9.390795	4.013817	6.852531	5.942554	4.0240717	5.3272867	4.9951043	5.2272015	4.716963	6.50498	7.991586	6.1871266	5.063308	5.7498426	4.566768	4.717635	7.3373756	4.754111	8.719402	5.198791	5.777349	4.662876	5.7754555	5.918541	5.0777636	4.2472935	4.372128	4.26853	4.6006513	5.440241	6.023112	6.359131	5.939071	6.006434	5.284304	9.04771	5.1622124	4.5638657	7.204815	8.689744	5.921316	4.6331134	7.850738	4.619812	8.245489	7.6563787	7.997198	6.4557967	7.241113	7.846965	5.380436	9.224803	7.605648	6.745314	5.1770782	6.906294	9.341021	8.97842	7.2348905	4.7079215	5.611891	9.672113	5.061615	4.8954725	6.5704165	5.2654667	4.001547	6.1395564	6.501791	4.1205816	6.2320094	4.8666477	4.6013064	8.834266	4.9637594	8.305931	5.7585692	8.19385	6.6221523	4.5681357	5.47223	6.257357	6.1289034	8.083124	9.47076	6.85087	5.112597	5.555889	8.287716	4.1748815	6.0375023	6.0218964	9.397502	5.1073895	5.842273	4.0346	4.5700426	9.182825	8.823335	4.5403414	4.538601	4.9918795	5.4512396	9.496111	7.5855727	7.773491	6.110051	6.352895	6.082489	6.67943	7.2898216	4.939334	9.021715	6.084387	9.083475	4.2158194	5.6132107	4.3716993	4.8866596	3.659941	6.5958357	6.0041065	5.3896437	5.771408	4.826858	5.263955	6.5070577	4.9957905	11.120161	7.5579457	6.3780117	5.3300314	4.8422756	5.283754	5.550813	8.613644
4.0831585	5.553549	5.427867	3.4012988	3.8593357	4.990072	4.296965	6.054194	5.4907174	3.37007	3.5513737	4.053776	3.5509624	3.3601382	3.7016287	3.6274471	4.756223	3.3919106	3.5913224	5.930831	4.6637745	9.951414	3.1920455	6.2988586	4.5978827	3.2596805	5.4052253	5.1290836	3.7521665	5.7765884	3.7927957	5.6000695	3.1597137	3.5494084	5.732074	6.4084244	4.133669	4.673392	6.5419874	3.2726018	4.2685804	3.8786395	4.0167875	3.520483	3.3404129	5.042722	3.460183	4.938472	5.6315155	4.5555606	3.6124675	3.5229506	3.1976645	3.4696343	3.76758	5.9281425	7.594096	4.973844	3.9571133	5.744879	3.5469854	7.755235	12.042159	5.0118947	9.990725	3.2690043	4.6341095	5.4917727	4.9470215	3.853458	4.147793	3.8540707	3.337009	3.7395613	7.64584	7.4756236	4.806018	6.5127487	3.5282466	4.834399	3.9448767	4.2049828	7.8830285	4.065296	5.2945924	3.3244095	3.9173484	3.7982984	3.8819575	3.5588484	4.5829926	3.1790028	5.2706017	3.4518247	4.1232953	4.2871675	4.5017643	7.9109015	5.387101	8.542818	6.2202	3.6821811	10.454323	7.9798036	3.8612978	3.5862002	9.577301	3.8417487	6.3095846	4.8464546	7.0589285	4.84357	3.612289	3.957607	6.855976	9.788414	4.0692825	5.020197	4.5042834	6.3696027	9.873207	6.4911003	6.567129	3.3118029	3.5782604	9.188492	3.3660183	4.181271	6.8558874	3.88486	3.2780895	8.110058	3.9069064	3.263732	4.3019443	4.236203	3.436675	5.9664545	4.5774145	5.3671064	3.764562	7.2018266	5.96172	3.9529824	4.710405	5.3967257	5.7873025	5.3863635	8.4710045	8.612337	4.948241	5.751424	7.6778507	3.1412153	3.814258	4.49683	6.3281937	4.5677376	5.9220314	3.5907636	3.8849869	7.1498127	9.8461075	4.072397	3.9874709	5.327954	5.1078587	8.098515	3.8361464	4.6924047	7.1302	5.521085	4.278141	4.965059	6.3820724	6.136742	4.291108	4.362609	5.3113413	3.2889285	4.09534	3.9509845	3.5863435	3.1247222	5.6820664	4.318758	3.4739535	5.506891	3.2476728	5.3868937	3.2341194	4.7649555	10.585543	7.6693115	4.024414	6.539828	4.3948793	4.2272344	3.4334772	4.434961
5.3434477	4.9849524	3.2980168	3.4687898	3.615105	11.498809	6.042753	3.9672391	6.844047	3.289085	3.9871585	4.6172915	4.100391	3.4194398	3.5047503	6.421501	4.6628757	3.3794398	4.06616	5.5887146	4.524239	10.333659	3.6098838	6.185236	4.70081	4.350573	4.5008583	8.230481	3.4659424	3.3914323	3.7533205	5.00268	3.1809638	3.4404354	5.579871	4.179077	5.6745443	3.939103	5.273297	3.2130003	4.5723352	3.636425	3.5631301	3.5794895	3.9446511	4.6934037	3.1510997	5.284033	6.872612	3.550013	3.984694	4.247666	5.406295	3.830213	5.3912544	5.216299	8.147736	4.29039	4.6397057	4.4262524	3.1684055	5.1604223	8.539314	7.6001096	12.754342	3.2123072	4.65215	4.3008685	3.3646111	4.2099204	3.8181052	3.5364985	3.618537	5.2045164	9.872579	4.7969666	4.6528597	4.0109615	3.2269585	4.6673336	6.692872	3.5868225	7.1068287	3.5460186	4.644651	3.7645798	4.018564	4.567019	4.886672	3.6750095	3.5965862	3.366836	3.721575	4.039516	4.0552845	5.3302402	4.2473483	5.68569	5.3192735	8.14299	3.7855234	3.5356429	7.3195443	9.384777	4.3650775	3.4280553	6.237008	3.5708377	6.812387	6.974512	6.35365	4.961926	6.5373855	6.5645733	5.0612516	8.303758	6.0964165	4.5611753	4.0872326	5.6804276	9.023052	5.8743696	8.217778	3.5843763	3.7394931	9.071331	3.5921588	4.2321577	4.7049003	4.7962685	3.2714348	3.8080134	4.7978325	3.333965	7.2756305	3.5426574	3.413479	6.2445827	3.962887	7.7558928	5.969387	8.680588	4.915079	3.6744833	3.9638588	5.87866	4.0760283	7.0798035	9.184277	6.3204546	3.5447574	4.8048615	10.096279	3.2158198	4.4408464	4.9347734	10.00971	4.4383574	4.969381	3.6477175	3.9726632	9.350496	8.401903	3.3632789	3.70455	3.659089	4.4542527	11.113659	8.055454	9.540525	5.335495	4.81534	4.4755254	5.495599	6.944763	3.9276087	8.189259	5.9780483	8.369997	3.6131148	4.167814	3.3782082	3.5246716	3.1637087	5.3321514	4.729951	4.551496	5.036671	3.3748646	3.8470664	5.069702	4.0141063	10.8174095	6.223238	4.4668455	5.168811	4.115165	4.7200546	3.7816615	7.1570573
3.398453	3.5389972	4.1139135	3.8186011	3.6178095	9.12379	3.322849	7.127637	8.518035	3.3734152	3.2482162	4.794544	3.6334412	4.8240156	4.0541754	3.24737	3.5032017	3.182341	3.4921076	5.6002073	3.4985352	5.838373	3.3415005	8.594074	5.4932375	3.8119736	4.079335	6.8619556	3.4440384	5.2936516	3.3889093	5.5219936	3.2897668	3.4716713	6.0990505	9.120936	3.6768844	3.2435324	7.509846	3.364897	4.680369	3.9529192	4.1155148	3.155846	3.1431086	6.520122	3.7060483	5.4098973	3.4888303	3.7459812	3.890996	3.2477381	3.089844	3.4894521	4.2156954	4.6375275	11.009443	3.5136526	5.0943747	7.448523	3.4131982	14.01189	12.406137	4.087235	4.955464	3.1464405	5.099271	5.5932064	3.3293304	3.877808	3.4476974	3.3229072	4.9009805	4.639979	8.043345	6.0949297	3.293178	4.110444	3.7039561	6.0132713	5.8778114	4.2195168	8.269977	4.8935037	6.500189	3.3485498	3.870559	4.083897	3.7296667	3.259172	4.038883	3.094398	5.67494	3.5332053	3.7729049	4.5230064	3.6453733	8.063818	3.5718203	14.3709345	6.5063553	7.1336265	8.844957	9.986061	7.249869	4.148642	7.6399727	3.4141338	4.916829	8.31707	7.038546	3.609461	3.902799	4.039267	6.041072	9.678143	4.074411	3.6831484	5.0298824	7.228937	10.662987	12.586927	4.350668	3.39169	3.993329	11.652687	3.3636508	4.5787554	10.447484	3.1671004	3.7951658	11.574395	5.483178	3.352086	3.6991267	3.131062	3.6660473	9.945106	5.059702	5.9421697	3.3680785	8.619492	4.9871893	3.7497435	3.486094	4.156609	4.499902	7.388904	5.130868	4.225408	3.6848512	4.5001655	10.817579	3.152577	5.5149226	3.9806926	8.446503	3.2303097	4.9894447	3.1786816	3.4638035	11.545637	13.651833	4.4883556	3.760901	3.5211875	6.912966	7.394037	3.4957771	4.434697	11.000275	6.1115303	7.8958254	4.3555403	9.256581	6.986227	5.4208784	8.36249	6.342531	3.1766875	3.973631	4.1025558	3.4837651	3.0925164	4.9392023	3.1538517	3.1513238	4.6785755	3.1310544	5.620783	3.5235004	4.600618	8.883695	5.2759047	6.4889793	6.6185226	5.7146044	3.346441	3.2073967	5.5532966
3.867406	5.855727	3.9271975	3.38752	5.199276	9.07369	4.8504086	6.6673484	7.860246	3.6855989	3.627575	6.284672	4.3038936	4.3479385	5.5747356	5.258731	5.673832	4.024124	4.4560513	5.8488226	5.87248	10.45529	4.012818	7.4357305	5.410821	4.2283735	4.2949896	6.6025696	4.0256352	4.677876	5.799674	4.770125	3.439762	4.714957	6.1448207	6.7608366	5.2940407	5.0090775	6.834323	4.9322786	5.605171	4.7731028	3.7399971	3.9093966	4.463179	5.6780667	3.375116	5.726513	6.583109	4.558572	6.5903864	4.0374775	3.7841856	4.775081	5.6029987	7.497671	8.956867	5.289541	7.3770127	6.4486785	4.406597	7.186541	9.023399	5.7827816	9.689789	3.7829118	6.6338167	5.7257333	4.4440255	4.777091	4.251646	4.4273233	4.3091574	5.4333534	5.872485	5.3804836	4.7181764	4.9675593	3.9665675	4.883149	6.973981	5.094802	7.209642	4.985595	5.8378057	4.5358295	5.3934045	6.167299	4.7612896	4.4976544	4.4357333	4.395226	5.642133	3.6504073	6.0150375	4.4369326	5.4829025	6.275731	5.112694	8.608326	4.746357	4.2601857	7.2538686	6.9511566	6.53717	4.3109846	6.8210278	5.97727	6.3812623	6.662332	8.448388	5.8469343	5.3195596	7.0160027	6.4961123	9.733116	4.8995886	4.605831	3.5944312	5.770298	8.57524	7.4569845	6.591861	4.2465076	5.4216194	8.454529	4.0593724	4.599987	6.5700307	3.9198139	3.9397225	7.095616	4.621539	4.5478287	5.83035	3.9994197	4.305577	8.500353	5.5273848	8.668837	6.153514	6.275969	6.763132	5.1730876	4.476952	5.5441895	5.8098707	7.2011285	7.717611	5.928027	4.2360744	6.926775	7.2936363	4.1299977	5.775378	6.559841	7.592314	4.5493464	5.664625	4.190529	3.8539097	7.385013	9.273081	4.4080772	5.034924	4.8494267	5.0875316	6.892173	5.682205	5.6734324	5.851722	6.1203375	4.078277	5.073028	8.043436	7.2481833	7.739811	5.8310246	7.138488	5.2236457	5.812833	5.0910034	5.746475	3.4418776	5.4299226	4.9378333	4.979069	4.6180415	3.5933123	5.59709	4.519132	5.09616	9.078467	5.4006376	5.123958	6.2679787	6.3258553	6.5606027	4.672228	7.3870587
5.3745418	7.2229	4.9977994	3.992382	4.2828507	9.058013	6.354022	5.7704973	8.18738	4.3601966	5.1853266	4.9285526	5.620414	3.9076295	3.8578048	5.7393265	6.1396394	4.043703	6.0224915	8.904096	6.2978067	10.796192	3.684805	9.973951	5.174429	3.9167194	5.527727	5.0902777	6.14602	5.285902	4.7630277	5.7382665	3.3104115	5.814872	9.267017	6.8248606	6.737961	4.4971724	4.877688	4.0053334	5.446808	5.679384	4.395666	4.822382	4.7620063	6.558194	3.454684	5.9036493	6.0493107	4.176713	5.266101	4.0114775	3.6210785	4.794825	5.910674	6.713894	8.720213	5.2798233	7.271582	5.5057	4.189575	8.195448	8.214563	7.4422317	12.242922	3.9555697	5.0309353	5.2977486	4.2599688	5.413754	4.9982457	3.9671383	5.134992	5.3176513	8.640352	8.636286	6.6853986	4.506275	4.3331804	5.7213407	6.5128183	4.688734	8.327353	5.1643934	8.14085	4.1954126	7.0393877	4.622651	7.0837164	3.9849598	3.7771158	3.3871949	8.543524	4.913784	4.357376	5.454058	4.781484	6.9290595	7.334986	9.469308	7.159618	5.3747177	10.158417	8.565209	5.6934214	5.10131	8.732208	4.3478055	7.184908	7.8311853	6.7839932	5.2308836	6.116894	5.785936	6.917628	10.859604	5.4216433	5.5620103	5.2037	8.476093	10.728668	6.99806	6.736395	3.4638145	4.20603	8.567221	4.2453303	5.048403	8.251444	3.7589812	4.611174	10.1936035	5.681409	3.7965717	5.681255	4.864844	6.6436324	8.5006695	7.2815995	6.833502	5.6690617	8.928763	6.8226504	4.9511433	4.7668066	7.0437984	5.482293	5.571323	9.410923	6.509717	4.3973536	5.5911236	8.452137	3.4466872	6.166092	6.08175	9.070679	5.6999693	6.110674	4.434535	5.4171953	10.797857	8.119421	5.0815916	6.178453	4.5495076	5.748497	10.786922	4.395225	7.6975293	8.418589	6.765287	4.5400467	5.9393826	9.568652	8.248024	6.376733	6.9436684	6.639155	4.82079	5.8563375	7.772856	3.4189563	4.1699495	8.294754	4.587459	4.6335807	5.9808693	3.5141892	4.8274937	3.7480242	6.6907206	9.363154	6.9425583	8.512108	5.015008	4.5729694	5.733653	4.8074117	7.8782687
7.970452	7.713821	6.7415705	5.658792	6.757642	9.668855	7.747271	7.5678763	8.017169	5.1298275	4.9022064	6.748989	6.856942	6.528878	5.54587	6.507697	6.659427	5.503211	5.763336	6.630127	8.003	8.217834	5.640236	8.96781	7.2370753	7.189493	5.879245	7.0417476	7.1497574	6.493543	6.9810305	6.942199	5.5577717	5.7097483	7.179247	7.9652023	6.8890796	6.739361	7.627194	6.0230436	6.757304	6.4104133	6.1328177	6.081197	7.4542923	7.302432	4.851171	6.189574	6.6951685	8.227656	7.8130336	6.957305	5.5252295	6.596099	7.995199	6.75846	8.676245	6.3262243	7.229828	7.542859	5.5116844	7.9478693	9.623713	7.720558	11.06819	4.9101577	6.972622	8.867873	5.622739	6.002397	5.175243	5.711261	6.635543	7.2735906	9.424008	6.310109	6.4894996	6.0355225	5.1500454	6.0677986	8.180355	5.8258758	7.8069487	5.703079	8.016499	5.851362	6.148054	7.139918	6.1158266	6.141651	5.3070173	4.729137	6.3953676	7.5275087	6.189127	7.2704244	6.233926	8.121751	7.478052	9.423679	7.0707498	5.791936	8.722763	8.621294	7.92341	5.989916	7.664665	7.1344695	8.036116	7.929483	7.5130367	7.2495213	6.745978	7.791884	7.1440787	8.808485	6.9788504	6.266372	5.3798714	7.6389384	8.653809	8.287317	8.111818	6.118498	6.139722	8.824955	5.7388353	7.683738	7.625533	5.723999	6.374322	8.208805	6.241376	5.374597	6.279222	5.495917	7.0575895	7.62773	6.6165004	8.030214	7.454589	7.9874372	7.0600586	7.5739393	6.381404	7.4216022	6.9074774	6.902782	8.385159	7.301971	5.8641415	8.149246	8.5244875	6.0831537	6.765855	6.3056374	8.026375	5.711408	7.0025225	6.289571	6.2308345	8.701836	9.526474	6.6317954	6.7020016	6.208297	6.5732327	7.519104	7.6677275	6.76238	8.631529	7.5258436	6.7283373	6.6197076	8.467016	6.8182597	7.788054	8.507734	6.9106617	5.727913	6.565951	6.197681	6.3085704	5.2351494	8.049081	6.016779	7.1363177	6.6783657	5.523282	6.5633326	5.3984947	5.8243194	8.543106	6.311577	6.6163116	7.1397696	8.2795515	8.0135975	7.4865446	8.472685
5.10034	5.5713696	3.8424416	3.6472034	4.630823	9.064954	4.7371135	5.591922	7.08044	3.4044983	3.2014284	3.7850406	4.070742	3.363194	4.41081	3.9082475	5.4957	3.7517128	3.430388	5.4721885	5.162216	8.4951515	3.5083506	6.859829	4.1096582	4.7010937	3.8518755	5.285202	4.2278657	4.098514	4.3823967	5.209585	3.6566033	3.8225753	4.672138	5.1744504	4.5880785	4.8311167	7.621785	4.564468	5.475474	3.7844682	3.661069	3.9610636	4.0477552	4.8248305	3.3864837	3.8241	5.8342595	4.5061173	5.9696703	4.487939	3.8907704	3.4135303	4.619199	5.682131	5.4176207	5.047796	5.0084143	5.2356777	3.9578798	6.0210686	8.260311	5.356145	11.05055	3.3425303	4.7882566	5.9732103	4.591138	4.19133	3.7051847	5.4576044	3.7298026	5.7225404	8.484959	4.462991	5.281373	5.26274	3.2443767	5.026805	9.04907	3.8865514	7.066883	4.0736413	3.9634972	4.157293	3.8265452	4.754025	3.843939	4.9495373	4.6108046	3.7519975	3.709247	3.936352	4.7993326	4.3270435	4.292301	7.219391	6.0711384	9.179807	5.2030168	3.6066618	5.9280524	8.345203	6.5253177	4.308663	5.3029003	5.6637955	5.2814026	6.060794	6.1083155	5.9064255	5.339308	5.14417	4.707341	7.201635	4.373253	3.701664	3.5977366	6.5714235	8.970053	6.6390076	5.46571	4.3746767	4.249367	6.4060564	4.074989	4.6277814	4.159348	4.4539595	3.392546	5.7188606	4.492526	4.1665807	5.6156254	4.3397045	3.5661469	5.2836146	5.7331486	6.39287	5.424884	6.0972357	7.107344	3.7738862	4.439575	4.8195295	4.9678016	6.7775803	6.4305143	5.4223423	3.929496	5.8953924	8.274985	3.5453868	6.6268644	6.523732	8.705343	3.5881684	4.936554	3.7358243	4.436617	6.354828	6.6047125	4.0233817	3.8553424	4.349729	4.253848	6.2651234	6.4644585	5.4317884	5.9017935	6.4732766	3.794142	4.9302425	6.5238857	5.2290125	5.1076336	5.5411806	5.66363	3.7698827	5.0485315	4.368147	4.817713	3.3543272	4.819993	3.8675025	5.0194182	4.211889	3.4459097	4.760227	4.2521152	4.3584194	7.541901	3.871778	4.3879275	4.353337	7.4972506	5.3632956	4.2804403	7.00791
4.2723265	4.799961	3.7543123	3.4413579	4.34729	8.440277	5.6038237	4.0275803	7.1279035	3.3834176	3.8154476	4.870619	3.8852816	3.4570072	3.8284335	4.4191885	3.8671513	3.5125632	3.4247143	5.543357	5.1714935	9.861089	3.6340258	7.0516033	4.0144825	4.668192	3.8658607	6.023635	3.633029	3.9037888	5.0876126	4.211515	3.158783	4.200539	4.8403993	5.127531	4.2475147	4.949817	4.4682403	3.6519318	4.5075874	4.1889215	3.5749285	3.559488	3.4840097	5.607877	3.1764276	3.8518212	5.232508	3.8896475	6.3636675	3.740185	4.0236745	3.563478	5.9658604	5.6446815	8.39919	4.848744	5.8028803	5.2322855	3.3875144	6.581687	7.6119323	6.144258	11.761146	3.196576	5.057685	4.5635724	3.8202069	4.281973	3.6578932	3.6104734	3.3919487	4.355671	7.644885	5.289879	4.220446	3.8524559	3.3114479	4.4308653	5.563058	4.046945	6.3373075	3.9655364	5.7090154	3.300568	3.930007	4.955721	5.0803266	3.5066397	3.8515851	3.5394285	3.68594	3.3828514	5.0364785	5.260836	4.535304	6.0651913	4.679607	5.391824	4.1234717	3.467487	7.094492	7.954644	4.929468	3.4785714	6.7274847	4.7952404	5.9006214	8.0837755	6.8329415	5.961484	5.5922794	5.349475	5.9875093	7.430657	4.754874	4.4907794	4.184184	5.2255635	8.004843	5.9859643	7.2006655	3.7101135	4.0406866	6.3375416	3.4298832	4.015947	5.5422525	4.2318583	3.2385533	5.835877	4.6938257	3.6521769	6.529471	4.1440763	3.6495304	5.6494207	4.631505	7.6439905	4.65831	5.760339	4.4860826	4.639345	3.903996	4.9138465	4.328175	6.715437	7.873353	6.781	3.556462	5.425872	7.5990777	3.4197478	5.2448483	4.738526	7.2108164	3.7173436	4.9388657	5.191784	3.6117868	7.0093036	7.8411803	3.4839404	4.3459973	4.558857	4.6653357	7.821606	6.090819	8.699714	5.3496094	5.6885276	4.011103	4.945539	6.062192	4.517195	5.459034	4.9457493	5.502758	3.6758835	4.9736595	4.0863214	3.9903758	3.1747415	4.7624097	4.0612326	4.067094	4.3951693	3.3000772	4.37595	4.201416	3.961935	7.813732	3.933432	4.7112226	5.2180037	4.5004025	5.976837	5.0203695	9.985304
