ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
8.340883	8.953321	8.8525505	8.991565	7.238347	8.231478	6.695793	3.6398492	6.040597	9.285667	6.529163	5.2189894	7.698589	6.0265903	7.338579	4.1194525	6.700629	6.029642	6.4842634	7.563847	7.463479	8.396378	9.072341	3.0858912	4.889576
7.918525	8.155645	7.195663	8.180677	5.1201773	6.329756	5.774123	7.8726172	4.290578	6.8764844	5.2378445	4.6788445	5.6622324	5.307149	6.199254	8.187418	6.1387634	10.186928	5.6224174	5.692765	6.715655	7.9915338	7.114995	3.120497	10.84469
8.612177	8.8609295	8.759874	9.210275	5.7937384	8.4814415	6.6594343	3.845294	6.5240917	6.8480673	4.7102766	7.83763	6.640727	6.489832	7.713267	4.0747604	6.0355816	11.882367	7.0116687	8.220837	7.459509	3.6964939	3.528871	3.5556707	5.1524143
6.574912	7.86403	5.2596884	7.131994	4.335648	5.3880706	4.8028965	3.3730261	3.434905	6.389713	5.1123257	3.871348	5.0235596	3.6136134	4.699324	3.3963578	6.049238	7.450944	4.4075146	4.5829086	6.6190863	6.3449564	7.039419	5.501339	3.9842536
6.7087307	7.3985906	6.216031	7.169025	4.9808903	6.407793	5.9927683	3.7435079	3.6891963	8.393746	5.774511	4.4774084	5.5942197	4.7857084	6.0156193	3.5269165	5.7739334	6.9181876	4.709878	4.9913416	7.3081737	9.277464	8.926506	3.2613103	6.3795834
7.229261	8.807286	7.5986304	9.393713	7.071396	8.510191	7.548252	3.2304122	5.8287582	8.163941	6.511857	5.803279	8.434057	6.4122105	8.274787	3.688305	8.941881	14.144872	7.597478	7.7545576	11.315697	3.830726	3.1297457	3.0834665	6.824835
7.214578	8.165339	7.565823	8.336044	5.367282	6.355385	6.3602314	5.06409	6.4444914	6.5137405	5.8279543	6.2032185	6.077261	6.234078	7.377591	5.274873	7.281313	9.702219	7.634951	7.066888	7.9123483	7.0005274	5.213675	3.6998987	10.631812
5.523322	6.291215	4.8933105	6.148105	3.3683238	4.540657	4.033612	8.818901	3.136175	5.1857004	3.3762794	3.1734905	4.356196	3.3003654	4.150419	7.5249662	4.2969894	6.8914557	3.6851795	3.5259454	5.0060716	7.2376995	6.843371	3.0832136	8.939366
9.392156	9.688375	6.4336004	9.213576	4.9995832	6.1669044	5.595438	3.8567278	3.4358153	7.9982877	5.3132906	3.9188392	4.9011426	4.2736907	4.6918955	4.074443	5.684799	9.441504	4.111621	4.223488	7.168788	11.775226	13.316481	3.1006737	6.3116417
5.58986	6.3602796	4.685848	6.4141784	4.292757	5.380027	5.1011558	3.2410343	3.3200436	5.755801	4.662598	3.8219972	5.438875	3.7630522	5.1518483	3.163773	5.392672	9.043694	4.701373	4.4059434	6.6718693	4.9425287	5.436953	9.695192	8.059549
5.831006	6.8364058	5.649787	7.009349	4.607892	5.568812	5.4931154	3.330114	4.2015357	5.674548	4.982977	4.6703744	6.252867	4.5219555	5.864605	3.2727861	6.2917056	7.932405	6.26033	5.3935833	7.095709	4.6567945	5.157139	10.545542	8.678637
5.525594	6.543434	4.873098	6.379057	4.01152	5.1855717	5.121834	3.8703573	3.321607	6.0027604	4.839532	4.050472	5.3928027	3.7356272	4.727191	3.5274398	5.2357125	8.662123	4.140501	3.9663668	6.9426117	9.456017	5.782007	8.919254	6.164999
7.6988974	8.859638	6.812541	8.749664	4.599096	6.6410728	7.1136518	3.508768	3.8434443	8.07907	5.1242046	4.493526	5.5927377	3.9211373	5.3117805	3.5833843	5.207265	11.566587	4.3791447	5.486103	6.9177656	5.3952303	5.1718383	3.1434536	9.339634
7.0581713	7.7930975	5.9211965	7.9879937	4.3435473	5.730691	5.458688	3.6800137	3.8938677	6.715383	4.784626	3.9816608	5.637659	4.628564	5.708934	3.5486062	6.0395737	8.584998	5.4568043	4.8807034	7.361501	5.4173603	4.7675257	3.5702953	9.964349
3.4280236	3.5329082	4.0817904	3.732091	3.1111488	3.345651	3.2898495	3.5125165	3.160654	3.3592596	3.1319108	3.4713185	3.3918567	3.1676054	3.5983	3.1620846	3.4420316	4.0548015	4.183777	3.4211411	3.399388	4.399086	3.174761	3.0830917	3.357022
3.8121624	4.0783563	5.782197	4.467903	3.21499	4.509241	3.6026087	8.578482	4.099807	4.164543	3.1808815	3.7602031	3.8174891	3.8331332	4.673927	5.7599087	3.9922092	11.682615	6.554033	4.3048244	4.27199	3.8414445	3.0962422	3.0830917	3.1044827
5.086073	5.652619	4.7531853	5.89264	3.7012968	4.253876	4.208191	3.1115184	3.3921468	4.8389454	3.7353525	3.4087117	4.035622	3.6275697	4.42455	3.113156	4.9033804	5.83176	4.509404	4.011426	5.3557634	4.6333246	4.2303004	3.188489	10.655743
6.847788	8.085718	6.764248	8.056523	6.018803	6.3001175	6.2734265	6.1905117	5.7813377	6.712948	5.751348	5.8502645	6.2014914	5.0075226	6.6144133	6.4967365	6.8165736	9.322332	6.617947	5.7838964	7.9476943	3.89981	7.270918	3.9360814	10.491391
3.8996253	4.475393	4.001751	4.369613	3.194947	3.5369523	3.6696	4.0905156	3.1130762	3.9475656	3.3156545	3.1262746	3.6075766	3.2480102	3.6535344	3.4950228	3.8955982	9.017572	3.873038	3.4919312	4.3394876	12.66789	3.3404303	3.092692	6.9467106
8.200428	8.705275	7.3134203	9.271793	7.3515167	7.2663074	7.5996604	5.861356	6.4238853	7.5368266	6.786256	6.753636	7.8899627	6.9862485	7.9894886	6.4548206	8.581348	9.449026	7.878917	7.333682	9.714798	5.1757793	5.567825	4.4571133	9.127536
9.2408695	9.344906	7.932204	9.550844	6.980295	7.6560106	8.080898	4.4583216	7.1736255	8.240924	7.4683795	5.740575	8.443634	6.111604	7.029146	5.005995	7.4801064	7.2010937	6.484577	6.9030023	8.599834	6.600815	6.732182	4.5342927	9.1703825
5.7043653	6.572527	4.422943	6.5009956	4.4694586	5.545331	5.707116	3.32571	3.3158517	5.638664	4.57081	3.826735	6.336603	3.59576	4.7164974	3.249024	5.5677032	8.27141	4.030472	3.7433367	7.5450363	4.2810984	4.3078856	3.9099834	9.076632
8.228321	8.879054	7.302516	8.728032	5.9131393	6.5024605	6.876218	5.716322	5.2640743	7.414896	5.1499557	5.269287	7.1977935	4.750131	6.7236366	7.42229	6.3109145	9.805227	7.576358	6.399051	8.150719	3.9031773	3.5283918	3.0879886	5.8099327
6.913478	7.1207504	7.6612697	7.4748626	7.0092506	7.2691813	6.864539	4.92595	5.599867	8.090563	6.01992	7.073472	6.6731915	6.9907074	8.190616	5.2376313	7.8349442	9.1345005	8.271084	8.125034	8.340746	4.832713	5.927886	3.0889928	3.8135245
6.224855	6.7096577	5.683425	6.882084	5.564946	5.676285	5.582034	3.8290544	3.5973682	6.3709326	5.4021816	5.4028196	5.7393303	3.8678784	6.1976843	3.6183891	6.2408276	8.301293	5.7371864	4.970414	7.2261033	5.406678	5.51645	6.688541	4.967987
5.9608436	6.35628	5.147956	6.7384233	3.804564	5.8768616	5.207939	7.6816735	4.013999	6.313036	4.550972	4.021123	5.9356217	4.576007	5.794244	8.819761	6.2683735	6.910776	5.3459997	4.52629	7.1161203	8.207449	5.052314	3.0832567	9.387831
6.29585	7.106933	6.436158	6.8641796	5.518733	6.7594795	6.6868973	3.4780347	4.3936687	6.739102	6.6612635	5.3869843	7.27244	4.312858	6.426244	3.392914	7.6863017	7.3885403	7.0559473	5.735613	8.464438	8.547539	6.984175	12.985575	5.866165
6.8638425	7.8477926	8.211076	7.510616	5.5056305	7.0247774	7.6656084	3.9223466	7.0439396	6.4476404	6.565879	6.240939	7.0368047	5.662121	8.091276	4.7883115	6.617356	9.978937	6.6312637	7.703129	7.9738517	11.975425	5.0367355	3.0883303	7.634375
7.134127	8.2100725	5.421632	7.966821	4.605373	5.9685516	5.756488	3.2162454	3.4778037	7.119001	5.6482773	4.1011057	5.815507	3.5770743	5.021785	3.245589	6.091092	7.968697	4.4331837	4.391964	7.61645	6.215995	6.1643934	6.839038	4.327957
7.23416	8.293871	7.4851565	8.215572	6.9747314	7.190162	6.985854	4.8295584	5.633684	6.3392363	5.2332683	5.792035	6.3858805	6.121716	8.2375965	5.5028496	7.7742186	11.849356	8.508923	8.836089	9.180155	3.689231	3.212544	3.522287	5.987237
5.5222354	6.456846	5.099768	6.4336004	4.0578136	4.9795494	4.434188	3.495571	3.5512714	5.236127	3.907899	3.8396995	4.858556	3.8797545	5.195948	3.3683615	5.1596336	8.081734	5.369193	4.494892	5.9295807	4.9113955	4.3089647	4.43802	6.7363586
8.138845	9.036509	8.989835	7.977166	5.790089	8.495909	7.810713	6.1565857	7.721305	8.135907	7.108372	7.856404	7.3602934	6.1744137	7.699549	6.7565813	7.51966	9.073151	7.243425	8.841274	8.563196	6.2047925	8.465277	3.1449487	7.090984
6.21846	7.1418204	6.0063286	7.02005	5.2108064	5.8382154	6.2505865	4.9644547	4.201087	6.4349985	5.82644	5.2647924	5.5931387	4.144156	5.8799357	4.7026744	5.877939	9.70591	5.3952975	5.1508965	7.097112	6.8371754	7.210578	8.56592	7.752812
10.467901	10.750528	8.761646	11.132593	8.374375	9.063351	6.1914177	3.5476823	4.4592423	9.316064	5.8471103	5.786809	9.070215	6.358657	8.606529	4.58841	9.158596	13.300337	7.937902	7.7236357	10.28714	3.3098562	3.3632808	3.0830917	3.4357524
6.519278	7.429226	4.5512037	7.3042736	4.3479033	4.892192	4.7670097	3.282348	3.1660192	5.8611517	4.5675993	3.4308143	5.9579926	3.389234	4.3465466	3.2072167	5.6088557	10.632315	3.8816504	3.794711	7.190651	5.7050686	6.7777905	13.16656	5.3638134
5.4589634	6.427786	6.2019014	6.2497616	4.412747	6.075499	5.661339	3.1346853	6.4418006	6.372282	6.0220985	5.8274965	6.187236	6.9876328	6.714913	3.1363926	7.2749443	5.264409	7.669063	6.9267893	7.533188	9.788979	3.4153414	5.196189	8.849567
5.7462177	6.7424736	6.0059505	7.2166734	4.5261803	5.774165	6.409405	3.4312897	4.100795	6.4534473	5.2044306	4.6883917	6.7967644	5.3024654	6.407381	3.3110461	7.3117	6.3533216	5.8987446	5.3517604	8.079657	7.2965016	5.2057695	5.1430783	9.195643
5.059038	6.218631	5.6772447	6.079975	4.6428814	5.454752	6.321621	3.1758735	7.1024942	6.3860264	4.987046	6.466921	5.1220303	5.1599255	7.7592244	3.3241584	6.526235	3.8160448	8.487796	7.13587	6.4108844	5.613662	3.4856393	3.0846567	3.6254735
8.003331	8.68597	8.326758	8.7104	6.170452	7.274294	6.4105887	3.8674097	7.262126	7.016368	4.797796	8.030752	6.115162	6.220296	8.6361065	4.6075907	7.0988736	13.184112	9.501567	7.674123	8.438303	3.3416169	3.1631827	3.0886176	3.8259277
5.645063	6.7006874	4.9333634	6.6460447	4.431785	5.386634	4.87277	3.4382749	3.376352	5.6619368	4.716388	3.7231326	6.236236	3.4766219	4.719793	3.303937	5.5592747	8.572762	4.30449	4.1334405	6.5968857	4.764229	4.8022876	13.151711	7.3983536
7.4543214	8.54998	7.0058737	8.431829	5.944749	6.8999615	7.187592	4.7992735	5.7766542	7.1757827	6.191289	5.4165382	6.8637414	5.6240044	7.0257664	4.8752832	6.543747	10.79123	6.7676535	6.1148415	8.105951	6.6814537	5.4893703	7.3065395	9.049149
6.055876	7.0871086	5.407714	7.1462007	4.33086	5.206259	5.344924	3.204591	3.7658172	6.140997	5.393772	4.3929224	5.272973	4.392246	5.4779716	3.1909807	5.875042	8.404297	4.8102674	4.720487	6.81118	8.485067	8.113235	5.73911	8.385433
8.3628025	8.097019	7.775084	8.652069	4.1626387	5.4775457	4.718706	6.8098545	3.5600996	6.4554663	4.041681	5.4458075	4.447921	4.1010637	4.9135475	5.6184225	5.109518	10.601007	4.9056625	4.487853	5.740797	5.855712	5.8090825	3.0831046	3.3801057
8.359886	8.657675	7.278109	9.206011	5.7181234	6.466628	6.4601	3.6968193	4.95654	7.08634	5.043606	5.3723226	6.5256424	4.7688046	6.1201787	3.8794723	6.684948	7.3249955	6.7160625	6.0877724	7.9012375	3.820323	3.5211961	3.6567864	7.1756144
6.295537	6.581258	5.9783854	6.59381	5.3619204	5.241577	5.3161316	3.6631298	3.8933346	5.567178	4.817287	4.9821835	4.998907	4.051531	5.5589747	3.5584803	6.5883837	9.163231	6.2562037	5.9484987	6.882766	5.4071655	4.01241	8.876722	4.991069
5.946707	6.4260397	5.887247	6.6433086	4.1229877	4.8182044	5.292616	9.756773	3.5046177	5.073782	3.9237986	4.120268	5.080239	4.2004085	5.897004	8.150025	5.4263697	8.426859	5.3584814	4.6926193	6.1043043	7.4780807	3.6802852	3.0846138	6.3271856
