ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
5.527295	8.280721	9.978327	3.937169	8.22994	8.159391	9.831696	4.9306297	6.1674447	5.154216	5.9648666	7.5220647	10.253974	7.028243	4.5002236	4.986564	7.5308113	9.491166	4.99652	7.6597567	8.233248	7.318867	6.6840467	7.460513	8.789713	7.8403406	8.885753	6.0746317	8.331458	6.418834	7.420448	6.962406	5.966752	3.6263676	8.558525	7.3838553	4.793529	7.450841	3.990362	5.1482725	5.886471	6.739771	10.412592	4.3022246	4.7877855	8.322481	5.544768	4.1522856	9.202658	9.327132
4.9229507	6.6239986	8.143383	3.9817703	6.4022756	5.9963074	8.291985	4.547525	5.9944906	3.6863515	4.82922	7.1046667	8.191399	5.4083405	5.0339828	4.868595	6.3403645	7.5574183	7.6896124	5.985015	6.7601385	6.0776525	5.4199963	5.2127504	7.5553117	6.091144	7.1554008	5.910801	6.769884	4.124272	5.593067	5.5853033	3.1480966	4.19313	6.0238295	4.8780127	4.0455904	5.078723	5.148676	5.4838443	3.1309414	5.4032354	8.034384	5.530397	5.81849	6.2241774	8.53104	3.7448885	3.8029919	9.301342
4.9839554	6.9003468	8.614008	4.820097	6.4702196	6.125826	8.492178	5.247486	6.858261	4.926463	6.3987885	7.929597	8.868314	6.801408	6.18834	5.7307854	6.80224	8.23584	6.3309054	5.981635	6.9363556	5.414382	6.415906	5.692707	9.696889	6.034659	7.259548	5.5213156	7.078923	5.369941	7.1771436	6.2707644	3.0978427	4.3066573	8.19169	5.8480253	4.053361	7.11637	5.1495104	6.6269403	3.0899317	7.386871	7.5580835	5.9887586	5.9492636	8.158993	8.196284	4.721313	5.797351	4.5257993
4.811051	7.592182	9.1506195	3.6441529	7.0456724	7.1751194	9.122902	4.556535	6.1191025	3.94787	5.6660132	7.1445746	9.537693	6.629778	4.4497604	4.5964417	5.829891	8.453655	5.7290707	6.7758894	7.5455627	6.6832957	5.6111193	4.959559	7.820467	6.7393904	7.8522596	5.300683	8.304209	4.092914	5.7172337	5.6154604	3.4310067	3.6742258	6.735941	4.7565527	3.4380884	5.803918	3.762394	5.4563274	3.4317527	5.9956565	8.881506	5.810143	4.5123396	6.876573	6.7691483	10.503258	5.984729	9.188286
9.113287	10.767362	12.376478	7.092087	10.442217	10.161472	12.550563	8.422169	9.935184	6.7796984	9.241428	10.935282	12.854043	8.736486	9.498205	9.098608	10.0366535	11.836453	5.004962	10.302126	11.334892	6.1859884	9.188643	8.969065	11.919287	10.668483	11.4684725	10.103271	11.264759	8.342962	9.289823	8.525574	4.859395	7.8039975	10.636511	9.363545	9.686396	9.399399	9.437286	10.73079	7.3969455	10.972473	13.297766	10.930447	10.512014	11.5630455	6.068835	4.024054	3.1622598	3.382661
8.8059225	9.389811	10.92638	8.063501	8.888042	8.676726	10.756869	8.971136	9.794346	7.591073	8.898331	11.000975	11.124386	8.703194	9.394767	8.63965	8.993727	9.922739	6.334235	8.575844	9.459644	7.299796	9.045678	7.739245	11.852498	8.687149	9.367081	9.403073	9.680716	8.231098	8.900795	7.8497596	6.228791	8.366785	8.818977	8.646919	9.6441	9.039459	10.46102	11.32538	7.7791176	10.600132	12.409188	11.476479	10.613252	10.762936	7.7549434	4.1470327	4.8985	4.3811707
5.090805	7.74449	9.097998	4.992961	7.8883333	7.1367674	9.006483	5.570934	6.6799097	4.817811	6.02026	7.3146987	9.298766	6.8284965	5.219121	6.512564	6.9470615	8.615902	5.325119	7.200175	8.156956	6.35746	6.747095	6.2642307	8.089893	7.043621	7.9610367	5.9775324	8.342053	5.6499987	6.8327518	6.8824315	3.1268077	4.813875	7.0217257	6.242147	4.685982	6.750823	5.3266363	6.2965317	3.121106	6.4370937	9.826283	5.49001	5.9067907	7.4746146	5.941959	5.629727	6.178709	3.2263467
7.7257714	9.491346	11.219809	4.501381	9.117682	8.850324	11.340207	6.753437	8.591084	6.669037	6.0723047	10.10458	11.678883	8.111255	6.120595	7.8538675	9.620085	10.589071	6.6199827	9.024162	9.768745	5.6578016	7.8982434	9.32979	10.074952	9.448366	9.871077	6.793369	10.092695	8.048521	7.956289	8.253772	5.39707	4.195121	10.067188	8.053202	5.8549147	9.159101	5.4195137	6.548753	6.9321966	9.617123	8.92218	6.1846886	5.7215533	10.307793	8.705053	5.104821	3.1073427	5.9657927
5.2703714	5.3066063	6.7559695	3.4676626	4.7604594	5.030756	6.649152	4.2210984	5.5306444	5.3033323	4.498268	7.8118434	7.1947727	4.703211	4.6426916	4.316696	5.2275143	6.0283976	4.725174	4.5802255	5.4067936	5.306919	5.0397015	4.4524326	6.9687195	4.8950768	5.455548	5.0349708	5.4435186	4.3049073	4.6792016	4.91551	3.4922645	3.790388	5.2367973	4.168807	4.540846	5.1767893	3.8175073	5.2616625	3.2483308	5.4431486	7.8445435	5.009514	4.510307	6.781759	5.253707	6.185691	4.310181	8.3851185
7.286008	9.764073	11.092471	4.765183	9.241474	9.70147	11.154071	6.112096	8.459637	7.1110926	6.1253223	9.458143	12.021654	7.67847	6.02011	5.069219	8.239542	10.399982	3.4226673	8.975878	9.946819	6.656973	7.4386177	7.7833095	9.019411	9.861362	10.032902	7.08066	10.258495	7.243364	7.3440533	8.491667	7.023834	3.919889	9.562358	7.232595	6.91875	8.141886	4.3963604	6.1947007	7.7203245	8.468782	8.128279	5.0443854	4.851302	10.390073	3.5504282	3.5200064	3.1292562	7.9048624
