ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
5.2039366	3.3666778	8.711012	9.601531	4.7550693	3.7656546	9.09711	4.149865	4.124689	6.3214808	9.068433	4.6917105	4.6661024	4.2778006	8.213966	9.146308	6.719824	3.5433774	3.5605128	7.627116	10.833422	8.993515	5.967024	3.7732854	3.6136408	10.04273	4.104177	4.5632257	7.7147536	4.40488	3.333476	9.791918	4.4575324	3.209611	9.7622795	3.249832	3.2392628	9.095279	6.999363	9.2305355	9.68015	8.425251	7.580244	3.3907304	4.623728	6.159644	7.3123927	8.942813	10.629118	7.207682	4.070032	8.175034	9.795135	3.1445303	8.37361	9.3700905	9.273222	3.307593	5.5872126	3.1387806	4.901493	5.89033	10.585867	4.5994086	3.6608255	3.540895	6.29722	10.136418	4.271261	8.926866	8.898989	6.8050585	4.125281	5.5564756	6.971363	8.081627	8.707757	6.019496	9.661541	3.593465	5.221235	5.26887	3.162659	3.1328	6.150882	4.051098	3.3918018	5.3970923	3.1903763	4.6484685	3.171804	7.31896	10.00006	3.5019312	3.6015916	6.4867663	4.5832567	5.3772664	3.845949	5.357036
8.552717	7.0681405	9.251844	9.692125	8.027184	7.761251	9.516912	7.931582	8.322306	9.133245	9.15468	6.1365232	8.57412	6.016839	9.09846	9.891106	8.310571	7.399608	6.7345953	8.814495	10.652219	9.635526	9.356617	7.98252	7.556194	9.970663	6.28977	6.930865	8.680256	7.1745415	9.017741	9.866108	8.471575	7.1276245	9.340933	7.7435117	7.9374185	9.914469	8.17035	9.250149	8.715638	9.336937	8.849445	8.2037525	6.936238	8.498259	8.355827	9.211216	9.855013	10.085592	7.83895	9.133358	10.498068	6.3028355	8.56793	8.7716675	10.522524	6.599345	8.807425	7.030593	8.001015	9.428852	10.570036	8.033669	7.285222	8.215149	8.428619	9.7342415	6.0757465	8.877056	9.813341	6.538647	8.104998	7.7694054	10.398132	8.909068	8.932341	8.087305	9.562596	6.6519995	9.250774	8.5073595	5.009052	6.5629005	8.177896	7.8606267	7.8686676	8.60857	7.628647	9.087471	5.9606657	9.318287	10.871207	8.586248	7.904862	10.640565	7.298322	5.5167007	4.7555265	5.8538184
6.216501	3.8440254	9.73382	9.237778	5.6174455	4.2501545	9.293119	5.094228	4.781863	8.259595	10.197691	4.8299055	5.184557	4.0916142	8.723759	10.213606	6.910716	4.6782775	3.900441	8.934084	10.985347	9.534403	7.7555804	4.20899	5.157918	10.690876	4.854746	4.971511	8.239698	6.395976	3.7907372	8.546414	5.494327	3.4581676	8.342777	3.4093459	3.9836884	10.133189	7.18891	9.293131	9.245813	9.477879	8.380262	4.391983	4.865016	7.6475177	6.114338	8.984554	10.811596	8.717228	5.4175754	9.254101	10.89569	3.4311848	8.288136	8.555484	10.937712	4.2088847	6.4856987	3.5778131	5.6810913	7.143757	10.707069	6.234728	4.0570936	4.2019496	6.0703	10.467894	3.8203807	8.034103	9.077484	5.1017737	5.163545	7.064455	7.7461963	8.791721	9.51375	6.3162813	9.789782	4.529999	7.433503	7.2847047	3.1911914	3.289694	8.407373	5.4039416	4.2867937	6.8118105	3.4206114	5.071135	3.6783216	7.21244	11.061771	4.2657747	4.2298717	8.248771	4.934858	4.1325364	3.2395878	5.9033346
3.7354693	3.1935797	5.548356	6.1175537	4.450409	3.5041957	6.8408203	4.1413765	4.893041	5.2716045	6.3052034	5.39546	4.3765116	4.3259315	4.147758	6.3620014	4.0739813	3.3749175	3.3166938	5.0038333	7.0415597	6.418982	8.094841	3.5883	3.8117762	6.7528744	3.0968866	3.7291446	5.083522	3.3405585	3.2489061	5.12669	5.0765805	3.221357	3.8251848	3.1426923	3.3215086	6.1383104	3.988288	5.7641687	3.9511344	5.1493373	4.7984586	3.5724669	3.1797197	4.7280636	4.517917	4.8727036	6.2676287	4.84907	3.9025493	4.357394	6.034896	3.092928	3.976742	4.0820265	6.8950586	3.6406207	5.527753	3.2740228	3.5333939	7.6039143	7.060618	3.666233	3.6480737	3.4604402	4.1651154	5.193081	3.8012235	3.8801086	5.1406794	4.09146	4.1997676	3.444445	8.080434	4.2549725	4.772155	5.0098624	5.0825934	3.3259194	4.1826167	3.7645202	3.9381833	3.296962	4.1894503	3.404553	3.512038	3.975234	4.1275516	4.7047668	3.3078713	4.6888356	9.03864	4.146518	3.880845	5.7535043	4.7692633	4.700814	3.1243083	7.67872
6.4608407	6.4270277	7.931047	8.268338	7.240905	6.2001505	8.25962	5.9992123	7.095511	7.816972	8.47196	7.6858077	6.432226	7.7014813	7.0656176	8.756058	7.024929	6.218505	6.4531555	7.780881	9.127445	8.422411	8.423805	6.60341	5.9956455	8.963128	6.00334	7.2112036	7.6253824	6.154075	6.362052	7.7568502	7.7456703	6.4606204	7.024719	6.2780123	5.959486	9.016051	7.493414	8.175158	6.8868704	7.838288	7.85969	6.4629803	6.7990646	7.165319	7.373964	7.5442066	8.027952	7.4333344	6.310317	6.984022	8.511562	6.9886627	7.06571	7.9247823	8.547457	6.6248875	8.41202	5.286378	7.3070645	8.415279	8.886015	5.9978476	6.6876087	6.730095	7.5338016	8.456375	8.288401	7.9024596	7.5131927	7.515762	6.7955055	7.639741	8.336088	7.2488046	7.928166	6.9476724	7.689304	6.7937136	6.851701	7.287035	7.936746	5.906126	8.036601	6.149119	6.078063	7.5601707	6.1296864	6.9395967	7.1835747	8.377792	9.2014885	6.8196645	6.403402	7.7757626	8.373987	6.5806127	7.01995	10.262805
4.049889	3.1430244	5.4419513	5.4217243	5.3632355	3.3824766	6.0190954	5.3342867	4.9273534	6.374147	6.920726	5.814919	3.7475653	4.1705346	4.4269485	6.7557116	4.3279476	3.73935	3.404309	4.8542633	7.367488	6.4358573	8.061488	3.5421531	3.6769662	6.0736556	3.0906253	3.7172866	4.5663195	3.3853009	3.1416383	4.899763	5.1703687	3.0984893	3.6921031	3.0944943	3.7258735	5.821419	4.132781	6.0740824	4.061362	5.0395827	4.780591	3.6502998	3.5654743	4.5698543	4.911533	4.545907	5.9179506	4.895963	4.062797	4.08373	5.572468	3.0866477	4.0934467	4.274381	6.076311	3.4952197	4.7272844	3.162243	4.0392327	7.600547	6.295026	3.6196837	3.579738	3.5666928	6.0573363	5.5362325	3.7555666	4.434429	4.4984446	3.662507	4.31571	4.058418	7.3834524	4.826687	4.6969	3.9578557	4.8954506	3.5484836	3.9229536	4.277081	3.319749	3.0997913	4.9697847	3.4612942	3.306714	4.2139416	3.241501	4.1481895	3.1718514	5.4459324	5.4197254	3.8239017	3.384461	5.625985	4.469039	4.2334557	3.102474	10.697612
4.8279324	3.5395274	6.6213284	7.0336637	6.241106	3.8165326	7.1956396	6.3629537	5.4127445	7.4422855	7.21203	6.2670774	5.6643996	4.2581096	6.349697	7.7812357	5.255223	5.2697372	3.636999	5.5069695	9.291008	6.862611	8.413195	3.7616398	4.7773285	7.489386	3.2550106	4.348477	5.5314026	3.9063125	3.1224003	6.0111446	6.9400244	3.4239264	5.2749786	3.3102918	4.0365167	7.756117	4.851357	6.894033	5.7885065	7.281112	6.1791525	5.440509	3.804549	6.3973227	4.8216543	6.4457693	7.6402106	6.5664487	5.605315	5.2746086	8.325853	3.242058	5.4052835	4.606784	8.674574	4.0608783	6.5120544	3.7070198	4.4522214	8.139933	8.207556	4.5852976	4.9266024	4.0867314	6.1917305	6.926573	4.4601164	4.868771	5.914684	4.9640436	5.1189303	5.190673	8.296961	6.1362715	6.8572407	5.0733056	5.9201074	4.006491	4.886159	4.7711115	3.9643512	3.3471396	5.7496653	4.1472187	4.119979	4.5500674	3.9933205	5.1565847	3.6462202	5.0517826	7.0424767	5.0909767	3.7880783	7.357865	5.283925	3.9424863	3.2474437	9.251001
7.1456723	4.9016047	9.856737	11.387944	6.06717	4.659392	10.984556	4.5960665	4.6376734	8.886576	11.810602	5.4590473	5.8771534	4.1931405	10.05488	11.756193	8.211256	4.8357296	4.78996	10.628876	12.305374	10.970961	7.777488	6.5267086	5.000594	12.096952	8.623034	6.5550256	9.466394	6.740384	5.030387	10.751606	5.963778	3.8428867	10.159674	3.7447479	4.1427927	11.370097	9.194027	10.884399	10.205717	10.870712	10.197521	4.6099052	5.119968	8.038641	9.2335415	10.920927	12.156696	10.45806	5.2693243	11.36204	11.959784	3.8373613	9.623043	9.312235	11.937528	4.6227846	6.725608	3.8844497	6.373241	6.7729344	12.803847	6.9534883	4.2034035	5.370142	7.8035455	11.46463	4.7522326	9.281025	11.277585	7.0128803	6.770028	7.580145	8.371076	9.876099	11.62585	8.669064	11.211363	5.2471604	10.345188	8.400801	3.173109	4.123325	9.241745	7.0336123	4.5176888	8.355413	4.083719	7.127608	3.502599	8.394127	11.958036	4.7292757	6.8761168	9.095726	5.4838114	6.091352	3.8114817	5.1667376
3.2420225	3.085963	4.591707	4.8171177	3.5487144	3.0971684	4.9103136	3.2767596	3.3218904	4.1396575	4.2907414	4.0570984	3.3412335	3.9358852	3.5716476	5.345218	3.4643185	3.1112998	3.1069963	3.7587378	5.603862	5.171603	5.814483	3.134792	3.151536	4.9466615	3.085226	3.150005	3.9423862	3.1804404	3.0847642	3.9932992	3.7179399	3.0841105	3.3695424	3.0838432	3.1000984	4.570944	3.5069437	5.1850386	3.636518	4.1239014	3.8907757	3.104039	3.1118648	3.5577633	3.7719064	3.948999	4.9283032	3.8730273	3.1568642	3.590877	4.974137	3.0836093	3.6226144	3.6535823	5.164143	3.1025963	3.6790717	3.0854483	3.1589699	5.1814976	5.355709	3.1663098	3.124394	3.1081483	3.7791307	4.7565746	5.368767	3.7302575	3.664413	3.9671783	3.2522075	3.275107	5.4880915	3.469214	3.972282	3.3822842	4.1733503	3.123698	3.4506428	3.2129695	3.3000257	3.0831933	3.741159	3.1064122	3.0905983	3.2791452	3.0898554	3.257847	3.094479	3.8008103	6.254101	3.157867	3.117501	3.7517314	5.389736	4.084943	3.234516	7.7222066
6.9772058	5.0290585	8.297619	8.259982	6.823077	5.8556356	8.621269	6.014902	6.673067	7.080656	8.483478	7.1676497	6.501846	6.0036817	7.690785	8.617119	7.17263	5.3156395	4.9995656	7.7754226	9.189728	8.362897	8.162647	6.495782	6.195069	8.913834	6.5303903	6.286784	7.269572	5.9052186	6.1581807	7.6286693	6.2286415	5.1578407	7.593867	5.6387687	4.5366063	8.177885	7.3836656	8.156077	7.44799	8.32123	8.133831	5.1580954	5.8792257	6.982313	7.7623987	8.941276	8.992811	7.6551905	6.5552263	7.4754853	8.220551	5.546464	7.355738	7.9730406	8.553015	5.67916	7.009371	4.25908	6.448672	7.0150747	8.842968	5.876071	5.50358	5.6134787	6.3407774	8.523998	6.484477	7.373212	8.40288	8.194435	5.3595486	7.4637966	7.5328345	8.052124	8.206385	7.1640577	8.46487	6.285783	6.7025948	6.132247	8.228896	4.460676	6.8605113	6.0768723	4.708721	6.9969587	4.48474	5.759162	5.5155144	7.6590314	9.654889	5.3264656	5.7365866	7.0716944	7.697768	8.08125	6.877388	8.4780445
