ENSG00000075884	ENSG00000173020	ENSG00000142765	ENSG00000160883	ENSG00000227507	ENSG00000137818	ENSG00000174501	ENSG00000034510	ENSG00000089157	ENSG00000091592	ENSG00000064687	ENSG00000047410	ENSG00000013441	ENSG00000135596	ENSG00000137841	ENSG00000101596	ENSG00000181163	ENSG00000162894	ENSG00000132424	ENSG00000115524	ENSG00000089009	ENSG00000156508	ENSG00000170345	ENSG00000188846	ENSG00000173821	ENSG00000052841	ENSG00000117676	ENSG00000115268	ENSG00000121064	ENSG00000149311	ENSG00000197043	ENSG00000030582	ENSG00000198502	ENSG00000124126	ENSG00000111144	ENSG00000105373	ENSG00000182866	ENSG00000101336	ENSG00000108107	ENSG00000143870	ENSG00000198755	ENSG00000111371	ENSG00000138744	ENSG00000132182	ENSG00000164308	ENSG00000130592	ENSG00000104870	ENSG00000163220	ENSG00000168028	ENSG00000123146	ENSG00000141068	ENSG00000196565	ENSG00000120708	ENSG00000156738	ENSG00000233927	ENSG00000166441	ENSG00000140988	ENSG00000182718	ENSG00000187653	ENSG00000198034	ENSG00000162231	ENSG00000148303	ENSG00000100316	ENSG00000105193	ENSG00000100345	ENSG00000151651	ENSG00000189343	ENSG00000100650	ENSG00000167286	ENSG00000147162	ENSG00000123329	ENSG00000101347	ENSG00000211895	ENSG00000000938	ENSG00000149273	ENSG00000171863	ENSG00000105374	ENSG00000100453	ENSG00000183878	ENSG00000055163	ENSG00000116688	ENSG00000011600	ENSG00000147604	ENSG00000167978	ENSG00000083845	ENSG00000005844	ENSG00000115415	ENSG00000116701	ENSG00000131018	ENSG00000163660	ENSG00000131238	ENSG00000182578	ENSG00000203875	ENSG00000143119	ENSG00000152795	ENSG00000123338	ENSG00000136942	ENSG00000134419	ENSG00000072818	ENSG00000142541	ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
6.5129633	6.8875637	6.2385826	5.9913635	6.848318	9.245348	5.4358788	6.980976	8.652704	7.784485	4.562152	6.756051	5.922057	5.7046695	6.3953657	7.1398005	7.9231434	5.1235905	5.5623126	7.472041	7.4633365	11.820387	5.1392975	7.6405015	6.0733156	5.6961865	6.10021	8.280008	4.9392576	4.818917	7.9341207	6.7724752	4.419836	6.2858	6.302272	9.128101	6.667388	7.2073493	7.515429	6.3906183	6.8140516	5.9929714	5.8865447	5.287328	5.6229653	7.404569	5.335081	5.283639	8.153681	7.9907055	6.798167	3.7067497	5.6208687	5.9128017	6.607316	7.6494274	10.048187	6.75058	4.9017725	8.269371	6.404459	7.7104754	10.843043	7.812484	11.243433	6.4325294	6.1778355	7.303554	5.420766	5.0044036	6.106872	7.3906355	4.9945374	6.4997144	9.124943	7.58247	7.278855	5.3802395	3.8051627	7.2653036	7.029148	6.405867	10.189482	5.158516	7.568764	5.9191065	8.419342	6.684099	6.693281	6.4973545	6.501051	4.6821046	6.036019	6.310199	6.759273	6.345643	6.715542	6.9728117	6.0848064	9.842915	5.6178303	6.8139763	9.22981	8.429188	7.535489	5.3773956	7.794231	7.24619	5.643173	8.861338	8.8145895	4.915581	7.2367415	4.657688	8.107186	9.1750345	7.377588	7.044079	5.7721615	7.863597	9.67631	9.179882	9.49572	5.7519665	7.7183347	9.190922	4.3544536	6.1603336	7.5236506	5.4457436	6.333001	8.703718	7.860461	5.413108	6.7212353	5.771394	6.2909174	9.028276	6.0334244	8.287138	7.0495253	8.205798	7.986167	6.4192414	6.4130764	7.720995	6.01105	7.7788496	8.711084	7.364852	6.6358414	7.585877	8.963152	5.605031	6.8239627	7.290887	8.500231	5.886594	7.660195	5.7134886	6.502287	8.630688	9.606249	6.7713842	6.3191195	7.014306	7.9242544	9.332022	5.1092587	6.54541	7.38154	4.953377	8.477381	6.5359173	10.069387	7.5645094	8.015432	6.5031643	7.7044315	6.1725283	6.298029	6.7412205	4.9311414	5.7909565	7.4470625	7.630909	7.3203154	8.62417	6.4141335	7.4763513	5.2989087	8.585396	10.031221	8.167627	8.034386	9.36324	6.0311594	5.0667295	3.5893326	7.572512
4.482097	3.8490913	3.1724255	4.028538	4.388147	11.788114	7.735355	7.254184	9.399878	3.334644	3.3167984	5.2643523	5.955964	11.995234	4.5888476	4.68443	4.6533413	4.6014557	5.983329	8.352751	9.296942	9.009107	3.247466	12.366645	7.6946487	3.1182716	3.1872814	9.84913	3.1006014	7.2336392	4.106717	3.323574	3.0842674	3.1029725	4.142211	10.294571	6.4292607	3.1542914	5.6923027	4.915937	9.587268	3.5090563	3.1737523	4.7749686	4.698511	4.5008955	3.4514084	3.1265428	10.855938	3.7106457	4.364191	3.0833497	3.2187006	6.296644	11.615477	8.527601	8.234333	4.362316	7.418392	12.412241	6.838483	8.368036	12.478064	9.986801	9.142166	3.2708921	8.554323	6.756946	4.363948	3.6677518	5.0908175	3.9808285	3.6237214	3.2398934	9.891074	11.809195	4.931322	3.1578975	3.0830948	4.2412124	3.402089	3.8199952	10.913839	7.2984314	5.3993497	3.0937078	5.122378	3.0875404	4.812303	3.4892015	3.294958	3.0849216	4.404195	3.407142	4.240756	4.2230687	8.253872	8.514154	4.898064	11.53254	5.6990585	3.1782498	11.285862	10.569841	3.7584376	3.9997015	10.519768	3.9264183	3.090523	9.082802	11.968054	3.508202	4.3601885	3.0868583	7.995029	10.806851	7.0330334	3.2407465	3.0862179	13.974176	13.355485	12.292484	6.868475	3.1632817	4.3605437	10.045092	6.5423393	4.013793	9.755924	3.5358586	3.0882447	11.09983	5.321169	3.130167	6.222726	3.1028316	3.111258	10.948412	6.0608206	9.267519	10.997553	9.066036	10.840312	3.9453115	3.1424646	4.1111956	10.238023	10.779081	9.849596	6.4328628	3.5442178	9.702443	14.336118	3.1003454	9.332034	9.911093	10.045267	3.0916874	8.168634	5.1194553	10.212963	5.9023113	12.349612	3.5625463	3.597662	3.2437887	9.074885	11.475672	3.0849836	9.71011	11.181933	5.028846	7.518263	9.085125	10.558586	7.5773544	7.620642	5.638733	12.017494	4.10075	5.539988	3.890925	3.0831964	3.0846837	9.223223	3.6131124	3.401171	7.8122005	3.0898118	4.7914486	3.084072	3.7671409	10.879299	3.1246338	4.459055	9.5102215	3.994056	3.1951852	3.0832827	4.09123
3.304321	3.48209	3.618654	3.2822978	5.5846252	8.838854	4.204979	6.0558543	7.6281776	3.1775353	3.4139485	4.131929	3.5349357	3.1363695	3.2363153	4.113227	4.295244	3.8037295	3.913041	4.4751105	6.57088	10.796213	3.101926	5.966787	4.2234306	3.121322	3.1174412	5.561816	3.0838656	3.8194346	3.2047825	3.7393167	3.0918756	3.1208782	3.8686218	5.0013905	4.4471326	3.199296	6.696141	3.1061652	4.630489	3.176106	3.2240834	3.141198	3.1541235	3.735548	3.0912862	3.1050756	3.9800406	3.5458727	4.3440905	3.1986375	3.1125417	3.1469464	3.7010562	5.088709	7.4381723	3.523828	6.829991	6.14639	3.3090615	6.447255	8.481555	7.5963593	9.275392	3.1288536	3.8275495	3.5634947	3.175307	3.1312892	3.2014775	3.5637836	3.1239312	3.2956324	10.17964	6.611932	3.5230846	3.3171508	3.1471798	4.270711	5.1308317	4.07924	6.7814426	3.4452474	4.2099004	3.1759267	4.742015	3.1038854	3.93645	3.637725	3.0964065	3.084672	6.3553677	3.2755973	3.5171688	3.9341025	3.9613228	5.1272106	3.3921046	7.640391	6.300192	3.1108394	6.7722163	11.205406	3.555184	3.326307	8.729483	3.3423915	3.27338	7.1930537	9.326189	3.4883728	3.5149066	5.015237	7.806462	8.317287	3.6768618	3.1375842	3.1019857	6.444285	9.571818	10.028685	5.473009	3.797812	3.3398392	8.955795	4.728384	3.612769	5.036668	3.7010489	3.086025	5.8492303	3.816224	3.0982764	5.707447	3.0905972	3.2383692	7.438271	6.9422507	7.6223116	6.5151815	7.6584673	6.883685	3.1353476	3.7142832	3.7777119	7.111768	5.7074165	8.263981	6.4061723	3.1829622	6.649519	7.784834	3.0978885	4.417986	4.3809357	10.87669	3.092241	4.234421	3.190179	3.1516578	4.5262365	9.58093	5.3928156	3.1657438	3.1718926	3.6017625	10.043636	3.8195317	7.118627	6.178734	5.282894	3.2524855	3.6388307	4.3830414	6.1157703	8.165715	3.6745157	9.061982	3.3877585	4.74726	3.915564	3.4172862	3.0898888	3.869845	3.2084508	3.1383464	3.8537264	3.1401289	3.3098161	3.1539907	4.2276387	7.0279365	3.2822824	3.1410768	4.939293	4.6592226	4.894252	3.146884	6.326437
4.4074836	4.781595	4.533167	4.0800724	6.425452	9.183962	5.343924	6.551412	8.862621	4.039962	4.1610003	5.461484	4.507912	3.6337087	3.8387773	5.845271	5.757772	3.995413	4.6082563	5.787471	7.084251	11.125153	3.3778536	6.805546	5.161007	3.4925146	3.6599367	6.9532185	3.2036207	4.4618807	4.443678	5.3376703	3.26672	3.6743455	4.9306803	6.4881306	5.8255434	4.163707	7.34342	3.4339178	6.0171804	3.8048592	3.75395	3.6083763	3.6930115	5.057544	3.25446	3.4464686	5.0960665	5.0219874	5.657306	3.5839956	3.6684604	3.6823127	4.98661	7.5852304	8.354718	4.8635087	5.8603935	6.59199	4.0186806	7.771018	8.455061	6.835805	10.867132	3.6585197	5.364958	4.980588	3.8898518	3.4891522	3.9891179	5.2804413	3.665736	4.4301033	9.67952	7.2166104	5.1713924	3.9187717	3.5741665	5.7098985	5.9442787	5.3952255	7.973762	4.0847106	5.6226053	3.7340915	5.7656946	3.7896643	5.0894837	4.665206	3.4441218	3.1853452	6.5484977	4.4818425	4.702109	5.2190742	6.342128	5.834243	4.2928953	8.88592	6.738402	3.5441074	8.271261	9.427721	4.602024	4.0143948	8.170462	4.6714473	4.414405	6.950306	8.450221	4.592337	4.7854514	4.714753	7.969684	9.094365	4.959097	3.891171	3.6649318	6.837662	8.667751	8.523403	6.737699	4.859432	4.766383	9.193043	4.3330784	4.933196	6.2014303	4.7534847	3.2916172	6.896386	4.815162	3.4210606	6.4212103	3.3391492	4.224449	9.38871	7.3893	8.056253	6.6450577	8.055376	7.5165257	3.7767174	5.371387	5.9289045	6.9028187	7.481342	9.009383	7.310211	3.992544	6.6583548	9.382243	3.3651986	6.0725627	5.434251	10.107605	3.4203598	5.8622117	3.8656454	3.8881824	6.1228237	10.05183	6.2997656	3.820995	4.080336	4.869461	9.026919	4.893799	6.7629833	6.633541	5.623063	4.457073	4.4770308	6.3981323	7.6230474	8.175072	4.849854	8.865923	4.687114	5.4839687	5.238678	4.5440416	3.3207033	5.100874	4.3026342	3.6137333	5.5204277	3.8558223	4.515011	3.7546718	6.202073	8.840385	4.5199566	3.8563902	6.4124136	5.8581104	5.2571125	3.486651	6.9395046
5.6147857	6.2510614	5.755831	5.43445	6.599791	9.63392	5.6841173	7.03909	8.884876	5.3740683	4.9319897	6.5697994	5.400076	4.6998334	4.886104	6.872925	7.2696395	4.6716957	5.4037046	6.5857153	7.43311	11.400583	4.0779924	8.124052	5.9585824	4.6723547	4.7964697	8.189882	3.819069	4.7815294	6.0305834	6.2300034	3.9704301	4.913548	6.1496277	7.9267383	6.8959255	5.7963934	7.534147	4.4478474	7.4226146	5.069215	4.791678	4.5541067	4.622683	6.0949316	3.8940418	4.361469	6.769745	6.343362	6.1892595	4.1246605	4.462745	4.7124434	6.912531	7.806204	8.603302	6.5518007	6.4462786	7.710307	5.2845945	8.125313	9.659667	7.360281	10.455091	4.7610703	6.420651	6.605648	5.0241156	4.3128195	5.415539	6.536117	4.5712495	5.91316	9.744303	7.399062	6.6316037	4.7009554	4.02051	6.4412384	6.459716	7.089502	9.096096	4.887292	6.5920353	4.9039073	6.9752827	5.441141	6.2825203	6.388523	4.6233068	3.7698443	6.8867264	5.8242216	6.194621	6.3957167	7.460305	6.6430626	5.359084	9.474325	6.3732624	4.8058243	8.82748	8.760272	5.728819	4.9451485	8.454953	5.9429846	5.269085	8.323492	9.029482	5.6358004	6.1195545	4.946968	8.0293255	9.308818	6.3509064	5.369771	4.8419156	8.088778	9.306107	8.859251	7.9570155	5.8144712	6.2293344	9.650486	4.742548	6.1807137	7.51643	5.607135	4.133902	8.021002	6.065389	4.4430447	7.2424545	4.2410307	5.487932	9.528771	7.7716737	9.014074	7.383329	8.78878	8.244608	4.891828	6.460234	7.1765475	6.581077	8.309839	9.019689	8.379576	5.0856647	7.42421	9.30883	4.0706263	7.315502	6.9044013	9.556187	4.6137094	7.0612726	4.872143	5.118869	7.2268386	9.949848	7.0204296	4.8846226	5.3554306	6.6169205	8.860367	5.7234917	7.2179184	7.07362	6.4765034	6.4248857	5.5743656	8.5755205	8.633735	8.747324	5.857586	9.218071	5.7329683	6.151368	5.9568634	4.999517	4.0044484	6.234457	5.872381	4.760215	7.1383677	4.844418	6.1648045	5.12716	7.5823426	9.093974	5.999521	5.4256687	7.602469	5.8638926	5.4296446	3.9574385	7.006877
4.755216	5.6861563	3.8848376	4.026515	4.8658414	8.514773	4.786368	6.340804	8.3945675	5.2474494	3.566531	5.5895624	4.584781	3.4598205	4.014411	5.3306804	5.273008	3.7897294	4.4039536	5.888462	6.5730953	11.187734	3.5825214	5.407049	4.8151574	3.4666324	3.8047435	6.862239	3.279985	4.162427	5.649601	5.386308	3.1663766	3.786107	4.5530887	6.976962	5.65448	4.2178864	6.9049616	3.520996	5.0547175	3.8806376	3.7553844	3.6744385	3.6999884	5.8661895	3.4684286	3.4871993	4.5930824	5.1955056	6.3019085	3.3737857	4.2486176	3.7722888	4.131522	7.4615197	8.478616	4.604	3.8714855	5.8738446	4.020213	7.3939424	8.02635	6.2134094	12.117976	4.1810284	4.937622	4.6646075	3.7224526	3.3568227	4.0805306	4.925086	3.4560363	4.470921	9.144525	6.0225925	4.476981	3.7457047	3.2557082	5.59221	7.1371336	5.187127	8.176989	3.8696156	5.002736	3.7793002	6.0476165	3.8756204	4.977651	4.0343633	3.5427551	3.209614	5.548276	4.9902873	4.9122868	5.113104	5.8935585	5.5718756	4.0362287	8.268515	6.087077	3.8245716	6.911582	8.314423	4.882681	3.7977626	7.1928763	5.257497	4.818762	7.2215633	7.816237	4.211995	4.7776556	4.240396	7.3109727	9.148455	5.305828	4.426185	3.6566765	6.193	8.345314	7.360734	7.2264795	4.751689	4.632277	7.5814786	3.532603	4.63895	5.311844	4.0826654	3.694857	6.9553227	5.6923413	3.4250343	5.7662134	3.4278326	4.336174	8.450298	4.5176854	7.3672566	5.289544	6.7067447	7.4780345	3.995549	5.2791605	7.10817	5.3517356	5.9069195	7.7493863	6.0537086	4.1618423	5.602209	8.119478	3.778551	5.4530735	4.5520306	9.247149	3.344096	5.9795947	3.7959754	4.365488	6.8377085	9.068121	4.935529	4.110236	4.908381	4.4130793	7.5122576	4.398679	4.9546227	5.2950096	3.8722796	5.5285597	4.3380346	6.284836	5.0837574	7.5991178	5.542095	7.1027164	4.9553885	4.76521	5.346417	4.1551905	3.5404541	5.1992903	4.263036	3.9672499	5.420262	4.41271	4.4467974	3.5140831	6.7430496	9.673672	5.172367	5.7046757	7.5339217	6.659313	5.3042326	3.1810203	7.77254
3.419527	4.431717	3.1563258	3.2094007	3.704654	6.4305506	3.6291885	4.983154	5.664272	3.5279787	3.128144	4.0884724	3.3225152	3.1197593	3.2163823	3.7841227	3.7617624	3.399077	3.4994342	4.190907	5.1096916	9.077478	3.1868963	3.8867779	3.5352654	3.0997725	3.12794	4.9851136	3.0877147	3.5177712	3.677155	3.678443	3.0842223	3.177781	3.593381	5.7428255	3.704439	3.1902385	4.842376	3.104226	3.5331664	3.1641262	3.1368177	3.143566	3.1704445	4.9321356	3.0990179	3.1009464	3.3288853	3.4598298	5.3236427	3.1051598	3.342198	3.1420832	3.136419	6.0639935	7.059761	3.3331363	3.2015707	3.829524	3.2370563	5.8637633	6.6669197	4.753561	13.368886	3.327422	3.6509542	3.2518182	3.133237	3.0964513	3.225635	3.41348	3.100611	3.2729843	7.4313974	4.5356627	3.2666738	3.1831276	3.0910652	4.1897383	7.6491203	3.56534	5.0838966	3.1833477	3.5985072	3.161135	4.1488934	3.104898	3.461034	3.1442087	3.0952997	3.0857015	4.0847473	3.428823	3.637395	4.064883	3.730115	3.77043	3.2424777	6.2102556	6.4000034	3.139109	4.4103785	7.792144	3.5611126	3.2315974	6.093126	3.5355759	3.5209572	4.6164303	7.166911	3.2971148	3.441301	3.7025576	6.213382	8.281849	3.7824786	3.2217543	3.114421	4.290935	7.677316	6.2403855	5.8226414	3.510734	3.3739357	4.432184	3.1666322	3.2775855	3.754713	3.2668214	3.1092882	6.128889	4.635681	3.0928307	4.602861	3.0937448	3.235521	7.3287106	3.3086061	4.788227	3.922371	4.4521174	6.452342	3.2110052	3.7133608	4.5548673	4.864564	4.3658	6.761898	4.6963134	3.2606597	4.290656	6.6712017	3.1731904	3.813092	3.402779	6.920315	3.0869992	4.3246875	3.2090518	3.2898276	4.637179	7.703134	3.6250076	3.2991772	3.4036531	3.345307	6.9066377	3.5097566	3.587253	4.397889	3.1853504	3.6406035	3.4170988	3.8027859	3.6039412	4.8904314	3.916224	4.955921	3.6230133	3.6901753	4.1576004	3.271031	3.117746	3.7894387	3.2056262	3.2588751	3.5215216	3.2389214	3.2015462	3.097967	4.0676484	9.203068	3.8106575	3.5338476	5.8959665	7.5681143	4.810363	3.0871453	8.57866
5.927848	6.8994584	5.596352	4.9568887	6.675322	9.24666	6.1361423	7.2485495	8.053254	5.38182	4.8725996	6.8575077	6.3070207	4.808429	5.7981253	6.239234	7.1186132	5.6094294	5.6419306	7.088486	7.5081754	11.283899	4.033832	8.791045	5.85283	4.699338	4.886258	7.8932	3.8624797	5.654914	5.774476	6.100811	4.023862	5.1255608	6.4383907	8.027655	7.104548	5.847763	8.198017	4.4856668	6.863654	5.0694237	5.0878406	4.993782	4.625778	6.3761473	3.894389	4.4894266	6.64233	6.318881	6.3956747	4.481482	4.2265606	4.973589	7.000085	7.983601	9.179122	6.3776474	6.137126	8.275175	5.797003	8.513647	10.034384	8.360302	9.707504	4.897767	6.443446	6.712015	4.973851	4.76023	5.0721407	6.1622663	4.3918276	5.7719126	9.937534	7.614047	6.5539503	5.1773705	4.101884	6.477667	6.8404365	7.307499	9.470518	5.738555	6.869278	4.6682796	7.4258947	5.3814573	6.1600266	6.1022906	4.900283	3.7578197	7.356466	6.2566385	6.001503	5.6478004	7.3618374	8.016639	5.4694686	10.003611	6.6111255	4.8001246	8.491274	8.839567	6.25014	5.100545	9.219183	5.919895	5.2970314	8.034199	9.090061	5.9432254	6.453768	5.2312775	7.92971	9.242713	7.25551	5.4441996	5.123486	8.390524	9.9142	8.702314	7.8508334	5.7511244	5.8925304	9.495749	5.650441	6.5728593	7.5048103	5.8458138	4.2001133	8.309167	6.3533363	4.831456	7.0426636	4.3127856	4.7347527	8.707558	7.135644	9.020632	8.130629	9.33743	7.954649	4.962426	5.783657	6.514	7.4664497	8.604626	8.885513	8.303328	5.1266294	8.25229	9.348616	4.101473	7.6822	7.327849	10.770498	5.157468	6.8465443	4.75583	5.2119575	7.631558	10.905297	7.175106	4.5637546	5.489172	6.654547	8.854699	5.9089813	8.755262	7.9409313	6.1146965	6.100129	6.608324	8.236439	8.322229	8.715997	6.5251527	9.17708	5.46345	6.4231596	6.549271	5.0916233	4.1101065	6.9522753	6.1449156	4.661991	7.41791	4.5211926	6.6682577	4.8471565	8.003412	9.078632	5.5190806	6.164945	8.224714	6.187298	5.6339917	4.291998	7.435766
5.469014	6.2927146	5.4015703	5.1475444	6.41744	9.4906025	5.6575003	6.971345	8.727102	5.432153	4.5609713	6.5118656	5.2809834	4.6302457	4.779852	6.7488546	6.9374237	4.5539904	5.1845894	6.425046	7.130987	11.291816	4.132079	7.862661	5.756508	4.725556	4.7571163	7.99877	3.8133864	4.678585	6.2369776	6.159145	3.8120482	4.995368	5.925108	7.8056874	6.880679	5.7901344	7.457741	4.3474674	7.1118975	5.2119627	4.7447653	4.5503993	4.620476	6.36648	3.972322	4.2569532	6.6250944	6.386912	6.3795567	4.009467	4.542265	4.700021	6.4019785	7.8931675	8.765341	6.404372	6.108869	7.427773	5.180179	7.9465694	9.527829	7.1283975	10.781956	4.8177776	6.390384	6.432226	4.883019	4.1997523	5.321905	6.511897	4.557438	5.8953247	9.59396	7.149669	6.3490405	4.600074	3.8319974	6.426791	6.6862235	6.835575	9.113561	4.6571436	6.406806	4.889858	6.8163958	5.3631487	5.8985424	6.0528193	4.6810794	3.682277	6.854741	5.8864017	5.987624	6.2434297	7.233863	6.4594316	5.1001396	9.37936	6.331909	4.7432814	8.451983	8.594063	5.5378513	4.916051	8.485292	5.9552965	5.393345	7.974478	8.682813	5.400983	6.04914	4.7573805	8.174056	9.150635	6.184986	5.369626	4.7541084	7.9843364	9.310356	8.817154	8.052027	5.9629316	6.219885	9.105118	4.518669	5.997486	7.1900134	5.5420203	4.2775474	8.039865	6.216114	4.3173923	6.930869	4.3279247	5.425767	9.242847	7.131189	8.892124	6.9925165	8.561867	8.176167	4.9054275	6.3304577	7.306679	6.2825966	8.010039	8.932903	7.8583875	5.0892973	7.2875314	9.131686	4.144332	7.1776404	6.639593	9.361856	4.4779563	7.0407124	4.8845177	5.331274	7.405584	9.753834	6.669964	4.9409084	5.3962693	6.360053	8.8444195	5.372883	6.7420154	6.8523455	5.9558125	6.587163	5.4088063	8.497999	8.02895	8.297001	6.049505	8.931442	5.480464	5.9482822	5.876502	5.078272	3.9903808	6.251169	5.7739077	4.9271855	7.083207	4.9246264	6.0872145	5.0270824	7.4985027	9.262579	6.142822	5.672891	7.8758273	5.850054	5.4672756	3.8281584	7.4645724
4.2521605	3.3495865	3.097138	3.2231994	5.0368233	12.500317	6.362795	5.369295	10.265264	3.1350508	3.2316322	4.252261	5.8091726	14.075769	3.689217	4.58003	4.4261208	3.3995402	5.540729	10.440531	12.486999	12.649729	3.0852487	14.38883	8.887916	3.0844476	3.0890155	10.187127	3.0848317	5.3358803	3.35493	3.124608	3.0831032	3.083365	3.4646287	12.003453	5.048771	3.0880086	5.2427063	4.2622204	10.894684	3.1484702	3.0862799	3.9866452	4.5071	3.6074162	3.1311338	3.0857527	12.521368	3.2492793	3.7101924	3.0830917	3.1010897	5.4707303	12.766658	10.671986	9.685822	3.5712416	5.031208	13.444694	5.735056	12.3811455	13.396835	6.505993	10.739325	3.0962691	10.2139845	4.688104	3.9881294	3.640873	3.47669	3.5492954	3.1543036	3.1332695	13.091933	13.178386	4.367757	3.0971348	3.0830917	3.4598749	3.0991712	3.4118054	11.99075	8.226139	4.803184	3.0833576	4.665524	3.0831573	3.9116726	3.1967468	3.1063552	3.0831337	4.189622	3.2037392	3.9809499	3.43273	9.598447	8.573542	3.9969869	13.340466	6.414013	3.0879157	12.045503	11.206892	3.3002164	3.3272147	12.349807	3.3427978	3.0834558	8.875206	13.11515	3.1391668	4.1447544	3.083108	9.175699	10.760284	5.378233	3.0909557	3.0831323	14.744427	14.408111	11.66364	6.2559915	3.087552	3.941839	13.310468	7.0836086	3.5308673	10.179256	3.269232	3.0831525	11.755445	3.7994752	3.0979128	8.5734215	3.0836327	3.084438	13.255997	9.113892	11.175896	10.061842	9.817351	12.632579	3.312824	3.0906904	3.5710983	9.548169	12.143027	12.456643	8.489158	3.1733284	11.165772	14.9230585	3.0833015	9.636589	12.040744	12.986856	3.0836196	7.540747	3.8511863	10.402891	6.085969	14.493905	3.308735	3.21716	3.1550574	9.490693	11.312697	3.083101	11.456115	11.535847	3.4004374	5.65001	7.9793367	10.982252	10.704893	11.723949	3.880171	13.04539	3.4543211	5.2046347	3.445551	3.0830917	3.0831316	9.811532	3.1507633	3.1625485	5.6818833	3.0832095	4.2943926	3.0830982	3.682496	11.364115	3.0844321	3.668027	7.7572293	3.191131	3.0877337	3.0830917	3.3054416
