d_loss,gradient_norm
"tf.Tensor(2.1980739, shape=(), dtype=float32)",0.5385439
"tf.Tensor(2.1368344, shape=(), dtype=float32)",0.51774085
"tf.Tensor(2.0621657, shape=(), dtype=float32)",0.49005812
"tf.Tensor(2.0020816, shape=(), dtype=float32)",0.4624539
"tf.Tensor(1.921237, shape=(), dtype=float32)",0.4197434
"tf.Tensor(1.8935676, shape=(), dtype=float32)",0.37745968
"tf.Tensor(1.805373, shape=(), dtype=float32)",0.3607721
"tf.Tensor(1.7800308, shape=(), dtype=float32)",0.34297085
"tf.Tensor(1.688869, shape=(), dtype=float32)",0.3317579
"tf.Tensor(1.6190313, shape=(), dtype=float32)",0.32722425
"tf.Tensor(1.6853547, shape=(), dtype=float32)",0.35896134
"tf.Tensor(1.5590053, shape=(), dtype=float32)",0.33362296
"tf.Tensor(1.6661596, shape=(), dtype=float32)",0.36838666
"tf.Tensor(1.533581, shape=(), dtype=float32)",0.33024135
"tf.Tensor(1.4853005, shape=(), dtype=float32)",0.3705386
"tf.Tensor(1.5011013, shape=(), dtype=float32)",0.357403
"tf.Tensor(1.4481716, shape=(), dtype=float32)",0.38529804
"tf.Tensor(1.389055, shape=(), dtype=float32)",0.35940665
"tf.Tensor(1.4441997, shape=(), dtype=float32)",0.3576573
"tf.Tensor(1.382555, shape=(), dtype=float32)",0.38970777
"tf.Tensor(1.3235598, shape=(), dtype=float32)",0.36571094
"tf.Tensor(1.333654, shape=(), dtype=float32)",0.3587828
"tf.Tensor(1.3358074, shape=(), dtype=float32)",0.3259906
"tf.Tensor(1.3537221, shape=(), dtype=float32)",0.3680109
"tf.Tensor(1.3670838, shape=(), dtype=float32)",0.34482214
"tf.Tensor(1.3590617, shape=(), dtype=float32)",0.35297713
"tf.Tensor(1.3843037, shape=(), dtype=float32)",0.3454606
"tf.Tensor(1.3450599, shape=(), dtype=float32)",0.29636538
"tf.Tensor(1.3681767, shape=(), dtype=float32)",0.29093263
"tf.Tensor(1.3907702, shape=(), dtype=float32)",0.3191026
"tf.Tensor(1.3407831, shape=(), dtype=float32)",0.2962748
"tf.Tensor(1.3887396, shape=(), dtype=float32)",0.31403574
"tf.Tensor(1.3864232, shape=(), dtype=float32)",0.29248285
"tf.Tensor(1.4359899, shape=(), dtype=float32)",0.27931586
"tf.Tensor(1.4484544, shape=(), dtype=float32)",0.27529204
"tf.Tensor(1.3601019, shape=(), dtype=float32)",0.25350347
"tf.Tensor(1.4255122, shape=(), dtype=float32)",0.25610775
"tf.Tensor(1.4702334, shape=(), dtype=float32)",0.24040224
"tf.Tensor(1.4500788, shape=(), dtype=float32)",0.26039717
"tf.Tensor(1.4231467, shape=(), dtype=float32)",0.24802876
"tf.Tensor(1.436022, shape=(), dtype=float32)",0.25389937
"tf.Tensor(1.4399633, shape=(), dtype=float32)",0.23761395
"tf.Tensor(1.4403342, shape=(), dtype=float32)",0.25906643
"tf.Tensor(1.4430139, shape=(), dtype=float32)",0.2727908
"tf.Tensor(1.467058, shape=(), dtype=float32)",0.23913245
"tf.Tensor(1.4573556, shape=(), dtype=float32)",0.24035487
"tf.Tensor(1.4789519, shape=(), dtype=float32)",0.2906332
"tf.Tensor(1.499024, shape=(), dtype=float32)",0.28907445
"tf.Tensor(1.4335945, shape=(), dtype=float32)",0.26761886
"tf.Tensor(1.456263, shape=(), dtype=float32)",0.2824167
"tf.Tensor(1.45574, shape=(), dtype=float32)",0.2755332
"tf.Tensor(1.4596353, shape=(), dtype=float32)",0.27135763
"tf.Tensor(1.4720986, shape=(), dtype=float32)",0.2958792
"tf.Tensor(1.4267205, shape=(), dtype=float32)",0.30841294
"tf.Tensor(1.4959384, shape=(), dtype=float32)",0.29473874
"tf.Tensor(1.4774725, shape=(), dtype=float32)",0.28024766
"tf.Tensor(1.4851332, shape=(), dtype=float32)",0.26283494
"tf.Tensor(1.5047901, shape=(), dtype=float32)",0.2659389
"tf.Tensor(1.4646642, shape=(), dtype=float32)",0.3018528
"tf.Tensor(1.4516091, shape=(), dtype=float32)",0.29162502
"tf.Tensor(1.4546688, shape=(), dtype=float32)",0.32638606
"tf.Tensor(1.4539292, shape=(), dtype=float32)",0.33653578
"tf.Tensor(1.49577, shape=(), dtype=float32)",0.32919216
"tf.Tensor(1.4691302, shape=(), dtype=float32)",0.35834673
"tf.Tensor(1.5029907, shape=(), dtype=float32)",0.3920659
"tf.Tensor(1.4939055, shape=(), dtype=float32)",0.33430773
"tf.Tensor(1.5030885, shape=(), dtype=float32)",0.38265732
"tf.Tensor(1.532114, shape=(), dtype=float32)",0.36244035
"tf.Tensor(1.5143361, shape=(), dtype=float32)",0.381635
"tf.Tensor(1.482182, shape=(), dtype=float32)",0.36736745
"tf.Tensor(1.5329002, shape=(), dtype=float32)",0.36915547
"tf.Tensor(1.50996, shape=(), dtype=float32)",0.40414718
"tf.Tensor(1.530064, shape=(), dtype=float32)",0.38023093
"tf.Tensor(1.5745481, shape=(), dtype=float32)",0.3742902
"tf.Tensor(1.5811101, shape=(), dtype=float32)",0.3494194
"tf.Tensor(1.5743096, shape=(), dtype=float32)",0.38021088
"tf.Tensor(1.5323539, shape=(), dtype=float32)",0.3860797
"tf.Tensor(1.5851886, shape=(), dtype=float32)",0.39028504
"tf.Tensor(1.5986814, shape=(), dtype=float32)",0.37489486
"tf.Tensor(1.570214, shape=(), dtype=float32)",0.39031714
"tf.Tensor(1.5717324, shape=(), dtype=float32)",0.39345548
"tf.Tensor(1.5530893, shape=(), dtype=float32)",0.41596475
"tf.Tensor(1.5813177, shape=(), dtype=float32)",0.4662149
"tf.Tensor(1.5668252, shape=(), dtype=float32)",0.4672132
"tf.Tensor(1.5840495, shape=(), dtype=float32)",0.5093748
"tf.Tensor(1.5744286, shape=(), dtype=float32)",0.48854327
"tf.Tensor(1.5880885, shape=(), dtype=float32)",0.5642662
"tf.Tensor(1.6016147, shape=(), dtype=float32)",0.53189707
"tf.Tensor(1.6416998, shape=(), dtype=float32)",0.61237067
"tf.Tensor(1.6142052, shape=(), dtype=float32)",0.6471758
"tf.Tensor(1.583859, shape=(), dtype=float32)",0.6494356
"tf.Tensor(1.610209, shape=(), dtype=float32)",0.6323043
"tf.Tensor(1.6597142, shape=(), dtype=float32)",0.701606
"tf.Tensor(1.6629905, shape=(), dtype=float32)",0.661107
"tf.Tensor(1.628955, shape=(), dtype=float32)",0.66786176
"tf.Tensor(1.6985425, shape=(), dtype=float32)",0.64814115
"tf.Tensor(1.6802974, shape=(), dtype=float32)",0.66553515
"tf.Tensor(1.7162141, shape=(), dtype=float32)",0.6661292
"tf.Tensor(1.7230976, shape=(), dtype=float32)",0.6346256
"tf.Tensor(1.7338977, shape=(), dtype=float32)",0.7285391
"tf.Tensor(1.6732055, shape=(), dtype=float32)",0.68908393
"tf.Tensor(1.7421228, shape=(), dtype=float32)",0.7785421
"tf.Tensor(1.7370138, shape=(), dtype=float32)",0.7615718
"tf.Tensor(1.7198374, shape=(), dtype=float32)",0.74748796
"tf.Tensor(1.7328824, shape=(), dtype=float32)",0.79748875
"tf.Tensor(1.78109, shape=(), dtype=float32)",0.797222
"tf.Tensor(1.8019366, shape=(), dtype=float32)",0.82025504
"tf.Tensor(1.8209953, shape=(), dtype=float32)",0.8407607
"tf.Tensor(1.809094, shape=(), dtype=float32)",0.87109417
