ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
8.516256	8.7034645	6.728783	8.627184	4.7791147	6.755131	6.3405895	9.28273	3.771394	7.6204185	5.2246184	5.042898	6.013904	5.3582907	5.2853994	9.466904	5.9635973	11.004215	5.1296906	5.1050406	6.8037763	4.993058	5.6556473	3.5918972	7.8983984
5.2685013	6.248469	4.6150584	6.6476936	3.3413255	3.776189	3.6779358	3.231283	3.1207802	4.986246	3.4589214	3.1694708	3.814118	3.1422174	3.6235905	3.15041	3.9072955	6.160817	3.386805	3.3739114	4.7720985	6.442159	9.010458	3.0888524	12.883967
6.5661554	7.2064033	6.0565767	7.4901185	3.9169922	5.506219	4.9515057	3.7382314	3.3153758	6.054545	4.2080894	4.527627	5.4035587	4.009432	6.9355755	3.4729412	6.4566655	8.5739975	5.3551517	5.779609	7.2117205	4.305205	6.9020514	3.7057722	6.752328
7.6471195	8.722366	8.199366	8.88229	6.073187	8.275898	7.31103	3.878972	8.323188	8.978085	6.165297	7.0316877	7.8924093	8.345868	9.322517	4.1763363	8.139153	9.774901	9.655134	8.775349	9.269625	7.006009	6.3776293	3.6182323	4.357931
7.0098734	7.9132442	7.2419744	7.545296	7.322127	7.5147977	7.2838025	4.4136086	6.124646	7.805611	6.270935	6.141357	8.338893	6.243488	7.9653363	5.2327023	8.313488	6.8273726	7.9729967	7.2127438	8.674671	6.7230654	10.597325	3.4456148	4.6908493
7.406052	8.417448	5.4102573	8.627192	4.845836	5.931222	5.927386	5.011393	3.2009504	8.098755	4.732778	3.6899033	6.0120497	3.8476624	5.321547	4.960795	5.298586	8.294804	4.2233024	4.425913	7.7956867	7.253336	4.09367	3.3355188	4.8501267
6.974266	7.3638716	5.502756	7.4049516	3.7831495	4.9565	5.254695	5.141365	3.154756	6.8216176	3.8544884	3.4641728	5.3428316	3.3424265	4.2765293	5.418513	5.1370363	8.167881	3.665842	3.8428454	6.2853813	11.086326	4.1289086	3.0934794	9.109495
9.987246	10.725409	7.724755	10.539566	8.098202	9.044351	8.966015	5.4898987	5.3266535	10.149125	8.418545	6.2000923	9.002474	5.8569813	7.854865	7.4235907	8.954473	11.662971	7.2611437	7.5791535	11.183675	6.624702	5.1685195	4.0585303	6.6442347
9.024437	9.395914	6.801974	9.573526	6.9849234	7.9576836	7.26749	3.468224	4.0172014	8.2043295	7.385389	5.1734	7.707217	5.15516	6.8158855	3.7383826	8.218988	8.632931	5.534767	6.2563806	9.694162	9.403589	7.7465544	4.685774	6.7184525
9.029856	10.101657	7.3523793	9.569193	5.7549973	8.194176	7.9132853	3.655999	5.6521254	8.956652	6.4453	5.5881433	7.1589036	5.317735	6.305355	3.6384978	6.795354	11.047716	5.122719	4.9794397	8.124704	4.525474	8.368879	5.74808	3.9834993
7.1412253	7.9671874	6.191473	7.894604	6.2397957	6.7753754	6.4586854	5.249566	5.3721056	7.378113	5.5981107	4.787423	6.826877	5.73481	6.605198	5.381624	7.755507	7.8200064	6.2376766	5.5134306	8.123379	5.0793133	5.4915037	3.5371172	7.5526767
7.877817	8.29425	6.979946	8.6024	5.473318	6.702173	7.0108604	3.2590785	4.398676	8.132965	6.5539703	5.1123776	7.0554037	5.29233	6.6045794	3.3453398	7.3260784	6.112933	5.9831543	6.3727093	8.701965	7.768804	6.5197067	3.1776216	9.136591
8.36324	9.218901	9.530414	9.115217	5.874715	8.746097	7.801637	3.5348759	7.88807	9.2930565	8.121845	8.908396	8.672354	9.081556	9.335886	3.5655131	9.983125	11.235714	10.510864	9.708368	10.297075	5.606163	4.7872257	3.6189213	4.4661574
6.7172794	8.328165	5.443483	7.461502	5.0283685	6.1183615	6.4267054	3.8105023	3.3517203	6.4795637	5.3103065	4.838848	6.452672	3.7985013	5.7521005	3.7954621	7.1650624	8.757656	5.0653224	5.667143	8.150038	7.106415	7.1001244	3.512412	5.6862144
5.2735796	6.540724	5.0767946	7.0635166	3.8267803	4.542473	4.683281	4.6094375	3.2408955	5.554975	3.7963843	3.5510533	4.195963	3.4625754	4.4019647	3.7454536	4.7007637	9.585909	4.1278534	4.026716	5.565826	7.8773103	4.07671	3.4265864	9.60536
5.5434275	6.0835657	5.551683	6.425525	3.68055	4.7166405	4.613761	5.9607944	3.4783008	5.766691	4.014092	3.9894598	5.059135	3.7938135	5.1782827	4.4921546	5.8465233	8.150082	5.399987	4.266901	6.658777	5.332776	3.4784133	3.2035866	12.541684
7.2131224	8.183952	6.180291	7.9802175	5.1954365	6.5421753	7.108685	8.146259	4.633254	7.935368	6.0401196	4.6646748	6.7104044	4.917564	5.843399	8.036133	6.6298275	9.88766	4.7390757	5.5122957	7.5662484	7.951592	4.692358	3.5723548	7.0217185
8.692675	9.395063	6.608132	9.265682	7.756243	7.4862814	7.536195	4.520557	5.491638	7.9280624	7.108464	5.611745	7.7706776	5.4537106	6.7897468	4.595332	7.3526926	8.256105	6.1634827	6.198409	8.884022	5.0713367	9.93631	6.825465	6.0693774
7.4589314	8.058174	5.953596	7.5442204	3.5573947	4.7957964	4.9537244	5.342186	3.1340647	5.846836	3.6458325	3.3661802	4.650117	3.218499	3.9785888	4.7955265	4.6363773	9.653765	3.8863554	3.4862976	5.807464	8.271886	4.6417	3.2126987	7.0977526
7.150082	7.690664	7.0681286	8.299133	6.212218	6.17445	6.5449786	3.9133978	3.9579976	6.999812	6.0288734	4.769798	6.9172673	4.3242764	6.135744	6.001686	6.887351	8.915996	5.617985	5.7782946	8.750551	7.9573674	4.3148794	3.105948	9.955021
6.7884064	7.721177	6.382534	7.4471383	5.6905823	7.1788673	6.439069	4.039003	5.367256	7.268082	6.4259477	5.0457296	6.5880346	5.741134	7.697976	4.356592	7.2606444	10.257521	6.719803	6.5417156	7.936242	6.315791	8.935759	3.4445508	4.2415257
6.4961987	7.0084047	6.395651	6.878579	3.5190024	5.1917124	4.480426	5.53697	3.188494	5.345984	3.5159974	3.8861632	4.3489943	3.4294403	4.774488	4.625894	4.6140275	11.336298	4.719924	4.0697665	5.3937335	7.956562	4.7177186	5.1923056	7.410397
6.23483	6.6658344	5.674547	6.7451496	3.8448977	6.1428785	5.0587845	3.531299	3.2638836	5.8287277	4.640473	4.160087	5.0721297	3.6275628	4.957517	3.536375	5.579713	8.825886	4.74804	4.456005	6.2364063	4.6492963	7.4691396	3.640592	8.406813
3.9456363	4.562993	4.122096	4.3768888	3.1390624	3.5961404	3.5412006	5.906821	3.1141965	3.8408818	3.1424186	3.2992492	3.7497888	3.162656	3.860863	3.9053805	3.756066	7.6935434	3.9723704	3.491848	4.242565	3.8591719	3.1794312	3.1157951	7.26828
7.530601	8.0783	8.061419	7.764073	4.3856487	4.9338865	4.237035	4.38307	3.484519	5.5825157	4.760541	5.194004	4.818163	4.7462316	5.177596	4.824148	5.694795	11.202663	5.974951	5.1763897	6.5150557	3.9464974	5.3728604	3.508423	10.902376
6.6187196	7.1838274	6.323317	7.1086063	3.4237761	4.7584615	4.4627385	3.5643797	3.191436	5.4490204	3.7210338	3.8251038	4.388635	3.5228908	4.643926	3.3283396	5.1215568	9.144014	5.1262217	4.6211686	6.6051016	6.5524235	7.5607805	3.1889908	8.425304
6.1023836	6.5902395	5.1277294	6.5778103	3.1787283	3.7534194	3.5934262	3.774109	3.112206	4.854721	3.2356515	3.175247	3.6115994	3.1204638	3.7337446	3.2623353	3.514128	7.942535	3.6911635	3.4458473	4.024231	8.490657	10.885123	3.1033988	6.989705
7.6313524	7.479903	6.1049604	7.4145403	3.734473	5.1695724	4.391319	6.0619984	3.5903993	6.500476	4.3743043	4.31741	4.793231	3.6293468	4.9325957	5.7339644	5.5714765	11.0138035	4.4618454	4.338352	6.1889477	5.686987	11.560624	3.0970035	6.3836513
6.794242	7.303486	6.804348	7.5001307	4.085072	5.729389	5.1659145	4.585203	3.3622699	5.9284883	4.694067	4.0126557	5.2731805	4.058863	5.465002	4.855144	5.6522274	8.070736	5.44549	5.183566	6.996944	5.6276426	5.4015923	3.1154284	6.812973
7.207232	7.5239024	5.464281	7.6472454	5.698987	6.2578783	6.50799	8.099598	3.4798198	7.640529	5.5152187	3.9444199	6.3856497	3.8751926	5.6558094	8.956387	5.5049925	9.818945	4.3324585	5.6943665	6.763637	11.425742	5.462075	5.913245	5.353776
7.372437	8.292345	5.325241	8.783922	4.9058485	6.154151	5.32675	3.9910955	3.5716069	7.493429	4.505073	3.8824482	5.7182465	4.065377	5.2420177	3.8519104	6.000663	8.317125	4.3622766	4.1543202	7.5962048	6.1500645	7.2697163	3.2985187	8.21385
9.977789	11.0942545	8.219082	11.271494	8.347546	9.157709	9.021893	3.7347357	5.5664864	9.598252	8.381449	6.2899656	9.872315	5.90574	8.403249	4.776511	9.199694	11.269556	6.494857	6.9027634	11.431048	6.4502153	6.8503685	3.3218527	5.2396
4.6212044	4.818769	5.4076986	5.477768	3.1358752	3.500788	3.3495462	4.9347377	3.0891612	3.8018727	3.1217752	3.2422483	3.365619	3.11967	3.9462337	3.5073702	3.538274	10.042538	3.612501	3.4525404	4.180339	6.815234	4.990327	3.0836792	6.2632303
6.357684	6.2426076	5.5851097	7.1483874	4.3136644	4.5610685	5.23803	4.338	3.4067585	5.742379	4.579452	3.9844425	4.735509	3.638497	4.95462	3.9932907	4.9101233	9.931797	5.4524875	4.9005685	6.820657	6.500144	6.206167	7.9178147	6.322833
6.0601153	6.515443	5.5779896	6.554571	4.236991	5.7323647	5.94228	4.1906424	3.3805041	6.167405	5.3418074	4.39567	5.5919647	3.7998538	5.800002	3.656324	6.2336426	7.4356103	4.746606	4.756057	6.4211273	5.723505	6.502445	3.740599	7.866158
6.189104	6.626596	5.261788	6.8585415	4.1129346	5.440055	5.212328	4.8281817	3.2858574	6.1030188	4.9947762	4.0017915	4.819314	3.632707	4.8490415	3.2940948	5.069046	8.756796	4.690955	4.480445	6.4789104	4.9704866	7.7218523	6.7215333	5.1693945
6.3227634	7.097943	6.9663973	6.92301	5.133527	6.4685106	6.1370897	8.585112	3.8780677	6.407525	5.5580807	4.777518	5.931802	5.0562286	6.4676647	10.52875	6.093062	11.565946	5.511032	5.985615	7.413023	7.6910405	4.4914966	3.218148	6.087837
8.022045	8.26948	7.0101705	8.034878	5.299528	6.7315	6.4063683	5.6630235	3.6873152	7.457983	6.5433354	5.4826097	6.058812	4.345064	5.4693475	4.516843	6.2072487	10.519588	5.5487676	5.32568	7.785813	7.2495275	7.2644906	6.6648707	5.485564
4.5320516	5.0621614	4.2942705	5.413047	3.2469125	4.3400373	4.485296	3.188665	3.1030214	5.0358224	3.5518513	3.3549938	4.5596714	3.2275329	4.537987	3.137523	5.045924	5.7826405	4.2673864	4.1004686	5.7934093	8.87638	3.6219335	3.1275406	7.3942723
4.558641	5.8147483	4.7469263	5.56441	3.4319267	4.096943	4.4434905	3.6790414	3.1133673	4.8040805	3.6158738	3.334622	4.497722	3.185457	4.31796	3.4360423	4.4689193	7.312911	4.0082145	4.257592	5.8506584	6.4835167	3.3822632	3.0974073	9.09286
7.2071066	8.824957	8.412444	8.747829	6.820562	8.628069	8.7946005	3.8092766	9.346151	8.52904	8.465788	8.581076	8.321632	8.580345	10.938984	4.4170513	9.580734	10.635187	10.076109	10.977723	10.585833	5.7222977	6.618598	3.6586607	5.2423973
8.997222	10.244819	8.847803	10.635118	6.91708	8.466285	8.251324	3.8160539	6.3611507	9.793797	8.052963	6.986365	8.908157	7.0529013	8.936226	4.6652703	8.989989	11.369867	7.3387566	8.48214	11.015324	6.0817747	5.00228	3.430632	4.1585455
4.282729	5.294126	4.3030524	5.0712986	3.214729	4.2120147	4.2509317	3.825617	3.1263182	4.941292	3.3007286	3.4606128	4.233611	3.2072663	4.4231305	3.4601998	4.3141174	8.824228	4.2106442	3.6575017	5.374504	4.0006585	3.5281405	3.2598376	8.284781
6.2241774	7.3566256	5.0488486	7.031595	4.8816776	5.4561033	6.109029	4.4299936	3.6783955	6.8684464	4.653696	3.6175385	6.5076785	3.9648929	4.9612617	4.6549916	6.7134748	7.147007	4.3885527	4.219941	7.7314773	5.7162123	3.8506463	3.1095624	9.674738
6.787359	7.339822	5.3032866	7.149614	4.0020895	5.575781	5.461606	4.8170056	3.2507012	6.6149635	4.203515	3.59794	6.315419	3.4544003	5.3474236	5.518031	5.294775	8.463725	4.43977	4.101047	6.4493575	9.234643	4.1270804	3.3994565	5.2687125
6.5577297	7.8472633	9.733125	8.8347225	8.414202	8.394334	8.331581	5.2976885	7.945667	7.545913	8.156221	9.69581	8.459021	10.3459835	10.7863655	6.0826597	9.555719	12.945347	10.81319	12.083407	11.254311	4.6432457	3.6203732	3.643036	4.5667133
5.621521	6.649844	6.034133	6.8848176	4.5030255	5.7070866	5.2471333	4.6740756	4.546159	6.3973517	4.1704464	4.0800657	5.1771507	4.5395765	6.0295277	4.3322964	4.885812	8.520166	5.3371997	5.385335	6.2077312	4.19432	7.425149	3.827551	7.7712836
7.1145363	7.4105177	6.5663724	7.7423315	7.1167192	6.024579	6.286423	7.7701283	5.455082	7.2804728	5.786248	6.3077183	7.5443883	4.891898	6.380269	6.7694836	6.764645	10.279152	6.5431547	6.778582	8.809376	7.629515	4.68067	4.753195	3.913127
4.793841	5.632528	4.6924195	5.546483	3.2001815	3.882011	3.9063864	4.0309577	3.0913262	4.7559743	3.3437114	3.3639333	4.128375	3.1160653	3.9198604	3.4314454	3.7357178	7.045659	3.9729435	4.046579	4.5341005	10.491669	5.039128	3.1022568	4.104803
8.01181	8.162695	7.203015	8.628069	5.5523257	6.0677557	6.061401	8.346718	5.5290985	7.522911	5.475481	4.5614424	5.4896526	4.6127915	5.7084885	7.3041778	6.0065594	10.253926	6.2595005	4.743376	7.12942	5.686144	6.7315154	3.7443619	5.9880333
5.8185415	6.365075	7.344032	6.9875126	6.2259903	7.4853325	7.241422	5.888982	7.6478744	7.843267	6.8397646	6.95945	6.614791	7.9222517	9.680067	6.340016	8.022371	9.243033	8.705532	8.904013	8.403723	4.842404	5.660482	3.5911877	8.685204
6.8430986	7.499833	5.5115366	7.4586315	4.571902	6.275683	6.467033	3.7671041	3.6197844	6.561772	5.55466	3.859516	6.3638053	4.394657	5.3380814	4.4358683	7.107902	7.9704175	5.371376	4.889821	8.043314	8.482775	4.669258	3.0938447	9.880701
6.732009	7.4672594	5.7000985	7.773486	3.642616	4.6946664	4.784135	3.2265878	3.152591	5.789166	3.8194947	3.4345825	4.2910385	3.2428555	4.2367187	3.1614804	4.2439365	9.403812	4.209642	4.212783	5.6073546	5.207244	7.9565477	3.9646835	7.114093
4.7643394	5.1543207	5.2261486	5.114998	3.185031	4.1616416	4.158994	3.2823238	3.1110075	4.4567485	3.3531566	3.4010289	3.986378	3.2810445	4.327146	3.1149514	3.9967341	8.202154	5.4671707	3.6669385	5.3546	4.5864487	4.279822	12.413719	4.5308456
7.844261	8.312441	7.4647346	8.5649185	5.927511	7.4111958	7.8448625	5.513857	6.05698	8.071291	6.6963105	6.5304594	7.7256937	6.9749928	7.834713	5.9596815	8.198138	8.403566	7.4286985	7.0286055	9.029709	6.039979	6.0603228	3.7941933	6.5831857
6.8626785	7.7188473	6.3642898	7.4496126	4.2052917	6.4317064	5.2113457	3.7844024	4.1438375	6.209928	4.2077	5.213811	6.0952344	4.310274	5.9777813	3.6039166	5.892826	8.109703	6.012811	4.977803	6.7728195	4.0291886	8.050905	5.68497	5.5981812
7.8101754	8.769846	6.0795484	9.198879	5.414931	7.004729	6.565524	3.143919	4.458493	8.754686	4.997315	4.000266	7.5090485	5.128146	6.7322006	3.2751715	7.021206	7.2082386	5.813942	5.341985	8.632244	3.8077512	4.9007044	3.1822417	9.689352
8.068763	8.163806	7.4160757	8.726643	6.1866207	7.061035	6.0633807	6.1753254	4.3393207	7.3406477	6.2933273	5.2137957	6.3536816	5.221137	6.3682194	6.7164984	6.5805216	10.018246	5.4884014	5.519132	7.7060366	7.3803763	7.107373	3.858197	7.928263
6.117079	7.4194617	5.68017	7.1549325	3.3123257	4.642398	4.0867414	3.5087013	3.0999024	5.36705	3.752852	3.7232823	3.996743	3.2373827	4.129397	3.5071168	4.448636	9.980822	3.7161918	3.8289585	5.0495534	9.056502	8.2325535	4.130993	5.796477
8.717289	9.638469	7.8382244	9.290651	7.8679724	8.856346	8.373932	5.078123	5.4369173	9.353066	8.877979	6.5606723	7.6910377	7.314308	7.9636803	5.390967	8.995308	9.739761	7.3825297	8.324922	9.788423	8.324381	7.507175	5.739546	5.543622
8.388481	8.63555	6.260338	8.73226	7.633018	6.9860873	6.5733633	3.8325646	5.1032386	8.139021	6.3789644	6.120178	7.867535	5.2220125	5.9182568	3.6897898	7.531977	8.710529	6.0382404	5.5352893	7.8155794	6.187213	9.22543	4.3670135	3.3741813
5.5209017	5.8634925	5.468318	5.4839635	3.3687677	4.0948496	3.8088808	3.4139652	3.3478293	4.8642535	3.7438095	4.3690295	4.181403	3.2588441	4.8368835	3.2123668	4.3395753	6.5990567	4.5007725	4.152497	4.6837306	5.7998695	12.71875	5.1160655	5.4558206
6.9817557	7.2928944	6.722625	7.4981713	7.3159423	6.5894527	7.2803435	4.885755	5.7898974	7.5791144	7.55901	7.0981274	7.671305	5.1089973	7.0504637	5.4746475	8.064984	9.00036	7.366923	7.2712784	9.299505	7.011916	6.410577	4.9382358	9.163123
4.7857265	5.7975636	5.7218704	5.854058	3.2663672	3.9346113	3.8568783	3.7998068	3.1405365	4.6344643	3.2702198	3.3239384	4.0608373	3.1648042	4.261696	3.4532356	3.8653545	9.180506	4.058114	3.673448	5.154275	5.8323774	4.5036373	3.0976346	6.0474234
7.301761	8.358186	6.6787205	8.636026	5.066057	6.116373	6.374896	4.5790625	3.5301123	7.0402565	5.701287	4.3545713	6.3032513	4.0845966	5.1391335	4.9100933	6.1728997	9.812852	4.6534247	4.6081443	7.384222	5.609361	4.6265926	4.4467072	11.080046
6.0275292	7.422202	6.6686926	7.409746	5.571418	6.713045	6.062129	3.5184367	5.0055227	7.3856378	6.386385	6.547064	6.501125	5.548484	7.716896	3.8612418	7.742238	8.403189	6.123842	6.8664293	9.007461	4.9150906	6.2575197	5.481754	8.223581
7.952888	8.293358	5.6659107	8.380844	5.4232726	6.7354603	6.2115903	5.498661	4.1271896	7.698108	6.301424	5.3500586	7.46186	5.362235	6.5660467	4.9821424	7.4557495	8.883099	6.3989987	6.147564	8.823986	8.089216	3.8723252	3.961009	4.955209
7.817767	9.18935	6.0857506	8.888433	6.176447	6.9262033	7.353527	3.6183794	4.572296	7.6827736	6.395665	4.697036	8.345892	4.3478446	5.955072	4.405447	7.002615	7.6537743	5.4459815	5.787633	8.703184	6.9202538	6.7395177	5.07136	7.1706896
6.148798	6.4290915	6.0610876	6.8285418	3.8745308	4.9714484	4.744198	4.2702475	3.5601678	5.7052755	4.39081	4.2406044	4.5730386	3.5767317	4.9910126	3.6254444	5.431737	8.489134	5.244443	4.944342	6.489915	5.8589873	9.437266	3.392093	10.267906
4.4492917	4.971053	4.6922607	4.798743	3.1769094	4.0377703	4.280756	3.8887787	3.118158	4.323421	3.1982892	3.1753283	4.1586666	3.2855408	4.011673	3.6831164	4.1258326	7.457061	4.2903333	3.614113	4.7502403	9.149693	3.356172	3.0951695	4.3686733
6.6991835	6.705248	6.565327	7.02929	3.8985677	5.3474517	4.6203785	4.4639597	3.5076163	5.5660677	4.105692	3.6292775	4.9898124	3.615665	4.941779	4.267959	4.6469154	9.948077	4.751113	4.682208	5.700209	6.031581	6.482553	3.1855757	8.21373
6.1871815	7.397968	7.3817286	6.940089	5.5470533	7.225577	6.177127	3.6608245	6.665821	8.1043625	6.0473533	6.7508426	6.0494623	6.691098	8.634591	3.6581268	7.245896	10.328978	8.327646	8.113886	8.815168	4.110865	7.2892227	5.3096075	6.317938
5.5167027	6.035512	5.3436565	6.2228775	3.9108162	5.105281	4.534606	7.407277	3.5590243	5.9158096	4.217075	4.5037966	4.8169765	3.9023843	5.5315037	4.184922	5.418905	8.5657425	5.243656	4.407559	6.035802	5.6228313	6.320408	4.3069897	4.8518057
6.6835384	7.264945	6.5911407	7.5981274	6.2016883	6.8830132	7.32257	5.0980287	4.742268	7.7255526	6.3249664	5.237424	7.473833	6.021019	6.6591573	4.6967473	7.0183434	6.470148	7.109132	6.755804	8.844686	6.208702	4.0751486	4.0197983	8.047843
7.9798474	8.533714	6.539892	8.432562	4.840278	6.0490427	6.0701284	4.2263994	4.3697934	7.1183558	5.742057	6.386262	6.702709	3.9864295	5.568379	4.5574026	6.2983847	9.901736	4.810091	5.096095	7.664779	5.377939	8.752514	8.238205	7.5965014
6.434282	6.6258698	6.1845455	6.888738	3.553895	5.273797	4.4058456	3.9173822	3.2363951	5.6837645	3.998476	3.902293	4.68106	3.6411273	4.6901135	3.5496423	5.4322166	9.418746	5.4385624	4.1633954	6.013845	9.291268	4.57386	4.1041956	5.246706
6.5603065	7.480005	5.917013	7.5956554	5.224001	6.216074	5.471644	5.615742	3.7424135	6.773009	5.0062504	4.2348204	6.7898297	4.29497	6.0346117	5.9941845	6.654254	9.087892	5.4714537	5.145937	7.1083746	7.688479	4.1331177	4.709276	5.604357
4.714961	6.144858	5.109374	6.1661844	4.092188	5.881284	5.8224516	4.1281037	4.236242	5.0432816	4.3167825	4.515593	5.2011585	4.343008	5.554867	4.351595	5.634489	9.881762	7.201682	5.4310846	6.1570215	4.785819	4.845782	11.778322	10.249214
7.2426076	8.286306	8.128131	8.393568	6.145497	7.8477592	7.6145782	3.785479	5.861287	7.469393	7.1395016	7.192981	6.575938	6.4357843	7.513355	4.1614027	7.99918	11.042114	6.864003	7.428912	8.887314	6.5173755	6.8620186	5.713069	6.2269115
4.332233	4.5380588	4.391883	4.636928	3.220684	4.1436424	3.915926	4.42947	3.1030126	4.5759845	3.4532635	3.4305432	3.7880518	3.367777	4.116902	3.7188132	3.7904956	8.800602	4.5992785	3.7354646	4.6679397	6.048931	3.3231301	9.092955	4.958767
7.4635696	8.666402	6.4058323	8.51386	3.4352572	4.839835	4.527519	3.4108112	3.3540344	5.329488	3.6173282	3.4787276	4.210531	3.2300558	4.1830926	3.8877428	4.1420503	12.186091	4.058042	3.810049	5.6581964	4.0933104	9.87426	3.3023915	10.275607
9.1946945	9.926915	6.8323526	8.842718	7.3344383	7.216277	6.597794	4.45026	5.427488	8.794665	5.9793005	6.0374684	7.986908	5.7270575	6.4850492	6.4979024	7.3932743	10.074295	5.775593	5.821083	8.137649	8.529934	6.336337	5.5315046	5.5884914
6.8449836	7.1039567	5.7975864	7.3698325	4.725336	6.0140142	4.9722795	7.4943895	3.5971599	6.009267	4.075171	3.9389496	5.718264	4.0302405	5.478175	6.2661686	5.5434766	8.586134	5.4059668	4.462503	6.694037	4.9446416	5.4463224	3.7690673	4.507991
4.994623	5.8843346	5.4186935	6.4139977	3.120367	3.9144492	3.5526135	3.167995	3.0878208	4.304805	3.1717024	3.1664128	3.4520206	3.1167617	4.202742	3.1017017	3.5723293	11.794888	3.7171886	4.0074573	4.5141354	8.567795	6.7979455	3.1035392	4.949052
5.5607634	6.2662973	4.804075	6.48647	4.759317	5.087261	4.8577223	5.9662323	3.48036	6.0038366	4.1804504	4.39765	5.466983	4.218316	6.3662663	5.039317	6.1963606	8.113901	5.668932	4.871704	7.278003	6.3838396	3.6507545	3.3762088	5.8441706
