ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
3.5451882	4.750392	7.220621	3.1029532	4.314942	5.009807	6.3402424	3.2091508	4.1519146	3.211351	4.107231	5.2720184	6.9277325	3.4462445	3.3062403	3.2424371	3.9428988	5.812086	4.830557	4.4584527	4.950524	4.6856604	3.339446	3.3824606	6.0685635	4.5752435	4.6330943	4.6932125	4.9784956	3.1240287	4.0645995	3.5371287	3.2938597	3.088076	5.0767136	3.1844027	3.2741761	3.780478	3.1567836	3.7581992	3.2493854	4.615861	9.987097	3.823613	3.3735068	4.923685	4.149465	5.4651494	3.1547132	7.7168007
4.775026	6.5763516	8.027819	3.7855716	6.0330963	5.621654	7.765107	4.4440517	5.932954	3.9136677	5.4579716	7.6543493	6.756358	5.058154	5.689845	3.986197	5.5365887	6.8455305	6.1693764	5.1767755	6.477729	6.107897	5.4149294	4.210911	7.3147864	5.8017135	5.9030676	5.1539145	5.7186856	3.814116	6.112157	5.499093	3.6469042	3.8415942	6.473715	4.008276	5.184428	5.8864756	4.5652475	5.1607747	3.9555893	5.974737	8.709834	5.321909	5.6346865	5.979615	5.342548	5.2148657	6.8876333	7.4606533
3.7422442	4.806612	7.5502295	3.4913416	7.0614424	4.3572197	7.194808	3.302517	5.7764044	3.4228172	3.6686912	5.886649	8.46453	3.5186672	4.478894	3.2690272	4.02412	7.09972	3.6457515	5.020885	5.3749323	8.512112	3.547983	3.4934068	6.915578	5.3200097	6.8362737	6.167499	6.1036606	3.3487153	4.6411333	3.615357	6.043464	3.2242134	5.4883633	3.1942325	3.960991	4.1652365	3.6291306	4.3721824	6.911169	4.0305367	10.788048	5.770278	5.2349277	5.2569103	4.3427978	3.5321043	5.1352224	7.026582
7.184766	10.293449	11.373336	7.4269166	9.055327	9.145133	10.422525	8.174967	7.825779	6.571945	8.942165	8.83739	11.262529	8.007473	8.312124	7.4484315	8.83225	10.094605	7.1151233	9.824857	10.080238	8.150524	8.74181	7.990109	9.823393	10.077997	9.490974	8.88242	9.850578	7.4033833	9.173621	8.390367	4.3042064	7.771835	10.729271	8.457411	8.53372	9.375471	8.382046	8.343753	3.993395	8.981035	9.784135	7.993796	8.198242	10.009846	7.2968497	6.779676	9.065767	4.6772823
3.541034	5.616284	7.426528	3.1184273	4.576196	5.1026354	6.3777857	3.257009	4.446334	3.353243	4.1526814	4.824868	7.372594	3.6589563	3.4480567	3.2536685	4.4419622	5.876094	4.380723	4.93971	5.677244	5.7059956	3.5279133	3.8775187	6.39501	5.4052286	5.0038233	3.8722575	4.936254	3.195336	4.50896	3.9263902	3.2409203	3.1029983	4.801305	3.2291865	3.5562863	4.2067857	3.2589662	3.9885652	3.1988676	4.114443	9.106223	3.4827676	3.3246152	5.313845	4.5757823	8.771046	3.773572	5.854528
5.081747	6.0712385	7.0216265	3.2549994	5.5479746	6.557454	6.7715225	4.06096	4.795132	3.6564622	4.1236563	6.54471	7.813271	4.279476	3.6644962	3.735373	5.2623997	6.723605	7.5511613	5.508012	6.6442184	7.2336283	4.222924	4.3537865	6.7227626	6.7115083	6.4864826	5.467156	5.959194	3.2782724	4.540343	4.2536364	3.1872797	3.1932023	5.5290136	3.4673157	4.088152	4.2255	3.5142908	5.1910124	3.1118248	4.983739	6.087737	4.369283	4.3584833	5.54544	7.3879414	9.198778	3.8091996	5.6578875
4.5504727	5.1870136	7.3348494	3.275184	4.815922	5.1951003	6.9308333	3.725766	4.9125094	3.4766088	4.416881	6.4321375	7.463246	4.661367	3.843966	3.8856137	5.8159237	6.581915	4.975045	5.53497	5.763374	5.0272956	4.350178	4.601939	7.769634	5.8365474	5.7449503	4.4953666	5.596431	3.9136062	4.3110995	4.212327	3.5039794	3.1744516	4.8875055	3.8287673	3.620953	4.5729575	3.3438427	4.241309	3.3859935	5.3033133	9.321776	3.980239	3.855807	6.1967163	5.1493835	6.739754	4.654533	7.224835
6.0033674	7.5381365	8.83736	4.8630075	6.7959986	5.677646	8.849236	5.5781736	7.3111253	5.1122513	7.0964527	8.687489	9.175425	7.5740952	5.948052	5.9312725	7.532818	8.324993	4.7723083	6.8480206	6.8465385	4.9808173	7.1947565	6.188817	9.452052	6.650896	6.8320684	6.0739546	7.0606565	7.4047575	7.263968	7.6699347	3.4357238	4.637396	7.045496	7.7177167	7.566965	6.6666946	5.398015	6.120445	3.3753448	7.731981	9.817619	6.7020626	6.8866014	9.444844	5.320476	6.3836255	10.111242	5.23201
6.871444	9.506761	10.553755	5.23088	8.357134	8.587587	10.816795	7.500324	8.407688	6.29828	7.6116033	7.3131914	11.0002	7.925738	6.327668	7.1197	8.122633	9.433832	4.904576	8.126974	9.284447	5.986471	7.231453	6.8821983	9.05998	9.522694	8.603382	7.1658607	9.078878	7.805846	8.403522	8.477715	3.4976072	5.9828954	8.918409	8.8468895	8.542961	8.285442	7.0477514	6.923909	3.3970883	8.169106	9.170159	8.021661	6.060787	9.712067	5.1642904	7.301827	10.55628	4.7683578
4.966977	8.648573	9.834574	3.8903112	8.81172	8.228764	9.870432	3.6837165	6.873025	3.9548357	4.9117937	7.7969213	10.915768	5.084905	5.20151	5.0337977	6.037181	9.352834	5.644128	8.19412	9.70937	5.966229	5.6343827	6.499386	7.702958	8.004444	10.581663	6.25297	8.85211	4.8167863	6.4633255	5.7435865	5.9944277	3.3194404	7.201338	4.7869496	4.2315025	5.8495607	4.5846705	5.2721243	5.041117	5.477619	9.428103	4.0485907	4.660822	7.598748	9.228567	4.808688	3.6230757	7.934751
