ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
7.3364425	5.4633193	10.287638	10.689467	8.987488	6.3154693	9.933359	5.8942738	7.263385	8.764585	10.590824	4.387463	6.931254	5.3277225	9.1726465	11.168608	7.9969835	6.56818	7.511345	9.005249	11.654616	10.158479	9.99308	7.618721	7.4677396	10.551596	6.3342967	5.3006654	9.008919	5.478112	6.919634	10.088156	7.342247	6.996538	8.775667	8.129411	6.3765745	10.895987	8.690893	10.298895	8.842108	10.12641	9.750103	8.479546	7.967197	8.789082	10.040727	9.751589	11.580254	9.947555	6.530491	9.608904	11.337755	7.4193053	8.502212	8.831017	11.402773	7.437131	8.8983965	4.3094406	6.736473	8.937429	11.367149	8.850222	6.684191	6.5228863	7.6987967	9.93669	5.1541343	8.700576	10.048089	8.878454	7.4700594	6.4713516	10.276583	9.249666	10.031893	7.8553333	9.887549	6.4611316	8.583069	7.9515605	3.0830917	7.1655774	8.273542	7.7323284	5.439914	8.222322	7.6065626	9.571478	3.0830917	9.0268345	10.769785	8.919465	9.454487	9.358429	6.120802	3.5619817	3.563103	3.1325426
5.517827	4.7519255	7.807656	8.216666	6.301669	5.6249475	7.612374	5.339754	6.2382393	6.940465	7.586155	5.6430316	6.720181	4.1646004	5.969262	7.673076	5.7954607	5.8166447	5.008238	6.5650396	9.485159	7.6154184	8.222332	4.5148234	5.9394045	8.094866	3.9354525	5.2297983	6.514018	4.6978703	5.02849	6.875428	6.172141	5.539709	6.3558655	5.5016794	4.6821313	8.341623	6.1997194	7.8236957	6.426067	7.7869678	7.1013117	5.8406262	4.482883	6.5941114	7.771159	6.5669823	8.02618	6.98905	5.857924	7.3117466	8.336066	5.6017313	6.451427	6.629813	8.492392	4.9536295	6.068388	4.368585	6.0545197	8.0356245	8.5952015	5.4478264	5.728447	5.0686398	5.8231745	7.433443	5.3146667	6.5457096	7.4594545	6.725394	6.0656996	4.691522	8.072123	6.9908857	7.377317	7.088279	7.4799266	5.47766	5.496067	6.099164	3.4922676	5.808347	5.7338066	5.3828115	5.9394875	5.9396586	5.6609335	7.804214	3.4588177	6.573511	11.601034	7.5622983	6.7000103	7.601421	5.8531017	8.724455	3.494687	4.553009
4.1649504	3.099977	6.09373	7.2718115	3.8387134	3.6059184	7.0983176	4.047366	8.150807	4.8763266	7.065691	5.581419	4.079131	6.8626056	4.9095507	6.7798805	4.4241915	3.649559	3.1652937	5.184364	8.097548	6.488971	6.4809265	3.2472963	3.76512	6.8195343	3.1358657	3.708251	5.31126	3.2172005	3.149658	6.699705	3.9373903	3.1345134	5.3015985	3.1043582	3.1761506	7.401931	5.2322035	6.5113754	5.9031577	5.634346	4.876566	3.2220967	3.1391506	4.1769314	5.651492	5.9300714	6.9357595	6.882495	3.4456758	5.6630163	7.5640955	3.0891302	5.5495315	5.617256	6.441952	3.1861289	5.6899486	3.3462694	3.2441428	6.9171224	8.038939	3.6465096	3.4676845	3.177824	4.052952	6.6069813	3.3253288	5.2859764	5.536633	5.727691	4.103949	3.2920258	5.444746	4.9108677	5.799089	5.35466	5.549591	3.1425874	3.9480574	3.309247	3.0834527	3.1955957	3.9172552	3.1087167	3.2988477	3.4014766	3.2335622	3.4725788	3.0831087	3.6779418	8.837209	3.3946958	3.28861	4.039737	3.4447165	5.1921387	3.1351178	9.593538
5.9366937	4.853672	8.134375	7.8334813	6.7242804	4.475396	8.37771	5.7557087	4.254386	7.468898	8.345041	5.775922	5.238292	5.255188	6.742524	8.563877	6.010584	4.967465	4.0848656	7.0822845	9.822609	7.9532146	7.3124976	4.6527195	4.509511	8.822075	5.70743	5.6649246	6.900795	6.469368	3.4408312	7.9557724	5.511343	4.688965	7.440778	4.5291452	4.997789	8.506453	7.3774624	9.078835	7.4009895	7.464518	7.8878174	4.830831	5.6960077	6.6382403	8.261119	7.192361	8.440912	7.603886	6.1151376	7.635932	9.851729	3.9402487	7.6394606	7.4498262	9.232595	4.2867928	6.0576277	4.7170515	5.2718325	6.782731	9.845013	6.300821	4.3355227	4.7229137	6.6642976	9.129502	4.673347	7.7500596	7.6466684	5.618348	5.311694	6.1652346	7.9864945	7.4250383	7.8692064	5.101899	8.440899	5.2809987	5.560362	5.8580923	6.2157893	4.0986185	5.8780403	5.687992	4.643219	6.423581	3.775351	5.271653	5.823283	6.2210703	7.811703	4.7403493	4.42936	8.074464	5.383441	6.5045166	3.1056075	9.863207
4.4186363	3.5641851	6.8188953	6.9065685	5.9262085	4.353812	6.4037585	5.3681164	5.9771643	6.3249984	7.007312	5.3302593	5.7844195	7.4716754	5.8512416	7.5719967	4.596832	4.369626	3.8743112	5.428879	7.644963	6.67276	7.430066	3.6298642	4.2992463	7.8220487	3.3128138	4.398287	5.391285	4.107682	3.5816936	5.7868567	5.45727	4.3293886	5.3111486	3.553237	4.205601	6.7217054	5.0311885	5.677543	5.601493	5.730948	6.215785	5.062699	3.8407538	5.726392	5.0714726	6.2554617	7.981467	6.001913	4.7221603	5.8552203	6.809223	3.8527932	5.4918003	4.9260263	7.4579678	4.348602	5.704026	4.4924264	4.4055276	7.266869	7.842222	4.5225782	4.8220944	3.651281	5.2266445	6.3221416	6.654483	4.963108	5.5579615	4.9982824	4.4093285	3.826213	6.573552	5.108286	5.8485565	6.6336746	6.1929803	3.6167235	4.915296	5.048563	7.02454	3.7507505	5.2229843	4.3814754	4.860238	4.8999267	3.852455	5.5199833	4.990731	5.332037	6.9662075	4.367593	5.0648727	6.165113	8.26866	5.2457256	3.2077253	6.628522
5.9260235	5.8021264	8.108978	8.643933	6.425864	5.0120134	8.101576	5.6651673	5.073596	7.348594	7.9139566	4.389684	5.9045477	5.367054	6.3739038	8.500774	6.764229	5.581918	6.433984	8.175453	9.169218	8.3325405	8.747093	5.6117067	5.9002886	8.899801	5.438319	7.081132	7.4727945	6.735138	4.885277	7.3924932	6.8647976	5.003102	6.413567	4.503313	6.2517347	8.624697	6.886265	7.823745	6.454021	8.574827	7.0065947	5.234107	6.681368	7.307177	7.07516	7.7172055	8.267214	7.4222503	5.5859394	7.174069	8.885267	4.633243	6.7678003	6.991145	8.654501	5.1339397	6.7007875	6.970131	6.729378	7.4083457	9.108119	8.05832	6.833438	5.1249356	7.9117928	8.209639	4.326017	6.078264	7.1008334	5.588809	6.5288353	6.9522295	9.777454	6.2139807	7.463035	5.776505	6.51261	5.30725	7.939708	6.8775597	3.0830917	4.992589	7.669109	7.8977036	6.114155	7.597748	5.3716917	6.3487434	3.0830917	6.9834585	7.5271134	6.8095236	6.9907	8.195659	4.6940713	5.551163	3.2396886	3.8402653
5.31627	3.6566057	7.3154135	7.804447	4.9846234	4.5396957	7.55308	4.352431	5.4028864	6.3967705	7.3690314	6.503438	5.1802387	5.6430416	6.224098	8.154169	5.3002973	4.519632	3.4565282	6.333761	9.184563	7.6772656	7.6391606	4.779752	4.294646	7.931062	3.6992183	4.891359	5.7505565	3.8676276	4.1103354	6.8072996	4.6384883	3.4473422	5.745182	3.726718	3.5754907	8.1496105	6.1860514	7.0422506	5.8207283	6.91798	5.529106	3.7151082	3.6275542	4.6018243	5.3177824	7.160967	7.786304	6.4216566	4.3282795	6.3601627	8.644984	3.1953201	6.4100676	6.6347237	7.56343	4.419201	6.1850686	3.8391593	3.908953	6.084505	7.7876287	4.3880653	3.9588475	3.9733481	4.829577	6.9262543	4.340037	6.3599586	6.5120664	5.7376947	5.095495	4.2298174	5.9551754	5.8891673	6.23631	5.376693	6.1712675	3.8633263	4.8784537	4.4466248	3.0830917	3.3561058	5.314484	3.327021	3.576383	4.270416	3.9074473	4.1809034	3.0830917	4.2121105	8.335905	4.111406	4.0291605	5.404047	4.6094637	4.1656547	3.1007948	4.3005934
5.4501004	4.665564	7.6785607	8.52079	5.471715	5.201229	7.661913	5.8143606	4.7977147	7.153303	7.7653317	6.4447	5.209451	4.6014276	6.817355	8.41062	5.8865623	4.300116	3.6479862	6.922181	8.858304	7.821542	8.0675535	5.3622694	4.6132	8.108257	5.489508	6.216757	6.6627984	4.8011913	4.242261	7.034687	5.8170652	4.079974	6.197604	4.781365	3.895705	8.035013	6.2720747	7.71623	6.791481	7.973738	6.2745976	4.4992514	4.5596995	5.57104	7.5043483	7.426319	8.057137	7.2033057	4.7716136	7.066147	8.534129	3.7225778	7.159422	7.1273127	8.064564	5.3836355	5.979192	3.9064054	5.239046	7.133615	8.517723	4.7279778	4.2089515	5.370739	5.543806	8.255659	7.2681093	6.783908	7.4801664	7.208698	5.4564724	5.83721	6.653722	7.156208	6.9733734	5.8277874	7.461855	5.560997	5.0159736	5.779998	4.7744994	3.5615942	7.0138006	4.9816895	4.5459595	5.7578754	4.1131954	5.936886	5.050213	5.6659093	9.872692	5.391382	4.173381	6.869709	8.869095	9.3225155	13.475643	5.8643265
4.4962854	3.6797414	6.2133417	6.1920376	6.909316	4.671258	6.1902666	4.9137764	5.7331476	6.6987333	6.2596745	6.473572	5.709569	7.951764	5.562118	7.9420333	5.0344954	4.063372	3.7447734	5.801989	7.1588755	5.907175	8.487219	4.332175	4.8036222	7.291181	3.4976747	3.8363416	4.717387	3.9347157	3.8942015	4.9610424	5.218144	3.9672878	4.385589	3.8073738	4.187685	6.523898	4.734157	5.3684587	5.495206	5.877256	5.324189	4.9172597	3.953941	5.1169004	4.8367314	5.2921543	7.2772045	4.895909	4.7143855	5.259365	6.6235	3.8978117	4.806252	4.653415	7.3902917	4.3764124	5.5882263	3.7326503	4.6310344	7.5362287	6.896591	4.862699	4.522508	4.0511713	5.4717274	6.5851936	7.929562	4.658619	5.044207	3.721524	4.6962523	4.155534	7.6428585	4.8132634	5.554431	5.4406447	5.6189747	3.9460154	5.191967	5.280841	3.1811595	3.7596235	5.1712646	4.5630617	4.0186734	5.008741	4.010307	5.548307	3.1862416	5.410271	8.054631	5.219057	5.7949324	6.9026985	8.504792	3.2735732	3.0876045	9.378686
6.846965	5.5010285	8.731333	8.248812	5.333766	6.073619	9.045728	5.4938803	4.5740724	7.371428	8.806042	6.053893	4.955593	5.533334	7.091066	8.725059	7.370302	4.395304	3.7740145	7.2160096	9.676046	7.5613523	7.7069507	5.6303735	5.2011704	7.9243145	5.4335113	6.4218407	7.0665674	5.53423	3.7829924	7.4523835	5.5842333	3.6964893	6.5398216	4.9379983	3.9812193	9.274391	5.8508525	7.4919024	6.7153654	7.917953	7.584059	4.2127876	4.9309154	5.8673706	6.872396	7.8532953	8.736263	7.2724333	4.8188496	6.9599705	8.718914	3.8749895	7.023097	7.192641	8.531261	5.4711103	6.669665	3.672165	4.7669454	6.9887915	9.693884	5.0566826	4.616077	5.7589025	6.055501	8.533491	6.7489157	6.7895775	7.8401747	5.4604855	5.6153646	6.8341594	7.096071	6.128334	7.595635	5.413582	7.03426	6.059223	6.1301937	5.8818474	5.327457	3.7262466	7.841942	5.587432	4.5699186	6.0781727	4.3781834	5.1943703	6.9929614	5.8047123	9.870136	4.867436	4.242288	7.4236116	7.624145	7.117332	4.779784	6.199871
