ENSG00000075884	ENSG00000173020	ENSG00000142765	ENSG00000160883	ENSG00000227507	ENSG00000137818	ENSG00000174501	ENSG00000034510	ENSG00000089157	ENSG00000091592	ENSG00000064687	ENSG00000047410	ENSG00000013441	ENSG00000135596	ENSG00000137841	ENSG00000101596	ENSG00000181163	ENSG00000162894	ENSG00000132424	ENSG00000115524	ENSG00000089009	ENSG00000156508	ENSG00000170345	ENSG00000188846	ENSG00000173821	ENSG00000052841	ENSG00000117676	ENSG00000115268	ENSG00000121064	ENSG00000149311	ENSG00000197043	ENSG00000030582	ENSG00000198502	ENSG00000124126	ENSG00000111144	ENSG00000105373	ENSG00000182866	ENSG00000101336	ENSG00000108107	ENSG00000143870	ENSG00000198755	ENSG00000111371	ENSG00000138744	ENSG00000132182	ENSG00000164308	ENSG00000130592	ENSG00000104870	ENSG00000163220	ENSG00000168028	ENSG00000123146	ENSG00000141068	ENSG00000196565	ENSG00000120708	ENSG00000156738	ENSG00000233927	ENSG00000166441	ENSG00000140988	ENSG00000182718	ENSG00000187653	ENSG00000198034	ENSG00000162231	ENSG00000148303	ENSG00000100316	ENSG00000105193	ENSG00000100345	ENSG00000151651	ENSG00000189343	ENSG00000100650	ENSG00000167286	ENSG00000147162	ENSG00000123329	ENSG00000101347	ENSG00000211895	ENSG00000000938	ENSG00000149273	ENSG00000171863	ENSG00000105374	ENSG00000100453	ENSG00000183878	ENSG00000055163	ENSG00000116688	ENSG00000011600	ENSG00000147604	ENSG00000167978	ENSG00000083845	ENSG00000005844	ENSG00000115415	ENSG00000116701	ENSG00000131018	ENSG00000163660	ENSG00000131238	ENSG00000182578	ENSG00000203875	ENSG00000143119	ENSG00000152795	ENSG00000123338	ENSG00000136942	ENSG00000134419	ENSG00000072818	ENSG00000142541	ENSG00000009790	ENSG00000139626	ENSG00000122406	ENSG00000143947	ENSG00000163931	ENSG00000160593	ENSG00000145425	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000108298	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000114391	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000142937	ENSG00000122026	ENSG00000197958	ENSG00000108654	ENSG00000229164	ENSG00000084234	ENSG00000105372	ENSG00000155657	ENSG00000100906	ENSG00000130255	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000172809	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000138326	ENSG00000112306	ENSG00000197756	ENSG00000142676	ENSG00000144713	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000197728	ENSG00000125691	ENSG00000164587	ENSG00000110700	ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
5.180214	7.0723696	4.831546	5.300563	4.158935	7.1075063	3.9691672	5.158611	7.9395523	3.641029	3.9065702	4.863602	4.573639	3.9149795	4.4517703	5.1975093	7.3607955	4.4413676	4.2845993	5.4783325	5.218137	12.068574	5.1710587	5.8594823	5.127454	5.178517	4.86247	7.0403624	4.1056986	4.4342594	5.7562737	6.7698917	3.7343016	4.3697743	6.818266	6.440405	5.6224613	6.3984203	5.639757	4.919018	4.540789	4.3208055	5.115751	3.5677516	3.7171772	6.023782	5.278144	5.489629	6.4951377	5.666774	5.46145	3.8116534	5.5326595	4.030618	5.002943	5.9628625	7.9218926	5.808425	4.1291876	5.49561	4.86507	6.067316	9.187595	5.4809227	10.666054	4.42241	6.4873533	6.1627893	3.8513384	4.0623527	5.197061	5.4006186	4.658326	6.056947	8.905495	6.883683	4.731706	4.6723857	5.002626	5.728626	5.81149	5.518097	7.6188393	3.9472077	5.4530606	4.103776	6.00144	5.131115	4.3947763	4.123253	5.838421	4.3194103	4.313032	5.2385864	4.464374	5.2548594	4.7943916	5.8404646	4.61061	7.4378943	4.9922996	4.137684	7.0089006	7.2738447	6.069972	5.871458	7.397116	6.0133305	6.027377	6.9189243	7.7019444	5.699786	6.1141844	4.7922974	6.077401	7.481242	4.933664	4.926442	4.4396367	6.9869514	8.490349	6.9500346	8.418228	3.8264775	5.353891	7.7861595	3.3841774	5.3742714	5.094863	4.5302334	5.186681	5.6024494	6.529171	4.7660265	5.1654205	4.6729608	4.448701	7.8163676	5.2900696	7.6721435	5.1187496	6.3975015	5.79258	4.161181	4.495882	7.5728526	6.266254	6.525513	7.3445997	5.9669123	4.9855537	6.5188127	8.184601	4.2707086	5.5322704	5.7938848	6.974305	4.874273	6.650237	5.5238905	5.7370157	8.980391	8.070902	5.635899	6.082639	4.5599566	6.19041	7.072833	4.433204	4.5935087	5.8390865	4.388991	6.4939938	4.644655	9.56631	5.385209	5.79011	5.953907	6.6121044	4.83617	5.77957	4.8751435	6.009739	5.525352	5.11411	4.4797497	5.8902507	5.329706	5.7379255	7.3476844	6.1527057	7.7242637	10.117687	7.9143715	7.397444	7.297798	4.5072765	4.5825377	4.3202195	7.5579333
6.2758827	7.087414	4.8587584	4.912405	6.7199097	10.541775	7.81366	6.876914	9.6443615	4.876081	5.7088804	9.030752	6.4792595	7.1616063	5.0378265	6.377163	10.013692	5.585165	5.5239	8.409613	8.88185	13.3631525	3.7333636	8.882782	7.082452	5.9147444	5.141801	7.1867414	3.9049675	5.888155	6.202413	6.453796	3.315172	5.4203215	6.3307753	9.126451	7.6370244	5.8543506	6.813245	5.4521956	6.900964	6.5095406	4.946501	5.371685	4.27861	7.662703	4.5763903	4.329816	8.153041	6.21491	4.940865	3.316221	4.336299	6.518611	6.486746	7.915691	11.534425	6.636844	3.8031359	9.75053	5.325035	9.423	13.096686	7.3658433	11.372192	5.1400566	7.948048	6.978853	6.2980247	5.5936146	6.675916	7.8138514	5.096833	5.97511	11.699027	8.91873	7.620833	6.404072	3.2327266	8.907082	6.300221	4.962289	10.422867	7.5780683	7.9739003	5.3008914	6.4496026	4.666865	6.217779	5.891065	4.870496	4.7869596	6.375241	5.8849587	8.75002	5.2845736	6.3557706	6.8682175	6.914959	11.443749	7.8984404	7.561857	10.296494	9.879988	6.9963207	5.3435373	10.096203	7.3322372	5.170938	9.053293	10.631638	4.2640123	5.8009424	3.6815715	8.569214	10.470642	7.4840117	5.5513635	4.847858	9.924709	11.068499	10.465003	9.705396	7.988059	5.9012203	11.010649	7.225055	5.914656	6.819989	5.7213483	4.5187683	9.978403	7.5197906	4.0594406	7.762909	4.6361494	6.641039	10.900881	7.9728723	9.440896	8.36947	9.085906	8.781	6.6212854	6.267049	7.9322634	5.2872705	9.648756	10.993011	8.126383	6.9990506	8.184335	11.26183	4.0397696	9.121164	8.154076	11.79881	5.333357	7.175579	4.3185015	5.679405	9.569822	10.732878	7.164201	4.959726	6.026521	8.565493	10.9834385	4.172948	7.6128783	8.912604	4.5968776	8.639111	7.400755	10.473447	7.790386	9.437299	5.3177357	8.750999	7.3359156	7.723226	8.040543	3.431579	4.6151075	8.0880165	6.908552	5.6379337	9.4181595	4.4447637	7.1635976	3.460302	9.385798	9.678741	5.660801	6.044077	11.272489	5.2300053	3.3736432	3.4482684	6.6639214
4.623103	5.731255	4.4658937	3.844297	4.0586853	7.7518854	4.17886	6.600767	7.1128163	3.4052372	3.5219507	5.7831225	4.817631	4.363323	3.6776693	5.001311	5.839765	3.6720252	4.4045925	5.5421896	6.286955	10.001807	3.5013726	6.722529	4.421899	3.9203548	3.7976153	7.3475585	3.7382078	4.2155094	4.545442	5.005176	3.8494496	3.552389	4.927723	6.497665	4.4107537	5.551656	6.2201977	3.9436915	5.49675	3.4297647	3.9186075	3.400916	3.215197	5.3780055	4.4329867	5.492333	7.5154815	5.11835	5.692092	6.3842816	3.627655	4.085295	7.3488026	7.0727496	7.5145793	5.1102986	6.7479386	6.6946764	4.44918	6.936436	7.6769347	6.640041	6.8274336	3.5382037	6.1156254	5.233432	3.8205414	3.3345761	4.82013	4.7942986	3.7417471	4.5375185	8.654485	6.6838484	4.838624	4.5429726	5.3804355	4.437635	5.4032154	5.5400605	7.8861146	4.1362214	6.3983803	3.2828999	4.7973957	5.3024454	4.587349	4.455471	3.537738	3.4562826	4.258238	3.8494356	4.71516	3.6743898	6.7307644	5.916251	4.185323	8.039937	4.791692	3.7509558	7.0173836	8.327429	7.234147	4.9854584	7.4548383	3.875694	4.707468	5.5477343	7.9498715	6.282502	5.9368095	4.42072	6.162359	8.487324	5.183831	3.6571321	3.8720288	7.226448	8.676522	7.9276533	5.9131904	4.3225174	4.5403323	8.403944	3.546482	5.2381663	6.484357	4.340843	3.5640886	6.9130063	5.0176477	4.219364	6.4893436	3.552808	3.4427755	8.471857	5.5977135	7.585444	7.4688206	7.182387	6.4668493	3.3178058	3.5198648	6.2940073	7.80366	7.6368303	7.417791	7.099694	4.017322	6.443006	8.633856	3.7782383	7.2903495	6.4509397	7.5433044	4.0461426	5.252336	4.4347105	4.7058873	6.450719	9.149532	4.6663795	3.9067438	3.5363538	4.559435	7.655356	6.6040115	5.9647646	7.617744	9.003209	4.4851594	4.20848	7.68003	6.7038274	7.2908335	5.9251976	7.807335	4.209651	5.067957	4.831177	4.541131	3.6722012	5.712779	4.1305356	4.7284594	4.627349	4.678615	5.3987236	4.5530767	4.934417	8.954175	4.726776	5.030923	5.849082	7.688993	10.336475	6.29988	7.596583
4.2315197	5.0780873	3.7333205	3.6989074	3.7388744	8.626049	3.9664853	6.7845907	7.2801194	3.2487528	3.3753026	5.184169	4.679205	3.7374563	3.3700595	5.2267256	6.5195293	3.252734	4.0644507	4.7436056	5.866463	8.569935	3.3067765	7.0150223	4.218996	3.466136	3.4154525	8.134127	3.3549995	3.7165403	4.273728	4.8232675	4.2866826	3.4693763	4.3152742	5.8451285	4.17939	4.6481676	6.574406	3.9129663	6.185499	3.3708801	3.5522704	3.2202592	3.1139362	4.4619694	3.8423944	5.866914	6.2682667	4.5083947	5.7191753	8.813286	3.4239407	3.8762903	6.531391	7.4118857	6.977682	4.6755886	7.5094905	5.880266	4.665793	6.3646674	7.8341193	6.940198	7.3338895	3.3453746	6.2489343	4.9767003	3.8806968	3.2152977	4.390331	3.9913938	3.635913	4.0770617	8.837312	7.1966076	5.7337627	4.3802238	5.658025	4.2400284	5.0002985	6.582878	8.220153	4.4246383	6.352772	3.2412398	4.038736	5.095498	4.2188754	3.720344	3.3232303	3.3493593	4.56378	3.4919705	3.9629233	3.569284	6.013277	5.5577154	3.8322477	8.602199	4.5735283	3.31733	6.823956	8.554098	5.735801	4.313224	7.070361	3.6409566	4.200697	5.178637	7.6224465	5.946241	5.488652	4.8662915	6.9507375	8.580958	4.4648438	3.5285962	3.7597516	7.2804155	9.301033	8.607913	5.213498	3.950421	4.5316544	9.245939	3.3868642	5.1873074	7.8497996	4.081943	3.32655	6.152747	4.321375	4.0312824	6.837981	3.4870336	3.2105129	7.6016126	5.656442	7.8933496	8.15211	6.915835	6.742758	3.2221508	3.4170508	6.041361	7.1463723	6.3553505	8.161905	7.2456293	3.8008091	7.2901382	9.0513	3.726821	6.9224887	6.173356	7.455597	3.6074321	5.308556	3.712737	4.463055	4.968277	9.646383	4.329504	3.8157763	3.5576272	4.514963	7.9190803	8.003506	5.795376	7.1867666	8.403704	3.5466456	3.8041902	5.3589106	7.282415	7.7978597	8.581896	7.89408	3.5944557	5.4224415	4.4203	4.826973	3.663529	5.922508	3.8367548	4.1786337	4.225155	4.153222	4.531068	4.3620906	4.851335	8.743027	4.309365	4.644229	5.023002	7.3827524	10.071552	6.283642	7.3055224
5.009532	6.431977	5.2891083	4.622866	5.246137	9.256643	4.859914	7.2134786	7.8868957	4.423143	4.6153865	6.4406805	4.8848033	4.6472855	4.9212475	5.490165	6.9827614	5.1762705	5.065302	6.572407	6.8622437	9.992454	4.2993574	7.086276	4.796157	4.502578	5.699911	7.0589347	4.980734	4.4613667	5.567792	6.3466425	3.8844264	4.3162603	5.7935634	6.6068654	5.2609973	6.642032	7.086126	4.5830584	6.1841908	4.0428886	4.701394	5.0514646	4.7722244	6.3130336	5.291234	5.613839	8.194855	6.169937	5.5315666	4.31035	4.8175645	4.503188	8.180944	7.2454348	9.420233	6.514097	6.9703875	7.544598	4.733546	7.9311843	9.287759	6.989798	10.078003	4.6920857	6.1741138	5.831851	4.884049	4.562128	5.2116585	6.2366977	4.7304564	5.7312336	8.9095	7.675044	5.725896	5.176652	5.1046314	5.838256	7.1237817	6.2230687	8.040319	4.43258	7.2459407	4.817261	5.9500313	5.8025894	5.5057063	5.5959864	4.4878044	4.40126	6.58084	4.5706005	5.805438	5.083893	7.1068807	7.0513935	5.9127417	8.801443	5.248068	4.5853443	7.630663	7.9139876	5.8086257	6.43814	8.126144	5.528328	5.3047485	7.0488143	8.519691	7.072366	6.7846994	5.9435177	7.0415072	9.176214	6.0429907	5.0710735	4.560979	7.477676	8.961807	8.830561	7.3546853	4.4802876	5.237401	9.041361	4.8426867	6.3279324	7.861648	4.8438663	4.2538443	7.4063554	5.8921967	5.1895742	7.2227106	4.938398	4.385289	8.894945	6.9436455	8.667942	6.9803677	7.8669524	7.8905044	4.8912663	4.580035	6.2532635	7.0772705	7.5193458	9.056258	7.5718803	5.562581	7.671937	9.01194	4.144896	7.8365884	6.948636	7.928552	4.960006	6.3663254	5.2658815	5.4969864	6.9667053	9.759052	5.762615	4.6283956	4.879902	5.854455	8.828873	5.3236675	7.2706995	7.663646	8.19417	5.3884215	5.4630995	7.7643304	6.8662853	7.7795663	6.513316	7.6993003	5.069464	5.9313917	5.492528	5.790681	3.981344	6.3875656	5.6857004	4.9541225	5.876336	4.6425724	6.403539	5.174368	5.9310446	9.703108	5.677804	5.889933	6.8840876	6.138503	7.7651124	5.7444754	6.7896347
6.330247	8.033801	5.7452784	5.221114	6.3390303	10.901821	7.571442	6.9648113	10.564993	5.622547	6.0624905	9.8938465	7.8007493	7.489774	5.418911	7.5858192	9.262566	5.267539	6.826371	8.999778	8.764768	13.442348	4.522213	9.396639	7.2786913	6.4077835	7.10292	7.7768393	4.5435724	6.9214306	7.710007	5.2298317	3.431444	5.7015715	6.767351	8.687256	7.4792266	6.2126827	8.211832	5.432868	7.003813	6.6044836	5.4719906	5.4828715	4.896325	7.7677097	4.7303543	5.3045206	8.657042	5.715584	5.002593	3.4994147	4.7352695	6.9066257	7.89176	9.592009	11.613948	6.835616	4.1175504	9.877012	6.4515605	9.133221	12.561236	7.327591	11.064727	5.524596	7.7028346	7.719807	6.067025	5.651409	6.675858	7.4505234	4.632456	5.413343	11.386474	8.570757	7.929451	6.40485	3.412422	8.054792	6.612649	6.564308	11.497742	8.247305	8.258413	5.1189475	7.191415	5.60802	7.232095	6.5528154	4.775025	4.9215245	6.5017605	5.9115343	8.581816	6.514008	7.673408	7.77338	6.7134104	11.833724	8.183203	7.593853	9.624141	10.708605	7.3985653	5.4569273	10.615974	6.893719	5.4385357	9.211292	10.7417755	4.892804	6.7066245	3.7978365	8.165413	11.21197	7.701346	6.3594217	5.586237	9.428231	11.9929285	10.515683	9.41655	8.124346	5.4355373	11.733457	6.906847	6.3449163	8.697874	6.3828464	4.879221	9.501175	7.9535966	4.378	8.520208	5.704997	5.744397	10.763655	8.530948	9.80985	8.907862	9.763508	9.636782	6.2266083	6.7759585	8.358653	7.037345	9.966059	11.078106	10.055127	7.2118645	8.2712555	11.354529	4.5611916	9.316694	9.00592	12.0153885	6.45992	7.997326	4.706721	7.174883	9.464516	11.8747015	7.055386	5.9733906	6.862469	8.359476	10.889097	4.6738534	8.6400585	10.080748	5.55709	8.574415	7.9913864	10.29034	9.080621	9.969817	6.268585	9.955775	6.8542967	8.68071	8.203529	3.499271	4.5777445	9.089848	8.246319	6.2917595	9.72551	5.0142527	9.30043	3.9234912	8.808788	9.067242	6.836645	6.261507	11.628856	5.442663	3.9096313	3.6827352	5.932193
7.6777053	4.918246	7.411778	5.088354	7.647577	12.017451	7.1701336	10.890061	9.583263	4.482588	4.9168324	7.822433	6.066353	6.3319445	4.9566746	6.965328	8.681551	4.878098	6.771916	7.7846417	9.653442	12.348545	4.425591	10.311582	6.2532535	5.1185474	4.69479	9.195311	4.762138	6.179619	5.4712453	7.3075056	5.5063744	4.348211	6.6540203	9.460087	5.1210594	5.157115	10.424479	5.9930677	9.26661	5.7946815	4.7402887	5.312257	4.5983405	7.3761077	6.515487	8.256302	9.036358	6.6809034	6.9415693	7.9697747	5.4353514	6.081559	10.353309	11.424611	11.111697	7.9272723	6.152318	10.444407	6.84332	11.740526	11.28008	10.97917	6.4469585	4.394484	7.797958	7.29156	9.173916	5.4734387	6.6200857	5.4396534	6.9436817	5.0559373	11.974905	10.134991	8.486279	7.0413547	3.8941479	6.5372086	4.9310093	10.2562275	10.917458	7.1536765	9.763102	4.2369223	5.947238	5.385357	5.326597	6.40623	4.9912906	4.1120987	9.56353	7.4097595	6.7909665	4.9733744	11.53766	11.126117	7.184949	12.44226	8.113888	6.4547935	10.407093	12.152261	6.458687	6.17494	11.124777	5.5008726	5.1758366	7.593416	11.041031	5.8099327	7.5656495	5.491268	12.184138	12.151684	9.24427	6.6595488	6.3185625	10.046616	13.110483	11.653056	7.9915833	7.780125	7.3983884	12.976081	5.63556	7.2755456	9.68354	5.9081063	5.532085	10.861486	7.414957	5.565573	10.095274	6.0062513	4.4388604	12.270814	10.047339	11.860223	10.939384	11.683157	11.788947	4.5824003	7.187327	8.059229	9.23132	9.910758	11.870783	11.077527	6.20127	11.246385	12.6312275	5.1727643	11.207874	10.222412	11.602862	7.016577	8.475103	4.797584	7.2090063	7.043069	13.157178	6.7899456	7.502948	6.8286076	6.482747	12.286235	6.2306976	10.234479	11.974025	8.301115	7.336723	7.063324	9.211887	11.057518	11.846096	9.447692	11.872863	6.269172	8.7713585	7.6914625	6.0408874	5.8107433	9.491478	8.119773	5.7639956	8.327265	6.0509014	7.98572	5.4093547	7.4419947	12.889251	5.9243937	6.942358	9.18701	5.5206423	6.5618515	3.7929256	5.7993703
3.9866333	5.0067167	3.443675	3.4553406	3.5917435	8.587824	4.0217776	4.9247427	7.14258	3.4027228	3.4600878	4.7913213	3.551952	3.650873	3.6872313	4.5398445	5.2462225	3.456173	3.8534312	4.966161	5.309163	9.9808235	3.4007566	5.327901	3.7729836	3.978865	3.626927	5.4769883	3.6062396	3.4524379	4.0488634	4.682252	3.4646764	3.3531153	4.31604	5.331784	4.0238733	4.0216837	5.369009	3.7751136	4.1297913	3.219361	3.528071	3.2255707	3.1685057	4.2723165	3.4537969	3.7076197	5.797907	4.707306	5.302223	4.730782	3.7954679	3.3398216	5.2628508	5.438748	7.050555	4.339852	4.5992947	5.2487426	3.3274133	6.336065	8.663437	5.4972744	11.333942	3.3874083	5.120369	4.024486	3.4580653	3.1962833	3.7150095	4.9662895	3.30143	4.2916207	7.284307	5.5958714	4.115576	3.7612598	4.9141955	4.6816015	5.9946547	4.106202	6.388956	3.3991277	5.034609	3.490948	4.799548	4.692905	3.8547354	3.5117278	3.3456666	3.3244076	4.059639	3.4214885	4.037404	4.2067485	4.377507	4.9221706	4.037421	7.516058	3.5982168	3.386724	6.1420994	8.182369	4.797671	4.010297	6.9536924	4.0326977	3.69893	5.563682	6.9436026	4.6185	5.5897813	4.80964	4.9727807	6.685452	4.113157	3.7092407	3.4564002	5.5890436	7.790391	5.613042	5.029539	3.2768128	3.748892	8.035635	3.227617	4.038479	5.1309423	3.6445847	3.3695016	5.150099	4.618217	3.43963	4.9522047	3.443242	3.442951	6.9488745	6.0249267	7.4359827	5.2880535	5.7665462	4.8422203	3.3888047	3.2614334	5.0344515	6.1018724	6.0535755	7.357138	5.639574	3.6348438	6.051388	7.0211697	3.2807474	5.512684	5.1497755	6.6762967	3.543816	5.3688498	3.8055553	3.775037	6.542053	6.693386	3.7267718	3.83481	3.4967806	4.0096803	6.749992	4.9279385	5.946745	5.942009	6.428669	4.2340746	3.762125	7.736307	5.245368	6.080535	5.7792196	6.2941	3.5851903	4.417873	4.5716105	5.1475773	3.2589805	4.5542893	3.7506218	3.7647805	3.853969	3.5297217	4.346965	4.413847	4.5386705	8.79553	4.317139	3.7802317	5.020764	5.6099863	6.116827	5.6952434	8.570774
6.1368566	7.575527	6.614762	5.6284714	6.723975	9.036221	5.990178	7.011553	9.361579	5.171109	5.235635	7.025243	6.019516	6.01501	5.3052783	5.803006	6.8784456	6.1602836	5.793251	7.8055816	7.154362	11.530199	5.9577847	8.5206	6.1090965	6.004424	5.804372	8.401653	4.679608	5.9453382	6.7927003	6.795047	3.8519368	5.0827913	7.7301803	8.1544895	6.798126	5.932947	7.393074	6.0894384	6.145028	4.409188	5.20992	4.7542562	5.3724813	7.000785	4.773648	5.2323227	8.2986355	5.2399197	5.4928064	3.7294788	5.236492	5.8588705	7.4968867	7.904653	10.0794735	6.701191	5.3046227	8.4510565	5.911293	7.9509616	10.120972	7.032195	10.850943	4.921243	6.985753	6.393264	6.281892	5.0164557	5.4601936	6.40436	6.2717094	6.3777676	8.736383	8.260111	6.4153204	5.546686	4.3221326	6.47876	6.8485217	6.5095444	9.596679	6.6117153	6.9983683	5.859624	6.550091	5.9534874	7.860023	5.3996096	4.7809134	4.705996	6.136204	5.277055	6.7681704	6.3649845	8.244057	7.762594	6.441134	8.724651	6.6218824	5.108965	8.401925	8.346994	7.242487	6.1496854	8.983664	5.5158844	6.489482	7.711336	8.247187	6.619658	5.300273	6.3601675	8.29602	9.045849	6.756481	5.788528	5.035119	7.553416	9.066137	8.940701	8.305115	5.7602835	5.9476137	8.993163	5.980851	6.845108	7.290717	6.71529	5.1182737	7.9832344	6.6068087	5.635766	7.4255934	5.2452602	5.408965	9.946174	6.966115	8.57924	6.9193625	8.627029	7.516278	4.9888644	5.4579782	7.0297065	7.3914123	7.856218	8.372915	8.133851	6.0205717	7.352335	8.891672	4.617672	7.6756806	6.9778013	9.709173	6.056816	6.919167	5.5977564	6.70422	10.085205	9.016699	5.6399307	5.8073587	5.470477	7.0144215	8.721859	4.9600797	7.860384	7.919005	5.4748716	7.163056	6.069966	8.379988	7.8432407	9.067932	6.231863	9.061793	6.284924	7.7365932	6.500577	4.9190507	4.926317	8.106556	7.065135	5.799256	6.2771378	5.0523033	7.0376086	6.195819	7.3619742	10.367941	7.7876735	7.0100923	7.8902726	6.099128	4.9709015	6.1820607	7.6559615
5.3023763	7.453252	4.527549	4.538387	4.1999273	7.684517	5.3156314	5.8861895	7.269938	3.9019804	4.017054	5.687931	4.702801	4.2107725	4.250172	4.9000554	6.692127	3.8503883	4.4606333	5.995542	6.499017	9.564946	3.6718225	6.831067	4.260043	4.7203007	4.993645	5.5647697	4.245205	4.506973	5.8834896	5.7245264	4.1783457	5.168068	5.4911995	5.8767624	5.2137184	5.1114798	5.8769836	4.8729086	5.4831514	3.6960318	4.344534	3.7813125	3.3498216	6.48053	4.3763895	4.3801956	6.330862	5.9139853	6.293912	6.422783	4.1037188	4.0457625	5.60133	6.3816805	7.05577	5.914679	6.1451807	6.1037264	4.17295	6.683466	7.988402	6.1208096	10.3009615	4.3089337	6.586172	5.4559436	3.7582033	3.5335782	4.9507895	5.657631	3.7966115	5.4024887	8.578209	5.712757	4.6991196	4.5315604	4.9644346	5.6015277	7.6425242	5.4529905	7.1800957	3.9986193	5.2367907	3.9952579	5.90217	5.234702	4.5313063	4.0767236	4.3323817	4.5542574	4.727159	4.585679	4.841665	6.5409503	5.3303704	5.2890396	4.6561975	8.14319	5.0578046	3.7940435	7.201608	7.6580515	6.1028934	4.7707014	7.046174	5.4293327	5.992683	6.612126	7.3379292	5.866613	5.4288454	6.0562015	5.6726236	7.268172	4.9358	4.1830554	4.152615	6.575401	7.9275618	6.498479	8.011383	4.0805864	4.480621	7.774219	3.5325022	5.307169	5.833555	4.4457417	4.025493	5.9381475	5.225207	3.9453144	6.1295066	4.0667953	4.5015793	6.5240564	5.4147196	6.7985287	6.019379	6.457448	5.554188	4.3304377	4.0123262	6.226925	6.852622	6.4290667	6.732295	6.1556797	4.67711	5.755459	7.5767083	3.76902	5.8751383	5.319401	7.9880233	4.6320496	5.9004006	4.1644564	4.9753666	7.2117677	7.924273	4.428776	4.6202683	4.302826	5.423021	6.2979736	5.972692	5.9123535	6.1202984	6.3211403	4.895693	4.4431734	7.678926	5.519356	7.2663217	6.1875763	5.924343	4.0793324	4.991424	4.888193	6.297862	4.4075003	5.873209	4.617253	4.6454062	4.9823346	4.500446	5.279561	4.5991697	5.5706587	8.251861	4.611721	5.196549	6.4473715	6.7177753	5.9361496	6.581755	8.875429
