ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
8.191937	9.132698	6.2882643	9.318316	6.4163094	6.5341563	6.869775	3.1074374	4.08047	7.893565	6.282257	6.6891613	7.124457	5.313493	6.1539335	3.1069934	6.6325483	10.313129	5.2766714	5.7307787	8.127689	3.702556	4.5902624	5.8591967	3.8470697
5.901801	6.0611315	4.90718	6.1041594	4.264964	4.7456017	4.492023	5.346896	3.7858486	5.2339096	4.338693	3.852653	4.775526	3.9971488	4.801468	4.658105	5.1360874	10.541653	5.2054644	4.218204	6.2237244	5.8965497	6.661252	3.1143353	6.311778
4.756287	5.218198	4.8267555	5.14985	4.121762	4.6793346	4.256687	4.4191613	3.7703571	4.3568068	4.357461	4.074439	4.704201	4.3219805	4.6815166	3.7529414	5.268731	8.295606	5.8051367	4.6186085	5.670604	4.7048826	6.62735	3.1378613	7.1337094
8.272642	9.363596	8.617268	9.828436	7.6903462	8.484201	8.824478	4.8055763	7.267555	9.396357	7.772504	7.3004494	9.310026	6.99928	8.707975	5.631698	9.962585	9.661882	8.165714	8.714218	10.555641	7.053948	4.5787864	4.345094	8.354681
6.2225294	6.747609	5.9342093	6.6396	5.151775	5.7244444	5.5539856	4.683652	5.222244	6.6028166	5.2425003	5.262684	5.612995	4.993427	6.097982	4.994879	6.7550077	9.783302	6.7557106	6.201042	7.3972917	7.460359	5.333946	3.1655524	5.7057943
8.388889	9.840215	7.0787926	9.880048	7.679394	8.343134	9.049377	3.1905878	4.983547	10.651485	7.579377	6.873336	9.04558	6.100416	8.333228	3.2563493	8.950296	9.509308	5.5774136	7.2880754	11.561553	3.6444516	3.5429485	3.2381773	5.397702
7.6923566	9.76552	6.361246	9.121958	7.0406656	7.796857	7.8991933	3.0893815	4.4271803	9.912377	8.793467	7.1816974	7.7811103	5.6571207	7.075236	3.1006954	8.328313	11.869213	4.745042	6.74302	11.577775	3.6779134	3.181076	3.808227	4.072445
7.5045447	8.500378	6.8234234	8.698126	6.973175	7.662343	7.6264944	6.0450325	6.1996727	8.535287	7.4493313	5.9946203	7.8707848	6.7822366	7.991365	7.2896533	8.743208	10.069488	7.3783865	6.9707556	10.135962	5.8954353	6.689772	3.4156432	6.679005
6.082239	8.244719	6.184764	7.136901	3.9006145	5.7999353	5.9487615	3.2161903	3.259385	7.376796	5.0289207	3.5653777	6.184022	3.6633563	4.785487	3.1394434	5.143462	6.9593163	4.3285475	4.5620956	6.759668	4.3431993	3.7518435	10.339293	9.182506
5.2176013	5.704521	5.1803856	5.98149	4.1982694	5.4425936	4.945982	5.3658323	4.9982057	4.940238	5.0953894	4.6340685	5.495131	4.832772	6.235916	4.529633	5.5479565	11.063362	5.8303604	5.62654	6.5304728	4.737037	3.8426008	3.1760972	4.2987156
5.2432575	6.28713	5.5465183	5.689315	3.9765615	5.940131	5.246457	3.3328996	3.6955476	6.4468026	4.855212	3.8151999	5.0029774	4.2076855	5.428609	3.3185885	5.9774017	5.841936	5.1549845	6.005718	5.633692	9.0137825	4.104842	3.6081076	5.711266
7.4031672	8.742195	6.397231	8.648876	7.5211816	7.9751434	8.092959	4.3591194	4.9800344	9.268141	7.913376	6.175853	8.5079975	5.935663	6.96271	4.562714	8.150642	9.726418	5.1214705	6.0268035	10.563818	4.372331	3.979353	3.5869045	7.434639
5.468249	6.155154	6.0336666	6.168637	3.646	5.137692	4.6241407	3.7113557	3.3847673	5.7072096	3.7913547	3.5962496	4.518422	3.5058122	4.955755	3.677269	5.4844694	8.663187	5.481344	4.818249	5.7802696	9.847149	4.119543	3.396398	9.4044075
9.493865	9.191566	7.2136	9.712576	6.4856305	6.3713427	6.6801834	3.2852569	4.2578316	8.071553	6.9852	5.8280773	6.336054	5.608062	5.6393905	3.2382884	6.8204384	9.034245	5.241632	5.6949415	7.7348123	5.0282507	10.47331	4.573355	6.836302
4.8948035	5.046746	5.009497	4.884922	3.3775697	4.298333	3.6660054	3.4239664	3.1202297	4.095191	3.2537477	3.1783683	4.1241646	3.1847773	3.9813402	3.1511621	3.9495447	7.2933407	4.5050554	3.512982	5.3436213	4.15891	5.50169	3.1112587	12.793194
6.6474423	7.1136785	5.8473277	6.5099726	5.6234484	6.235321	5.953371	3.4708242	4.3860044	7.115229	6.2688923	5.1974044	6.2183256	5.1604786	5.8423347	3.454875	6.918066	7.8614464	6.569669	5.948208	6.9331474	6.636264	5.3635607	3.7532456	5.174989
8.058207	8.285883	9.196438	8.867771	5.8325825	8.26974	6.9752216	7.2872534	7.092259	8.143545	7.4599686	6.771491	6.2471476	8.023003	8.57998	7.5464573	8.213158	12.893867	9.794199	7.9416556	9.083693	6.876601	6.6312423	4.3631897	5.627739
9.873331	10.823776	8.172918	10.952207	7.8299713	7.6346393	8.49595	3.0897765	4.7755356	9.792759	7.704918	7.559801	7.2658567	5.8863096	7.1801395	3.0922637	7.86414	11.584925	6.5855184	7.9478984	10.192104	3.369083	5.006846	6.887141	3.560656
8.420176	8.772891	7.762119	10.280146	7.6755095	9.385187	7.957897	6.2231045	6.2932253	9.480084	8.088324	7.5870767	9.11285	6.3720164	8.468936	7.7654862	8.406096	10.881973	6.891651	6.8956747	10.025084	4.5079575	4.5359726	4.568268	8.588561
5.8547735	6.02505	5.822659	6.424925	4.02193	4.4256406	4.140953	4.2711554	3.6468234	4.5728645	3.8528805	4.316823	4.006469	4.2899275	4.6078577	3.8414357	4.838657	12.697497	5.459231	4.1301184	5.3119025	6.803894	9.2837925	3.166152	5.9395895
5.789357	5.9180584	4.7824144	6.1691637	3.83149	4.539953	4.0730095	5.4291544	3.583244	4.771892	3.9405053	3.5435553	4.4176207	3.652605	4.317681	4.435896	4.713181	10.58473	4.8884525	3.948648	5.632965	6.6332693	6.9791436	3.1165307	6.5968595
