ENSG00000140575	ENSG00000131469	ENSG00000231500	ENSG00000038427	ENSG00000145592	ENSG00000198242	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000177954	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000171858	ENSG00000071082	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000213741	ENSG00000177600	ENSG00000143546	ENSG00000109475	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000198692	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000129824	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207
6.4664426	6.354188	7.698874	4.9578648	6.237859	5.866686	8.994914	4.8032994	7.5160236	4.8042955	6.0922136	7.3989463	8.702761	6.1782837	5.7807813	5.3908243	6.987515	7.3654175	6.1375055	5.632468	6.3093185	5.695407	6.650942	6.2377887	8.171831	7.274069	6.7235394	6.1348863	7.016923	5.872981	6.0611906	6.6573277	5.795312	4.699373	6.379448	6.212709	5.353469	5.0861864	4.6277695	5.2342567	6.253415	6.7266073	7.3178573	5.4428453	6.2122116	7.6076474	6.0272207	6.161912	5.736265	9.146236
5.8010483	8.262124	10.010596	4.6168065	7.542312	6.4430256	10.395575	5.300109	6.888462	4.4257574	5.8973837	8.022528	10.269082	6.284079	5.4277916	4.992509	7.148186	8.699472	6.8464994	7.033972	8.223867	7.7099943	5.7487674	5.890827	7.2660236	7.744069	7.164644	7.2583385	8.180649	5.2011704	6.1242094	6.2270684	7.119811	4.642961	7.5226235	5.8816414	5.480035	6.155011	4.7070684	5.857067	7.1552043	6.2893186	9.12154	5.4704266	5.665681	8.071138	6.249675	5.133752	4.9550486	8.024633
5.031477	5.1175494	6.7874136	3.0831099	5.1550465	5.0392036	6.875795	3.2979422	4.8170576	4.5654044	3.8716278	6.351371	6.8481193	4.3156624	3.4462035	3.5906024	4.797758	5.921502	4.03913	4.2646155	5.329439	4.4261346	4.80038	4.4137745	6.211433	4.6157913	4.9628973	4.349393	5.5900574	3.605802	5.669141	4.9709864	3.0831716	3.0831351	5.6733036	3.850336	3.1116102	4.4206405	3.1052313	3.6412754	3.0830982	4.670925	7.35079	3.3029418	3.2717426	5.9345956	4.1948986	4.234397	3.120887	12.225432
7.2472095	9.3988905	10.673519	6.3528805	9.44871	9.865414	9.9080925	7.1662283	8.11957	6.1440268	6.855947	7.890424	11.110091	7.3883944	7.2940073	6.225656	7.5098896	9.34169	6.8098335	8.17968	9.021244	7.988512	7.395911	7.186202	9.320752	8.784946	9.470927	8.3939495	10.065662	6.6919746	7.4132805	7.7312036	4.720027	5.3531866	9.330512	6.4304113	6.7585344	8.266606	7.010786	7.7354803	4.9380994	7.843116	10.481521	7.4961166	6.890483	9.192595	7.482122	8.159075	4.7356377	6.5439835
6.768358	8.537204	10.527258	5.514249	8.974308	8.612722	9.599712	6.137368	7.634638	5.1182203	6.0227985	9.338296	11.023806	7.6918354	6.032487	6.8624544	8.545525	9.160831	4.979431	8.47114	8.922583	7.6389236	7.68141	8.511883	9.357733	9.280744	9.115477	7.026577	9.231304	7.7109027	8.252904	8.294178	6.245487	4.626754	8.254136	7.202211	6.0566516	7.3096504	5.617684	6.836217	7.4945207	8.350615	9.470653	5.8160114	6.8308725	9.189878	5.3186126	5.0445805	3.6548347	5.848828
4.8287263	6.150136	7.796378	3.1028123	5.7483435	5.419018	8.396866	4.0284133	5.2172565	3.952915	4.1490655	7.3812323	8.157647	4.3801107	4.0173697	4.1301947	5.5335884	7.2547174	4.0986342	4.620591	5.904537	5.004906	4.466495	5.4444957	7.096218	4.902743	6.4160323	4.6506915	5.881318	3.8910713	4.4388647	5.1369925	3.2543025	3.1180065	6.7891107	5.0093536	3.6392639	5.170189	3.3212528	5.1969433	3.1229973	5.2930717	5.0948415	4.1206627	3.7528448	6.4848566	4.394211	6.4164057	3.1295776	11.746603
5.4704504	7.7930126	9.7393055	4.5391273	6.979827	7.7527046	8.697081	5.3542433	7.2156715	3.9482462	5.338976	8.22231	10.11694	5.0690627	5.7187824	4.728734	5.4881525	7.978649	6.1968	7.063215	7.881734	9.177027	5.463195	4.93808	7.772719	7.7949085	8.704747	7.071725	8.353943	4.685538	6.381275	5.219636	6.0959883	4.4814534	6.118593	5.2653646	5.3500443	5.8476257	5.738117	6.668007	6.6804676	5.9162664	10.646109	7.0829687	6.471471	6.471724	6.3229246	6.5066824	4.1985774	8.615838
5.176272	6.181529	8.980885	5.0616674	6.3970976	6.565057	7.3910556	5.894256	6.396877	5.045684	5.1111765	8.958614	9.339853	4.6020036	5.1261854	4.999303	5.55545	7.0921226	5.709069	5.4383936	7.200982	5.7916737	5.796664	4.34802	8.737354	6.5664945	6.89542	7.569481	6.831141	4.43042	5.499483	4.838522	6.7922025	5.926215	5.5633535	4.9613466	6.3029375	5.617726	6.6263647	7.6540155	7.1369247	6.1571646	10.518509	7.9052916	6.5645933	6.9223757	6.532826	7.198697	4.7801056	7.334776
4.350915	7.3939643	8.431766	3.0876245	7.9160476	7.6292067	8.885215	3.4178946	5.897143	3.413278	5.1718874	6.110984	8.82435	5.003284	3.4007156	4.2709417	6.425786	8.633542	4.1669555	5.7360635	8.238876	7.3805547	4.42636	5.641728	7.0208044	6.28534	7.306516	4.481497	6.7277193	3.8673012	5.851754	5.4092703	3.1629317	3.087733	5.819572	4.125612	3.1548781	5.2665777	3.1297534	4.178549	3.1278453	4.0633464	6.8818803	3.31285	3.379457	5.4239335	4.1055636	3.2865708	4.5084987	13.865704
5.4967403	8.250118	10.284405	3.9253812	9.156282	8.812069	9.4294615	4.6415434	7.842872	3.911008	5.8027167	6.792983	11.661127	6.3924913	4.6054797	4.8517795	6.901681	9.6529665	5.5662913	8.668444	8.7619505	8.104551	5.449792	6.7688994	8.073681	8.101497	9.045599	6.1382246	8.591328	5.5754523	5.3881607	6.6751	5.4367743	3.4879475	7.073839	5.3791428	4.5293903	6.7510853	4.2956223	5.84295	4.4810796	5.895722	9.072401	4.902348	4.884568	7.194802	5.985298	4.9233046	5.0491467	7.9379635
