ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
3.1380792	3.0858533	6.6149497	3.9989936	3.1040747	3.811399	3.7485843	3.581575	3.7396593	4.0809436	6.071863	4.2184157	3.0864196	3.891923	4.4169006	5.1765976	3.1454825	3.6027963	3.2078822	3.1242554	4.9968696	8.100691	4.698447	5.667506	3.2854874	3.2967985	3.1443985	10.274719	3.2636962	3.137422	4.2108455	7.8361044	4.4142017	3.1090517	3.218465	3.09252	3.6730318	4.7262607	3.6216173	4.711979	3.6779237	3.1655037	4.2766385	3.8280356	3.610553	3.2689703	3.0975177	3.8128967	3.490922	3.7087834	3.8575616	4.0527663	3.127887	3.6113799	3.8142698	5.7298565	3.155632	6.411277	3.37588	3.1185427	3.409964	3.1291149	3.1267228	3.1041648	3.2578576	6.716036	3.2882426	3.388753	3.318099	3.3191264	3.870044	6.8849063	3.0893562	6.5501614	3.5829527	6.8892813	3.1369143	3.7581325	3.8469503	4.884847	4.7162147	3.087073	3.2655263	3.378155	3.1730566	3.2374654	3.6879373	4.6119637	3.9191604	6.1140304	3.280921	3.4362636	4.188525	3.3279634	8.265814	3.242606	6.167588	7.3386917	6.474425	3.3268492
4.158334	4.349378	5.8005743	4.469708	4.078959	5.2906666	6.5330644	3.8803658	5.5760345	6.626157	7.0992846	5.9080586	3.8989956	4.1956286	5.287163	3.7435606	3.1208699	5.1541443	3.7679377	3.7044175	6.2415648	7.8697705	6.505209	6.278432	4.2908244	4.1678405	4.1522098	8.096624	4.7411447	4.062273	5.5619593	5.7221794	5.065542	4.9063406	4.0569983	3.739952	4.610935	6.500847	4.6424675	4.5495067	5.9621997	3.711446	5.469699	4.811576	4.775634	4.4791036	4.048153	4.068945	5.074625	4.7031946	3.9536152	6.372224	4.4811716	3.8771048	3.9534273	7.215148	5.1925936	8.345444	4.4579	3.5727901	5.124767	5.5858665	5.3818045	4.6392026	4.2891345	6.7518167	4.8735876	5.8101654	4.1339192	4.4667573	4.7136292	5.6268187	3.3684244	7.3236275	7.881239	4.9977016	4.6839285	5.062087	5.102982	8.029088	4.963192	4.4244566	3.9719877	4.8630795	6.7886734	4.220942	5.850488	6.5741644	6.601174	4.867134	3.6962411	5.367979	6.8824334	5.8349657	5.6667066	5.16731	4.699875	10.7106	4.879669	7.3276258
3.2208638	3.1031532	4.3341293	4.0529046	3.1111872	4.1388965	4.0336876	3.4215114	4.262939	7.3723955	6.3938828	4.1771975	3.2656598	3.3516743	4.08621	5.038723	3.1338391	4.4725513	3.670208	3.2076697	5.1701508	6.7506533	5.7672787	6.3822265	3.3856733	4.287081	3.16995	9.8555	3.8252282	3.2416391	5.187034	6.0766525	4.724945	3.4450717	3.1513653	3.1267436	4.157432	5.841878	3.399203	4.711082	3.7524238	3.4281695	3.773938	3.7147462	3.9268084	3.6732888	3.8544593	4.5724063	3.933891	4.5631933	4.3307066	5.713172	3.8051562	3.7376437	3.9826257	6.282339	3.7265615	7.839829	4.893123	3.1820397	7.197771	3.3478405	3.5325527	3.4974844	5.7840557	9.306688	3.726218	3.7749677	4.5037923	3.2791457	3.7966075	7.6840944	3.112745	6.4375625	4.8182497	7.652804	3.5607574	4.2966623	4.7611012	5.2623196	4.7732244	3.1209414	4.006818	3.7587643	3.7147906	4.061379	4.2104173	5.630065	4.376755	10.547092	3.3402216	3.623038	4.3178406	3.6454449	9.026358	3.2330976	5.5682907	11.3995	4.82459	13.270306
6.5579805	7.0658836	6.1496596	6.5282736	5.936764	6.6355963	6.0133095	6.4829893	6.646972	6.1005387	8.949437	7.5095367	6.7771673	5.175434	6.463043	6.265576	4.3210235	7.685554	5.569996	6.7736707	7.059557	7.8755383	8.248623	8.654866	5.1409903	5.4405384	6.4584384	6.7172527	7.5107827	5.9343867	8.08098	6.8147497	6.5288534	6.140857	8.178763	6.209539	6.3492703	8.301357	6.2872696	6.965501	7.6360836	5.9457793	8.393076	7.459073	7.634645	8.271088	7.821696	6.063612	7.1053724	6.589926	7.563702	6.9235806	6.47781	6.2905474	6.658147	9.718175	7.126969	8.7020855	6.9859705	5.878811	5.8633623	6.705723	6.2599096	8.379304	6.9433994	6.68076	7.684654	6.815611	6.977083	6.8689404	8.175398	7.4983788	5.1484404	8.788231	8.428864	6.891636	6.3277826	7.9525733	8.546204	8.175142	7.414604	6.235773	6.428993	6.035811	7.536214	8.588425	7.5237575	8.856369	8.118597	7.251136	5.4144197	7.9597125	8.133058	6.1423016	6.1850824	6.7762647	7.8262515	11.302038	7.671936	8.873452
3.2687433	3.6984248	3.9440095	4.58337	3.5692627	3.55894	5.024022	4.299529	4.260697	4.2008705	7.5166483	4.6924186	3.2200944	4.271195	4.7764645	5.4943204	3.8613968	5.395954	3.5103197	4.423125	6.6018486	7.921931	4.9140058	6.5071774	4.7898383	3.7921548	3.4303918	6.0930147	3.9511158	3.163018	6.190565	3.868093	4.532579	3.307482	5.6103	4.0864344	4.913034	5.0721064	3.8817315	4.9765406	3.9581397	3.3450832	5.4032917	5.508931	3.4552364	3.4010224	3.177147	4.250967	4.645422	3.6284444	4.145709	3.349132	3.2057917	3.6088786	5.3016376	7.231236	3.4847124	5.970749	4.6232305	3.6454957	3.3999496	3.245853	4.1308846	3.220431	4.232606	4.8856974	4.159413	4.0821004	4.1807036	5.237543	4.7484083	5.128868	3.3123443	6.57125	3.8058279	9.541586	3.6217203	5.8666058	4.722221	4.495404	5.8072724	3.579541	4.853634	3.951221	3.5725331	4.1937356	5.2375164	5.2259007	3.9573596	6.6531878	3.7970521	3.4991663	6.2753553	3.7459142	11.395434	5.1542864	8.525438	7.9402103	7.593224	3.455277
3.922738	3.346062	6.1995935	4.8586	3.4286985	3.994899	4.7297134	3.828978	4.332073	6.591755	7.275217	5.0858755	3.6227145	4.3574314	4.5386763	4.4614296	3.157726	4.708685	3.359321	3.5175755	5.1634235	6.6915836	5.587214	6.696087	4.7274084	4.527402	3.5666943	8.837952	3.5259128	3.3347166	4.9956293	6.2738714	4.6990914	3.98223	3.4147065	3.1386511	4.2852306	6.5268183	3.4635231	5.355474	5.7286973	3.8479903	5.157115	4.9747667	4.3279433	4.055566	3.9915102	4.3367825	4.0556192	5.20866	3.797832	5.3062196	3.3738196	3.5933485	4.1885777	6.2772083	3.694369	7.7167177	4.5110407	3.2706854	4.584693	4.03106	3.8601909	3.6687393	3.684244	9.214083	4.554808	4.467167	3.375287	3.4833024	5.210992	7.436975	3.2967806	7.3671565	4.398541	7.84879	3.90685	4.1590667	5.0856533	7.345684	5.155499	3.4019518	3.895748	4.000367	4.256519	4.3058467	4.929253	6.079648	4.925477	4.065689	3.3832996	5.0919285	5.594081	4.092208	8.422297	4.0440593	4.0517597	11.160844	4.3542137	3.8895433
6.205532	6.0816994	7.5254407	7.32623	5.978821	6.4107566	6.9813066	7.047387	7.364755	4.5078187	9.495689	7.6777472	6.0844936	6.071629	6.2153187	6.591115	5.435788	6.8515396	6.3225317	6.0099006	8.69171	6.9854794	7.687586	8.308664	6.535343	6.721399	5.7511606	7.077509	6.356572	6.026988	5.0956383	7.2558618	6.9727106	6.852004	7.0534043	6.770883	7.347161	7.8335066	4.487048	7.7535095	6.77698	7.061545	8.306831	7.100465	7.105441	6.394199	5.475546	7.138441	7.9415402	6.656594	7.897384	6.933706	6.299214	6.191805	7.8271794	10.090031	6.805187	9.085352	7.289512	7.4684114	4.664255	6.7066793	7.310227	7.004065	4.978822	5.487341	8.001143	7.2928386	8.011837	7.250843	7.0804157	5.875206	6.624076	9.797223	7.4460196	5.986121	7.3167133	7.882313	8.667952	5.796077	9.132008	7.591504	8.230371	7.543303	7.3775883	7.702131	8.496553	9.055714	7.1490574	5.465808	5.6313133	7.614358	9.015514	6.481435	6.0698547	8.745268	8.055937	8.424116	8.515126	8.496615
3.1123102	3.0972154	3.5988605	4.612088	3.1145804	3.2707918	3.5442595	3.8043818	3.8392205	4.518094	6.687566	5.4498415	3.1133146	3.383437	3.8487835	7.001001	3.286135	3.9868884	3.8282	3.1863923	6.0280676	7.8344316	4.907939	6.799994	3.6391606	3.2491992	3.1221428	8.1211605	3.7744656	3.1858191	5.6024256	4.916922	5.157297	3.1567318	3.278524	3.134939	4.316652	5.4122505	4.2791376	5.565871	4.0330114	3.3620992	4.4669747	4.318801	3.661659	3.258422	3.195288	3.640908	3.9319444	3.435472	4.3541317	3.691652	3.2131915	3.6769438	3.7115023	6.0621853	3.3068895	5.965377	3.924147	3.113604	3.40307	3.2757819	3.2827675	3.146364	4.4928594	6.9409933	3.5942729	3.9325802	4.8981686	3.1749275	4.452305	5.5130205	3.1115818	6.601376	3.6554272	8.518591	3.43055	4.5260787	4.949586	5.0011334	5.279728	3.092705	3.6067338	3.5752347	3.203946	4.18415	4.095535	5.1651363	3.734189	6.481323	3.5921252	3.6156206	5.1409297	3.521467	9.4203825	3.2435873	6.777016	5.5358353	8.254724	7.4741845
3.692088	4.915562	5.300149	5.89122	4.8540826	4.0888333	6.7497635	6.5877156	6.0422993	5.5311847	8.136404	7.1694694	3.9787915	6.3860354	5.7898846	5.128951	5.5257244	5.6224127	6.7758694	5.500286	7.1309648	6.7085485	6.0739517	7.639838	5.898021	4.8007526	3.9481459	7.6614027	4.997005	4.0344653	5.6159506	5.6520324	7.2730303	5.179234	4.9916973	4.9503603	7.3875437	6.7073393	6.0407896	6.947995	5.4849815	5.7583675	5.863949	6.334943	5.594794	4.2148232	4.2369504	4.9889274	7.1636205	5.293766	4.8063145	5.56781	4.7711806	5.424748	6.007304	8.168007	5.453768	7.2336793	6.24105	5.536438	5.3025875	5.0733204	5.24337	4.1257105	5.248834	7.3712587	6.190307	6.405995	5.8982167	4.660779	6.8754454	6.1191463	5.810375	7.411781	6.779168	5.0806427	5.5826654	6.386853	5.887041	6.421138	6.5194974	5.816738	6.8779516	7.6149907	5.8134584	6.286599	7.132247	7.73095	5.5969224	5.3959723	6.459836	5.1208744	8.957346	4.1573286	5.620425	5.797285	6.9262605	9.509623	7.2245884	7.4122734
4.850816	5.427807	5.9773545	5.4323287	5.3133354	6.092186	5.2271466	4.627399	5.768576	4.853432	7.2173133	6.1282463	6.3088436	5.63476	6.8704615	6.016785	3.7249923	5.83302	4.231982	5.821929	6.37619	8.691515	6.0995398	6.598349	5.397767	4.105228	4.454379	6.6605988	5.048155	4.140026	7.1161094	4.487317	5.910812	5.511998	4.957489	4.473751	5.289995	6.449888	4.481404	6.0969367	4.811399	3.8284295	5.5931244	6.350151	4.55103	4.7972546	4.4127226	5.2467303	4.8819838	5.1079493	4.312083	6.0222673	5.673691	4.13724	4.83433	6.668639	5.553527	8.37943	5.158433	4.2181616	4.146592	4.857129	5.997879	4.23554	4.2735915	5.4941854	4.7333765	5.8671627	5.9278955	5.4960723	5.188611	6.567998	4.123334	7.74245	6.1816344	8.59025	5.2883024	6.171094	6.7859993	7.1538286	6.1444864	6.014554	4.6266394	5.442739	5.7706804	4.834979	6.9926515	6.2775364	6.3087454	5.5186787	3.3926003	6.1334734	6.7867756	6.492332	9.539974	6.4773817	7.3773646	6.8256264	7.683761	7.2602053
