ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
4.7131386	5.7071533	5.9165926	7.327649	5.901367	5.873026	5.578541	5.151414	5.7494445	6.8331814	5.1087847	6.152711	6.7643795	7.9872026	3.4558	3.4032147	6.59738	7.379013	7.147399	5.0478687	6.7651253	8.047835	7.642687	8.287071	3.2123494
7.049795	3.49189	4.7959456	5.7024884	6.5971117	5.1042113	3.3000972	3.6859887	3.846559	4.47721	4.3004684	5.071049	5.6761155	4.634588	7.151432	3.1820307	4.9249134	5.329875	4.8447275	8.096032	3.7791104	4.6636944	8.294288	4.755541	8.781288
6.4380617	3.4790168	4.1461005	6.170967	6.4861517	4.801236	3.1469915	3.50996	3.667334	3.9128263	3.9985387	4.877884	6.7083783	5.4903107	7.332543	3.2933347	4.348566	5.0275717	3.431421	7.106399	3.7442951	3.8990211	10.670407	3.8017766	7.5107894
7.2707253	3.9635856	4.633442	4.671607	4.7047386	5.1307783	3.7956095	5.066227	4.2333384	3.9995332	4.7927184	4.6525273	6.5611	3.977009	5.624607	3.5791607	3.9930768	5.1787395	3.6652298	7.954457	4.048755	7.8243957	7.6400313	8.445622	3.956478
3.3277376	3.949219	5.2393775	6.88571	10.150404	5.3996067	4.361678	4.391416	4.308342	5.358772	3.9280856	5.8372936	6.297001	6.413213	6.326358	4.104943	5.44555	5.894382	3.9544911	3.3588629	5.215631	4.5825424	10.511556	4.3771896	7.6835175
6.8405685	6.722162	6.6694717	8.187442	5.776266	7.488774	7.135491	5.7800064	7.4320927	7.736165	7.597385	7.997289	8.027685	7.909482	6.161829	4.6202936	7.733533	8.804302	6.7940636	7.7394786	8.150776	9.665308	10.948528	9.005666	4.2569776
7.892816	4.741712	6.442241	5.869589	6.281584	6.3199434	5.6761384	5.6191945	7.0175357	5.1382136	6.737277	6.4583874	7.025464	4.5379333	4.240944	6.560403	4.79527	8.791216	5.196508	9.020279	5.6112146	7.597362	10.774496	6.664591	3.2506702
8.069688	5.295628	4.993844	6.388419	4.883416	7.315808	4.8128047	7.166617	5.4661293	5.5905466	7.69733	8.52256	8.223125	5.566178	9.77271	4.340504	6.373978	6.48323	3.710302	8.952182	5.7634306	7.2631807	7.919408	7.106034	7.5921574
7.079542	3.4227827	4.8562903	4.6740546	4.2818136	5.0404024	3.441493	3.9126163	3.6427152	3.6144798	4.1931133	4.883421	5.0720625	5.3120537	7.123399	3.9778209	4.395075	4.4404182	3.3887448	9.202007	3.850008	7.4502068	7.4126654	7.764295	6.360738
6.5987043	3.4262593	4.066909	4.3310704	4.685542	5.287678	3.247699	3.683015	3.8863907	3.6957364	4.344587	4.2996225	4.5000653	3.8044798	8.60292	3.0927048	3.4882298	5.559471	4.162737	8.597668	3.9235482	6.668211	7.2231283	7.5804415	8.722297
3.2281806	8.271791	7.07422	7.3715677	3.6095288	8.920557	6.1834836	5.961013	6.654417	5.8532724	9.289526	9.53978	9.464269	5.1417418	5.2609453	11.437594	7.826156	8.028164	3.445973	3.28506	6.0936985	8.337564	9.170048	8.574911	8.03307
4.81073	5.8116393	5.5428944	6.007427	6.4012995	6.485043	4.3884945	6.3930235	4.8856277	4.3046207	4.7547684	6.2879686	7.841344	5.5431347	3.9255085	6.565875	5.462866	5.3637295	3.2398627	4.6392603	4.8524036	4.3941813	9.612735	4.4421024	9.120367
