ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
5.7134447	5.8194637	4.551416	6.103442	6.4313574	9.145607	4.9269686	9.0212965	7.822118	7.4257526	5.388755	6.36742	6.195959	5.0623693	3.4389327	5.248567	7.6073313	5.5222106	5.236923	6.1044765	7.888586	9.056814	5.3414073	9.195071	6.2369804	5.117855	7.6335855	6.8445354	7.354697	4.8684535	6.928827	6.979941	7.365466	6.3024826	6.736385	6.942182	7.472385	8.615634	6.861203	6.3023453	11.694033	7.1685185	7.3029943	3.837996	5.8963037	6.76212	7.8577623	11.241013	7.48454	6.5018425
6.8099236	7.273495	4.3942943	6.8364086	7.566479	9.024645	6.787755	7.7216086	6.171533	6.6097574	4.712883	5.294072	6.843342	5.163595	4.2215943	6.1416626	6.9017572	7.606002	7.5346885	6.1840496	7.439336	5.983156	6.74007	8.841688	6.249545	4.3074036	7.3051295	7.659435	7.287499	6.4370804	7.5546746	6.7746344	7.689732	7.760013	7.6904182	8.10536	6.7856164	8.554844	5.918841	6.444911	7.042225	6.749028	9.246019	7.646489	4.962188	7.956983	9.867395	9.694768	9.918491	9.200756
3.4686842	3.4473794	3.1024575	3.3426132	3.4247851	6.015972	3.284374	5.441969	3.5827725	3.2470264	3.3137205	3.0837564	3.1082394	3.08715	4.01101	3.8008304	3.2479656	3.4069843	4.153698	3.3036005	3.8356023	7.2866235	3.1179428	5.367118	3.8921714	5.5253363	3.116389	4.19308	4.513088	3.525852	4.289488	3.120727	3.519864	3.569911	3.240977	3.5654538	4.132739	4.1804705	5.016046	4.592395	3.209921	3.704647	3.8968482	3.0976832	5.289111	3.2602725	7.867531	5.4302044	8.507436	4.449513
5.2376847	6.9707584	4.4407406	5.9468856	6.2987413	8.236504	6.0865297	7.83556	6.679042	6.6005616	3.8286107	5.222293	5.6697187	4.6667576	3.9092429	6.512705	6.367643	7.496939	6.9837	6.90623	6.8933897	5.5507774	5.130624	9.089381	6.278187	4.861326	5.8238335	6.8182826	6.7580185	8.977057	7.336102	6.786071	6.8791685	7.422789	7.9021664	7.3641024	6.8175755	7.9955816	5.7488775	4.438278	6.780508	5.6399994	8.660267	7.927105	5.613312	7.135332	8.521145	8.210354	9.084372	5.7449503
6.647682	5.9560103	4.1917405	7.1216226	7.2174444	9.508583	5.63446	7.4411397	7.2485485	5.9230633	4.619722	4.5829234	5.2226324	4.7923846	4.452976	7.0595465	6.921423	7.3965015	8.394862	6.218156	6.6396003	5.54268	7.292045	8.470818	5.9637566	3.532537	6.3119345	7.3823743	7.285227	7.610877	9.801737	6.361188	7.3539643	6.9610243	5.5161633	6.202509	7.4822984	7.8848276	4.942464	3.6114883	3.7552223	5.0556684	8.916027	5.4299974	3.8218744	7.608186	6.8018713	7.5365257	6.7476983	8.502335
6.530347	8.123583	5.127628	4.350583	7.88813	9.149769	7.5485244	9.890241	6.5193033	7.6020412	4.7466526	5.0982027	7.728751	5.9103394	3.4312212	5.23301	8.675557	8.187987	8.701268	7.390663	7.215945	6.0300856	8.921625	10.818319	7.708992	5.842697	7.851955	7.89382	9.11394	4.5061884	7.839041	9.012543	5.6282063	9.3536415	9.445843	9.19251	7.83437	8.430656	9.466368	5.697527	9.444912	8.53719	10.186419	10.463849	6.6099806	10.810495	11.470268	12.735117	11.536969	7.097085
6.4747114	7.5814953	4.846236	5.5962434	7.47708	9.215309	7.5481267	9.105906	7.595111	8.331626	4.6796193	6.1775928	8.136795	5.867304	3.468906	4.485115	8.432022	7.8057733	7.83338	7.766844	7.7859592	6.196601	8.466075	10.950882	6.811078	5.7367754	8.219145	8.565386	8.412035	5.1741014	8.255804	8.58988	7.1190376	8.514887	8.001644	8.000643	8.471146	8.617028	7.82279	5.9602566	7.27587	7.5696526	9.184181	8.840523	6.4569054	10.10606	10.428267	10.34289	9.822535	10.86425
6.63509	5.875246	5.526861	7.271605	7.295626	9.153347	7.057646	7.8596597	7.5860333	6.524458	6.071843	7.8886395	6.127651	6.067981	6.0996714	5.067043	6.754546	6.190894	6.8730035	6.593081	7.55319	6.7883596	6.0716715	8.395562	6.6230326	6.805138	7.951294	7.769317	7.7687826	4.1455474	8.708773	6.046463	7.5373096	6.659335	7.482266	8.124355	8.663498	9.153145	5.8780556	5.2873	3.6332524	7.853795	8.74111	5.6270146	7.907254	7.2939296	8.153979	8.625998	7.3374434	10.01185
3.1410391	6.3552766	3.1286736	3.4520164	3.1885755	7.3650703	3.2791915	7.9997687	3.3512657	3.1032782	4.4201555	3.0845203	3.0947456	3.0880158	3.1523921	6.825353	3.1383057	3.4141562	3.1522043	3.2866526	3.945437	5.539293	3.0831	6.87557	4.118759	4.927831	3.101417	3.43276	4.487486	6.4440603	3.7122822	3.1070635	3.120402	3.2183435	3.559289	3.2196407	3.604709	5.185885	3.921232	4.170777	3.0834281	3.2045417	3.653596	3.2942955	5.191881	3.2095113	3.3816774	11.888595	3.2411833	6.316474
3.9850483	3.36592	3.1022034	3.5464616	4.042497	6.5196233	3.3577702	6.838498	3.8897414	4.676723	3.8176756	3.101714	3.1767552	3.1250846	3.3551068	4.7714577	3.4621763	3.7146702	5.0640244	4.2626147	4.6156216	6.8449206	3.306606	6.531276	4.358816	5.6981277	3.208919	4.6682267	4.594545	4.2275715	5.1384997	3.719386	4.5189505	3.901648	3.3775456	4.4141264	4.690042	5.7868714	4.2369714	3.4045265	3.2372477	3.7964854	5.19853	3.0946841	6.867314	4.140486	6.392972	7.0216427	6.548291	3.2073753
