ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
3.2500982	3.340744	3.685822	3.7270865	3.2372591	3.6039314	3.7064993	3.9728484	3.9663365	3.7847917	7.918274	4.3341055	3.3090024	3.1747732	4.088228	3.880965	3.5082853	4.352728	3.2409804	3.4257324	4.353921	5.5574927	4.641412	7.316239	4.941973	3.3697124	3.34704	5.23283	3.4063354	3.1230583	5.263938	4.719675	4.131631	3.2172601	3.3630576	3.3078752	4.334423	6.1480827	3.6951194	3.5282063	4.3753643	3.7651227	4.2969933	4.751151	3.432602	3.4459994	3.297177	4.0031953	4.2039757	3.5328915	3.4101076	4.263846	3.2632892	4.468616	4.292211	7.071382	4.1022305	7.252283	3.985882	3.262254	4.258054	3.6373973	3.3106418	3.1921432	4.116892	4.7160745	3.5210195	4.2707815	4.348248	3.7318869	5.158226	4.9830523	3.2085702	6.450961	4.19443	7.963186	3.245825	6.214863	5.9084234	4.532638	4.799119	3.297253	3.8267303	4.4765043	3.698083	3.6510744	4.4800663	5.313604	4.308	5.792409	4.3279915	3.7592678	4.7870655	3.6109889	6.919876	3.9118392	6.869314	10.369133	7.653541	4.6233206
6.260397	7.961698	7.4631023	7.617341	7.0683913	6.9128923	8.543856	7.275667	7.67584	6.2146797	9.028748	6.86569	6.8393936	7.017373	6.54309	6.8962555	6.9071045	7.261691	7.08888	7.486543	8.244452	8.446897	7.6597843	8.791707	7.450681	8.231757	7.040084	7.2362895	6.571082	7.909456	6.8418493	7.19425	7.8360248	7.4957886	7.0426497	7.426157	7.341235	7.8540025	6.351948	8.125513	7.140841	8.462374	7.25305	7.2012324	6.662447	7.2007985	7.6724343	6.81258	9.387605	7.135878	8.064955	6.7936373	6.9329414	8.232861	8.941877	9.004885	6.795608	7.7784925	8.539291	7.2858014	8.016476	7.236418	7.0804167	7.4454527	6.2533255	8.6395855	8.205837	7.343941	8.082186	6.655279	9.472326	8.092981	6.9978285	9.197497	7.9911838	7.939918	7.964915	8.00987	8.935274	6.725341	10.278351	6.5659676	8.139332	8.266592	7.27084	7.7878475	7.412364	8.236359	7.5179696	7.3960996	6.4426975	8.665286	8.335179	6.774284	7.7667837	7.990054	9.536894	10.006677	8.759853	8.580078
3.1319776	3.5157413	4.117604	3.5390162	3.1773696	3.2867644	3.3131711	3.5601697	4.1954994	3.4383783	8.668192	4.662002	3.1404483	3.118425	3.4425902	5.1406393	3.4521916	3.6712174	3.4506507	3.2618325	5.516454	4.8098464	4.1568937	9.6439295	6.333803	3.4736989	3.3280377	5.0178814	3.1850166	3.2074158	8.194715	4.5808716	3.7421238	3.1656213	3.2495646	3.36646	3.6982055	5.3259163	3.6082852	3.4441888	4.0962157	3.746855	4.058738	5.15886	3.2580688	3.2268648	3.2262669	3.5339503	4.178732	3.1635916	3.353753	3.3313181	3.1799812	4.0238166	4.8870916	5.4768643	3.5845857	5.488879	3.7566106	3.3464947	3.8986578	3.2288082	3.3441086	3.1320806	3.7547364	3.9319386	3.295711	3.3858197	4.408492	3.719198	6.4860115	4.6046658	3.2205925	5.5744214	3.606033	9.124966	3.1440291	7.3974147	5.847027	4.1357746	5.2087555	3.2779062	4.3654366	4.080665	3.374021	3.393625	4.314156	5.0530877	4.6241283	6.2107177	4.048944	3.4544618	4.641351	3.3660097	6.238886	3.5586033	9.952316	12.722992	9.140392	3.558835
3.284438	4.518465	5.1012387	4.268546	3.8140826	3.745466	6.2028046	5.534278	6.6279507	3.226745	8.055998	6.5182486	3.4513435	3.9005182	3.7773755	5.07323	4.127382	4.38305	5.5925436	5.362707	7.15991	6.3885927	5.6028275	8.2782345	6.7684174	3.6817691	4.0946784	4.2463703	4.0293236	3.9937122	4.24943	5.485582	7.258531	5.5092373	4.196969	5.1717377	6.627363	7.667963	3.6695886	5.328104	5.7034416	3.828322	7.1413546	8.329724	3.8554392	3.3904715	3.3198946	4.8952546	6.911795	4.0692806	5.109544	4.997482	3.6313317	3.746893	4.120975	7.404164	6.0160675	7.6357927	4.9857674	4.7637944	3.737722	3.8054128	4.8351955	3.3454778	3.4523833	4.6024	5.1466136	6.497588	6.2283134	4.9733667	6.7518854	6.161541	4.806012	8.242304	5.0201488	5.404622	3.8804226	6.2133627	8.137054	3.8630924	8.469576	4.390223	6.192595	5.9514065	4.687484	5.333128	9.124393	6.940913	3.9873264	5.031952	3.9294114	4.3128915	10.387213	4.7499485	8.488234	5.519819	9.530771	10.071945	10.240133	5.4091816
3.744987	4.81925	7.448495	4.5459175	4.450545	3.8359733	6.4610105	7.6297846	8.761444	3.2430136	7.413805	7.7610617	3.8080628	4.5002913	4.516098	5.240709	4.045718	5.689419	6.4155135	7.617704	8.2822895	6.8797092	7.5613794	8.897657	6.7691984	3.7205229	4.1959896	4.2880187	6.0326595	4.828045	3.6519837	7.99434	7.404511	6.347087	4.923453	8.873235	7.1918964	10.552628	4.21591	6.2879305	7.007936	4.121438	6.4507666	8.524686	4.054917	3.887112	3.6192923	5.7444286	8.027343	4.017148	6.626308	5.030753	3.7482529	3.813043	4.7771225	6.862045	7.527247	8.642624	7.385675	6.0528984	3.3427167	4.2320065	5.723636	4.0078607	3.3406963	4.0833488	6.596212	8.44	6.1113234	6.065106	8.214178	5.7332373	6.255692	9.727813	6.698654	5.912599	5.9309454	6.201319	5.816585	5.2471848	8.768366	7.496977	9.258508	6.1791325	5.676173	9.262833	9.966593	5.7217493	4.6296377	3.9306562	3.706176	5.618714	11.079704	5.3782163	9.364613	7.101636	7.9775057	12.117227	8.692257	6.7589607
3.8746052	3.1521327	3.8189087	5.5770006	3.1466346	4.5354886	4.5135994	5.0387316	3.9149528	4.7185683	6.4867134	4.3553357	3.2540402	3.2880788	5.5178127	3.5052576	3.2811112	5.2653	3.6191921	4.6050777	5.388931	5.9856615	5.6018267	6.93878	3.4825294	3.7203264	3.4210706	8.251444	3.9261613	3.1565197	3.9232175	5.3699856	4.8689117	3.393344	3.3586645	3.2451112	4.8674564	7.782945	3.6614153	5.9460135	3.77226	4.036257	6.425995	4.7308435	4.9497743	3.6520138	3.54962	4.9892335	4.467511	5.7116365	3.8850877	5.902261	3.9529288	4.6686296	3.7036762	8.39784	3.5587807	9.414383	4.3100886	3.3193276	4.1853466	4.3976717	3.3155885	3.8165317	3.873811	7.416052	3.628461	4.5361567	4.2292156	4.0939274	4.998859	6.815078	3.18033	6.640233	5.9426346	4.357765	3.9862046	4.7372303	6.63869	5.509597	5.36905	3.2331073	3.8389115	4.5450544	5.095025	4.530358	5.2614126	6.046177	4.4861803	4.6143503	4.2225466	4.043063	6.263154	3.351111	4.871748	4.2300687	5.7480707	9.713476	5.644417	7.5022635
4.6395426	5.2900276	5.9184666	5.6443815	4.8910966	4.7044663	7.112395	5.90846	5.95288	3.7533665	9.469692	7.485581	6.767956	5.69951	4.8929577	6.393088	6.250355	5.3295174	4.453018	5.6561313	6.428562	7.2729526	7.430013	7.831582	6.940648	4.7482595	5.753113	5.1659117	5.695285	4.0478926	5.2399015	6.095073	6.4212704	4.552865	7.1854424	6.505029	8.380006	7.9845567	4.5823927	7.054345	5.1383457	6.8992167	4.509898	5.959525	4.6170173	4.7991524	3.8092885	5.5444336	8.132631	5.216155	5.440744	5.4050636	4.258412	7.080267	10.660596	7.8335624	5.1688905	5.9720674	7.3953886	6.1657796	4.1061897	4.688376	5.621687	4.560996	5.283531	5.1284323	6.3604774	7.3271804	6.42021	6.762031	7.6666756	6.3738127	6.27656	9.666496	5.584733	7.1348915	6.515484	10.257185	6.991599	5.376315	8.006569	7.7720766	7.1402535	9.011789	5.1995344	7.7003636	7.037655	7.3902965	5.6122394	5.133853	5.785914	7.3795967	6.1021047	6.580405	7.1069098	9.196863	8.097723	10.03191	7.6238136	7.268917
3.4572742	3.3665457	4.665286	4.8224607	3.4210825	4.114115	4.5773897	4.574753	5.0848846	4.1523643	7.138391	5.7776546	3.4566376	3.3157413	4.3068485	4.828147	3.744074	5.276305	3.778585	4.0160146	6.8259706	6.367536	5.2870083	7.619657	4.4350643	3.3495126	3.436651	6.865163	3.997488	3.2814329	7.019052	6.594431	4.4695773	3.4551735	3.4386704	3.7308877	5.065193	6.0460424	4.2417297	4.386364	5.479025	3.6662538	5.5001173	6.5954247	4.362888	3.316958	3.4071949	4.698451	4.3466215	4.0486135	3.9170887	4.923091	3.4161212	4.0322475	3.6739013	6.595458	4.608882	6.877104	4.3889422	3.5941	3.7245922	3.7865965	3.568711	3.3350072	4.859079	5.5577207	3.5290747	4.3725615	5.882345	4.743942	5.0073485	5.4626417	3.626731	5.299759	5.270467	7.214498	3.3128798	6.056563	4.8727813	5.902237	5.1000037	3.8020566	4.7583466	4.2348228	4.334626	5.1036234	4.95648	6.2146664	4.1214304	6.7159934	4.788172	3.5672865	5.7998257	3.7093642	7.2650547	3.7307248	6.1686335	8.908273	7.8432007	5.590166
3.340446	3.107235	3.3978424	3.7711525	3.0978746	3.3753462	3.3926468	3.8675406	4.2527523	7.5179615	6.679262	3.5992181	3.1312757	3.163692	3.596349	3.9075048	3.236806	3.7879887	3.2306497	3.226908	5.07694	7.3313684	4.8573637	6.255316	3.1922157	3.274143	3.1433692	8.403744	3.2179804	3.103604	5.6101246	3.9240136	3.3180947	3.1269047	3.2759798	3.1742861	3.7283978	6.7317	4.929844	3.7898035	3.499383	3.6581564	4.070641	3.7434492	4.750534	3.4672642	3.3747208	3.7556124	3.612157	4.7227426	3.399477	4.135147	3.2993693	3.6221266	3.598747	5.5195208	3.1905975	6.4165106	3.4299915	3.1179929	3.9857922	3.225344	3.1294005	3.2215405	4.5566473	9.745668	3.2857456	3.333268	3.3650532	3.3596268	4.0156665	5.5183487	3.1021562	5.7793226	4.4205756	4.1795936	3.1782403	3.8895476	3.7710547	6.2732344	4.8919992	3.1436594	3.4908965	3.3221395	3.7100768	3.9757545	4.316177	3.5531955	4.0768723	7.153032	3.373375	3.31962	4.2437086	3.1185057	6.128661	3.1627817	5.0694923	8.86365	4.6897326	8.060385
6.6339684	4.7200727	4.665029	4.9940968	5.433053	6.1785383	4.4654245	5.3590117	8.128971	9.890168	6.172036	9.475426	6.486516	5.797242	7.5811243	8.0094385	6.751485	5.693084	5.360839	4.271119	5.1091614	6.013983	9.649476	10.110384	7.828548	7.856198	4.7047906	8.242998	5.959011	4.0227637	7.3521695	6.0630608	7.9033403	3.7744656	6.670118	6.424939	7.6550817	5.181258	5.844491	5.247137	5.629607	7.253472	8.199777	8.173216	6.5418305	4.087201	7.5153947	6.6601796	5.9716673	5.653732	5.1630087	4.606537	4.7143154	4.48472	7.920764	7.660362	5.1286635	10.143164	4.352643	5.7536063	4.942279	6.9418106	5.5667467	4.7774296	5.1190963	5.748987	6.141556	6.8256674	4.7599525	4.9079227	6.9674206	8.928095	4.8493304	6.726473	6.7395253	10.951359	4.924903	7.9119806	10.705485	7.654222	6.1536884	8.6971245	5.421502	6.5510764	4.2517395	4.8188896	8.869625	8.791615	4.1984577	6.106995	6.668511	4.868904	8.40856	5.3107033	9.434164	6.778268	7.1575947	8.505043	7.6753225	3.9006212
