ENSG00000160883	ENSG00000009790	ENSG00000105193	ENSG00000167978	ENSG00000177600	ENSG00000047365	ENSG00000100650	ENSG00000119707	ENSG00000108669	ENSG00000143621	ENSG00000162402	ENSG00000159339	ENSG00000197102	ENSG00000123338	ENSG00000162645	ENSG00000142541	ENSG00000000938	ENSG00000115875	ENSG00000159128	ENSG00000163714	ENSG00000130956	ENSG00000159674	ENSG00000122406	ENSG00000197043	ENSG00000171298	ENSG00000184792	ENSG00000143924	ENSG00000156508	ENSG00000086061	ENSG00000174501	ENSG00000115457	ENSG00000072786	ENSG00000012223	ENSG00000104870	ENSG00000105640	ENSG00000067082	ENSG00000164674	ENSG00000197081	ENSG00000231500	ENSG00000167526	ENSG00000116701	ENSG00000182463	ENSG00000129351	ENSG00000005844	ENSG00000145819	ENSG00000168028	ENSG00000081320	ENSG00000110077	ENSG00000182718	ENSG00000116754	ENSG00000148303	ENSG00000054267	ENSG00000166986	ENSG00000055163	ENSG00000172890	ENSG00000104312	ENSG00000211772	ENSG00000136286	ENSG00000100284	ENSG00000111144	ENSG00000100316	ENSG00000168010	ENSG00000163563	ENSG00000151883	ENSG00000063177	ENSG00000155903	ENSG00000106263	ENSG00000164308	ENSG00000166825	ENSG00000182866	ENSG00000115415	ENSG00000189343	ENSG00000137154	ENSG00000107742	ENSG00000020633	ENSG00000069399	ENSG00000096060	ENSG00000130511	ENSG00000138378	ENSG00000070961	ENSG00000135596	ENSG00000134539	ENSG00000139370	ENSG00000140678	ENSG00000143870	ENSG00000029363	ENSG00000102096	ENSG00000138772	ENSG00000130592	ENSG00000123329	ENSG00000170345	ENSG00000139641	ENSG00000168071	ENSG00000140105	ENSG00000162231	ENSG00000135976	ENSG00000215301	ENSG00000084234	ENSG00000184922	ENSG00000072818	ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
5.4846907	4.058461	6.93368	4.1999683	7.5467043	4.361715	6.168818	4.0547476	4.4797206	6.208497	4.6058064	8.900197	5.346345	5.109613	5.2967668	7.4022493	5.635913	5.0100236	4.7230906	5.5912457	5.5922437	4.988533	6.50756	6.2332015	4.4676313	7.5966787	4.782688	9.594379	6.5570984	5.00167	6.728482	6.3750014	3.772788	5.4283843	8.328589	7.3419886	4.0171432	3.8846796	7.1517334	8.491037	6.9796824	6.269043	4.794848	5.0073104	6.015086	6.745865	4.0461006	5.9316225	8.025678	6.8614635	7.47733	6.2395463	5.2515726	5.615916	5.7365417	4.96462	5.121954	4.793112	4.9705973	4.603583	8.500256	3.8778884	6.3325377	6.0712304	7.631661	4.1942606	5.05129	5.1995234	4.3348823	4.583537	6.6083355	5.641181	8.533234	4.3210106	4.2799306	6.1399794	5.5766096	4.8710217	5.4353094	4.6440873	4.379127	4.1377883	5.011708	4.159007	4.6752086	5.1121864	5.1204863	6.47906	5.0418715	6.568715	5.4216633	7.1969204	3.9873035	5.714382	5.656043	5.1145506	5.7151403	5.9340973	5.2742143	4.7540617	5.34168	6.129664	6.1518497	6.226037	4.207445	4.8145733	5.38402	5.283781	6.2588634	5.2388954	6.912995	7.1745524	5.077978	4.8882246	5.1571417	5.892035	5.508929	6.122841	4.699276	4.487932	6.4952164	7.601468	7.426782	8.041628	6.2423043	4.2834787	3.9361386	6.643651	5.33742	3.8811352	5.8127623	7.29687	4.8662643	4.4547434	5.077082	4.918248	6.996437	5.795192	4.194176	6.2400665	5.2717123	5.6850977	5.202406	6.011598	4.6384654	4.3685765	5.4166026	5.6906924	8.72118	5.1023436	4.8841615	5.023244	4.678843	5.2589016	5.2714596	8.486529	4.223188	7.1681924	7.0922537	4.563015	6.0696983	4.3120046	4.2851315	4.669367	4.434753	5.233478	5.4672565	6.0164824	8.365437	4.6427717	5.715697	6.0084763	4.4103775	7.97223	6.286311	6.1818833	5.162286	6.030767	6.692251	7.2975163	4.983853	5.605006	6.7588773	6.6582546	5.2695837	7.929079	6.018919	8.051945	5.445263	5.7588143	4.0383253	6.3418703	6.47646	5.9301033	6.962901	6.08285	7.3545413	10.249271	8.411531	7.165205
4.1227283	4.3162994	5.8854117	4.825109	8.050539	4.240832	4.987721	4.2851734	4.3968344	4.6442204	3.6944587	7.3927846	5.36142	3.9779902	4.4689426	9.415623	6.0191526	4.695611	3.573685	4.5126967	4.815617	3.5782614	7.0336523	4.3736877	3.273759	7.684277	4.952163	9.76274	7.4415135	5.3546867	5.689058	4.9300966	3.3110502	3.5407624	6.794627	6.320978	4.0890107	3.2075093	8.188764	7.920375	4.918277	7.6808257	3.7728636	4.16607	4.0219584	5.9873085	3.9236221	3.7422354	5.5485573	5.888342	7.7141376	5.1465216	4.651657	4.886927	3.9143884	3.5407658	4.840285	4.860718	3.7166038	5.9925327	8.723561	4.009939	5.6986675	4.847802	5.954851	4.6141667	3.752371	3.5548267	3.2055156	4.582157	5.1196303	5.4452105	7.6346316	3.5691533	3.6266098	3.6851752	5.942606	3.561145	3.8363318	4.503889	3.4759505	4.4545307	3.8857293	5.9060416	3.8400612	3.9548054	4.3195357	4.3451495	6.4506865	4.7526097	3.968214	4.258681	4.812021	4.263973	3.8515806	4.150359	6.5090218	5.103816	4.6417007	5.78868	3.7288623	4.4788017	4.5902247	3.9455905	3.4979591	4.238743	4.496446	5.3381844	4.77612	4.3683324	7.8978724	6.066574	3.5793576	4.119279	5.035577	8.06203	3.9797568	4.0399733	4.455142	4.793589	7.467449	6.395854	5.8953867	8.435902	4.779732	3.6037445	3.6952894	4.8776836	3.6601255	3.7317362	3.7883294	5.2789516	6.3758774	4.0479507	3.6163704	3.686471	6.6512685	6.669285	4.1463866	5.2024245	4.36968	4.5892305	5.9578876	5.2439094	3.9023132	3.5870352	3.8050437	4.5385914	4.811222	4.090355	3.7942848	3.7579982	3.5570157	4.836793	4.1383657	6.2851596	3.7039068	8.484187	5.9687614	3.6923654	5.2017984	4.8007994	4.9238777	3.5180106	5.454792	6.4445143	4.5533648	6.030607	4.900821	4.0373173	5.077744	6.492513	3.7967346	7.55791	5.657057	4.8968115	4.1407967	4.783369	5.4225855	5.0409274	5.6970024	4.467907	6.13365	5.453456	4.252919	4.209732	5.8613386	6.347145	5.9660997	6.0163393	4.234876	5.5681715	5.5108404	6.6082478	9.143246	5.2459106	7.555928	8.194019	7.647203	8.330507
5.0241785	4.611105	7.3256164	5.490991	8.243306	5.2643065	4.462349	4.828373	4.8394394	6.1122055	4.0298295	7.8759236	3.928199	5.503773	4.8070774	8.889219	6.7877793	5.0682864	3.7430148	5.363285	4.8442984	4.4861	10.376399	4.878663	5.3322973	7.1989975	4.042584	10.699717	4.6054444	7.537984	7.4652357	5.2220626	3.660366	4.6928506	8.285209	4.799388	3.5712361	4.6561384	8.666107	9.008715	4.6895714	5.6331835	5.8739033	4.0893326	5.4297066	7.225577	4.644	4.742132	6.43008	7.457723	8.838137	6.8765135	3.8903131	6.2945223	5.3724957	5.416848	4.5218005	4.893957	4.309206	6.5335817	10.256382	4.4398785	6.898031	4.720544	7.611122	4.661584	4.2073555	3.9228954	4.766881	8.1356735	6.301528	5.6932526	8.813321	3.8539257	4.4993334	4.1691675	3.710856	5.3589935	4.1989346	4.7468715	3.3652945	4.3588037	3.5044909	5.471223	4.190115	5.259546	5.921241	5.6868305	5.6519547	6.4867344	4.8420997	4.356411	4.7640495	4.8687153	4.256521	7.052271	5.4327965	5.135455	5.039525	3.860437	5.6946864	4.862571	6.463087	4.1459928	3.7634788	3.9190958	4.2892423	4.4219303	4.789982	5.1319547	6.590045	5.794611	3.7922492	3.9069893	4.232327	4.25854	4.7833195	5.289301	5.0380383	4.1502924	7.3827977	5.2542686	7.4355345	5.799905	6.3563957	4.11337	4.058192	5.8160205	4.5434017	3.496526	6.0500307	6.9871645	5.8057537	4.5125256	6.1338515	5.163067	6.3607826	7.9335093	5.4296074	8.295095	5.528925	5.9279213	4.811513	4.746902	4.593358	4.856648	4.8723803	5.9097943	7.4694138	4.8794656	5.8530664	4.7129	4.128932	4.42102	6.680738	10.472451	3.9862876	7.1571956	7.225316	4.652071	4.73531	4.3553953	5.000757	4.8346615	4.8231397	5.6261225	5.267526	4.954528	7.080736	4.7626424	5.491481	7.1860323	5.463991	7.1488967	5.880885	7.9657345	4.3713794	7.22521	6.8738775	6.723633	4.976444	5.178886	5.6073203	7.288789	6.114234	6.8774214	6.0754275	5.6441655	6.4344172	5.7831926	3.804484	5.8841124	6.8567314	4.2416735	7.024808	6.305755	5.8227606	9.685099	8.9722595	5.943409
4.731693	6.842018	6.3962164	4.880819	7.0311966	4.1825385	6.427333	7.1083384	4.7001185	4.4480014	3.8304548	6.8536363	4.135831	5.4050198	6.212187	9.083454	4.718297	5.242467	4.6033897	5.7199583	5.675356	4.051522	7.3392715	5.4182663	3.6537006	6.7295837	4.9923143	9.871828	4.473906	5.5890284	6.7551575	4.560686	4.6832757	3.9993665	7.832127	6.243782	3.9213355	4.1460724	8.353437	8.98057	5.4509325	6.6741915	4.794285	5.2116385	5.3685274	6.0215716	5.385153	4.142934	4.7606215	7.956298	6.864975	6.9822206	5.6798544	6.1123514	4.5472183	4.6991644	6.837965	4.674771	3.8674116	6.3805094	8.995342	6.9123707	5.71707	6.194089	6.5105095	4.603981	4.334621	3.7477064	4.2897215	4.982351	5.3625565	4.9614477	7.5552754	4.803238	6.4122343	5.079271	4.890377	4.6523976	5.5061493	4.4552627	7.0138044	6.4117165	3.6541128	4.982663	5.4089937	6.3935595	4.3934884	6.9851475	5.863036	4.85623	5.8899355	4.2985945	4.6497965	7.854706	5.239316	5.774643	6.173271	4.843343	4.0011296	5.2820263	5.182062	4.793435	4.8315425	5.65801	3.6598783	3.8535657	4.682688	5.3705196	5.9129467	6.248963	7.7131147	6.9314666	4.6165886	5.199893	5.137043	5.409626	4.4766083	4.5624547	4.1132164	5.4940357	7.123776	6.9780393	7.0342407	6.945862	4.634027	5.2370462	5.2562485	6.473819	4.230913	4.044757	5.038051	5.6544123	6.4181957	4.660743	3.7978196	4.8003464	6.8410006	7.456063	5.0668097	5.8452463	5.619958	5.493869	6.8761287	7.299583	4.6073174	4.550507	4.0507846	4.341015	6.348797	5.2986097	5.0277214	4.570974	5.7181234	6.0430965	6.907595	8.22443	5.885356	7.4199924	5.2916193	5.913892	5.84229	5.5019045	5.195978	4.286775	7.081688	6.320531	6.3041005	5.760626	5.0867405	4.9300766	6.0785255	6.139331	4.6604514	7.878809	6.3066096	6.6512833	5.978627	5.237037	7.0085754	5.3351088	7.450126	4.569427	5.824047	4.5589495	5.2941933	6.094652	6.495601	7.2560663	5.227601	5.3231497	4.551557	5.228936	6.836028	5.091813	7.7566075	6.1237154	6.9365234	9.639957	6.0429873	8.303829
5.4521065	6.2526703	7.0075364	5.209118	7.676746	4.923573	6.5445433	5.6771154	5.292883	6.0727	4.7760825	7.95833	6.868252	5.203803	5.9156823	9.607978	6.79628	5.6495104	5.178653	6.0641675	5.608921	4.3800945	8.758675	5.7854605	4.4915924	6.848939	5.250148	10.411583	6.8566265	6.767611	6.229267	6.555003	4.057321	4.802923	7.6070127	7.6484694	4.7319117	3.6168458	8.261955	8.688032	5.9166713	5.884495	5.4270835	6.622825	6.1974735	6.843487	4.867056	5.1609163	5.8908334	7.7660594	8.561215	6.4284267	6.299681	6.987374	5.636803	5.0181074	6.3237934	6.432357	5.3885064	6.139969	10.0126915	4.926421	7.1325693	6.4860506	7.215709	5.483984	5.621686	4.022523	4.3245406	6.290742	6.239792	6.4958887	7.603259	4.6439548	5.484376	4.904456	5.4474998	4.6718473	5.555446	5.3675222	4.6735787	5.30846	5.038047	6.598424	6.0488796	6.1868505	5.6820116	5.5920286	6.7781115	7.5085325	5.7651844	5.645131	6.4524918	5.106575	5.1389046	5.6409893	5.938597	6.96118	5.418168	5.682877	6.6314497	5.4114294	7.8611546	5.4002924	4.6799803	5.742116	6.048634	5.29272	7.6972537	6.0476346	8.457317	5.93075	6.416688	6.6959944	5.7522707	7.6694183	5.1861873	5.0001855	6.0068026	5.172948	7.802142	6.866531	7.592384	8.918158	5.9972897	5.4589634	5.0600486	6.1616206	4.6013937	4.7809153	4.3730006	6.380375	5.8555946	6.17863	5.142503	5.221527	5.570719	7.4386086	5.586192	7.4322853	5.8541603	5.3630905	6.229044	7.1851068	4.6194067	5.7633963	5.5236835	6.1413608	6.5213966	5.3773623	4.614663	5.6770263	4.9566927	5.095886	5.561199	8.133823	4.518357	8.111301	6.0861382	5.5201077	5.436393	5.5479927	5.843243	5.7279863	5.0733614	5.818552	6.376392	6.461909	7.5765686	5.3762894	6.451179	6.178784	5.4491563	8.569872	7.2133856	7.2535863	5.8505583	5.8973455	7.115997	5.93663	7.4548674	5.9327993	6.396695	5.8445873	6.0216694	6.6958785	6.087274	7.1556015	7.2232785	6.3505754	6.2993236	5.7326465	6.926235	6.278736	9.013937	7.4501133	8.493088	8.949295	8.15562	8.056259
4.972721	4.1811028	6.1174192	5.8522377	6.699336	5.0732937	5.0995336	5.427643	4.545253	5.792047	3.9008389	6.520837	5.327815	4.710984	4.3494596	8.082118	5.3990374	4.9581795	3.8952708	4.370969	4.5179715	3.5272593	6.4468794	4.298318	4.0493307	7.4648476	4.3870516	9.040718	5.15795	6.4315515	5.7739305	5.1748996	3.5797138	4.313794	8.981032	5.333351	4.231345	3.386175	8.99356	9.162235	5.2124867	7.3653235	3.7803926	3.797896	3.9788666	5.3272133	4.408222	3.8528852	6.247013	7.65181	6.767663	5.4374466	4.696532	4.5419126	4.357713	4.2769957	5.844743	4.841435	4.6429615	6.379546	8.586666	5.244273	7.6590137	4.8978887	6.7995157	4.2725463	4.225148	3.638891	3.7544026	4.9467263	5.7202616	5.5529337	7.5385284	3.5817878	3.5150247	3.9363291	5.2348843	4.0527315	3.6063118	4.2285175	3.7465901	4.6678314	4.0016756	6.5430965	3.95577	5.4482074	6.1093826	5.031594	5.5657463	4.3206143	3.9541564	4.001932	4.8213816	5.210314	4.1143227	4.9962306	6.7221727	4.6760926	4.0196013	4.976257	4.434804	4.8527136	4.240266	4.3558846	3.9414253	4.511528	4.550119	4.5900974	5.302707	4.471801	7.7271075	6.3535976	3.5321102	4.324393	4.8104653	5.922488	3.893413	4.6773267	5.222048	4.416181	7.604797	4.873825	5.781101	6.860157	5.971613	3.8166842	3.891471	5.8473535	4.931103	3.7137833	5.2638884	5.44534	5.8608856	4.0047603	3.7625406	3.7878509	5.8385367	5.45523	4.978593	5.333124	4.516361	5.0999756	5.2327824	6.5055437	3.9396975	3.6711504	4.0056543	6.4944544	7.042468	4.991683	5.301235	4.560249	3.3602347	4.9560065	4.949727	8.165756	4.6402006	7.3892865	4.837146	3.9003124	5.4119344	4.188531	4.702851	4.115	5.9852023	6.7377324	4.2367764	4.919067	5.174457	5.747425	6.6514063	6.397485	3.7213533	7.698244	6.1463413	6.198803	4.434451	6.5710235	6.4153214	5.0118284	6.9833446	4.4440846	5.1409245	7.0739355	4.6210127	4.418879	6.7664967	5.757065	6.5443945	6.896714	4.3457985	5.099507	5.299632	5.9005914	7.1250315	5.742597	7.8172145	8.682463	8.670645	7.0430527
5.2645407	6.8605614	6.408779	4.954776	8.808193	4.991058	4.966216	3.8875654	4.6504207	6.4201717	4.944562	9.475347	5.600422	5.959837	6.4941425	9.717585	5.365568	5.4919653	8.867399	4.576869	5.5252733	5.9046483	7.0760508	7.7911134	3.6789994	6.7108135	4.7537766	10.848153	7.6418514	6.007601	7.4962993	7.8804984	5.209117	4.6820946	7.9990854	6.266322	4.7475696	5.7901487	7.9227233	7.509258	8.887887	7.748819	5.0057716	4.3852715	7.5906496	8.943094	5.982491	6.1811776	5.8422146	8.129234	6.140032	5.7035694	5.861069	6.4624357	6.097305	6.05145	6.5812864	5.13236	4.8901234	6.007719	9.6627245	6.2053204	7.6776147	6.876313	8.35177	6.7925444	5.8504095	4.3250384	4.215587	5.144307	5.4479275	4.8874574	8.25312	5.7771473	5.7263403	4.882742	5.9722853	5.0852203	4.9521484	5.1755543	4.809073	4.8999214	5.471342	5.6494484	4.9179325	5.844101	4.313228	7.642828	8.484522	4.903133	5.356929	7.108544	4.47223	6.035019	6.947813	7.312918	6.4065475	5.3550477	5.515539	4.1634297	4.9856462	5.7092485	8.695603	5.2312155	4.384275	3.8090227	5.4399137	8.563522	5.4157233	5.447937	8.559142	8.821505	7.2242985	7.414909	5.5770454	7.1386824	6.731091	5.8986807	6.0511065	4.7057796	6.2757998	6.539591	7.482444	8.991959	4.41508	4.2358537	6.2352047	6.2963643	6.1499095	4.783169	5.317164	6.786234	8.1970415	4.8122435	6.470478	5.101389	6.317103	7.822298	4.444418	6.712737	5.116286	4.9649897	5.954338	6.06148	5.868849	4.430389	5.0726924	4.328745	10.195047	5.5702157	7.470319	4.6099296	4.1719775	4.896513	6.1672935	7.183315	4.767953	7.28821	6.076226	5.009602	5.1359615	7.0583625	4.9411364	4.476217	6.785512	6.3750825	8.076367	7.419806	6.173134	5.705037	6.936139	5.96865	5.454649	9.458704	5.208671	5.7045746	8.043261	8.566668	8.437046	7.249752	8.2980995	7.888769	7.9270997	7.6692915	8.011248	6.1897793	8.075153	7.024911	6.098352	5.817434	5.0013437	5.093115	7.627792	7.523987	5.97592	6.8154283	7.9713616	8.499849	7.309173	9.887789
6.358022	4.902922	5.5095253	6.1736703	6.480475	5.223616	5.316204	4.8731675	5.2026734	4.841712	4.1438212	8.669722	5.154455	4.389782	4.8884997	10.348869	6.1559305	4.711018	4.7509117	5.838401	6.727686	3.9941046	6.315483	5.128393	4.1358886	7.389171	5.6104803	10.346792	7.155863	6.7018127	7.0280437	5.189414	4.833035	4.933112	8.9076	5.706628	5.3734565	5.303396	9.662083	8.230602	5.4985905	8.577728	4.6656623	5.464758	5.5544796	7.542789	4.352613	4.6188674	6.980755	7.0520954	7.840279	8.259858	5.548067	6.8366365	5.120838	5.3352175	6.536757	7.10957	4.596908	8.199915	8.354294	7.6323123	4.9566784	5.5695457	7.8127007	6.131141	4.501751	3.5400925	4.451174	5.286286	5.810998	5.559599	9.242422	4.998475	5.455187	4.4091353	4.588823	5.6241508	4.2323546	5.731411	4.569591	4.792046	4.554067	6.1680107	4.261148	5.1570015	6.506781	6.57285	6.178155	5.2432427	4.545213	4.6759586	5.9994307	6.252597	5.3997774	6.1386447	6.933605	4.0937686	5.916896	5.3727007	4.506049	6.154228	6.4709396	5.506797	4.788888	4.758215	6.751088	5.651267	5.536923	5.052446	9.735821	7.2693596	4.3596473	5.2497168	6.012586	6.6064973	5.7520275	7.0342836	4.6955013	6.4511995	7.721818	8.184732	6.8830633	5.794716	5.2286787	4.3106394	5.6516724	6.6288033	4.9300804	3.9439027	5.690358	5.771882	7.3621025	4.1483755	4.964459	4.0140667	8.771156	7.1818066	4.8315372	6.9748373	5.771358	5.214842	7.6183023	5.371594	6.7777567	4.4187627	4.1273627	4.3286853	8.415517	5.943824	5.089281	4.696762	5.8731	6.081993	6.2031603	6.860059	4.838245	8.322428	5.610985	4.0392003	8.454678	5.907896	5.9772367	3.9754682	6.233611	4.964455	5.8691416	7.022932	5.0084763	5.290164	5.0252504	6.665188	5.0652514	7.816486	4.5933137	6.948697	5.400111	6.8766775	5.886469	7.7944484	6.530049	6.249695	7.65844	5.8908606	5.4682817	5.1828666	7.7768655	7.0511446	5.4784217	6.5163546	4.555008	5.356292	6.9602504	4.744722	8.107895	5.433717	6.889221	8.8284855	7.2097044	8.07815
3.5146272	4.1057663	5.2679358	4.121927	6.671403	3.482257	3.899509	4.3632874	3.3380287	3.5248084	3.1817403	8.236845	3.1914291	4.7738495	3.83961	9.584871	3.989318	3.6386948	4.4259825	3.2139847	3.3362405	3.5014994	5.744895	3.6579041	3.2791905	5.2578726	3.7202437	12.9810295	3.5623581	4.750867	4.0686817	3.7823849	3.645495	3.2435937	6.7597446	4.22489	3.5586224	5.080847	6.411689	8.207458	3.4830198	8.602438	3.8055196	3.5082583	5.17089	7.9878535	4.337925	3.2242327	3.8159947	5.9182315	5.730173	7.971211	3.4545286	4.682736	3.3966427	3.2462025	4.9138765	3.4861846	3.1610656	5.60987	10.932152	8.735378	4.079619	4.570112	7.3861446	3.6888986	3.7053387	3.2156909	3.5167046	3.6211262	4.287392	4.246843	8.752254	3.7935102	4.104839	3.2399168	3.4729295	3.8440378	3.6097486	3.737027	4.049423	3.6374671	3.157641	3.4452481	3.4141834	4.1597314	3.4386737	6.699438	5.311179	3.3032992	3.426155	3.5536664	3.301177	7.2043214	3.584745	4.3736677	4.658473	3.4186192	3.423989	3.5364366	3.5545266	3.5308812	3.7067795	3.3786595	3.1151037	3.1478322	3.6535654	3.9897308	3.370928	4.573416	4.774341	7.168275	3.5003364	3.2734108	3.80027	3.8930314	3.3423455	4.327052	3.2476115	4.0375767	4.574093	4.743993	4.482565	4.266501	3.5644221	3.243113	3.5185146	4.3519797	3.310047	3.2228968	3.7961798	4.229156	6.595334	3.8099303	3.4474332	3.4703414	9.210524	8.930162	3.3453207	3.6632497	5.0171304	3.7836514	4.0241795	5.3050804	3.4985251	3.4661388	3.2804503	3.4924726	7.191698	3.9898005	5.3243666	3.4497	3.877362	5.1493435	4.8091974	8.607231	3.6711004	5.376233	4.8396215	3.7491715	4.551839	5.3410296	3.7391298	3.2996733	5.9875727	5.5116415	4.228026	4.345406	3.8175335	3.3773003	4.289882	5.547242	3.7420151	8.771061	3.6669283	4.7675686	3.7580717	6.4961205	5.177569	5.2743998	4.315749	3.474051	5.109524	4.116807	4.1778936	3.80307	4.8783064	6.265007	4.2696524	3.893399	3.3152175	3.7991736	6.314355	4.1194997	4.7874284	3.5322163	4.9876604	9.11681	4.826191	7.0118103
5.223341	5.3972683	6.9888825	5.2529764	7.1653805	4.73541	7.253368	5.312565	5.3515177	6.2819204	5.1840997	7.6411514	6.0018992	5.047556	7.9167466	7.373251	6.0870724	5.4296517	6.2064114	5.5674696	6.5855293	5.3873005	8.572895	5.7501283	5.523181	7.4790564	5.7159877	10.433749	6.817261	5.7103267	5.5991154	6.378559	4.1161294	5.7641716	6.747939	5.973717	5.1033163	4.1239243	9.098348	8.831723	5.5636177	4.888776	5.548682	4.648367	6.3637934	7.417584	4.8701944	6.869419	5.236143	6.6520987	8.750174	6.8763666	6.580904	6.5205307	7.1538167	5.782015	6.354968	6.338609	5.052187	6.039036	10.072388	4.914645	6.0752716	6.014742	7.439617	4.4940796	5.786875	4.8195515	5.6690426	5.8670216	6.3719616	6.496438	8.92278	4.9503736	5.0921483	5.1132975	5.1752577	5.5815773	5.4700403	6.1673717	4.886655	5.485898	5.656316	5.8863044	5.350178	6.001619	6.667224	5.560298	4.8513293	7.0186834	5.7932043	5.508951	5.446968	6.577572	5.5639105	6.268917	5.200622	6.0523157	6.0670667	6.410093	5.5099106	5.329324	8.120077	6.457245	6.326344	4.804041	6.322283	4.347731	6.116543	4.9476175	8.624167	5.950328	5.5839643	5.2831764	4.8847346	6.238364	7.0211477	6.184558	5.5499487	4.573089	7.9634366	7.896633	7.6423335	8.395202	5.240038	6.092387	4.654965	6.727406	6.3457003	5.0913305	6.033728	6.249734	5.490282	5.8178253	5.1097574	5.2905197	6.1121187	6.2794743	6.2119274	7.2222185	6.30447	6.699066	6.174009	6.8355126	6.060032	6.1740017	6.0172577	7.503597	7.8786964	5.226023	5.4178467	6.7918854	6.393774	6.0435286	5.619755	6.9646206	5.7401905	8.466122	5.508402	4.5937166	5.2290273	5.253125	5.205513	4.7317886	3.8879213	4.785089	6.06065	5.2829666	7.561404	6.7557898	6.73752	6.5193696	5.3660364	7.742576	6.3270874	6.639496	5.9520054	6.7167172	7.3843646	6.8434834	6.4959993	6.3834896	7.132226	6.323381	6.4245114	7.2692103	6.458518	7.4797573	6.322488	6.83459	5.2188063	5.720584	7.6882663	5.8484244	7.5444674	6.0754747	7.0049973	10.047745	9.091373	7.128045
