ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
9.744837	3.8704648	4.487738	4.7358465	5.9457355	5.8490562	3.9743834	3.8800724	4.380374	5.0512857	5.1180344	4.591807	5.4076447	5.8046446	5.9957924	3.915723	3.8380346	5.660407	4.424136	10.854401	4.8574886	6.7808533	10.387613	7.1363163	5.970413
4.251662	3.665202	5.6239743	6.179403	4.070436	6.643898	3.8386002	5.1418447	5.5063186	4.978054	6.613197	6.264225	7.9249196	4.2132907	6.189827	3.6615176	5.4610715	7.1851883	3.7467942	5.8515506	5.638704	7.4734077	10.563595	8.000332	3.9434352
4.1020193	4.270822	5.023217	6.0156546	5.716376	5.612339	3.579608	4.298887	4.2315187	4.551117	5.360237	5.354834	6.8202634	5.2988815	9.751493	6.860171	6.6891503	5.189768	3.4277039	4.6148915	4.778568	5.461871	11.102128	5.4332247	6.737768
4.5671163	5.5560684	7.0524235	6.5187	4.8918376	7.981311	5.8017883	7.696513	6.4430013	5.747903	6.4104767	7.796342	8.853355	4.3950877	5.709772	4.6772556	5.979607	7.5585957	4.3942413	5.936337	6.332649	8.325476	10.266627	8.044138	10.133316
4.418643	5.3664684	6.8991504	6.272151	4.017694	7.152448	4.939415	6.2923155	9.61734	6.164935	6.304006	6.7166996	8.395323	4.950372	4.480157	4.0174456	6.2024198	9.227657	5.556537	5.7231255	8.170035	7.7828536	9.382059	7.460075	3.7779052
7.274992	4.942273	5.3546457	4.8021393	6.6372166	5.1878567	4.1501923	4.029365	4.77721	5.616988	4.6591635	5.5082064	6.194997	5.3117104	3.4399452	3.1769962	4.687722	6.5282583	4.0196443	9.111671	4.7656355	6.7959633	11.008519	6.2219195	6.360908
6.583551	3.4394386	4.131128	4.338417	7.61514	5.125123	3.5057929	3.916987	3.627617	3.3045454	3.498806	4.459051	4.8117733	3.6128366	7.484314	6.961627	3.2192895	4.792057	3.2053885	9.784312	3.4995217	6.6777773	9.451427	6.1122665	5.729091
6.697231	5.1736917	5.786537	6.6056347	5.232945	6.202379	4.127369	5.451069	5.8927736	6.5177326	6.3491683	7.201984	7.824314	7.254468	6.8662777	5.1163745	8.248639	6.0474553	4.514412	8.124426	6.0636635	6.7689867	11.842138	6.3395305	5.2687273
8.043481	7.244161	8.14388	7.9385514	7.289275	9.14282	8.48148	8.0039835	8.119918	7.045496	8.122984	8.183847	8.972738	6.5493135	6.106555	5.059819	6.572895	9.161179	6.4406033	9.055266	7.918305	9.127634	9.930372	9.194912	7.765837
4.3758383	5.211421	6.815842	6.9106064	5.5537987	7.193212	6.23455	6.437847	6.466113	5.6551733	6.851739	6.9780707	8.061008	5.0131035	4.500714	4.4069767	5.278517	8.460471	5.114833	5.7065597	7.147825	9.093606	7.8534307	8.7028885	7.462253
6.981443	5.2160063	6.5464573	7.490224	5.2250156	6.161749	6.8094654	4.893006	6.8888235	6.6329174	6.2873673	6.7214546	7.4876447	5.00604	4.994363	4.899775	6.517384	9.105019	8.588591	9.34709	7.2433434	9.605061	8.378008	9.453226	4.2917304
4.8480997	3.8654065	4.7272606	5.5343647	7.1136312	4.9811735	3.5586967	3.6393023	3.7463377	4.065547	4.354577	5.1959968	5.7949243	6.6096296	8.373171	4.981573	5.719542	4.6100574	3.4049392	5.890271	4.0438414	4.877289	11.144934	4.4963856	5.49619
7.1682568	3.0973675	3.3133442	3.409227	3.7086363	3.6389723	3.1031897	3.1648333	3.1696906	3.118639	3.1566405	3.2011395	3.681696	3.1600351	9.201525	3.2278793	3.0997834	3.6061895	3.1093767	10.251182	3.1138027	8.122455	5.9510098	9.237333	4.579454
4.4694815	4.384746	5.00404	6.8067336	5.2678022	5.1351132	3.7080626	4.03155	4.1924305	4.557103	5.0765886	5.8786225	6.026124	6.0614457	7.6661434	7.025403	5.5522146	5.9716015	4.0936737	5.281039	4.8438473	7.0766764	9.15822	6.9601727	7.2485127
4.840114	7.1322765	7.481214	8.495256	5.091967	7.8090415	6.5611944	6.5320897	7.545317	6.399215	7.7414975	8.153457	7.8358836	7.1323338	6.8147707	6.386298	7.1226845	8.598158	5.8865585	6.2732882	8.122881	8.79402	8.061445	8.857578	6.1480365
7.3498263	5.818283	5.697948	7.0866337	6.2789087	6.4171844	4.376935	5.920951	5.863941	6.433713	6.672021	7.0268106	7.3238688	8.098152	7.3334827	4.687328	7.127729	6.886284	4.973555	8.27207	5.823739	6.5745516	10.001219	6.5680537	6.709849
6.8533106	4.4754725	4.7741566	5.3076296	4.787066	5.456558	3.7225657	4.098403	4.2057076	5.2536206	5.618121	5.2577496	7.785413	5.4434586	3.7606506	3.1952941	4.996503	5.699787	3.5519056	7.567051	4.6311884	5.024467	11.301069	4.4244194	6.2160273
4.787666	4.953052	5.875757	5.9806747	5.8083396	6.0416493	5.067211	5.6356735	5.657895	5.0439215	5.4403477	6.5651894	7.5015173	5.1165104	9.830229	7.8990145	6.432239	6.4469104	4.3519964	5.604576	5.4691424	7.6723924	9.409603	7.8040175	6.7904243
6.1241345	3.7542338	5.0117874	4.8937087	6.446392	4.8068466	3.6299777	3.9760928	4.151921	3.683363	3.9313157	4.4379315	5.2218904	4.118657	7.8291144	3.5485263	3.645041	4.6402826	3.6621969	7.2407775	3.8652737	7.9519987	9.139122	7.536316	7.8264585
7.630455	8.323416	8.437305	8.458963	8.07389	8.405354	8.916523	7.1794796	8.706856	8.836866	8.125688	8.658193	8.985502	8.694681	6.4199495	6.0231347	8.707165	9.593467	9.169498	8.333633	8.84095	8.422826	9.968606	8.846266	8.749672
4.098527	3.1582026	3.8580165	3.9525971	4.7909336	4.557864	3.22798	3.8616536	3.3795955	3.1641157	3.3837109	3.8410857	5.093987	3.274331	8.165264	3.1983495	3.2056375	4.6345263	3.139451	5.3467574	3.2774725	6.428743	5.8251677	6.3916073	7.593224
4.48107	4.067629	5.0107527	4.157224	6.838808	6.115897	3.3238988	4.908467	3.757371	3.6346626	4.1765776	4.9742203	7.113925	3.8348508	4.4636087	3.1415408	3.904422	5.4894266	3.1171658	4.819348	3.814671	5.232259	9.092627	4.9028587	5.524437
5.656459	5.703999	5.9665604	6.2832317	6.306837	7.184655	4.223956	6.740788	5.918208	5.9720545	6.2992897	6.987259	7.5801406	6.21208	8.315191	5.959598	6.083982	6.2621517	4.0931015	6.1237526	5.7458706	7.112751	11.688673	7.4453716	8.831271
4.2948833	3.1007109	3.322494	3.9506903	4.559528	3.8942378	3.0919113	3.1049376	3.1218393	3.0961616	3.1662793	3.2428746	3.817024	3.1651933	12.305031	4.317787	3.1169043	3.5922928	3.0834846	6.183092	3.1049495	5.0768094	9.505795	4.735242	3.1886535
5.261941	6.071063	6.914912	7.818316	4.7471657	7.453742	5.822576	5.6342177	6.967805	6.645029	6.7661915	9.0437765	8.194618	7.114761	7.8093567	5.64352	6.809669	9.166629	6.5653896	6.8705215	8.229376	9.483873	7.5552335	9.479246	4.546793
6.404237	5.9892983	6.3323	6.6715655	5.900217	6.6347733	5.5093	6.312316	6.13061	5.4635415	5.995856	6.361412	7.78298	5.582701	6.5454855	6.559964	5.984295	6.539008	4.364043	7.9913983	5.610367	7.270661	11.636234	6.619879	6.4473195
4.1240644	3.1447792	4.536719	4.056422	5.0728283	6.1118517	3.7092156	5.080253	3.7316658	3.1574886	3.3342745	3.8095443	6.1784477	3.1650372	7.264017	3.1860495	3.1215317	4.8175073	3.1243308	4.950988	3.4436498	6.1885033	6.316524	7.189901	7.8712435
6.338194	7.070798	8.126555	7.5902004	6.1602592	8.410063	7.8271728	7.815786	8.055056	6.9619975	7.7486405	7.840552	8.866879	6.41051	5.824334	6.0239253	7.0827084	8.945599	6.521283	7.0627027	7.6409745	8.896698	9.749502	8.634524	7.797939
6.7741756	7.6277676	8.366661	8.527445	6.832312	8.504472	7.353979	7.8032103	8.094698	8.43449	8.671591	8.718728	8.994228	7.89853	8.606808	7.95543	8.516246	8.7486515	7.390707	7.279203	8.344856	8.895187	9.563408	8.8265085	7.157215
5.400243	3.2035444	4.0917454	4.9736204	6.3114867	4.1054068	3.4221954	3.2495792	3.357002	3.3311596	3.3840477	3.745919	5.430936	3.9788976	9.657656	8.194798	3.4131188	4.660949	3.2115393	6.4519014	3.2475543	5.404775	10.662247	5.331402	7.291365
6.5732813	3.8495674	4.549681	4.35253	4.524788	5.663186	4.009995	4.1538715	4.9850044	3.6476564	4.3904457	4.3289423	4.9452477	3.578148	6.348629	5.2395744	3.3855293	5.3551865	3.6746988	8.58503	4.349833	8.510329	7.5644746	9.275811	5.5240393
6.9514847	6.100478	6.908802	7.1063447	5.951377	7.444275	7.1034703	5.96056	6.8586836	6.457651	7.2087483	6.894563	7.426914	6.91917	7.2894683	5.3142796	6.8319674	8.114449	7.561048	7.7078295	7.6750107	9.06115	8.391853	8.6877365	7.119951
10.116642	3.8691654	5.9628367	6.0365167	7.2023325	5.8196096	5.7709446	4.4107413	4.5247564	5.064476	5.1839643	5.801487	6.070336	5.5510945	5.4185095	3.3220346	4.418738	6.2965546	6.5582514	11.409891	5.420006	7.83396	6.799275	7.9101267	5.1367254
4.1881847	5.2901154	5.802565	5.4775343	4.592801	6.892188	4.2673955	4.5560412	4.4459395	4.2834496	5.717659	5.869652	7.4267635	4.100136	3.673345	3.8321033	5.306532	6.7534065	3.606421	4.556963	4.6325474	7.6030145	8.193482	6.393785	5.1130266
5.240203	4.447713	5.3931475	5.0123873	5.3040047	6.415393	4.3367014	5.029794	5.0764627	4.225565	5.1654735	5.7413163	6.9811254	3.882042	9.217024	6.671233	4.2856483	6.52762	3.542017	7.387796	4.8380494	9.275345	10.577	8.248871	4.0372715
5.8645334	3.49494	4.24509	5.5024776	8.277241	4.154336	3.367442	3.4274173	3.4010618	4.44836	3.6211097	5.6901684	5.769456	6.9598866	9.399006	3.3941336	4.670277	4.301233	3.2617543	7.904795	3.7173092	4.012267	10.034174	3.879	4.268542
4.576637	3.8428805	3.9839134	5.015757	7.023625	5.124242	3.3635185	3.8859606	3.6242137	3.5865965	4.0904374	4.8043146	6.291273	4.5692835	8.558758	4.1638193	4.13203	5.0982857	3.1565764	5.539339	3.628624	5.5316696	11.518222	5.514458	5.3409986
6.1966386	4.8223596	6.1389284	5.6294975	7.5473094	7.683165	4.651921	5.9472866	5.788409	5.1098013	5.9292107	6.360837	7.174282	5.558012	5.395644	4.8670955	4.7921467	6.5959654	3.8506393	7.7743664	5.5298824	6.997344	8.002716	7.477644	7.5499773
7.383043	3.4548144	4.284706	4.3168654	5.8582697	5.3095007	3.553321	3.8756008	4.2274218	3.7656894	4.0547094	4.2857103	5.0553045	3.9464164	3.9393556	3.1031287	3.5303514	5.642668	4.073401	8.756361	3.9157076	9.720982	7.40636	9.200787	4.6184006
3.3641348	3.0835867	3.1176295	3.1907175	4.2263713	3.1983414	3.083943	3.0948193	3.0851457	3.0844178	3.0872862	3.1120646	3.5820856	3.093957	13.904897	3.465282	3.0907307	3.206297	3.083136	4.5280914	3.084207	3.843934	9.322599	3.8011084	11.084475
6.767956	7.2473645	8.032698	7.8476586	6.50716	8.346094	7.6271763	7.648871	8.165172	7.443307	7.8578334	7.915467	8.541269	6.617222	7.563252	5.3297215	7.264596	8.860283	7.170611	7.96135	7.9782577	9.149874	9.566604	9.1839485	8.069849
7.675315	6.029745	7.3085895	7.621447	6.9255896	7.632116	7.635728	6.502199	6.994688	7.0457554	6.978322	7.0635157	7.9224057	6.568923	5.4339075	4.437174	6.0492754	8.212894	7.1253505	8.732771	7.5076585	8.676082	7.9978495	8.708751	6.797386
4.801749	4.71501	5.858922	7.502586	4.786331	6.1115637	3.6549268	4.219995	4.5699453	4.839611	6.0333023	6.3844924	7.077181	6.8017926	10.096649	5.8884974	7.0517206	5.719308	3.4368875	5.3804216	5.204302	5.9760265	9.839118	6.0777864	7.389703
6.661738	5.556942	7.401829	8.272846	3.3976011	7.737882	4.5157685	5.6158404	7.776885	5.1156015	7.6113935	7.199287	9.510929	4.6458282	4.863758	3.7664576	7.5776834	8.757882	4.79833	8.385243	6.6908655	10.210389	8.393723	10.258669	3.7488475
4.167589	3.5104399	4.3325434	4.0898266	5.610181	5.1222887	3.4200037	4.821755	4.1322346	3.5010033	3.7310877	4.579894	6.228679	3.8541436	3.7196932	3.1762843	3.404462	4.7321124	3.189822	5.8623266	4.0707827	6.666544	10.023424	6.7742558	4.4325104
6.164606	3.1949086	3.2364502	3.3955226	9.19697	3.4921112	3.0934246	3.1260502	3.0926695	3.1604483	3.150565	3.5040648	4.519394	4.324319	11.293112	3.8813953	3.2981722	3.2156074	3.0834348	7.7576528	3.10325	3.3598564	13.443522	3.2665184	5.3639016
4.2224	4.2125597	5.6131573	7.266862	4.075382	5.2193623	3.7443419	3.4233778	4.9662266	5.5912066	4.377963	7.2360578	7.155493	7.298529	3.6766682	3.1443777	6.1703224	6.1008835	3.6447563	4.785549	5.9228487	5.7272987	10.120502	5.0764866	3.5680685
5.8454576	7.7938905	7.2911797	6.7677975	6.7773905	8.147866	5.7340326	6.976243	6.3599052	6.395745	7.658448	7.5696626	8.354502	6.687626	5.8640003	5.4522786	8.325102	7.0030107	5.214554	5.9396477	6.4248266	7.360994	11.316514	6.8709292	10.007998
7.1586475	3.627201	4.2105913	5.2800283	8.84223	4.37152	3.3187273	3.558505	3.457302	3.9787152	3.8415575	4.770132	6.2054996	4.8242044	10.320126	6.9409943	4.4524484	4.563676	3.2339137	8.449451	3.4640481	4.257401	10.585211	4.003406	4.891055
7.601649	3.8764277	4.958505	5.5192537	5.0729737	6.1066456	3.9354634	4.630247	4.3732977	4.1908054	4.095623	5.419286	6.1407557	5.4498806	6.4988317	4.448695	3.9093773	5.328249	3.3029194	9.497883	4.054145	6.7730303	8.421341	7.4608526	7.288212
6.965639	3.6575236	4.9208493	4.3467402	7.351797	5.376299	4.1426935	5.4742794	4.943775	4.214607	4.6905894	4.6877613	5.9023156	3.6207433	6.388832	3.361082	3.4921737	5.308172	3.69372	8.832727	4.2952423	7.6745467	8.377102	7.0314813	9.698755
3.8968358	3.9185972	4.87428	6.75476	4.9935856	5.418608	3.5964906	3.9257257	3.8825748	4.6160755	4.2291627	6.75362	6.8779945	5.373185	8.006874	3.2941885	4.76619	5.4696712	3.3446765	4.355351	4.5208654	4.269447	10.194146	4.186199	10.375057
6.680418	6.907733	6.2039185	6.8845034	6.932109	6.981596	5.289012	5.9942865	6.359971	6.4493837	6.617195	7.1227036	7.202969	7.2425227	8.542688	6.400981	6.566162	7.0256906	5.953805	6.7777934	6.1191287	8.163746	9.195269	8.671644	8.519579
