ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
4.2157545	6.2578382	4.56748	4.257024	5.6376014	6.872778	5.042447	8.424933	5.829541	3.9964948	7.6129594	4.3225517	3.7652006	4.8238635	6.227272	7.1129556	4.4134216	4.9587708	4.1628046	4.027465	5.6815033	5.765528	3.4120464	7.358501	6.01991	6.576441	4.6908684	5.158336	6.763125	8.164463	5.685754	3.8260171	4.9408097	4.8089633	6.115718	5.06871	6.0096216	6.8169026	6.8486133	6.204836	3.5022256	6.494314	5.579263	3.9817197	7.510481	4.9511337	4.635886	12.464786	4.2818613	8.416286
3.8936577	6.866144	5.0659976	3.5982592	4.1155157	6.9408064	4.6224227	7.598435	4.6520176	4.032896	4.527005	4.436525	4.5202336	4.2283816	3.476239	4.8696523	4.3197346	4.464069	4.630266	5.137253	4.600439	5.3423376	3.4311202	7.48196	5.7259507	7.592297	4.018035	5.343074	5.48477	7.5257425	5.0318203	5.6629314	4.0300217	4.251837	6.7539577	4.4834337	5.3439837	5.375786	6.8230543	4.8583345	3.4626865	4.9360523	6.4154725	6.353341	8.709524	5.6125116	6.9268456	10.9674015	6.696678	11.299273
6.3899755	4.3309946	3.2977173	5.207079	5.884917	8.388863	4.7955446	5.683235	5.8539333	5.296491	5.2203135	3.739215	4.9296517	3.5651672	3.4583411	4.7668595	5.7750964	4.707662	7.7325454	7.1917734	6.8817763	5.9666214	4.810543	8.137822	4.383996	7.406485	4.958502	7.6810617	5.243449	4.334009	8.359915	4.9478893	8.069359	6.4722376	4.571092	7.226525	5.8601813	7.331674	3.5904312	4.512147	3.1726944	4.431487	7.494008	4.4277916	8.930525	6.885167	10.870047	10.099836	10.030447	5.9343767
4.0249057	5.602849	3.2885888	4.718752	3.8294067	6.8159966	4.5882335	7.495639	4.517796	3.5736868	5.399914	3.2070954	3.2044156	3.6271858	4.4208164	4.606453	3.4104316	3.5690835	3.9682956	3.8577929	5.048426	6.1081867	3.1636767	6.5259585	4.4217978	4.176547	3.9479165	4.4261394	4.7850714	5.871513	4.3352294	3.30204	3.8406105	3.8361301	5.346911	4.1822605	4.6724706	5.482403	7.454415	4.9000783	11.298605	4.7055798	4.69692	3.4854865	4.20901	3.5523133	6.6950207	9.8638115	6.885895	10.725158
3.9306817	4.833943	3.6136813	5.3832207	5.765626	7.7242575	4.0723495	7.6287827	5.1998177	3.9696586	4.6293015	3.530794	3.7972617	4.864225	8.255882	6.3650436	4.2785006	4.586675	4.013649	3.9804196	5.0836496	6.4287624	3.2202954	7.088139	5.292013	4.671044	5.5292554	4.7975826	6.81415	6.0283566	5.4174232	3.8305647	4.3557057	5.148545	4.426571	5.536871	5.672114	7.2624435	4.88348	9.816172	10.975164	4.3894033	6.071348	3.648061	5.499458	5.022478	4.40085	9.584021	4.611185	7.3759727
8.180952	5.386818	4.075693	8.214565	7.3273954	11.237517	6.8161306	8.402403	8.38845	5.9728928	5.9189806	6.343874	5.907126	5.5389476	3.531741	4.6823444	7.294014	6.8924656	8.47729	6.6432943	8.432804	4.817335	6.0530987	9.860422	7.302948	6.449239	7.867674	8.214392	7.955217	6.067178	10.668115	5.028373	8.102602	6.4775248	6.742986	8.386814	9.150793	9.564026	6.8125114	3.3940983	3.2186377	6.804873	8.91308	4.3082304	7.195147	7.4201446	10.31122	11.842913	9.840308	4.0092745
3.5393906	4.7997456	3.2863758	4.242218	5.002366	6.7794256	3.7256043	6.2178946	4.5470057	3.8440804	4.3162155	3.1744754	3.3243735	3.6365314	6.3097215	4.572183	3.593736	3.8652737	4.1246834	4.2630277	4.55385	6.2460003	3.2226017	6.603937	4.3794484	3.9489803	3.9476914	4.4164457	5.3418894	5.0372314	4.699208	3.5446396	4.1348	4.46491	3.70198	4.2194386	4.487071	5.7001805	4.492619	8.444576	10.627731	3.6360624	5.627409	3.954071	4.5991325	4.6669536	6.079176	7.6900187	6.1421866	7.5836897
5.990347	3.6110976	3.3202024	6.887725	6.2548137	7.768873	4.05772	5.9060993	6.237611	5.705627	4.2800026	4.030808	4.5268946	3.8420234	4.3424664	4.988331	6.0668917	5.3560915	7.263507	7.7678156	7.2231383	5.071763	4.1528044	7.4782076	4.181328	6.367094	5.9651966	6.857543	5.864347	6.442214	9.34461	5.1873484	7.392935	6.3904552	4.263747	6.089362	6.347781	7.348383	3.9070544	4.683075	3.4954987	4.0439243	6.922943	3.5735297	6.873167	5.6379814	8.936642	7.6583138	8.7366295	4.5008793
4.225861	4.7535496	3.5202217	3.8959918	6.128899	6.900441	4.8404875	6.705512	5.4326	4.7595077	4.1442046	4.047039	5.6164007	4.298859	7.3528814	6.792209	4.6702166	5.2703977	4.946919	4.8117347	5.78596	8.068579	4.279529	7.451186	5.123664	7.7039123	4.955102	5.765705	6.2228208	5.231789	6.177375	6.3146896	5.0374923	6.2208433	5.873951	5.6414022	5.5675974	6.657261	4.309202	7.0883546	5.9650135	4.948402	7.8441	4.8697405	9.015652	6.05021	6.4886665	10.0781765	6.394706	6.9289265
3.4158106	3.888442	3.1570342	4.324108	3.606329	6.5890446	3.5480335	6.77627	4.0593967	3.3253908	4.0248003	3.2292194	3.1720362	3.2688973	5.1191626	6.0193944	3.3459017	3.3656745	3.711986	4.0294976	4.323694	5.213946	3.1176057	6.5903053	4.1891937	4.5549455	3.3951387	4.151221	4.5469055	6.4523277	4.5047903	3.1753485	3.5806358	3.6917102	3.5858912	3.4502978	4.30158	5.2218256	4.458063	5.9303665	4.4789796	3.585381	4.0926476	3.3909922	5.4542646	4.0533185	4.291837	7.6124024	3.9589932	6.319966
