ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
5.075113	5.4876986	5.7394676	5.7206697	3.7863972	5.4714513	4.747062	5.38134	5.8810177	4.873276	8.886143	4.4735427	3.8925896	4.322725	5.479147	5.700202	5.6729364	4.880307	4.4623003	5.331306	6.9115047	7.443287	4.6849856	7.2116146	5.0367126	5.4829164	4.1704416	6.538437	4.335255	4.0691414	5.5043564	6.16827	5.4426794	5.410569	5.3473597	5.9379697	5.945221	7.775233	4.264953	6.7054815	5.2444305	4.6681786	6.871686	5.189853	5.096138	4.6215296	4.092462	6.1362104	6.114607	5.69645	4.0073814	5.6437345	4.425704	5.7999616	5.886479	10.950775	4.3740845	7.308611	5.623436	4.9596553	5.226813	4.6684675	5.7692456	4.069758	4.453034	5.287001	4.8319306	5.4064817	7.757208	4.5444074	5.1570697	5.058593	4.518915	7.0120225	5.4408526	5.5110807	5.451381	7.4053154	4.9230947	8.367787	5.644675	5.7816176	4.6682925	6.030658	5.6550145	6.776497	6.560854	7.975546	4.6428556	5.036515	4.7902102	6.2695093	5.9255476	5.101603	6.484087	7.5051656	6.3642178	7.772301	7.7456827	5.598032
3.462821	4.3296547	3.6523924	4.42732	4.001918	3.872765	3.8935137	3.5169492	4.619114	3.886016	5.4898987	4.445285	5.432542	3.5113106	4.0681677	7.0447884	4.453923	4.3752236	3.7052376	3.5740657	4.4178786	9.326211	7.2469068	4.967162	4.4225926	3.7207732	5.407463	6.0732193	4.8006196	4.513964	4.9435678	6.108266	3.912405	3.8658676	3.5025005	4.672498	3.8848963	6.275387	6.2627873	6.198638	4.404964	3.7817106	6.3594637	4.758625	5.09564	5.5920506	3.695338	3.621689	4.8080006	4.1594834	6.1135063	4.8938465	3.8619826	6.7627187	4.2617884	7.076391	4.1164656	9.673709	5.305912	4.3661003	4.6734176	3.93015	4.276362	4.0654984	3.7795677	6.707326	5.050953	6.0274763	4.248564	4.860777	4.414104	6.702987	4.823906	6.6768284	3.9343426	7.7128987	4.6729503	5.759861	6.139615	5.785248	4.2052145	4.0802813	5.7110004	4.207575	6.2080154	4.373542	6.2248383	4.185178	4.4173822	5.2291737	5.099848	5.2156067	5.968759	5.038735	6.14964	4.6212525	5.491329	8.340393	6.2818103	7.3767347
4.331936	5.686405	6.817113	5.3845387	6.383197	5.1032925	6.6531286	4.4684005	5.9620085	4.439252	8.941011	5.881716	4.213904	4.9183955	4.0393085	5.7481976	6.10389	6.5802956	5.3829603	5.6723	6.370963	7.0393734	4.777424	8.102027	5.6355743	5.205495	4.856207	7.0956984	4.2719316	5.0951185	6.372099	5.694527	5.6448317	4.0384417	5.4010816	5.6879625	6.801361	5.466435	5.0219107	5.2470675	5.205566	4.4169474	6.121888	5.2030835	5.7555656	4.2197576	4.583599	5.264243	6.7602186	4.965227	6.728897	6.07135	3.7515576	4.825844	6.1817336	9.356733	5.119239	6.898717	7.3346143	4.7461505	4.179812	4.336962	5.31238	4.8957815	4.7169914	4.972082	5.779497	5.4253826	6.412467	5.620757	5.9180164	6.6327066	4.2526965	6.948536	5.8418856	5.8194623	5.4825525	6.4315634	4.9901667	7.5286336	6.6069894	5.385664	6.044265	6.156177	4.956878	6.68801	6.2004633	7.6158423	5.555532	6.398406	4.1107364	5.25603	7.673994	5.4851227	6.576726	5.8525524	8.401129	9.202034	8.154818	4.880733
4.5042443	4.6644464	5.7098975	5.428691	6.298437	5.356663	6.0239315	5.1281247	6.4521008	5.2862034	8.053133	6.501849	5.1287413	5.360159	5.1796427	5.3453093	4.8553953	6.369358	5.9150743	6.4696646	6.38727	7.4333467	5.1623154	6.2213664	5.4833546	5.574275	5.6178493	7.2937984	4.439582	4.211959	5.8922853	5.796674	6.1332717	5.4876947	6.726261	5.9854507	5.5511026	5.9301157	8.325306	6.1023912	4.692573	5.220933	7.0176783	7.0777187	4.9862213	5.9284935	3.9582696	5.7042217	6.7008204	5.5796494	5.4056597	4.67606	4.8717957	5.88433	5.809866	8.886507	6.2855997	6.977373	5.9243627	6.103998	4.4638557	4.8683233	4.5149956	4.8086667	4.8734646	5.8780985	6.9714546	5.966051	6.64604	5.829111	6.851425	7.105472	4.5488243	6.703764	6.0384035	6.549225	6.4494104	5.686795	5.7563624	6.8100157	6.3887587	6.9519625	6.7240834	5.503791	6.959538	5.409004	6.44722	6.5656986	6.335443	6.2198353	6.1539893	6.20977	8.003296	7.0487814	6.952739	5.9295444	7.8502803	8.344423	6.5983887	7.457038
3.9682107	5.7157516	5.7301025	6.058627	4.7445626	6.576851	4.7456007	4.9594517	6.3774166	5.592434	8.426514	6.379544	4.718148	4.762193	5.608283	8.177023	5.7140474	5.634495	5.5713606	4.9192524	6.174431	6.35092	8.676522	5.9100704	5.143589	4.4927998	5.1372657	6.1176844	5.2628436	6.1065516	7.362741	5.5464425	5.2630005	4.1220045	5.439338	6.7915106	4.705237	7.5383673	8.306515	7.347992	5.4302945	5.095152	7.6242905	5.878895	4.558428	4.3010406	3.8704913	5.6459618	6.823184	5.744608	5.0566974	5.2303305	4.1723037	6.4235544	5.6245885	9.471549	6.918767	9.631622	5.0975103	5.129126	4.9016175	4.5007935	6.339054	4.040756	4.678249	7.0230513	7.4364343	5.180707	6.1586933	6.2365503	5.0448866	8.341066	4.8576937	7.119471	5.6866307	5.885295	5.6470404	5.6596766	7.9086933	7.4589343	6.371836	6.3748765	6.6205454	7.4907317	7.529214	6.463334	6.0605154	6.893833	3.6076791	6.044322	4.1431737	5.847518	6.0374746	6.529924	6.2081075	5.7799315	7.828778	8.384645	6.5221825	7.240873
4.7823443	5.140996	4.61155	5.0713587	6.3868284	4.7713547	7.643537	4.823866	7.8064766	4.550557	7.6954083	6.3705225	5.0793047	4.3105984	4.8644953	7.484468	4.905592	6.516637	6.6701455	4.812207	6.49152	7.3952813	6.7881107	5.8903723	5.1071553	4.3528337	5.3783946	8.692196	4.7985773	4.4839163	8.223379	6.2343903	5.4543476	4.886904	4.8106055	4.4145403	5.8281937	7.4920573	5.733941	5.4252186	5.537077	4.4976482	4.826214	7.6327553	4.87654	6.55391	4.793589	5.2056146	6.128975	6.0849895	6.3628798	4.737519	5.5624857	7.0482244	4.015559	7.631846	4.829909	6.8289633	5.2248945	5.413785	4.7334247	5.0278707	5.641906	5.8464193	4.7638416	7.333936	8.019554	6.139421	6.0536876	7.035189	6.2175884	7.470843	4.393805	6.9974403	4.4481087	7.6136427	6.134367	5.682015	6.071561	6.518271	6.8608336	5.3548794	6.0537815	5.623254	5.5638475	6.0456076	5.6382895	5.815765	5.784626	7.252991	4.715724	6.181637	7.3339396	5.5681615	7.144159	7.31811	7.9095426	8.2923355	7.961956	7.472023
4.843046	4.2378745	4.537807	5.149018	4.8152485	5.1182013	5.168538	7.029112	6.142659	5.23427	7.2533975	6.7515416	4.361766	4.7164564	5.0783434	5.961595	5.178959	5.794144	5.358347	3.804826	5.7332377	8.481032	5.0725474	6.7498093	5.4756546	4.4775953	5.5309124	7.6173983	5.684535	3.7037249	5.7528925	5.1230702	4.145007	4.604168	4.859211	4.710742	6.2220726	4.5885596	5.353421	4.938513	4.25808	3.965851	5.364583	6.967103	4.388695	4.4207997	4.790929	5.2474103	5.5450497	6.417969	5.526244	4.218574	4.8313866	4.6856003	5.005968	7.0341787	5.510688	7.517294	5.858544	5.071638	5.056845	4.0586195	5.011141	4.3509684	4.8061943	6.0735493	5.217229	6.693817	6.061468	4.580916	5.459074	5.1207414	4.3334875	7.100873	5.5481243	6.3978033	4.7777996	4.677678	4.6694145	6.4260387	6.4805765	5.8945065	5.944682	4.808731	5.464141	6.483646	5.705844	5.5003324	4.4372106	5.317725	4.3593907	7.083062	5.8747797	7.3185554	9.016725	6.3137226	6.6657343	11.91316	7.15403	7.576956
4.299274	4.503226	6.2807193	4.8256264	3.9854794	4.8888297	5.2897196	4.0761237	3.943636	4.9048023	6.0739045	5.090229	4.591439	4.120907	3.9962208	7.0712433	6.3490686	4.9596853	5.3457494	5.0671372	5.252535	8.851814	6.2639923	6.4916825	4.1444345	4.1788025	4.3272834	5.5922227	4.543533	5.04091	5.9125714	7.2246614	6.6228676	3.9978569	5.308487	5.139585	5.900366	5.7777557	6.482177	5.982191	5.6125717	3.8888013	6.985363	6.454252	5.6792464	5.4321537	4.2418337	5.8182526	5.078911	4.895546	6.5130935	8.222609	3.8749554	5.3084455	5.4062796	8.179848	5.066451	7.1997514	6.6773496	5.3074164	6.001103	4.4986215	4.3686023	4.183195	5.3501444	6.281393	6.0599055	5.7926207	5.346105	5.662011	6.5339875	5.935891	4.144727	6.671604	4.883175	8.170656	5.9792786	7.5655737	5.6320734	5.033792	5.3089113	4.235232	5.985636	5.0592	7.022276	6.373707	4.5730495	5.2450867	5.204443	6.0299706	4.524739	4.270616	7.436531	6.2965727	7.920221	6.633933	6.8874288	9.218226	6.7957644	6.5999203
4.8113074	4.4321322	5.470276	5.9550056	5.734166	4.8599653	6.471594	7.290307	6.760988	5.0602584	8.369822	7.017078	5.1548324	4.6493726	5.4328327	5.84464	5.274436	6.4525466	6.138686	5.380776	7.81455	6.9737988	4.263403	7.2194166	5.76987	4.3967104	4.9571567	7.0014033	4.647094	3.9998477	6.63759	5.001312	5.160671	5.3764467	5.849864	4.8693933	6.315811	6.982153	6.41426	6.419015	5.152362	5.414195	5.634533	7.0013804	4.597328	4.4432054	4.471913	5.18781	5.306452	5.571855	5.0286183	4.6308584	4.684735	5.3559103	4.761642	7.2178974	4.974891	7.3439226	6.1062803	4.7726665	4.792349	4.4307027	4.610932	4.554464	5.1867085	7.0484505	6.1940928	6.045844	5.2854424	5.577302	5.2322626	6.3647156	4.3154135	8.044117	5.497283	6.9993057	5.66605	5.4609513	5.8318176	7.9545646	5.847719	5.8758707	6.3221016	5.5290422	4.833374	5.8932314	6.236505	6.1189017	5.8971376	6.52339	5.7121887	6.0596733	6.3194685	6.775902	8.517501	6.207571	7.5262313	10.307336	7.6599116	7.971976
5.3824253	4.959018	6.241516	5.121926	4.640262	5.678252	5.699612	6.2180147	7.146714	4.9997706	8.442902	6.9892626	4.854864	4.7890983	7.437415	6.151968	6.0027366	5.3145742	4.770116	4.8097568	8.821234	6.5827923	6.067272	6.9173737	5.8734455	4.717968	4.848377	7.7658114	4.9929643	4.318712	6.8427773	6.2856607	5.94133	6.4807262	5.896549	6.9988484	6.646915	8.48847	5.019176	7.4964957	4.7738767	4.7544503	6.121086	5.547332	5.134286	4.633586	4.415618	5.6936245	6.358886	6.402174	4.312403	7.1089053	5.889983	5.5039525	7.1509023	10.111975	5.3852754	7.6251307	6.9513865	6.5347633	5.6394787	4.723756	5.988907	5.2587867	4.621097	5.232833	4.9228835	6.0155334	6.6396003	5.095541	7.0972924	5.5406733	4.815199	8.487417	6.4361806	6.5376434	5.514617	5.9859886	7.2331653	6.963193	6.9126596	6.41146	5.2918973	5.682605	6.63239	6.6800222	5.8202033	7.8655796	6.51519	5.721635	4.9523125	5.3744154	7.2575927	4.8905654	6.240994	6.06341	7.048957	8.088604	6.537242	6.38823
