ENSG00000160883	ENSG00000009790	ENSG00000105193	ENSG00000167978	ENSG00000177600	ENSG00000047365	ENSG00000100650	ENSG00000119707	ENSG00000108669	ENSG00000143621	ENSG00000162402	ENSG00000159339	ENSG00000197102	ENSG00000123338	ENSG00000162645	ENSG00000142541	ENSG00000000938	ENSG00000115875	ENSG00000159128	ENSG00000163714	ENSG00000130956	ENSG00000159674	ENSG00000122406	ENSG00000197043	ENSG00000171298	ENSG00000184792	ENSG00000143924	ENSG00000156508	ENSG00000086061	ENSG00000174501	ENSG00000115457	ENSG00000072786	ENSG00000012223	ENSG00000104870	ENSG00000105640	ENSG00000067082	ENSG00000164674	ENSG00000197081	ENSG00000231500	ENSG00000167526	ENSG00000116701	ENSG00000182463	ENSG00000129351	ENSG00000005844	ENSG00000145819	ENSG00000168028	ENSG00000081320	ENSG00000110077	ENSG00000182718	ENSG00000116754	ENSG00000148303	ENSG00000054267	ENSG00000166986	ENSG00000055163	ENSG00000172890	ENSG00000104312	ENSG00000211772	ENSG00000136286	ENSG00000100284	ENSG00000111144	ENSG00000100316	ENSG00000168010	ENSG00000163563	ENSG00000151883	ENSG00000063177	ENSG00000155903	ENSG00000106263	ENSG00000164308	ENSG00000166825	ENSG00000182866	ENSG00000115415	ENSG00000189343	ENSG00000137154	ENSG00000107742	ENSG00000020633	ENSG00000069399	ENSG00000096060	ENSG00000130511	ENSG00000138378	ENSG00000070961	ENSG00000135596	ENSG00000134539	ENSG00000139370	ENSG00000140678	ENSG00000143870	ENSG00000029363	ENSG00000102096	ENSG00000138772	ENSG00000130592	ENSG00000123329	ENSG00000170345	ENSG00000139641	ENSG00000168071	ENSG00000140105	ENSG00000162231	ENSG00000135976	ENSG00000215301	ENSG00000084234	ENSG00000184922	ENSG00000072818	ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
4.1491385	4.769865	7.7890544	3.467377	4.7852545	5.417793	5.4741497	5.6181564	5.834141	3.7100914	3.2614343	7.434668	6.0680904	3.4996386	3.2640605	8.139442	4.458357	3.7457304	3.1900454	3.8809705	3.314722	3.2774026	6.1354485	4.39737	3.1124046	8.074623	5.186309	8.647661	3.751852	4.582916	6.294299	4.154849	3.1047094	3.70329	6.5465136	6.6842	3.8542204	3.1775575	8.25878	9.381716	4.56654	5.472701	3.5188181	3.3460717	3.7237277	8.9066305	3.8714933	3.184963	4.6435966	5.916502	6.046131	7.463754	3.1962237	6.2129383	3.1505368	3.6964245	5.3245482	3.4631376	3.2025247	3.9651988	8.754633	3.9551582	3.677523	4.7419877	5.5049973	3.2867973	3.3670835	3.1248484	3.2181647	3.5643864	4.665285	6.1210146	8.316861	3.142648	3.260686	3.1466947	5.745225	3.3206506	4.0663004	3.476916	3.480316	3.6907659	3.087379	4.5019026	3.3321805	4.757604	5.6551714	6.2081594	7.075548	4.195015	3.4212646	4.2294126	3.2047029	4.9043884	3.5942917	3.653898	5.8709154	5.5807867	3.144143	4.7482805	3.2437096	3.7829835	3.7824025	4.81363	3.5992138	3.7485783	3.5565581	3.4268844	3.3957655	5.493964	8.795788	5.9591036	4.1170664	3.308864	3.9176457	6.772893	3.801251	6.522644	3.1749904	3.159196	6.0302734	7.4382296	4.213085	6.15599	3.5593805	3.8312442	3.487696	5.2168713	3.3235757	3.2511778	6.6588383	5.424297	4.459737	4.50035	3.300641	3.3089526	6.3261433	7.2794185	3.1619928	4.580537	3.307204	3.6299145	3.8087006	5.577327	3.5358036	3.1299448	3.0864546	4.6648693	4.547826	3.965107	3.9531353	5.7096324	3.131819	3.8968627	4.354068	5.7208204	3.311702	7.6979456	3.8793488	3.5610814	3.145676	3.3908358	3.4610043	3.701949	4.4888477	4.7260914	3.9196994	4.9528284	6.4249525	4.7557187	3.9297218	5.860552	5.3546085	7.2295475	6.5821276	9.149992	3.6472847	3.7544572	4.2825565	5.4589252	6.2691402	3.4144442	5.201132	3.4422336	4.347204	5.5411563	4.5154576	5.6797295	4.7319775	4.689062	3.382762	5.759754	7.6333265	3.3612342	7.650193	5.62549	9.294052	9.798285	6.4182863	7.664032
5.2643948	5.863312	6.3286724	6.423388	6.7662435	5.3358145	5.9565496	4.3011913	8.4395275	4.8292565	4.4577217	7.653597	6.420111	5.533811	5.5201273	8.1568165	5.3738794	6.7234035	3.8202434	6.3755836	5.6994863	4.001888	7.7450356	5.8211646	3.386208	6.7742114	4.65436	10.796464	4.6882024	5.260923	5.511333	4.3060083	3.593814	5.7463474	7.4697347	5.770937	4.2870054	5.1212626	7.9707203	8.330017	5.344245	5.328389	4.187275	4.7658453	4.33081	6.7484884	4.6611977	5.9138627	5.695158	6.218914	7.0582047	6.781184	6.903105	6.215578	4.3623514	5.4019933	5.595316	4.9633255	4.757386	6.03883	8.472639	6.6476483	4.539661	4.7353234	6.50922	4.29302	4.049547	4.373704	3.7184947	4.383214	5.031829	5.675546	8.8004465	5.0243273	6.2291465	3.8569102	6.9453726	4.040919	5.116295	5.3726482	4.107849	4.5403676	3.9691103	4.319082	4.2700686	6.842432	5.018813	6.0401864	5.9055796	4.532795	4.232048	4.0877533	5.3764057	5.5411196	5.1408453	4.364338	6.6007175	4.9565687	3.6001155	5.015708	5.732064	4.6131644	5.1474266	4.494523	5.3616495	5.755307	4.414697	6.0557823	5.0005608	6.056485	6.807129	5.239683	5.9305954	3.9595387	4.2957	6.073126	6.4688625	6.0476055	5.5699463	5.457461	6.5264215	6.284282	5.552732	7.425918	5.9270277	4.334587	4.341036	6.705177	5.2982244	4.3179784	4.896764	4.7479906	5.3878508	4.122102	4.862899	4.4867	6.641083	7.1463923	4.4971714	7.0086794	4.354192	4.051444	4.8641586	6.0645843	4.8950996	4.4413133	3.39567	4.413245	5.7527037	5.292494	5.0565095	4.275394	4.0866704	5.1422873	6.075996	7.298973	6.001966	5.972396	4.8223624	4.3080764	6.0263796	5.138328	5.0568547	4.8633084	4.216586	6.212558	5.2024603	3.9866586	6.3087735	5.084154	5.8587956	5.3394356	5.4816	8.3637295	6.6010494	5.8205175	5.0888324	6.228654	5.7988057	8.11583	7.62773	4.381179	6.094907	8.18741	4.636216	6.501954	7.1754127	7.794202	4.93462	8.4843	4.978339	6.166664	7.327276	4.0743394	6.3570967	4.426245	6.4452486	9.259432	7.087156	7.8660126
3.297251	4.459758	6.266939	3.1987696	4.679453	5.144598	3.999409	3.257898	3.6719625	3.315098	3.1406553	7.8782234	4.050273	3.2438903	3.171828	7.6337137	3.6566093	4.5219135	3.1098568	3.2154012	3.1709013	3.1399693	4.55334	3.846669	3.0848453	7.236029	4.7956204	11.9200535	3.6738796	5.205903	6.7710676	5.1413183	3.0878859	3.810578	6.039503	4.8411293	3.6453986	3.1094835	8.643213	8.715053	3.8026478	6.6803455	3.3069286	3.4518068	3.6323967	6.693702	3.5083354	3.1018126	6.2408934	4.9470396	5.973995	8.875127	3.1324449	6.7213144	3.1079316	3.1765668	3.4995878	3.3517284	3.1036725	3.5101244	8.956531	3.4884768	3.3927023	4.2276917	5.562213	3.2350378	3.303695	3.095783	3.14209	3.5430183	4.7772846	6.602892	6.9646783	3.1170695	3.1580265	3.0914981	3.764964	3.3609924	3.2984827	3.337114	3.854472	3.4722552	3.0869963	3.8044362	3.2446442	5.0166516	4.555656	5.158107	5.6762724	4.1245475	3.542633	3.5455024	3.1798284	4.079464	3.574593	3.4637125	5.8284874	3.9738317	3.0989032	6.556758	3.1360483	3.6473315	3.9962084	4.115449	4.047875	3.635126	3.8596444	3.6623507	3.143392	6.259922	8.496976	4.456316	3.8789852	3.2432745	3.3606882	4.582185	3.384509	5.0379486	3.1308448	3.1564834	6.1780615	6.1922617	4.419705	6.146512	3.3033092	3.9659212	3.3481457	7.6455417	3.182722	3.1465952	8.0159645	6.5024133	5.519682	3.6061928	3.4722295	3.2827122	4.5050683	6.3197236	3.1166592	3.4756286	3.7562191	3.8100038	4.280119	6.304857	3.3330054	3.0936906	3.0833433	4.2484765	5.2062263	4.003149	3.7775598	7.7660866	3.103423	3.5394862	3.4548597	8.009815	3.5249927	8.250948	4.4856772	3.1705394	3.119188	3.3086355	3.9204783	3.3520439	5.797077	4.912685	3.2668097	4.3407316	5.665694	3.7655048	4.793364	6.1352587	3.2659569	7.6453466	5.700849	6.004603	3.8299818	4.2033057	4.0029845	6.014065	4.041061	3.3432453	4.6449203	3.273534	4.3687215	4.175041	4.9701056	8.558233	3.3754976	6.331257	3.190517	6.7622333	5.5508757	3.2918742	9.923866	5.3379517	6.7754974	10.085492	5.17455	6.8935585
4.038608	5.1583824	6.354601	6.1683264	7.2478924	5.0118475	5.809804	4.8079658	5.0067964	5.7912674	4.8150487	6.8185945	4.9840136	4.8268566	5.1588907	9.086889	4.299535	5.517726	3.8219886	6.0698442	6.172192	4.123637	7.8236046	5.0863695	3.252487	7.9168024	4.4239554	9.0930605	6.0553436	5.3604436	5.891325	4.4060926	3.4159167	4.4944396	8.223412	6.2321267	3.9161363	4.6192083	7.6509814	8.726858	4.8915377	6.657574	5.171234	5.2846136	5.4306526	5.8950367	4.9683785	5.224288	5.4336634	5.9683304	6.669721	6.7814674	4.5570927	5.0522833	4.1796584	4.038415	4.0521965	5.4628277	4.1424885	6.64011	8.504407	5.0000343	4.8594856	5.378396	6.553298	5.070286	5.0218387	3.8184953	3.9509254	4.6960583	5.701306	5.5295334	8.140526	4.5305037	4.5043464	4.5230346	4.4783983	4.9239655	5.121106	4.992798	4.4866033	4.070522	3.6022005	5.0054846	4.534956	5.197875	4.404364	5.5668955	6.8462934	5.705965	4.6882524	4.397805	4.7509413	4.7387285	6.0110846	4.803857	6.808852	4.7611995	3.82126	5.470558	4.9107585	3.7644448	4.394899	4.758942	5.3193684	3.974616	4.5387154	6.570551	6.1258793	5.1413054	9.095203	6.1079884	4.4945216	4.4890876	4.860853	5.4478283	5.077093	6.455871	5.1822653	4.096759	7.6958027	5.70238	5.893443	8.488537	5.5904136	4.237528	4.4033036	6.4653873	4.5124664	4.3006487	5.0526133	4.814564	5.4338913	3.8775382	4.3232393	4.318868	6.0326366	7.3590293	5.113507	5.7976956	5.020855	3.952053	5.9327555	6.34003	4.2284713	4.3326626	3.3152075	4.503296	5.152876	4.2425003	4.770245	4.470273	3.8936474	4.892277	5.730073	8.9963875	5.508177	7.1847153	5.4048615	5.16498	5.675224	4.9986963	3.9490783	4.478119	4.1763687	6.6553965	5.217716	5.822051	4.826503	4.1397767	6.141624	6.289852	4.510413	7.482494	4.8663654	5.1185045	5.976311	5.1979856	6.54284	6.8672714	6.6971254	5.418423	6.305071	6.962371	5.7199903	5.6915493	7.622978	7.419493	5.0397463	6.3469963	4.7950892	5.887622	7.2592754	4.236321	6.8851047	5.9034457	6.611331	9.519166	8.453237	7.264744
6.225682	6.2638664	8.352974	6.775443	8.332657	6.681885	6.639678	6.123515	7.808716	5.383907	4.895461	7.3978343	7.282114	5.351614	5.967741	8.7931595	6.2223997	6.6352057	5.534838	5.729462	5.4114017	5.5839777	7.622193	7.306642	4.308336	7.547788	5.9751034	10.215378	5.3069735	6.089737	5.444497	5.261105	4.290021	6.0028744	7.5056467	7.7790065	6.169276	5.311938	8.133146	8.940136	6.118183	6.920621	5.7689447	5.209334	6.864951	7.3415246	6.3699512	6.1685743	7.254455	6.619982	8.21217	7.5200915	5.8745804	8.132961	5.9254327	7.8867035	7.047742	7.1391487	4.766073	7.2597866	9.9195	7.562454	5.4681735	6.9943666	7.893491	5.280081	5.622324	5.404685	4.872019	5.989444	7.26844	8.794935	8.983533	6.437231	6.263135	4.7635336	6.1618786	5.9127083	6.4285727	5.545754	5.5121717	5.3459396	4.450559	4.9418626	5.0774164	7.7288103	7.3471346	5.75135	5.9137692	6.673184	5.7107687	5.6845646	5.000465	5.8065796	6.000069	5.9863358	6.5949526	5.905826	6.1793156	6.3593855	6.991874	6.5287495	6.719757	5.1428223	5.594658	6.2195983	6.282919	6.437501	6.126381	6.2354307	8.178259	6.291828	6.4114876	4.9920735	5.622242	7.663452	7.363509	6.3532476	6.256919	5.847643	7.2655053	6.545536	6.0436764	8.895512	6.1457005	5.076357	5.0107455	6.7099304	5.405859	5.2317653	6.490274	5.0605984	6.9325185	6.469202	6.9595647	6.1001773	7.6798444	8.8143835	5.4932594	6.30001	5.3263183	5.3309984	6.419489	7.40041	5.711235	6.038398	3.6698365	5.074117	6.47786	6.620927	5.5528474	5.312092	5.245249	6.25774	8.368645	8.677688	6.132574	7.211806	6.7719836	6.5788717	6.1799717	5.5569525	5.662438	6.6115575	5.685311	5.5033283	5.285018	5.5440454	7.523949	5.0894375	7.079925	6.565323	7.4978204	8.920443	6.6772823	6.126796	7.868227	6.566622	6.132489	7.703127	8.176513	4.8948784	6.379918	7.796903	5.2931194	7.688578	7.176348	8.837488	6.4701004	7.5474777	5.5562153	7.6247916	7.1322923	5.7688665	8.208279	6.590044	7.547674	10.03512	8.623258	7.256853
4.0526023	5.0996203	6.3216295	6.1743965	6.741766	4.9120135	5.9999423	4.7117743	4.6648254	5.081299	5.0390706	6.546709	5.278552	4.830775	4.729663	9.10619	4.5700073	5.7250977	3.8562431	5.679397	6.195594	4.1836214	7.6958175	5.0134287	3.2294059	7.476489	4.297542	8.875809	6.1901727	5.204337	5.487366	4.638582	3.5008767	4.6166883	8.777686	6.0398583	4.0167136	4.93153	7.8002987	8.475682	5.025222	6.374817	5.1728077	5.290618	5.584779	5.9625454	5.267881	5.459159	5.659666	5.8136992	6.8303356	6.730934	4.7054605	5.1170015	4.252724	4.450843	4.160039	5.4413786	4.199444	6.289507	8.60953	5.2426248	4.7757196	5.4574914	7.154724	5.028976	4.93581	3.9256918	4.148177	5.023119	6.0422864	5.970384	8.289468	4.5565896	4.3815866	4.7327037	4.485558	5.0625134	5.201935	4.846972	4.625578	4.006652	3.587695	5.2273574	4.575048	5.0130024	4.35028	5.411372	6.3114696	5.683591	4.844263	4.4963036	4.532502	4.4265356	6.3444653	5.297312	6.373087	4.95893	3.8156338	5.8103313	4.7111816	3.7807407	4.774893	4.816724	5.1221066	4.0043592	4.702667	6.57008	5.9174542	5.1352158	8.935793	6.083125	4.671575	4.2779474	5.0242047	5.509428	5.100811	6.3819914	5.3890295	4.387636	8.053333	5.777704	5.9892225	8.283173	5.929554	4.4180646	4.165831	6.5760193	4.6597095	4.367481	5.1939936	4.9541388	5.2683115	3.995371	4.6092176	4.267414	6.413765	6.8562737	5.192706	5.8820496	4.8759675	4.0885563	6.071459	6.0273137	4.302482	4.3081865	3.342917	4.4346704	5.845974	4.2396693	4.883394	4.6095657	3.9458108	4.8360395	6.2958417	8.810295	5.187467	7.115588	5.2730436	5.054478	5.8553877	4.8599615	4.0547376	4.603305	4.249232	6.448354	5.2459784	5.767003	4.6736555	4.165758	6.171359	6.4964485	4.36153	7.521276	5.347249	5.2864943	5.888972	5.111397	6.605253	7.1009164	6.7878532	5.1759744	6.421316	6.9851413	5.251039	5.353137	7.565248	7.3270926	5.0463905	6.414532	5.025721	6.2032814	7.404887	4.4351816	6.4118176	5.6840363	6.908179	9.474663	8.328207	6.9883747
6.265575	7.177342	8.004397	6.059978	7.938769	6.163125	7.471788	6.7490172	8.551111	6.284812	4.7560368	7.6440063	6.760086	6.3003325	5.2473326	9.494137	5.766238	5.732145	4.317494	6.798373	5.979881	5.344796	7.035762	7.2247677	3.5371056	7.2799063	5.6674037	10.0623665	5.493698	6.069366	6.1204996	4.6963253	3.5657077	7.1572933	6.9722986	6.6842146	5.222538	4.914734	6.7123737	8.685483	5.2723055	6.812024	5.2813597	5.0871162	5.447673	7.939261	6.129508	5.122203	6.5355725	6.796353	5.9529343	6.3403416	6.4332457	5.653157	5.4596634	7.8789654	7.487307	5.026074	4.7394414	5.1675577	9.73432	6.709712	5.5155315	6.156113	7.801425	4.43952	4.7982736	4.276899	3.7932084	4.5776234	6.755748	6.563649	8.411343	4.5762267	5.9762855	4.529123	6.996683	4.0928555	7.101544	5.797301	4.7426424	4.5128345	3.922707	5.3627973	4.177981	6.918275	6.469942	5.9108405	6.422537	5.0186973	5.306106	4.0289083	4.65167	5.1539707	5.450409	6.7487044	5.362766	6.475137	4.1355867	5.97832	5.230585	5.5242615	4.7200456	4.9891806	5.367959	5.612091	5.0697303	6.5684605	6.007742	6.8105702	7.9774103	5.426611	4.973049	4.778391	5.978836	8.340084	6.388034	6.0825977	4.878189	4.558939	6.702179	6.228161	6.1075673	5.820462	6.992503	4.6873665	4.350771	6.816889	4.9319153	4.534757	6.1097093	6.163929	6.5402946	6.157386	4.8920517	4.501989	6.5454063	8.426353	4.392109	7.1904593	4.779459	4.5846148	6.3290534	6.3754992	5.8779836	4.423221	3.4650333	5.2836857	7.17227	5.639305	5.4885383	5.3975687	4.426303	5.3834257	7.1105456	7.010207	5.6387215	7.465465	6.008378	5.452572	5.3350167	6.3981533	4.488105	5.0796695	4.4406695	4.964225	5.83309	5.88631	6.048172	5.7482414	6.330676	6.2026367	6.293166	7.918785	7.2203536	5.4586735	5.260581	6.0240965	5.5853148	7.1354523	7.7783527	4.9338126	5.8724785	6.259487	5.5409627	7.4738727	6.5525	8.784431	5.5855618	6.360382	5.6751466	5.9827757	6.8380504	4.4583063	8.392499	6.6146083	6.999073	8.498688	7.4353843	8.2704935
3.9667883	5.01659	6.8978753	6.3000817	7.027887	4.7995462	5.866993	4.407422	4.7611265	4.909759	4.810725	6.7957706	4.749526	4.565844	5.1044006	9.1735935	4.3061833	5.391074	3.8341975	5.3757634	5.625782	4.313632	7.8660693	5.1972294	3.244487	7.336905	4.2988534	8.841864	5.8217573	5.336666	5.45253	4.4998875	3.3518274	4.4420795	8.855716	5.6536574	3.9514847	4.9426007	7.3545856	8.059238	4.872241	6.0213866	5.0871706	4.88992	5.2420664	5.999909	4.8420377	5.3547516	5.1894517	6.0118914	7.1827016	6.4201164	4.80628	5.258093	4.152963	3.9632092	4.1824074	4.9946938	4.185673	5.593812	8.929569	5.3653097	4.272978	5.163825	6.644723	4.782889	4.6655636	3.9331822	3.9738982	4.6188707	6.0316143	6.029935	8.125967	4.672615	4.377647	4.340397	4.2741756	4.4252777	5.541998	4.521819	4.4097824	3.6951303	3.5931392	4.908804	4.255166	5.188985	4.136823	5.9255085	5.8095884	5.280938	4.38073	4.337199	4.504589	4.695096	5.7306747	5.032077	6.785348	4.932649	3.8210382	5.2229695	4.787911	3.7243757	4.6709633	4.4729896	4.6940894	3.9229398	4.877466	6.4064517	5.9886856	5.727435	8.935565	6.1873665	4.329742	3.9776726	4.6939435	5.5209293	4.7627735	5.533711	5.1520863	3.9952304	7.844843	6.243297	5.8026447	8.515892	5.8892765	4.1259	4.0073385	6.576991	4.555966	4.299972	5.524245	4.836544	5.207757	3.9034882	4.46068	4.0788813	6.170096	7.1181755	4.991576	5.661374	4.64345	3.9533184	6.0200996	6.3805523	4.265029	4.217634	3.2367542	4.1823444	5.5063496	4.306523	4.1906185	4.621132	4.1160483	4.4463315	5.36991	8.520931	5.3064404	7.2643843	5.517763	4.459578	5.512581	4.593851	4.013634	4.3146315	3.9924405	6.8460016	4.3139124	4.9766912	4.6145434	3.9725947	5.8290663	5.378251	4.3956804	7.919163	5.1565247	5.0196505	5.5305285	5.330691	6.238123	6.4108596	7.796685	4.642466	6.016847	7.508716	5.348978	5.5488353	7.420682	7.1787534	4.932508	6.672358	4.846399	5.785565	6.3034782	4.3504577	6.6375365	5.623728	5.86725	9.336643	8.076958	6.8774157
4.213505	5.0239725	6.3535757	5.557851	6.803606	4.773804	6.0318956	4.5327215	4.572188	5.1231203	4.6837044	6.883971	5.3823214	4.792124	5.2374115	9.348412	4.523378	5.6827917	3.6795292	5.9066534	6.5940585	3.9432857	7.6952753	5.170615	3.2403295	7.3602066	4.361183	9.143742	6.594687	5.4450207	5.6093483	4.905948	3.4605522	4.46011	9.374931	6.162814	3.8925467	4.893483	7.782276	8.324314	5.2445164	6.1919756	5.4052763	5.45813	5.14578	6.329524	5.17535	5.108963	5.81489	6.034952	7.1269064	7.220309	4.35291	5.4567404	4.1887736	4.3991804	3.9392042	5.5346637	4.2494416	5.9006233	8.911413	4.977675	4.9679055	5.3005686	6.9916964	4.923485	5.1145344	3.904292	4.119293	4.9205236	5.557991	5.780715	8.429127	4.324216	4.6580725	4.3800087	4.292744	4.665953	5.32963	4.907486	4.5906	4.0165296	3.6608222	5.113019	4.7105923	5.084445	4.102624	5.277295	6.5581408	5.2979403	4.6731324	4.524286	4.480553	4.4534397	5.8768525	5.061293	5.9571466	4.8262997	3.637268	6.175377	4.778467	3.653863	4.7554674	4.837864	5.245843	3.9290974	4.5756927	6.4858017	5.9347057	5.051298	9.089901	6.052412	4.2603106	4.387268	5.226697	5.3913097	5.1136713	7.0059037	5.206418	4.4605007	8.1328335	6.1626596	6.0229273	8.925226	5.9111204	4.3764596	4.212178	6.4410887	4.536388	4.2272253	5.1301804	4.628033	5.3867264	3.925066	4.3644824	4.238879	6.3326526	6.7650175	5.3894653	5.50881	4.7211785	4.0133166	6.7301235	6.2505007	4.1584883	4.1421485	3.2945125	4.527853	5.8658876	4.407161	4.8543406	4.6943817	3.8225908	4.9268904	6.037608	8.931738	4.7935905	7.2974105	5.4527264	4.5594087	5.6717587	4.9227743	4.2010846	4.596922	4.2908397	7.3694644	5.7345557	5.817936	4.9304576	4.057225	6.142064	5.807279	4.4964213	7.6870837	5.287346	5.4557743	5.8577375	5.13396	6.241453	6.386917	6.610694	5.0351458	6.410566	7.264725	5.4341936	5.3298554	7.4392796	6.942568	5.1319838	6.124153	4.523994	6.078454	7.7901735	4.3948545	6.3873796	5.122613	6.565958	9.890992	8.385218	7.3081937
4.0452275	5.0241084	6.843996	5.929536	6.9599695	4.439576	5.844149	4.5170813	4.644329	4.6212397	4.433756	6.902707	5.19843	4.5507965	4.958874	9.284872	4.5634828	5.617594	3.7544959	5.7770224	5.7865896	4.1266003	7.4281807	4.955288	3.2536116	6.714964	4.3184023	8.833921	5.6917787	5.443756	5.4377666	4.38241	3.5089178	4.5032797	8.555483	5.5859203	3.8242943	5.1191845	8.073684	7.926928	5.161413	6.4211235	4.9467087	5.1202874	5.369568	6.185595	5.5708075	5.291423	5.6278887	5.945614	6.9489584	7.110581	4.3723044	5.5156555	4.061409	4.652066	3.8432956	6.3964996	4.003181	5.8267646	8.5351305	5.381707	4.6234417	5.4634852	6.597478	4.5073237	4.7510033	3.9144654	3.927684	5.7187433	5.3882885	5.904228	7.8410378	4.390329	4.8579445	4.5369663	4.1857834	4.996618	5.1098623	4.9275713	4.604243	3.9191995	3.7204862	4.611273	4.234742	4.8916006	4.4627357	5.2048297	6.319227	5.409025	4.7563715	4.5886135	4.3609977	4.8397074	6.2555513	4.6492863	6.5095825	5.116041	3.671927	6.114879	4.96111	3.7466855	4.4302187	5.148513	4.4865365	3.7996626	4.5519915	6.7900524	5.9429817	5.265481	8.949585	5.992174	4.040181	4.009319	5.039621	4.966178	5.1207666	6.252928	5.1632595	4.2527246	8.372448	7.050909	6.0159416	8.935766	5.466751	3.9949725	4.2589746	6.7921715	4.6017613	4.027897	5.221168	4.5977316	5.0751734	3.7542768	4.5259113	4.052336	5.8263364	6.874222	5.3085775	6.0554	4.9863067	4.0583906	5.9668255	6.18764	4.5559278	4.084301	3.3328505	4.020302	5.3418217	4.573859	4.8285236	4.7630696	3.890166	5.1475983	6.046776	8.3751335	5.1307516	7.2115836	5.141923	4.7038317	5.653411	5.0744724	4.120223	5.132437	4.280258	7.5370765	5.564614	5.1400166	4.9216976	4.0189986	6.6711836	5.8738656	4.828109	7.4130564	5.2083063	5.0243096	5.9407816	5.043936	6.320505	7.153876	6.67619	4.5976276	6.0004315	7.0243263	5.447461	6.0187654	6.659071	6.240822	5.540507	6.1541185	4.660285	6.4844584	6.641101	4.2831707	6.380057	5.618545	6.590787	8.859467	8.623083	6.5126686
