d_loss,gradient_norm
"tf.Tensor(6.198383, shape=(), dtype=float32)",0.024967909
"tf.Tensor(6.454775, shape=(), dtype=float32)",0.00071148475
"tf.Tensor(6.6486015, shape=(), dtype=float32)",0.035702296
"tf.Tensor(7.0790052, shape=(), dtype=float32)",1.9378887e-05
"tf.Tensor(6.825152, shape=(), dtype=float32)",8.814294e-07
"tf.Tensor(9.531655, shape=(), dtype=float32)",2.5518746e-05
"tf.Tensor(6.98726, shape=(), dtype=float32)",0.0
"tf.Tensor(6.9914136, shape=(), dtype=float32)",2.9097848e-17
"tf.Tensor(6.900242, shape=(), dtype=float32)",8.517035e-16
"tf.Tensor(6.974043, shape=(), dtype=float32)",2.0193284e-13
"tf.Tensor(10.556658, shape=(), dtype=float32)",2.2930179e-11
"tf.Tensor(6.954978, shape=(), dtype=float32)",1.8537463e-10
"tf.Tensor(6.9877305, shape=(), dtype=float32)",0.0
"tf.Tensor(6.902131, shape=(), dtype=float32)",0.0
"tf.Tensor(13.177237, shape=(), dtype=float32)",2.9449435e-14
"tf.Tensor(20.355185, shape=(), dtype=float32)",1.8852615e-12
"tf.Tensor(6.9919786, shape=(), dtype=float32)",0.0
"tf.Tensor(6.9720116, shape=(), dtype=float32)",0.0
"tf.Tensor(6.8374486, shape=(), dtype=float32)",0.0
"tf.Tensor(7.0111012, shape=(), dtype=float32)",0.0
"tf.Tensor(6.9009914, shape=(), dtype=float32)",1.0778647e-18
"tf.Tensor(6.952584, shape=(), dtype=float32)",2.6734784e-12
"tf.Tensor(8.212973, shape=(), dtype=float32)",0.6867951
"tf.Tensor(6.988165, shape=(), dtype=float32)",0.0
"tf.Tensor(6.964915, shape=(), dtype=float32)",0.0
"tf.Tensor(11.827039, shape=(), dtype=float32)",0.0
"tf.Tensor(6.991633, shape=(), dtype=float32)",1.1328825e-14
"tf.Tensor(7.6286964, shape=(), dtype=float32)",4.9750074e-15
"tf.Tensor(6.9712296, shape=(), dtype=float32)",6.39373e-07
"tf.Tensor(6.942585, shape=(), dtype=float32)",0.9537589
"tf.Tensor(7.091148, shape=(), dtype=float32)",1.021767e-05
"tf.Tensor(6.8326645, shape=(), dtype=float32)",1.1171401e-10
"tf.Tensor(6.8112545, shape=(), dtype=float32)",1.4959387e-09
"tf.Tensor(7.915726, shape=(), dtype=float32)",2.391001e-06
"tf.Tensor(6.9276967, shape=(), dtype=float32)",0.123144515
"tf.Tensor(6.875058, shape=(), dtype=float32)",0.0
"tf.Tensor(6.9722404, shape=(), dtype=float32)",5.0597404e-10
"tf.Tensor(6.872311, shape=(), dtype=float32)",7.516406e-10
"tf.Tensor(11.479115, shape=(), dtype=float32)",15.816154
