ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
6.7904506	7.313582	7.7081566	7.262351	6.4870424	8.672619	7.5206504	7.1919036	8.285263	8.383677	8.685518	7.131831	8.941357	6.366602	4.050489	3.9953828	6.363706	9.864315	7.6084743	7.838248	7.581615	9.77803	10.429598	9.703922	3.8147798
6.6020174	3.9085317	4.668765	5.098871	4.3579674	4.7276354	3.5241458	3.7127268	4.269987	3.7123246	4.2369328	4.7667994	5.1242857	4.047356	8.531782	3.4125018	4.05498	5.628333	3.831692	7.88942	4.404479	7.3266225	7.1342454	7.736712	6.3782244
6.9153647	4.8268003	5.296628	5.0022583	5.665329	6.712245	4.933926	4.676171	5.7008476	5.315824	6.616404	5.8302317	6.7509985	5.285672	4.30505	3.4877033	4.962988	7.775125	5.2469606	8.094506	5.674815	10.962709	11.370333	10.104412	3.1974337
6.196216	4.2841134	5.293276	5.184594	4.3522797	7.1784153	4.504736	7.3146524	5.6087646	3.5907578	5.2806826	5.078192	7.3398843	3.369212	4.2101245	8.962687	3.3347247	5.8107553	3.214706	8.4641485	4.395821	7.820155	8.633256	8.741031	8.820761
4.2725153	3.2473857	3.6915774	4.601335	7.7077727	4.300497	3.2104895	3.2100224	3.2387776	3.6738482	3.4155881	4.197507	4.7215185	5.523063	6.2488394	3.0906756	4.1038766	4.1073008	3.3903527	4.669031	3.4454129	4.316728	10.512297	4.0017624	8.547972
8.437469	4.5666513	5.164453	6.116846	6.5288153	7.2384086	5.458399	4.8224587	4.8876038	4.272705	5.389157	5.9459305	6.3499565	4.873593	4.7856507	3.8040717	4.0158906	6.7750654	3.341459	8.959909	4.6294303	5.2702208	9.688532	5.2047424	7.1579633
6.609577	3.7838287	4.8203645	4.4252934	4.651709	6.404402	3.6559615	5.1430845	3.9254105	3.862524	4.458337	4.527826	5.549747	3.9421046	6.534852	3.1397963	3.759994	5.821974	3.4893222	8.850866	4.741323	6.018607	7.6358304	6.6544533	8.128172
7.111627	5.1199393	5.747795	6.6963205	5.545583	6.9781995	5.8978434	5.1740007	5.307926	5.188385	5.666789	6.471628	6.2167454	5.5744543	5.904601	3.5364213	5.1901035	6.963683	4.6954694	7.901173	6.3762264	6.3802834	7.62351	6.1925726	8.9487
5.6180344	3.715522	4.8056746	4.8774543	5.8111086	5.639902	3.9241242	4.0761867	4.0958304	3.680889	4.126657	4.5973845	5.3682117	3.6705427	4.6416574	3.8695583	3.386644	6.1264606	3.7190845	5.9901905	3.8617392	8.4488125	9.26963	7.9348855	10.024462
6.0348682	5.257365	7.7085204	5.8388953	4.5141172	9.171113	6.3100643	7.986923	7.262052	5.82728	6.95866	6.90119	7.993483	3.9768238	4.60552	3.2260797	4.3803577	8.684717	4.8922596	7.863989	7.7591887	9.891325	9.534021	9.598301	11.089156
7.686501	3.4510603	4.285712	4.7823167	4.1468368	5.0160885	3.262643	3.750064	3.959303	3.7046208	3.871917	4.578313	5.2499075	4.043763	8.766827	8.744818	3.5766175	5.0395527	3.3961513	8.715869	3.6996264	6.7118664	7.828394	7.1408453	7.6829257
3.844244	3.2263684	3.865685	4.5555954	5.4549484	4.3727126	3.1345584	3.1921437	3.2039323	4.041237	3.3880975	4.0588136	4.9010086	4.0556664	5.6909566	3.291479	3.5981627	4.857145	3.1842573	4.457269	3.4267027	5.201586	11.521311	5.205927	7.3327923
