ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
3.8356984	4.6794863	3.2421806	4.6613455	3.5161328	6.5069103	3.5364559	6.792738	4.2749834	3.2934353	4.299297	3.2637177	3.3318408	3.4051163	3.7252734	5.0318246	3.585631	3.486053	3.789444	3.4380896	4.428693	5.0983634	3.1925936	5.8854284	4.1333137	5.498039	3.5382528	3.9331903	4.8847127	5.8111625	4.167439	3.3682063	4.2527466	3.6230633	4.286644	3.9616535	4.134612	4.851131	4.2296686	6.2374325	3.3224034	4.025354	4.6183753	3.1385226	5.4183335	3.4754493	6.527284	10.102497	5.9570866	6.7436466
5.638631	6.848441	4.798073	4.528373	5.520238	8.003494	5.6315126	7.1017785	4.366938	4.2536345	4.4773655	3.8412447	4.585144	4.543482	4.109745	6.8712287	5.405822	4.8441763	4.9034815	4.232247	6.596716	5.154454	5.3841524	7.6665006	5.7767687	6.2939005	5.1559052	4.9968405	5.245901	4.9322176	6.0355506	4.4313097	4.200585	5.2308464	6.06363	6.0739307	6.7792854	7.4402237	4.9919147	6.067232	3.971965	7.0282965	7.2626004	3.748271	6.8479166	5.7820487	6.573015	9.372555	5.559478	4.2483673
4.4956145	4.2774334	4.4787173	3.593903	5.8036284	7.7580442	4.9370785	8.022856	5.0440297	4.287959	3.3073702	3.7027214	3.9334078	4.871873	5.0883646	5.3926635	4.801482	4.4265027	6.131472	4.590575	5.581506	5.142472	3.9123778	6.9014816	5.9140186	5.3853436	4.6936493	6.050126	6.941144	4.2258644	6.7991953	5.244359	4.3847194	5.638627	4.6791263	5.3412943	6.178872	6.297142	6.833892	4.9496193	4.822809	6.547486	5.677649	4.827954	7.148548	6.006638	7.4149923	7.3092184	7.4463964	5.247089
4.8069696	3.9949286	3.2841542	6.2726583	5.095488	7.5951295	3.5891378	6.5773478	5.060462	4.3492208	7.583793	3.8285003	3.7591403	3.428676	5.9038925	6.011648	4.8919897	4.2560997	5.3085604	4.352587	5.8415003	6.8477664	3.745357	7.204567	4.6185045	4.9281034	4.590628	5.009839	5.9389853	5.583155	7.029916	3.8753839	6.2219186	4.33422	3.6506214	5.5123987	5.6705413	7.331784	4.40799	5.5024643	5.160367	4.300538	5.851	3.2117121	5.0835104	4.5937567	6.6397266	11.452896	6.8877044	8.555996
4.107488	4.3551617	3.2907624	3.9480605	4.619031	7.136789	3.734903	5.9398155	4.638317	3.7818172	3.242488	3.5721645	4.1551266	3.3576508	3.6001315	4.4964876	3.8707232	4.172965	4.9518785	3.982696	4.7693033	7.3997965	3.2621636	6.790707	5.010908	7.071972	3.9703496	5.7618785	5.630876	5.042947	5.8666887	4.3575954	4.7663403	5.69522	4.2472773	4.65473	5.576792	5.7340894	4.732443	4.108132	3.3514102	3.8709304	6.843731	3.84953	9.365908	5.497116	7.253326	6.56962	7.1319475	4.4016085
4.7343316	5.737174	4.5315533	4.4351463	4.86445	7.7926226	5.0007386	8.234159	5.2076683	3.542639	7.1772704	4.2149086	4.3945713	4.7737417	6.917533	9.885729	4.004876	4.9457426	4.0681777	4.0966907	4.3118224	5.463159	3.3230975	7.1373663	6.0859146	7.9739065	4.6852746	4.742789	5.7358913	8.553816	5.8391714	4.185484	4.033615	5.151286	6.6615057	4.8079286	5.1628294	6.397669	6.4258	5.9144635	6.400716	4.6439185	6.265424	3.9289162	9.397993	4.461515	4.5987105	11.677923	4.1515164	5.9382133
4.1405163	4.444008	3.7162285	4.2151985	4.455946	7.17524	4.1335344	7.153915	5.588786	3.9798307	3.497562	4.121285	3.9022324	3.5015616	4.35026	5.3144054	3.9301264	4.6510916	5.198799	4.127599	5.1530657	7.8413143	3.3037376	6.6707263	5.1260624	7.554566	3.9794989	5.016114	5.5923758	6.5389714	5.58296	4.3006983	5.392349	4.7916574	5.953965	5.086664	5.263345	6.0139904	5.698839	5.1064034	4.15352	4.075927	5.691594	4.483044	9.457321	5.157118	7.125368	8.215151	7.434736	9.19223
5.5652933	8.043764	5.4648037	5.2897005	4.901222	9.19467	5.9863243	9.312132	5.096472	4.55933	7.0169888	4.126112	5.782486	5.183336	4.6284714	7.708741	5.4779468	5.594292	4.6593533	4.6267133	5.439761	6.1368895	4.5822577	8.714289	7.76551	5.353198	5.579773	5.580352	6.020417	8.296835	5.854499	5.037634	4.0516934	5.3875737	7.1182218	5.6618567	6.153848	7.042232	6.367709	5.983912	5.0789576	6.7383175	6.4706907	4.0379753	6.405959	5.028748	5.5119	12.487326	4.6618147	5.710024
8.37084	5.661519	4.4940486	5.2519517	8.779583	8.855663	6.666375	8.615079	7.9732475	6.319686	3.7697535	4.5821877	6.7346535	6.080364	4.581912	7.1244273	7.7004485	6.639457	7.4673247	6.446413	8.952356	6.3241663	6.1467023	8.600192	5.7800856	5.57115	7.108768	8.181314	7.473825	4.713827	7.1170735	7.563579	6.357278	8.473601	5.8195724	7.6660166	7.645779	8.800939	5.4801702	3.5451298	4.704133	7.488544	8.424233	5.3765097	5.915646	8.036214	9.018034	9.194053	9.276955	4.0379195
5.470829	6.4538774	5.9933033	5.076639	6.5361385	8.639633	7.3715277	8.359561	6.703017	6.2219543	5.7431	5.855405	7.4589067	6.9214306	3.9236681	4.903519	5.8556876	7.158927	6.342696	5.8048534	7.0071235	4.7896214	5.87452	8.644478	6.7253504	7.7898192	6.2746916	7.6801906	7.3453174	5.7834635	8.1321745	8.272934	5.4552183	7.9857187	8.81235	8.146721	8.087515	8.020227	7.518148	4.024058	4.160158	8.001106	9.300562	6.8665895	8.483206	7.930759	8.690397	11.556817	8.184847	5.096447
5.177815	3.950348	3.228061	6.195384	5.78166	8.180355	3.448523	6.499424	5.700774	5.107988	4.829669	3.783239	4.5591984	3.279115	4.7846847	4.162488	4.603208	5.0453324	5.961689	5.7782316	5.8826723	4.7724977	3.4322937	7.2730584	4.5851803	5.9207325	4.607182	6.1520624	6.3185253	6.2532053	8.569569	4.176799	7.2618866	5.277716	3.9314198	6.1160383	5.7163725	7.5389595	3.9909828	4.4176927	4.177665	3.8779206	8.439487	3.593573	5.320898	4.459135	10.01377	11.084062	11.275369	7.7132154
4.2833514	3.6023436	3.2270694	4.839759	4.385313	7.8557444	3.1697469	5.3633385	4.7632995	4.087928	5.6359935	3.4225283	3.7266116	3.8177693	3.8279123	4.0039186	4.203206	5.234002	4.8561783	3.9033592	5.8231325	4.0835714	3.4387782	7.3037205	4.2727985	3.6368303	4.302367	4.738358	6.385618	3.8092785	6.5607543	3.3888385	4.970929	4.119345	3.4143274	5.463343	5.549805	7.0502334	5.5737405	3.253559	3.6823912	5.3345222	7.9545703	3.140863	3.52722	3.793879	6.587213	11.982575	7.771752	4.0160327
5.2108855	6.6591387	5.97618	4.7109227	4.970367	7.7549224	5.722265	7.469691	6.2023244	5.4645424	4.105482	5.8653083	5.7113523	5.213645	4.4641027	6.3877964	5.2285137	5.177458	5.859942	4.683936	6.073599	5.9464655	4.20429	7.9747086	6.3746233	9.140179	5.4601793	7.0267506	6.8979177	6.415008	6.2217374	5.7792673	4.7405624	6.926797	6.4122925	6.150448	6.4984407	6.890073	6.831011	6.556004	4.7361135	6.120074	6.673746	6.043294	10.83881	7.0446806	6.424679	8.829639	6.6457944	5.8315706
5.74464	6.7885017	5.4461412	5.022341	6.011715	7.2041707	5.9347744	8.07089	5.7133245	5.3121176	5.0108514	5.648834	5.954566	5.0197577	4.6567473	6.928085	4.9996767	5.6245317	5.7525864	5.364147	6.2829814	4.9984517	4.5406456	8.25979	6.0384846	9.102972	5.985398	6.5378346	7.050219	7.035179	6.7406425	6.4928026	5.2439413	6.9757476	6.6677628	5.858799	6.557067	7.469296	6.122141	7.1731334	4.422845	6.323844	7.485189	6.210399	9.786032	7.346066	7.0781107	9.738035	7.2445006	7.4855375
4.854781	5.0401793	5.914448	4.105981	5.6033735	7.937497	5.657052	7.3468885	5.8467093	5.4878025	3.5554166	4.914364	5.799135	3.831978	4.0941887	5.2275314	4.916405	6.1160364	6.992836	5.746316	6.2404356	7.280363	4.4117374	7.6195707	6.525406	7.5664	4.874446	6.175187	6.255216	6.289076	6.6775208	5.499217	5.3567953	6.1588993	8.28063	6.634794	7.0486345	7.0975637	6.2411466	7.9024153	4.75217	5.107893	7.732589	9.184267	10.051543	7.9454145	9.165043	9.667523	8.834597	12.455703
5.284193	6.084839	5.2333326	5.2018986	5.6880856	8.357117	5.787162	7.1953454	6.749589	5.5363865	5.720215	6.9008293	6.9072857	5.7190065	5.123623	4.8264976	4.9515867	6.275853	6.373524	6.1675196	6.4652357	5.8453436	4.7995653	8.120972	7.168984	9.292267	5.7908964	7.4315233	6.870966	6.1298027	8.026218	7.691706	5.895067	6.890646	8.033911	8.380551	7.815532	7.6889963	8.656921	4.571282	4.5712595	6.96717	8.758223	6.7897577	11.007561	7.9092712	9.604615	11.054222	9.28717	6.587693
6.29181	5.1637907	4.519973	6.3260336	5.7487335	8.652679	5.9367123	8.143658	6.507872	6.4314337	4.506728	5.4360404	5.1675863	4.0818257	4.92174	5.225419	6.509265	6.4917994	7.2463493	5.9074507	7.3570776	8.864395	5.012231	8.472599	6.5068426	5.4983153	6.1251774	6.3840227	7.525827	7.352149	7.3035026	4.487932	7.0333962	6.540209	5.906597	7.892307	7.6478915	7.9308343	6.4042664	5.3883886	5.4790926	5.525998	7.316841	4.527977	5.9314356	7.249785	7.926387	9.40041	7.842438	9.170255
4.33543	4.857723	3.6736042	4.503294	5.5047455	7.4860134	4.123348	7.1714945	5.475727	4.147063	4.885284	3.3987398	4.0332036	4.0489964	4.502078	5.9844565	4.6623387	4.7979803	4.6357136	5.989968	4.9857697	5.310478	3.8346727	7.521514	5.1141844	5.150969	4.362164	4.902543	5.4959383	6.7072554	6.2044315	3.8592782	4.72438	4.5667744	4.957254	4.834723	4.880899	6.304783	4.9938154	8.61627	4.4521117	4.5372963	6.0341845	4.4278574	6.3495393	4.1509323	7.444938	11.165964	7.240472	11.695464
