ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
3.8119721	3.6332097	5.2577906	5.047096	4.4922647	4.829672	5.7880917	5.38284	4.921179	5.7576675	7.40457	6.2738156	4.549389	4.4458914	5.742014	5.315148	4.3990307	4.9114532	4.6886234	5.5417385	5.9389296	7.004145	5.427512	6.4438305	4.790211	4.5669103	4.9106874	7.0587	4.5629783	4.582779	6.1913652	6.6672907	5.0278897	4.6814766	4.3519783	3.9865665	5.8621893	7.153491	4.711105	5.868992	4.758984	4.35288	5.702366	5.090061	5.152777	4.515096	3.964206	5.0676403	5.346683	5.5468426	4.6993556	5.5688972	4.235611	4.5653677	5.3470745	6.6048155	5.0761614	7.169569	4.9507732	5.0570416	4.0178304	4.5772095	4.6692495	4.045887	4.575971	5.7019887	5.435929	5.2468896	5.3671594	4.5606213	5.5365324	6.7680373	3.7822695	7.8194256	5.436328	7.30563	4.6971555	5.311446	5.344345	5.448547	6.145177	5.842354	4.813166	5.7899904	5.871417	6.0271034	6.2257066	6.599223	4.465145	5.3423824	3.2185106	4.982887	7.2470474	5.0388756	8.285152	6.035713	7.505051	8.274685	6.53203	4.6557236
6.4248323	3.991501	3.8097928	4.234579	4.687183	5.139739	4.8431087	4.5791264	4.8505707	3.3736987	6.7379346	4.574605	3.6641235	3.9917955	3.735951	5.833971	3.2868538	4.8236046	4.512453	3.9807632	5.562982	5.748522	4.8313174	5.4646454	3.6443458	3.5299535	3.3994992	8.066498	3.4257336	3.1902652	4.7074156	7.42153	5.39857	3.645673	4.9784575	4.339617	4.2675924	5.5373707	6.679294	5.937872	3.7824674	3.2894068	5.462411	5.563672	3.9484916	3.6880302	4.05266	4.821952	5.1204042	3.6657798	4.5620174	5.6455746	3.6483827	4.37317	5.0129356	7.5678716	3.937851	6.152338	3.901238	3.9696696	6.5569296	3.346113	3.6149933	3.907661	5.8122425	3.8243814	3.8505812	3.7431726	4.5735474	5.783781	4.818178	4.0536633	3.3377457	6.847559	4.6953263	4.217889	4.7763352	4.8686066	4.633091	5.487028	6.907182	3.9544926	4.520197	4.073548	4.0541925	3.9721527	4.4165583	4.827786	6.4817305	4.2257414	4.140367	5.206794	4.572489	4.2179365	4.3361387	3.9617114	10.482309	9.249197	9.118114	7.98136
3.5478797	3.4021428	4.6712914	4.5082355	3.11101	4.2537603	3.835918	3.4453225	3.8382976	6.8955836	6.269433	4.4378686	3.276612	3.5536761	4.432344	3.6915386	3.086917	6.8117037	3.1466362	3.1944451	5.4933224	6.8239365	4.688584	5.525383	3.8191187	3.3178828	3.1412668	5.8767037	3.39324	3.2252116	4.62421	6.3471174	4.2859735	3.2459378	3.282801	3.1063364	4.2575693	5.8220353	3.9794207	4.7290688	3.952895	3.4250352	4.7070127	4.562127	4.7799587	3.576049	3.262432	3.7883534	4.4564486	5.074305	3.5658648	4.8069477	3.1778073	3.6068945	4.3478575	6.412315	3.5970268	8.77853	4.147977	3.4057415	8.1294	3.152854	3.4990726	4.0881925	3.9248962	8.7152	3.6764872	3.3654275	3.6522563	3.9524407	4.213067	7.7167206	3.0916357	7.4365625	4.573927	5.9103403	3.8003607	4.5494766	5.8518496	4.5443006	4.556123	3.2818944	3.3833554	3.5464904	3.776292	3.7715228	4.2361126	5.589328	4.444193	8.205139	3.2052076	4.2951307	3.8199341	3.382607	6.484015	3.944018	3.7137017	12.86592	3.2705169	7.8809533
3.8870847	4.2113113	5.3391824	5.7093487	3.5200002	3.4331656	6.797108	6.82629	5.809948	4.1015973	10.050917	7.182853	3.480156	3.3344538	3.9357083	5.9184675	6.845157	5.0575523	6.087659	4.2630744	9.161041	5.83023	5.7464647	9.794452	7.161889	3.7292268	3.2302911	5.096423	4.4329195	3.883438	4.670518	5.0917416	7.0158796	4.527445	4.976905	4.537222	7.501633	7.710935	4.02367	7.400014	5.0453744	5.5266953	6.0298	5.501384	4.3561325	4.3251486	3.2496705	3.8240538	7.579776	5.017867	7.122753	4.0804405	3.1961653	6.6727276	6.9774113	9.709098	4.4864144	6.736504	6.9363546	4.2225733	7.328907	3.8568287	4.259171	3.657733	4.6161394	5.916499	6.279187	4.916837	7.107832	4.583466	7.469073	5.741556	6.0751877	8.311228	4.7886925	4.6034737	6.831047	6.607376	6.1176744	4.54572	9.270735	5.1926436	8.088615	6.7667837	4.6076403	7.16437	7.2042346	8.8575945	3.4735258	4.77018	3.4638834	5.296379	7.287846	3.3296697	4.8322115	5.8595085	8.422144	12.358559	7.488336	5.9182987
3.262171	3.5559096	4.576413	4.0743256	3.2790487	3.6376271	4.309021	3.3833497	3.5075023	6.8609667	6.126566	4.461794	3.4260733	3.7912736	5.15831	3.8674066	3.1054118	5.377014	3.3094954	3.35485	5.7521057	6.7978573	4.544774	5.8319626	3.9961345	3.6444871	3.1904464	7.200815	3.3285997	3.2889307	5.0450735	4.721555	3.9885921	3.3634276	3.4218636	3.1324768	4.5705614	5.096682	4.0568714	4.3635883	4.281214	3.5303273	4.990981	4.9980073	4.25373	3.3772364	3.3368347	3.486614	4.8801155	4.9460063	3.921746	4.1388516	3.2005157	4.03948	3.8277376	6.711024	3.714112	7.6215534	3.7794247	3.439611	6.6346736	3.1815321	3.3555658	3.4132037	4.5022407	9.129576	4.021162	3.8588247	3.8048177	3.544323	4.120141	6.8692665	3.0943236	6.9939365	4.249404	6.118512	3.4977612	4.293025	5.387894	5.4592285	4.4997272	3.5204904	3.5369668	3.3972733	3.7659516	3.6897428	4.1934886	5.8164673	3.8400476	5.384283	3.1807175	3.9848228	4.214601	3.4846704	7.414783	4.135396	3.6060457	9.3905735	3.273251	3.8610387
6.8358197	6.5529776	5.8811173	6.0901203	6.4306974	7.54123	6.9181437	6.6226707	6.913068	4.9979815	8.127768	7.2047215	6.7716665	5.5641465	6.1243186	4.660775	3.7809467	6.926906	5.5324497	6.020674	8.009491	6.6834135	7.743612	6.9509583	6.1548223	5.331652	6.287381	7.1509266	6.998291	7.9363685	5.427233	7.342037	6.598757	6.108543	5.258172	5.7750397	6.30218	7.431212	3.952357	7.0554323	6.348131	6.092289	7.1574044	6.598631	8.269611	5.97568	6.356474	6.1076207	7.8082085	7.1517224	6.383711	6.904586	7.0682087	5.9624643	6.3515444	8.763718	6.740269	7.5276203	6.911889	6.34913	5.2599354	6.5558023	7.8143477	6.4520483	7.87224	5.300626	6.5065947	8.176291	5.749088	6.276871	6.105733	5.4945116	5.9907274	8.440694	7.4610205	5.226974	7.061799	7.2972665	7.676247	6.5088806	7.7134533	7.7138844	7.4088902	6.508065	7.591718	7.476651	7.6976404	8.298871	8.66132	7.4464555	8.802324	7.5388784	9.108868	7.6614423	5.1416187	7.771452	6.5936956	8.783571	5.7749267	10.089423
3.2632098	3.1392472	4.0804453	5.0611806	3.1976178	3.4092834	4.636187	4.3268733	4.85581	3.6552114	7.295715	4.411356	3.1207201	3.5681598	5.2542505	4.9036193	3.1575968	4.441283	3.5923612	4.226883	5.630847	5.3813295	4.8296494	6.753834	3.427229	3.2897458	3.163225	6.6677246	3.3852086	3.117586	4.2582355	5.1530933	3.9593642	3.1063266	3.4194474	3.3370728	4.329686	6.2743816	5.1680527	4.580555	3.7164202	3.5445607	4.7149096	5.0355263	3.3864684	3.4215398	3.2614028	3.6879504	4.9374638	3.8352165	3.9431508	3.7069755	3.304442	3.5222886	5.101409	6.86719	3.442066	6.444751	4.4509897	3.475205	3.1844041	3.119662	3.5078015	3.429429	5.659934	4.952671	3.7687855	3.8793542	4.7852774	4.080267	4.511504	4.82974	3.4240773	6.9420567	4.328432	4.421512	3.7186985	4.552616	5.25504	6.142704	5.9330044	3.9035563	3.5532413	4.10667	3.2926106	3.446361	4.797071	5.380127	4.6066923	5.3081284	6.6663065	3.6403522	5.0470066	3.252992	4.4625096	4.1239686	7.2527094	5.8028235	8.297985	4.050297
5.8659678	4.853983	5.6375723	6.621432	5.1252384	5.8845687	6.5048923	6.277497	6.655701	4.944559	9.015245	7.7406297	5.7365336	5.018919	8.161727	4.545446	4.4018908	7.0787926	6.0319963	6.3917513	7.0579557	5.5170116	7.1070414	7.738632	6.55482	6.249137	5.417184	7.584129	6.3685937	6.524996	4.761732	7.4531417	6.082615	6.192781	4.9244857	4.91058	7.029743	8.27899	3.6249027	7.5619464	5.851509	7.21995	7.28499	6.8992662	7.45923	6.329514	5.2915344	6.199601	7.5402155	7.0762353	6.19485	6.5830064	6.5761175	6.583426	6.2335043	9.358342	6.0679264	8.645506	7.4016104	6.137582	5.0402107	6.4513965	5.412554	6.3123713	5.2815704	4.8359394	5.8802195	7.2127943	6.1841207	6.000064	7.120349	5.504243	5.9874287	9.556815	7.307371	6.2920694	5.565036	6.843648	9.090105	7.3401065	7.237512	6.1695023	7.509805	7.2094007	7.863098	6.989509	8.895569	8.45415	6.932022	6.79053	7.5439615	6.879446	7.3438272	4.8851147	6.3638306	6.934825	5.6720285	8.431755	6.142017	9.25025
4.7338943	4.5096426	5.427774	5.6593323	4.9066734	3.519188	5.703261	6.117302	5.746022	6.0038233	8.796574	6.4363623	4.031493	3.4507184	6.386709	6.467107	6.6575756	4.824337	6.230956	5.2071924	7.85498	5.965001	6.4780703	8.640224	6.2913055	5.211111	3.543933	6.642357	5.473522	3.573865	5.333579	5.3978324	6.4425497	5.543098	5.178164	5.50357	7.797897	7.816655	5.7637777	7.3571105	5.4397316	5.615115	7.056445	5.756239	4.4616966	5.7465363	3.6733441	4.773983	6.1012278	5.2956004	7.4225974	4.4189687	3.5109231	7.3678837	6.3680806	8.124862	4.466777	6.0565095	7.5185666	5.134478	6.4458485	3.99466	4.51555	3.9285288	4.109863	5.2280793	6.3890133	5.230636	5.7655168	4.7284336	8.020016	6.876593	4.3486843	6.9147305	5.4777393	6.06594	6.1746902	5.7799263	5.667998	6.900548	7.541902	4.839051	7.4197097	6.332945	4.4914293	6.726576	7.141384	8.116861	4.006907	4.8812656	6.3277445	4.7168074	6.6322737	3.2984781	6.6894217	4.737068	8.568083	10.417603	8.822535	6.9452615
3.572986	3.4821043	5.462038	4.0812154	4.474675	3.8838258	5.365306	4.3434324	4.357591	5.0143895	6.3584023	5.119566	3.582214	3.750676	4.932828	6.217993	4.130162	4.1825724	4.8494787	4.365733	6.4524765	6.054689	5.300803	7.429396	3.9000874	3.9718196	3.3339663	6.5909023	4.0885444	3.5284548	4.9855757	6.273404	4.1696506	3.3908753	3.6768394	3.7714925	4.7017593	5.196475	4.286292	5.062595	4.0090475	5.0020437	5.7047887	5.051799	4.8056498	3.784188	3.9367743	3.8719273	5.0155716	4.7210693	3.9275818	4.1579523	3.9143865	4.6378756	4.7735977	6.970374	3.8692937	6.1910124	4.3934207	4.4636145	5.674488	3.5621426	3.6021266	4.020651	4.9338083	5.907057	4.1599607	4.2567396	4.489371	3.6582568	5.489575	6.899401	3.852788	6.474202	4.2629986	5.0123963	3.9831605	5.152397	5.343146	4.344216	5.884247	3.5081983	4.676333	4.7470317	4.2399664	4.6768475	5.324752	6.6167507	4.29549	6.771323	6.4938736	5.410628	5.328827	3.4198127	6.014857	4.5640836	7.092279	7.1101193	7.7480354	4.208303
3.8055246	3.3922048	4.315904	5.7687597	3.4380229	4.718977	3.7890964	3.9050632	4.666273	5.117337	7.944699	4.860386	4.0244517	4.6927686	5.3909883	5.501549	3.430488	4.712686	3.821826	4.0576887	5.0699854	8.611797	5.5193653	6.525543	3.9065819	3.8775694	3.920278	7.01418	4.156169	3.2794943	5.3801556	4.632472	5.0503325	3.3016288	4.205039	3.7976296	4.2843266	4.880902	4.574569	4.776132	4.1626472	3.8344398	5.31686	4.340418	4.085724	4.8257403	3.6451852	4.693549	4.456007	3.7532184	4.180237	5.145256	5.125198	4.216356	4.002778	6.7205667	3.4874563	6.607755	4.530654	3.5172281	3.874919	3.6399868	4.0334787	4.324547	4.7686377	5.909072	3.8958821	4.0325007	4.1858425	4.8467865	4.497877	5.301567	3.316675	6.9274993	4.5771646	10.014528	3.895196	5.1834393	4.6373725	5.229269	4.869484	3.757452	4.0138674	4.3065176	4.193973	4.5242233	5.0671687	5.81567	6.774169	8.821761	4.1312575	4.7456307	5.6929064	3.980797	11.035662	4.8188705	7.535273	8.636696	8.464841	7.5534177
3.7755294	3.5157115	4.0660295	4.1072736	3.8866808	3.9814289	4.148493	4.8871665	4.5627584	3.7206416	7.290829	5.314721	3.941637	3.8634822	4.3801503	4.899987	3.3570948	4.4952507	3.6013157	3.6262732	5.386181	7.1472144	5.778667	5.8241653	4.210192	3.534518	3.634566	6.8856783	3.8778877	3.2749763	4.384222	5.3912535	4.608016	4.291139	4.0249906	3.733128	4.1812687	5.8884277	6.585862	5.6461835	3.9777784	3.8474061	5.4492607	4.4781733	4.040408	3.8310418	3.415223	4.497362	4.578594	5.5974417	4.1280575	4.9689035	4.0626993	4.35193	4.3072085	6.5817623	3.741911	6.669389	4.137392	3.9652524	4.844526	3.866254	3.5121303	3.8828266	3.5362244	5.4785233	3.9806094	3.7606544	4.3298078	4.608929	5.2755084	6.8981276	3.24131	7.632631	4.6643047	4.433652	3.9422665	4.7810893	5.165326	7.2899866	5.6537104	3.913369	4.624031	4.131604	4.5818386	4.1484556	4.5829086	5.860224	4.708796	4.332126	3.1188421	4.7436423	5.3083444	4.009608	5.470146	4.497232	7.1181045	10.181053	7.824908	5.776042
