ENSG00000160883	ENSG00000009790	ENSG00000105193	ENSG00000167978	ENSG00000177600	ENSG00000047365	ENSG00000100650	ENSG00000119707	ENSG00000108669	ENSG00000143621	ENSG00000162402	ENSG00000159339	ENSG00000197102	ENSG00000123338	ENSG00000162645	ENSG00000142541	ENSG00000000938	ENSG00000115875	ENSG00000159128	ENSG00000163714	ENSG00000130956	ENSG00000159674	ENSG00000122406	ENSG00000197043	ENSG00000171298	ENSG00000184792	ENSG00000143924	ENSG00000156508	ENSG00000086061	ENSG00000174501	ENSG00000115457	ENSG00000072786	ENSG00000012223	ENSG00000104870	ENSG00000105640	ENSG00000067082	ENSG00000164674	ENSG00000197081	ENSG00000231500	ENSG00000167526	ENSG00000116701	ENSG00000182463	ENSG00000129351	ENSG00000005844	ENSG00000145819	ENSG00000168028	ENSG00000081320	ENSG00000110077	ENSG00000182718	ENSG00000116754	ENSG00000148303	ENSG00000054267	ENSG00000166986	ENSG00000055163	ENSG00000172890	ENSG00000104312	ENSG00000211772	ENSG00000136286	ENSG00000100284	ENSG00000111144	ENSG00000100316	ENSG00000168010	ENSG00000163563	ENSG00000151883	ENSG00000063177	ENSG00000155903	ENSG00000106263	ENSG00000164308	ENSG00000166825	ENSG00000182866	ENSG00000115415	ENSG00000189343	ENSG00000137154	ENSG00000107742	ENSG00000020633	ENSG00000069399	ENSG00000096060	ENSG00000130511	ENSG00000138378	ENSG00000070961	ENSG00000135596	ENSG00000134539	ENSG00000139370	ENSG00000140678	ENSG00000143870	ENSG00000029363	ENSG00000102096	ENSG00000138772	ENSG00000130592	ENSG00000123329	ENSG00000170345	ENSG00000139641	ENSG00000168071	ENSG00000140105	ENSG00000162231	ENSG00000135976	ENSG00000215301	ENSG00000084234	ENSG00000184922	ENSG00000072818	ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
6.340258	7.273386	7.696476	7.883015	8.120708	5.7601347	8.35853	7.258157	7.778021	8.434292	6.843005	6.5494633	6.713435	8.523017	5.829095	9.587185	6.4367886	6.431575	7.0098815	6.8455725	5.414653	8.602453	9.711421	7.1516976	7.31512	6.1556883	7.747095	12.267492	7.877558	8.398548	4.5699058	7.9284177	4.836944	6.7895603	9.240846	8.691746	5.757291	5.9602575	9.009775	11.25853	6.028304	7.15354	7.7200246	9.890678	6.120693	6.2492547	7.742674	6.486083	6.4726233	10.17683	9.143101	8.887275	8.462341	9.345438	6.681409	6.58986	6.550641	8.935368	5.416212	7.964672	10.394167	5.952824	6.1583414	7.8116984	9.230989	6.2492895	6.7459564	6.2255964	5.4466915	9.204693	5.712422	8.268944	9.880382	7.5164857	8.785812	7.125217	5.824022	5.9283495	9.143875	9.29167	6.292464	7.646344	6.3116865	6.7412434	7.958292	8.234625	6.136226	6.043798	5.974903	6.3148165	6.6972475	7.4012775	6.4925117	7.270335	6.1468506	7.775897	11.092581	9.4051075	5.3742886	7.3366065	7.4668875	7.257917	8.988889	7.7818394	5.7365227	6.3025913	6.7631226	6.8255873	9.291688	3.2741072	12.041332	10.075956	6.7600374	5.58185	6.17766	7.7661023	6.4106064	9.317727	6.3115396	7.143504	8.898018	6.7557077	8.926163	9.8779125	6.7241707	7.658706	5.778816	7.295638	8.66408	4.5362196	5.3000784	7.7120914	8.824984	8.236759	7.955969	7.535914	8.7981205	9.914973	4.604459	7.5282125	7.386493	8.164499	8.755012	10.290863	7.716739	5.696666	5.4360323	8.240166	9.051075	8.981001	6.609472	8.148317	6.2247667	6.676065	6.938862	10.057874	6.1021953	9.151179	7.873418	8.345623	4.2550707	8.078373	8.669656	6.1312885	4.5398674	4.494573	8.208407	7.2989626	9.329597	8.454364	8.182401	7.2985334	7.544705	10.978254	8.185394	5.08836	10.893009	9.69772	7.7368045	6.8367195	9.527511	6.716441	9.39236	7.739048	6.0248528	8.156742	10.431889	8.863338	9.712368	5.988653	5.5124407	6.618328	9.157148	4.5847487	7.2881484	9.378961	8.434625	9.448865	9.899241	6.7437353
6.6925383	7.7107534	5.8850408	7.7817936	7.2575727	5.9265795	7.158299	9.327825	4.8304396	5.482751	5.034481	7.1227474	5.836853	4.2714906	5.493964	8.986429	6.6498675	6.541814	3.6010506	5.6049275	7.40047	4.902555	9.582363	5.596695	3.8738787	7.839442	5.8904033	9.395588	4.2514796	6.862213	7.114353	6.5425377	3.3358455	4.5382624	8.016104	6.7254853	5.548026	4.098548	7.4383874	7.7931404	4.863446	8.488579	6.1886797	6.1828337	4.004561	7.6646137	3.915975	4.9640684	5.873706	8.133467	7.203685	6.641098	5.8402615	7.1774693	5.438319	3.6795921	8.7233	6.783	4.241124	7.178782	8.597803	8.063889	4.9999423	6.373134	7.548238	5.4886427	6.197066	4.606326	3.7995508	5.4877014	6.729184	4.6210837	8.8261385	3.803774	4.0327945	4.479177	5.412192	7.3330426	5.7418346	5.830884	7.113287	4.6006923	3.8843184	5.2125077	5.078649	5.896374	6.218458	9.036331	5.719212	5.9998517	5.5128937	4.1919746	7.520654	4.4342675	4.3823028	7.4010315	4.649867	6.991141	5.055515	6.162509	3.6729598	5.413341	4.6105537	6.95637	4.399365	3.8479424	5.3887253	6.3557577	4.9617143	5.8148212	10.579998	7.3806663	6.0987015	3.4355173	4.794201	6.28425	6.726514	5.5147767	7.6529236	4.949101	6.9564652	5.9190426	6.404149	10.169239	5.6146803	4.996847	4.0483336	5.662994	5.392067	3.501555	6.4583707	4.813582	6.7087665	5.227089	5.069186	3.614434	6.6997633	8.725409	5.275796	8.161503	5.145364	7.1384025	5.432889	4.753683	3.8561065	6.1168733	4.304977	5.721819	6.9261303	5.7350698	6.588333	5.134144	5.701745	7.5695043	6.5698595	7.190753	5.8081474	7.888271	7.839136	4.8135223	7.2390504	4.7625513	4.029118	3.380348	4.929389	6.6848984	5.297534	5.457682	7.754079	5.2077913	7.518004	9.117184	5.6857185	7.011318	4.6846104	6.5151644	6.1508727	6.027588	6.167405	5.4742956	7.2334266	4.1682897	6.9753776	8.136093	5.2887583	5.349979	6.3676825	6.817722	3.8905745	6.761263	3.8112955	7.977167	6.580666	3.3684914	8.155501	5.1485386	10.153011	10.859533	9.099468	7.673721
5.223861	7.288035	8.595037	6.7286463	7.9705677	5.2090597	9.070608	7.7661076	7.827623	7.9805465	6.9501314	5.806157	5.716483	5.870675	5.5449476	8.15144	5.88384	7.0121984	6.1298666	8.610058	4.318367	10.8136635	8.242771	5.7007265	4.6306057	8.737095	8.40045	13.279678	6.6781464	6.2665887	5.3184175	7.9345293	4.453142	4.6297975	9.853481	7.203089	6.4845943	5.895769	8.272619	10.864246	4.169682	7.3079243	8.145442	8.786896	4.8142624	8.226969	6.2981224	5.4945507	5.1793213	9.096648	8.634555	9.697071	8.660204	7.5524316	7.677181	5.987877	6.983657	6.5729218	6.6674275	7.710952	11.285756	4.86909	4.6877084	8.121133	10.193607	5.443934	6.576189	7.5248384	3.6891909	6.079421	6.246128	6.7100754	10.414732	9.661804	9.416811	7.6706634	4.332881	6.989794	8.338736	7.4926944	5.238492	5.6356225	7.4133477	9.0907345	5.1930084	8.065481	6.624804	4.515339	8.2503395	5.7857747	9.021782	7.5199533	7.2345753	7.581115	6.162368	7.5038548	10.0178795	6.291497	7.357654	5.5567775	4.826715	9.170249	8.99403	7.227858	5.6953626	4.0437784	9.921501	6.32494	7.826777	3.2253723	9.260412	7.5486484	4.1935353	4.560445	6.2857504	6.1976867	5.027941	5.026225	5.658484	6.025551	8.836687	5.964677	7.7694073	10.367065	6.804061	8.007711	4.7350407	6.169256	5.026018	4.7033415	5.6570034	5.2977467	9.918631	7.3782167	7.055994	5.7462153	7.400854	6.7807674	3.5592673	7.0662613	9.366444	5.3656483	8.420393	7.7686005	5.4822063	8.272116	3.4936814	6.2788577	8.907708	5.6759243	5.540986	7.2554603	3.7633991	6.7850027	6.5513263	11.586959	5.2304897	7.9849324	11.411076	6.0384455	3.635527	5.783227	9.544862	5.102199	4.039441	4.008049	6.6399684	6.1381664	8.018073	10.495654	8.878973	5.4979196	6.7395573	10.796219	7.544705	4.429472	9.1943245	9.321693	7.6638017	6.5011654	9.588655	8.105051	10.814053	8.710665	5.0509076	8.537228	10.57588	9.651821	5.3305845	3.9175766	4.8158045	7.1515007	8.801195	5.3574758	5.8222275	9.502903	9.746452	8.586548	9.883394	7.934704
3.4922848	3.4904068	4.01338	3.712276	4.163474	3.2526326	3.6880007	4.5302076	3.4690862	3.7471173	3.186349	5.427985	3.588365	3.323924	3.5626163	8.932823	3.4844031	4.3489122	3.1235702	4.6052923	3.705944	3.1407409	3.8996701	3.5517979	3.1239796	7.6779957	3.3007915	7.846904	5.183698	3.9578714	5.6750927	3.674523	3.1062796	3.1997063	6.9014416	5.224616	3.1211402	3.2233331	6.610358	6.5653973	3.4865377	5.555316	4.9883327	3.504005	3.2919817	3.6115246	3.3141882	3.2112281	3.5356636	3.8632898	5.8719196	6.18636	4.1680427	4.0004673	3.6730158	3.12831	3.696909	4.149261	3.265265	4.004429	7.1195507	3.4802442	3.6213741	3.2702699	5.316781	3.7490368	3.5145025	3.1756372	3.1880386	3.5091286	4.9632845	3.5223572	6.1114154	3.098021	3.32233	3.6156368	3.2152538	3.1862404	3.3708138	3.322237	3.33749	4.0641685	3.0955667	4.2973356	3.6941342	4.3344364	3.5352006	4.037764	4.001592	3.6519585	3.3075955	3.5349348	3.4606686	4.1671996	3.333101	3.8393195	4.7121787	3.862369	3.337768	4.1899734	3.1618302	3.3696911	3.4470096	3.6397266	3.1977513	3.311804	4.4858327	4.567422	4.581277	3.6244142	5.6514916	4.8719635	3.181911	3.1146007	4.35709	4.2203255	3.271522	3.784112	3.2199662	3.8700671	7.614647	6.1567526	5.7626877	5.158342	4.0843096	3.278935	3.319587	8.498188	3.351282	3.3154273	5.8695717	3.7219567	4.314928	3.1122744	3.4555507	3.6687207	4.440426	6.5239143	3.959708	4.326066	3.5993605	3.2907608	3.787026	6.336982	3.6739104	3.144283	3.0873451	3.4115229	7.014092	3.8130293	3.4307623	3.3928995	3.1281018	3.5466259	6.918007	6.4873185	3.1293821	5.6443377	3.4628255	3.6667986	3.2963	3.4088514	3.4168525	3.1006372	4.090799	4.053343	3.5421379	3.7271397	4.8519278	5.707863	3.4253573	5.0518117	3.1431143	7.423822	5.5094795	4.8884745	3.376065	6.799775	5.340049	3.7208588	5.1242223	4.5382004	4.834219	3.5775619	4.1380415	5.282707	4.7484274	7.8439684	4.198532	4.477866	3.57044	3.8259587	6.9898043	3.174932	5.974843	4.662822	6.250333	9.038571	8.245153	6.998758
4.1853094	4.4202	5.2490096	4.675829	5.519372	4.1230407	4.9105415	4.4818134	4.184461	5.503154	4.9463897	6.193457	6.41078	5.272216	4.7432165	7.7592106	5.264927	4.9148526	4.483287	4.927786	5.8521967	3.4697514	6.0088196	4.0301123	3.2238019	7.1963964	4.6029563	10.741305	6.2119503	5.5021276	5.213908	3.9273696	3.5947804	3.8057976	8.037388	6.5109196	3.3274188	4.7773705	8.533094	5.7945237	4.93207	5.620967	5.117502	3.776739	4.044514	6.855771	5.60095	3.3522313	5.0805984	4.883899	7.4520216	4.9076023	4.8019753	4.588913	4.020144	4.529764	3.5765386	4.9658914	4.7332907	5.472287	9.920525	5.1328406	5.8771696	5.5374546	7.266211	4.82773	4.492146	3.995387	3.8648772	4.7844973	4.903656	5.5001	6.3781424	3.4748344	3.972713	4.806447	4.5446815	4.2096567	3.7466965	4.0674906	3.9556472	4.5563684	4.266859	5.8255997	3.970108	4.8546753	5.1592607	4.9674063	6.26389	4.102683	4.2308884	4.3906903	4.613834	6.2880716	6.309943	4.5111074	4.516774	5.6228313	4.083805	5.4540787	3.343123	4.0066175	5.0007305	3.847487	3.6274617	3.853262	5.7882853	4.4546924	4.9971046	5.050725	8.276609	6.794426	3.7616513	4.126664	3.982804	3.8897877	3.459	4.6961956	3.885272	4.375904	7.1359487	7.3933477	5.0029945	6.7900767	5.0835924	4.6306276	3.908691	7.201291	4.765815	4.7070847	5.111695	5.58644	4.8151383	3.8824549	4.1223607	3.516758	5.611418	5.8648596	7.86177	5.7280636	4.811004	4.2191772	5.9788866	4.996855	4.211931	3.7990437	3.440659	4.4550867	4.918804	4.458826	4.6338196	6.716206	4.1754384	4.357058	5.2371316	9.297	5.219962	7.5696106	4.845281	6.931566	4.883602	4.0072355	4.4208546	3.4512942	4.4623623	7.075639	4.965376	5.792913	5.7676916	6.644102	6.70258	5.989499	3.9562845	7.134749	5.0295362	5.9144554	3.9393966	6.533249	5.8990307	7.943131	5.5014153	6.0985365	4.094441	4.4619246	6.017165	5.2432237	6.540948	6.691078	3.6578684	5.9916162	3.9018457	5.1751146	5.4548335	5.168085	5.1780596	4.7318416	5.807747	10.404457	6.784145	5.900531
3.1334243	3.8179328	3.5819519	4.591851	4.6726255	3.124522	3.602501	3.799329	3.7442083	3.4167993	3.1139324	6.194746	3.6731658	4.024342	3.4147947	5.642693	3.9945574	4.9607596	3.2055604	4.571536	4.880458	3.1049645	7.6540966	4.7265663	3.0903623	5.853471	3.8460867	10.267031	5.8376956	3.949346	5.5338173	3.142082	3.0971131	3.1359718	5.4332037	3.5298958	3.1697974	3.1836672	7.3904166	8.152454	3.5436573	5.781827	3.474609	3.8174906	3.2521296	4.30472	3.3072345	3.1126437	3.715271	4.26527	5.716264	4.4742923	3.471678	7.4390287	3.5279965	4.1665754	3.6382744	5.2909403	3.2370155	4.579961	9.545185	3.6378663	4.06899	3.8002567	5.06324	3.177683	3.3149729	3.1277428	3.095459	4.194108	4.2603893	6.9479933	5.85446	3.169182	3.871667	3.1162384	3.1186404	4.0887947	3.2090836	3.385568	3.1826243	3.5122428	3.1066895	4.3890495	3.4817142	4.0892105	4.422044	4.0680757	4.585294	3.1725595	3.1523218	3.731381	3.1690996	3.499045	3.5836792	3.5133665	6.286422	4.391371	3.1779678	4.1049166	3.0918136	3.1248448	3.1970153	4.0711136	3.13236	3.4553795	3.42463	3.7664533	4.015178	3.4005537	7.6133304	3.6388886	3.1266656	3.1146348	4.572126	3.926114	3.2316358	3.4708276	3.5797224	3.1570632	3.5056853	5.6296396	6.549802	3.8350053	3.401605	3.2360878	3.1003518	5.7545857	3.1890092	3.1667223	3.7106829	5.3915205	3.3874106	3.1156816	3.7633803	3.3228486	7.028796	5.7019835	3.56678	3.7857654	3.6959672	3.4651475	4.4591026	4.1645575	3.4800625	3.0968146	3.098615	3.3702266	4.2698555	3.2122662	3.5145822	3.2203963	3.1379528	3.2764697	3.2718132	7.639769	3.126552	7.004548	3.917894	3.3882825	3.9197562	3.1096978	3.2121015	3.1731346	3.3912094	3.4299617	4.237517	3.665561	3.715032	3.8339598	4.0306215	4.0121956	3.1568418	11.461841	3.6632838	4.1240416	3.5147862	3.4116302	4.2698402	3.7262013	7.3729563	4.050229	5.073964	3.8977048	3.4286687	4.301649	6.187195	5.178529	3.7324898	6.339282	3.558965	5.208502	4.119519	3.1465569	6.546039	3.9354177	6.8319054	7.04924	7.927656	10.0557995
3.559415	4.700368	6.1527057	5.92286	5.5239153	3.726996	4.783292	4.3530917	5.0394855	5.1229954	3.8007207	7.833417	3.9828901	5.021938	4.6394377	6.8801556	5.824787	6.2820587	4.5569644	3.7466903	4.6900105	4.183752	5.825319	5.0976515	3.1260798	7.0038824	5.5758224	9.700617	5.1290865	5.736679	5.1108265	4.3289866	3.1996605	3.361698	7.909235	5.3226757	3.8620033	4.0171275	7.8670864	9.154737	4.892836	6.5998764	5.029004	4.5719004	3.8577745	5.088258	4.5496187	3.548231	5.813099	5.593504	6.929679	5.999069	4.8629656	6.0026836	4.114874	4.175912	6.7843857	4.871917	4.025605	4.675605	8.541828	6.008097	5.8183985	4.23983	7.4064355	4.035592	3.732021	3.4162233	3.3188095	5.4537506	4.3702908	5.3036566	7.5681725	3.4347444	4.167058	3.573331	3.8821468	5.6264496	5.2957444	4.9881964	4.3037443	3.963789	3.4043183	4.481561	3.70982	5.308134	6.783551	5.057841	6.9936786	4.234355	4.121945	4.2248006	4.416871	4.413465	5.9933147	3.959783	6.3156424	3.9191551	3.6082807	4.7010174	3.2346952	3.6044316	4.173365	4.2996016	3.3026018	3.8735769	5.0178757	4.062653	4.376621	4.051053	6.83768	5.161827	4.085106	3.8892565	5.209835	5.102935	3.9006407	5.3239136	4.901639	4.3942933	6.526474	5.5576324	5.813109	7.07742	3.6959686	4.3203735	3.3322988	7.0266304	3.751296	3.7329404	5.0416975	4.827768	5.112702	3.7083454	4.273273	4.2327332	4.9045186	7.685078	5.478784	8.236667	4.5221815	4.6246543	5.81131	4.1709924	4.5309043	3.6888661	3.2595208	3.9694848	7.3420568	4.1563473	5.081958	4.151003	3.325493	4.4612722	4.0466514	7.372344	3.9855785	5.8095665	5.6880016	5.0595117	5.0247808	3.7790272	4.96148	3.4040256	3.7843113	7.392816	5.110809	5.267068	7.054406	7.42722	6.6499696	6.8007746	3.8665555	7.4914	4.6142883	4.818858	4.6450906	5.286995	7.3164506	5.1498594	6.2648745	4.0308466	4.457478	5.174697	4.300621	4.9734077	8.011848	7.1466675	5.213756	5.973901	4.3383064	6.434907	5.743377	4.5894256	6.107446	5.1970253	8.471037	9.737046	7.5335045	7.8762875
3.685311	3.9769962	5.9210997	4.672921	7.076964	4.022499	6.8292933	6.753356	4.320856	4.736885	4.111108	7.868581	3.7979088	4.440612	4.5575767	8.88085	5.3445625	5.481764	3.6223254	5.342923	5.057666	4.1521125	9.011248	4.3235884	3.5925102	7.912492	4.8247128	11.636761	5.322545	5.435355	5.5330334	4.833604	4.4535375	3.5408556	7.7067165	6.754916	4.042429	5.760379	7.6973176	8.152414	5.2236805	6.713455	4.3544607	4.2692246	4.2011147	8.208917	4.031684	3.4022002	5.7683496	4.8874664	6.42553	6.8622723	3.8770032	4.9621115	4.009471	4.7656007	4.3438234	4.8066096	4.167632	4.8218045	10.227045	4.774132	5.3741984	5.7114606	7.2489886	4.16778	4.886171	3.4156995	3.4492002	4.4689636	5.58545	5.522581	6.413922	3.444726	3.978335	4.8733983	5.2617445	3.7913303	4.4176955	4.4486184	4.1965995	4.543405	3.84749	5.525761	4.1931653	4.949279	4.48326	7.512397	6.754394	6.0790234	4.573509	4.039429	4.2319946	6.749712	4.69156	4.240291	6.336132	7.0213566	4.2078137	4.6981096	4.130373	3.9117887	4.9019575	4.427121	3.6730013	4.402005	6.4005117	5.3449316	6.0772696	4.558062	9.286188	5.7817144	4.4022474	4.7486134	6.14396	4.605934	3.800941	5.274953	4.337679	5.062519	6.4180856	8.070471	5.2178197	9.002998	4.8411646	3.9047396	3.812921	5.3958335	4.0479946	4.236884	5.5570116	4.6459627	4.9761047	3.821877	3.972309	3.8861403	5.333595	4.922907	7.245612	5.982951	4.790596	4.4380946	6.5017085	7.296893	4.475933	4.3712015	3.3673897	5.4639544	8.091753	5.31854	5.702636	7.265277	4.9484997	4.2528753	7.2101984	9.933622	4.33919	9.259682	5.894352	5.2914057	4.081327	4.677127	4.9661713	4.5543227	5.1956863	7.994524	5.0998135	7.2437243	8.112408	4.659911	5.273698	5.804468	4.0822926	8.123682	4.874002	4.831164	4.6133103	6.2304516	6.423778	4.5564284	5.494783	6.4352446	4.020687	5.9643326	5.4742446	6.2630234	5.4800396	6.8134584	6.471223	5.929619	5.193113	5.391131	7.8723636	5.0546865	5.029032	6.7822723	8.304945	9.674605	5.7901115	7.792919
4.1857758	3.639077	6.3506975	4.4928646	6.747304	4.0988646	5.2967796	5.034374	4.1352606	5.1663904	4.8519497	6.7109833	5.6030455	4.536316	4.1356444	7.1925693	4.032795	4.325521	3.4359832	5.758478	4.5092425	4.0188293	8.0279875	4.235568	3.2934952	8.183618	3.8025243	10.553559	4.906734	6.2594695	4.769727	5.4811263	3.7742045	3.9592328	6.6673226	5.6190543	3.5523496	4.1888986	6.7179413	7.0602403	4.872699	5.5140924	4.08645	4.942198	4.881132	5.2792034	4.890135	3.2248049	5.242613	5.023872	6.2666025	5.8195944	5.161902	4.830778	4.256718	3.7056224	4.05649	4.371451	4.027831	4.1845717	8.227143	3.822526	4.79865	4.8084626	5.688029	4.194209	3.9025044	4.0506988	3.5390527	4.157255	4.9631457	6.394771	7.673461	3.2401142	4.1961284	4.998262	4.2143793	4.8848186	4.1756687	4.9516387	3.900982	4.6249456	3.7029202	4.7985277	3.997482	6.129074	5.6139383	7.325299	4.2727375	5.400749	3.7293656	4.7071857	3.7335413	4.6587515	5.5593085	4.7518654	6.349613	5.415559	3.9371831	5.207012	3.865531	4.047254	5.91932	5.0785794	3.41404	4.7941003	4.86109	6.801008	5.755275	5.0608325	9.505515	6.0897703	3.7609284	3.707735	3.9642873	4.751512	4.4248424	8.125181	3.3546262	4.435876	5.2290015	6.817829	5.0108166	5.8589745	5.2852697	4.308465	3.4791617	8.354082	4.22969	3.6950865	5.992394	6.3397713	5.2068267	4.5051823	4.4914675	4.0594726	4.690145	6.453961	6.343199	4.4813895	4.054064	4.027837	5.926177	6.3978934	3.8546526	3.5913057	3.2153988	5.053012	4.8034897	5.090826	4.936098	4.1407237	3.6388426	4.415226	5.5456686	6.404614	4.677027	5.9607687	4.8671217	4.5753584	3.924952	4.593272	4.1315174	3.565806	5.362508	6.4177256	4.4229493	5.5445547	5.05377	3.9794135	5.6601233	6.5654106	3.8510354	6.3848124	4.7771764	5.457226	4.2469406	5.9788637	4.8403006	6.275386	5.860097	5.00644	4.686685	4.199215	5.8259726	4.516465	4.7037363	5.411174	5.3899775	4.7718616	5.2527976	3.574649	6.3742323	3.948046	5.128387	5.820572	6.9660206	8.475931	6.5816545	6.1605263
3.556305	5.6253853	5.056158	4.4349484	7.8238893	3.9685822	5.5418916	5.851904	3.8018491	5.2448997	5.7399073	5.3627806	4.1756525	4.2046022	3.872041	7.497214	5.1946683	4.093376	3.433543	5.224174	6.3060265	3.391375	7.291635	4.2554326	3.4104817	8.366987	3.9902945	11.474451	4.2302775	6.6601534	5.1048036	5.569927	3.127049	3.3905034	8.66964	7.5260067	4.10191	3.6365767	9.683333	6.0304565	4.3397675	7.5554366	5.245636	3.8000174	3.7783282	6.5231204	3.8973017	3.831366	5.3732395	6.8412743	9.067898	8.372696	4.3428307	4.4614487	4.5593424	3.4671104	5.5541563	5.6706305	3.719106	4.777964	7.65282	4.4770794	3.548138	5.077085	8.308747	3.5804193	4.2429047	4.298239	3.2084856	4.2424836	3.7640657	6.414489	8.485165	3.5126662	5.280571	3.5329072	3.2634661	4.819209	3.8803883	4.416482	4.9608393	4.4181757	3.264755	5.6429195	3.5298982	5.604665	3.8864722	4.5614166	4.737523	4.8923383	3.6678135	3.656155	5.2669125	3.8450649	6.293101	5.2077727	4.9131413	4.9665775	6.6476345	6.6349926	3.1867123	3.6127253	5.7446985	6.285631	3.6474085	3.2038472	6.25393	4.865579	4.5719414	3.3973618	9.95236	5.9084873	3.4957895	3.1170816	3.3526776	7.022254	5.3313923	3.5086308	7.094319	4.142532	5.7727776	6.1375194	7.047515	9.081146	6.4554577	3.4063668	3.2920945	7.1986837	4.34776	3.5150895	5.117842	5.442742	4.8982105	4.0334806	4.4472084	4.305703	8.162915	6.832309	4.3527093	6.7186027	4.038169	4.426224	4.8385544	4.6014166	3.753951	5.216716	3.136246	5.355648	6.009556	4.0851336	3.8457775	3.7973475	3.3642004	7.9254737	6.0653987	8.761227	3.4458773	4.5137553	5.6817865	3.46651	4.7956705	3.2377248	3.9718559	3.1234334	3.4296901	4.2552876	3.6810203	4.5018334	4.7084775	4.571783	6.676458	5.162834	5.524933	5.0656476	3.9166896	4.5480156	4.6325026	4.6352367	5.7757387	5.8394413	7.9809794	3.9454958	6.871103	7.5160956	3.6618118	8.561643	8.065334	8.705774	3.1332445	4.2475944	3.206066	3.7970965	5.9024105	3.097199	4.6923985	6.0675244	9.479126	8.237179	9.198246	5.2374725
