ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
4.580711	3.5085561	5.3911066	5.007002	7.7145185	6.5205994	3.6416655	4.0632844	4.816828	4.0582523	4.633849	4.2147756	4.925341	3.870316	5.036891	4.7770905	3.6709483	6.2276917	3.9408202	5.6308146	4.2293844	7.28831	10.074735	7.938563	5.1249347
5.8942356	3.5175247	5.7827034	8.027972	3.5966945	7.972636	5.2095585	4.750463	7.3245177	3.610474	7.640783	5.6576214	7.5073166	3.3539	4.905893	3.2125475	3.783483	10.629845	5.164485	6.462357	6.5245285	10.976558	6.040743	11.10715	3.2803051
5.480012	4.322876	4.486742	5.4019046	6.6377935	6.658432	3.9148803	5.0785894	4.300773	4.9337826	4.434056	4.8306837	4.7021365	3.8876414	4.2761364	3.646073	3.5334444	5.460662	4.1636376	5.6168294	3.9968696	8.15225	10.236429	8.687958	6.617982
4.9221992	3.679178	5.413341	5.6575174	7.543422	5.8997316	4.2064033	4.3654747	4.7237062	4.1849995	4.546289	5.2713985	5.4329295	4.8919897	6.5585365	4.2301135	3.9451528	6.214686	4.02689	5.387429	4.9212437	5.6168184	9.848503	5.0567408	7.7872696
4.421118	3.6224885	5.719919	6.6900606	4.996497	6.061207	3.9466925	5.2393885	4.321663	4.830343	4.558155	5.5506015	5.5960035	5.8526807	6.2470303	3.780823	6.224739	4.792658	3.4170954	4.480196	3.9816418	5.7919064	9.055611	5.1673574	7.900982
6.979296	7.7833896	8.312891	8.251827	6.4729366	8.323965	7.97541	7.4705205	8.239706	7.303245	8.007061	8.248589	8.251593	7.7084084	6.8204317	6.42517	7.0480433	8.914093	6.7302904	6.8464932	8.707138	8.827847	9.7182255	9.039692	7.847814
3.6601346	5.3691597	4.470499	5.153042	3.5815322	6.874942	4.5102205	4.4476805	5.5421424	3.8742125	4.851731	4.2074814	6.772441	3.2025301	4.0450306	3.1731377	3.2402825	6.547201	3.4949663	4.809187	4.1517744	9.67555	8.786146	10.122745	9.2955675
9.152206	3.1637952	3.3291016	3.720236	5.3540907	4.1213417	3.3508449	4.6670275	3.42397	3.9800832	3.3935971	3.4792376	4.0576024	4.9312553	3.515664	3.3590446	3.5280943	4.554833	3.2488618	10.013489	3.8434432	4.456221	7.0328794	5.236308	4.996156
5.8523607	5.5509987	6.664219	6.751313	7.238042	7.4504647	5.910453	7.220946	5.965914	6.259344	6.317001	6.357219	6.6574526	5.4754133	6.541054	5.8091793	5.6332083	9.092325	6.1195965	5.6998954	6.036733	8.076941	9.382068	8.48056	9.874655
6.60987	3.555364	4.0381365	4.2578015	5.743524	6.2500763	3.8016174	4.1826315	5.059763	3.958355	4.1533237	4.6041317	5.5368185	5.2794924	4.4549437	3.7335165	3.9166698	5.8721595	3.439431	7.568978	3.8106751	6.0784717	11.554584	6.0872517	7.125049
4.284552	3.0997283	3.3569698	3.3424063	8.436252	3.527242	3.254081	3.1409721	3.236414	3.2802446	3.283113	3.9122818	3.9068863	3.7402341	4.08394	3.2294035	3.5742497	3.644934	3.2160325	6.691334	3.3081312	4.0605483	12.822202	3.5912132	4.0389996
5.697216	6.423834	7.4223995	7.3213964	7.0239744	8.29731	5.5940533	8.399208	7.6907625	4.828622	7.4963446	7.370088	7.9031725	5.453003	7.3712554	6.1144323	4.771105	7.2656584	4.5444136	6.9584985	6.9688005	9.745701	7.593148	9.966679	4.886567
4.497403	10.754635	8.084412	8.917761	5.1904206	8.867349	7.3003554	8.313982	8.26359	7.8139467	8.900533	8.462578	10.984877	9.344971	3.7022982	4.9709454	10.238457	10.715978	5.4557557	5.296566	9.219754	9.240677	12.054132	9.584002	5.6621027
5.552249	6.7442517	6.6819496	8.448751	8.058241	7.4418297	5.684105	7.2868233	6.7221746	5.228863	6.862936	6.543051	7.19485	7.759218	6.723407	5.033208	5.2722316	6.4126034	4.521657	6.186425	6.8350763	8.301733	9.65148	6.7476196	5.6943083
8.057028	5.327586	5.0909786	6.1068354	4.427601	6.185019	3.2998939	6.0820236	4.1564016	3.9958487	5.3228407	10.146017	10.26352	7.2879896	6.3439245	5.4190264	6.7907495	4.633868	3.0967767	11.719491	3.9208856	6.1312943	11.360384	5.9006243	3.1987245
8.292605	4.859326	5.42377	7.0222206	3.7556124	6.5007095	4.100113	5.6562424	5.3957467	3.9506805	5.92041	6.7405424	8.82155	6.5529747	5.623361	3.3703163	5.399496	5.295503	3.1880658	11.129209	4.760789	8.645672	11.637213	8.003595	4.4613347
3.7712793	3.3006258	3.8117685	4.939638	4.0074353	4.9105463	3.3491685	3.6138935	4.5370994	3.6539721	4.6591487	4.3219275	5.3665514	3.514169	6.786859	3.6722872	3.4813392	5.2195177	3.2645514	4.339819	3.6186128	5.770461	9.560717	5.6333637	8.443209
4.8183823	7.6729984	7.428463	7.8440657	5.5980215	6.996067	6.7227983	7.2073665	7.6030707	6.7599382	6.748772	7.3670044	8.405264	6.77701	5.004316	5.752534	8.352501	8.659851	6.061681	6.561124	7.698351	7.916429	10.622846	9.489029	6.116702
4.692458	3.8410912	4.3702474	5.011919	6.053673	5.2758217	3.5372553	4.264192	4.131565	3.8742962	4.1424294	5.1209764	5.4374695	4.2901635	5.778598	3.7208862	3.5002291	4.3407054	3.2947915	5.396411	3.7729905	6.5013943	9.735921	6.1620636	9.144386
5.3636436	3.30739	4.0734243	4.9767056	6.194439	4.607097	3.3686726	4.131556	3.7607942	3.9561434	4.036932	3.625638	4.3198295	3.5887082	6.782563	5.6584196	3.5309331	6.032324	3.3553646	5.5466757	3.6659288	5.4410334	10.769044	5.3753843	9.661633
5.7530746	4.427473	6.0375004	5.9173684	6.629799	6.184142	4.9559746	5.1700497	4.5316024	4.691456	5.6457334	4.944445	4.8943014	4.352482	4.987912	3.9234078	3.969451	6.249216	4.564995	6.4836493	6.7309303	7.793514	7.1432347	8.004691	6.589757
7.818748	4.3944106	6.589638	6.486247	3.5170145	8.909167	3.4750602	7.053376	5.0014696	3.4678984	6.827104	6.6043816	8.402357	4.0753546	7.4778666	3.523242	6.048608	5.4709444	3.2009287	7.6850514	4.069114	7.6977005	8.552057	8.345751	4.2530603
7.9778957	5.7303643	6.262227	5.263174	10.099341	6.771423	6.3159237	4.998433	6.029228	7.9681444	6.2201533	6.345962	7.816978	6.198807	4.652394	4.5820675	6.195812	9.247211	7.1925592	8.273085	5.676921	8.225058	12.1063385	9.14724	6.6930833
5.708911	3.5925646	4.122122	4.507378	8.894131	5.3419905	3.684762	4.206968	3.9888213	4.725465	3.996192	4.3592978	4.995765	3.9103508	4.2249937	3.4253755	3.5435412	5.4436207	4.297871	5.933196	3.7948344	7.692205	11.666504	8.403794	5.459997
4.9971094	6.712544	7.3734865	7.1495633	4.8574953	8.848116	6.288984	5.8082647	8.386736	6.660658	7.1193924	6.4677	7.5499673	5.058979	5.33788	5.5043707	6.0388193	8.614542	5.3986406	5.5387053	6.8194017	8.401466	9.590785	7.864816	8.651252
4.5736427	3.9274502	5.0180626	6.097185	7.083884	5.125985	4.49537	3.7438881	4.353943	6.912755	4.7108912	5.2373867	5.857441	5.1554775	7.487491	3.6719773	4.7425666	5.1218786	3.5981631	4.326914	4.056704	4.4853673	9.5632305	3.890232	11.621169
4.6669626	3.1747565	3.6475627	3.3881762	4.5813193	4.3996773	3.1258125	4.4435434	3.2235544	3.0926952	3.5742967	3.1859064	3.7894695	3.123166	5.173938	3.2615352	3.0884624	3.5552397	3.0844784	4.420337	3.1194022	11.258523	7.2122316	10.558126	4.5596256
5.6349506	8.392305	7.5622067	7.1853614	5.0773964	8.556583	7.211034	6.951008	7.505262	7.0244565	6.724816	8.602375	8.999472	6.210059	5.37442	4.949342	6.272415	8.9489975	5.049118	5.4356184	7.7796555	7.8033266	8.918604	7.736172	9.318655
6.387868	3.4403565	3.7945561	4.201234	8.807011	3.915132	3.7790904	3.3729804	3.6856883	4.7134275	3.7057912	4.6017976	5.3753023	4.4517937	5.3883657	3.3705132	3.835772	4.49148	3.3808303	6.0252075	3.6504002	4.8110065	12.491235	3.8697412	9.535105
5.692715	9.738356	8.379572	10.110853	4.080821	9.38217	5.8074217	8.640999	6.7419434	7.106683	8.500517	9.313662	11.051268	9.369312	4.913759	4.422807	10.178901	8.188448	5.5695295	6.8075714	8.173897	6.585328	12.104344	6.2913914	4.348237
5.56209	5.5598955	6.107775	6.1644955	4.184447	8.127117	5.154667	5.779503	5.3679485	6.020318	5.8509736	6.895539	7.534469	5.8150425	5.3025045	3.4630303	6.2288957	7.737495	3.795775	5.6401587	5.4570885	6.803851	10.352726	7.0418534	8.727865
5.2784896	3.2183456	3.3172612	3.995961	3.9730783	3.6588392	3.154819	3.607914	3.3777003	3.1344328	3.5818727	3.8347409	5.428206	3.390478	9.142548	3.793463	3.1736002	3.8077168	3.0965571	7.606089	3.2118425	4.2068343	8.861015	4.228877	9.405281
5.3563247	7.566288	8.118404	7.856891	5.102941	8.880605	7.4045796	7.215028	9.104958	6.864608	7.6604185	7.5971165	8.529435	6.352032	5.3748584	6.4348526	7.3754706	9.160315	5.9634595	5.6029663	8.083362	9.291767	9.552378	9.346484	8.818232
4.768184	3.3667562	3.3748689	4.098566	4.883541	3.8387809	3.4558692	4.0728865	3.352559	3.3349078	3.4531229	3.6007643	5.0271645	3.2257454	6.2234035	3.3183956	3.1360724	5.8282332	3.1189759	5.6083393	3.251079	5.4365654	9.071989	5.064188	10.653809
4.34237	3.0931835	3.1444404	3.3363876	7.3090696	3.3375714	3.1243334	3.1021767	3.143903	3.1430604	3.1575363	3.3624918	3.4460003	3.707628	6.446087	3.2942479	3.159044	3.5850568	3.1173081	5.9545126	3.155636	3.7145915	12.170364	3.3572836	5.950347
5.500662	6.1433187	8.157153	6.99171	5.6764	8.007358	7.070408	6.7889004	8.342616	6.950887	6.5755835	8.519553	8.805262	6.2365704	5.7353945	6.2459464	7.153942	8.596184	4.73225	5.3073235	7.3896856	7.568581	9.114918	7.607707	10.44776
5.6277227	10.154707	8.563185	8.49195	4.670224	9.359703	6.1933193	8.362043	8.247601	7.182851	9.800086	9.419518	10.659557	7.334889	4.8818665	5.640292	9.9666195	8.326199	4.4014297	5.7335196	8.425967	8.738064	10.814524	7.7670302	6.5682583
6.093033	3.1234152	3.3188803	3.4462252	6.1235795	3.9556305	3.2256212	3.1636903	3.746021	3.366482	3.4825234	3.9876368	4.7219787	4.8968196	3.5662007	3.4576342	3.7456112	3.542825	3.1494503	6.820733	3.3147535	3.958977	13.595426	3.396897	3.9585912
7.131601	3.2589154	3.563476	4.4214025	6.3157854	4.0881658	3.5756903	3.6304386	3.4282975	4.091881	3.7000396	4.0876746	4.32298	5.784368	7.4305806	4.601925	4.2007647	4.1108184	3.3462415	8.528723	3.913883	3.8295772	8.984348	3.793552	9.87735
