ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
3.7836096	4.658088	3.464427	5.007924	4.6012645	6.8221807	3.773812	6.2601995	4.7364635	3.326335	3.9417949	3.1919236	3.3107872	3.3142354	4.2557106	5.2917376	4.031057	4.0948477	4.0589385	4.2280445	4.9318485	4.843875	3.3486004	6.2506924	4.6267643	6.5879955	3.7742581	4.6265936	5.5184603	5.5409536	5.3025484	3.6585712	3.5093136	4.6359024	3.9870255	4.3971143	4.4535484	4.531995	4.295045	5.6392393	3.2916412	3.7935019	5.6810226	3.838777	7.235476	3.9193063	9.014787	8.849583	7.839023	8.989557
3.6368542	4.2877064	3.2796752	4.078435	3.612356	6.2075043	4.2150583	6.467494	4.162012	3.273811	4.4184694	3.139452	3.3750992	3.4443226	4.4450474	6.7770205	3.757055	3.5079768	3.8728182	4.1233497	4.9536676	7.628472	3.2208884	5.9272127	5.0761113	4.9524465	3.604302	3.9851599	5.8333297	4.4303265	6.1730022	3.2726245	3.6110263	3.9105732	3.8015754	4.212437	4.836419	6.428236	3.9621177	9.726805	3.2293434	3.6382008	4.787877	3.4693377	5.996677	3.5029082	5.155381	7.8492823	6.545635	11.237534
4.8280144	4.2330313	3.230979	4.8130364	5.1285725	6.364782	4.475094	6.1481485	4.0075874	3.7949579	3.886166	3.4156115	3.6710615	3.3783066	5.640211	5.253251	4.7405224	4.077872	5.0204496	5.077015	4.6182947	4.864623	3.5190547	7.748109	4.8348317	5.202853	4.1701193	5.7692003	6.4393272	5.226659	7.5139565	4.185132	5.3488503	4.8336773	4.315625	4.9356728	4.778038	6.3994036	4.0852966	6.4263444	3.792171	3.9869702	6.4121428	3.9006786	6.737301	4.4643636	6.8263054	9.5074625	7.760303	6.5719023
7.3255997	5.142392	4.2109265	6.999469	7.3978705	10.78141	6.684453	9.180885	7.3409133	7.8956804	4.1407228	6.6407175	6.9673443	4.8098507	3.2508798	3.8038979	8.176829	7.900419	7.5222425	7.7482214	8.659353	8.132795	6.6591177	12.100316	7.0577946	4.4582386	9.576211	7.926792	8.59119	3.5331936	10.163855	7.4296303	8.556685	9.00169	6.1278305	9.914844	10.659959	10.6395235	5.640062	6.879014	3.5456219	7.147122	10.141003	4.945171	5.5643883	10.625824	10.448338	9.274549	8.843321	6.732568
4.312248	5.1604147	3.352575	3.7266185	5.750985	8.437836	4.5368214	6.6923614	5.267908	3.7891233	4.0856647	3.785181	3.7438097	5.520318	4.144363	5.733831	4.0108385	4.480119	5.555538	5.3213754	4.9149733	5.8136187	4.0636153	6.9516826	4.6313934	5.8309526	4.8503923	4.9873886	4.5177364	5.876004	5.2486467	4.1262503	5.4466124	4.5439916	4.1196136	6.0879393	5.2835274	5.871869	5.080533	6.0350676	3.5895333	4.601464	6.4246883	4.482173	7.1275797	4.623936	8.897751	9.021202	9.604245	5.7324243
4.5360713	5.331875	3.5918522	5.8286877	5.0133443	7.357156	4.165101	5.7652044	4.3171883	3.9387994	6.1080747	3.6068778	3.62045	4.0777063	4.8228793	7.3647747	3.9856172	4.447663	4.787892	4.0475364	5.3382254	7.502949	4.032513	8.131836	4.8804655	5.168206	5.04897	5.2897315	5.1659617	5.280103	6.9659157	4.139077	5.252987	4.623284	4.0104246	5.858	5.4984913	7.221126	4.638824	6.344368	4.2186775	5.0669775	5.508418	3.8257651	6.7895546	5.06769	6.4215093	9.276186	7.1071634	9.229048
4.44086	4.7748303	4.426542	5.2049847	5.3661942	7.2200007	5.328727	6.6850686	5.823268	4.939872	5.804239	5.248567	4.203221	4.720172	4.488566	6.2629824	4.796852	4.7279124	6.3242016	5.100477	6.4631243	6.183679	3.9626656	7.0495834	5.313284	5.3671913	5.2797456	5.602216	5.692954	5.0978785	7.346134	3.9887185	6.273814	5.066777	6.3519506	6.0810027	5.7493095	6.5889654	5.1037445	8.123718	5.335234	4.5655284	5.606025	4.84457	8.081691	5.266269	7.0045137	10.137548	6.2793007	7.6484284
4.4987307	5.8502383	3.5370655	4.0526853	5.4267645	7.1877337	4.1510615	7.983864	4.637638	3.8766546	4.3771615	3.5461736	3.5616205	4.7636585	4.469837	6.131731	4.350606	4.5242405	5.6996126	4.6904783	4.704155	6.282486	3.8130832	7.5843973	4.7705064	6.2734947	4.3158293	5.1772184	5.344804	5.3676357	5.730031	4.5624776	5.1357727	6.6261826	4.3343983	5.026925	5.5132656	4.9384375	4.9788823	5.560401	3.6144457	4.922374	6.0820246	4.6550612	6.883953	4.10722	7.308485	9.960989	7.815159	8.702472
3.5967474	3.881326	3.180136	3.7983582	4.5235853	7.234238	3.4036698	5.473782	3.7717812	3.293982	3.8204525	3.173368	3.1701398	3.2591045	4.4986134	5.462616	3.5484307	4.0267696	3.6136675	3.3453958	4.3172045	5.7131834	3.3245554	6.7012243	3.9008226	5.2761726	3.490148	4.7441497	5.099498	6.399425	6.41573	3.4158711	3.7347133	4.2527494	3.4153109	4.0531344	4.7474575	4.7509255	4.0617046	6.18983	3.095891	4.3680124	6.7132807	3.2706997	6.1429777	3.9669185	6.3892183	8.253574	6.4991827	5.5223856
5.902623	4.962967	4.3678555	5.8161383	5.9359355	8.072773	5.0335665	7.966833	5.4567456	6.2908916	7.6983232	5.006232	5.7741137	4.9102793	4.2220087	5.295392	5.5749035	5.7264714	5.887967	5.311072	7.1343393	5.4721265	4.8749313	7.876765	5.715743	5.7429733	5.784747	7.637237	6.76146	5.148384	8.137712	4.9942937	6.865651	6.3943243	6.4684076	5.762852	6.7574587	8.5588455	6.164114	5.509844	4.2682533	7.6420302	8.564463	4.2053633	5.8728795	6.5491457	7.399562	12.149226	7.5941553	5.718449
