ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
5.5922227	5.9905505	5.990921	7.956751	4.7313414	3.4543133	6.906652	9.570089	6.920085	5.6303186	7.7617936	7.4903154	7.446471	6.3942957	5.4779296	6.83687	5.8305717	6.633275	7.792018	6.3028746	6.714802	6.7259526	5.366671	5.4333143	6.5303316	4.645138	7.281885	5.4316993	7.9175963	5.605655	7.145675	4.9631977	7.984274	4.8969207	5.4402423	7.5700893	6.333842	6.5568767	7.2667904	6.4991074	6.924889	7.393334	5.766187	7.618328	10.917275	5.6880107	5.001039	7.7346725	6.975007	6.4071407	5.699429	6.3068485	6.92396	6.567237	5.738246	6.9861264	7.373542	7.657357	6.5619764	7.947287	6.7833185	7.598298	6.3195295	6.4171696	9.105508	7.875352	6.378286	5.328673	4.7407813	4.202691	7.1187043	6.515278	6.1321435	8.364837	6.8267274	6.8966956	7.8983736	5.5637975	3.6721127	7.896528	5.6274557	7.209589	6.310706	7.0332384	5.436656	6.704833	6.085318	7.6510997	5.750246	6.6305327	5.757162	6.307909	7.336685	9.627417	2.8587825	7.6171	8.730891	6.6912637	4.0342455	3.2591295
2.6556618	2.4611855	3.5044672	2.982192	3.2684433	2.934621	1.5408391	4.925121	6.7094364	2.1772964	3.863541	6.079042	4.2430906	2.9545622	2.8500504	2.936937	6.0583215	4.944708	1.8240092	5.5782156	3.898712	2.2537217	4.8482213	2.8626928	2.5404723	3.903828	4.167548	2.099022	3.237288	6.055527	2.119801	2.5156827	3.398529	2.3008704	4.452136	5.089409	6.79606	6.085601	3.4741976	5.129175	3.0479143	2.4040403	3.7520914	2.5203671	14.321933	5.2837887	4.104898	2.9419217	4.266932	2.853303	4.6516104	3.5734727	3.420297	2.2885964	4.987395	5.317641	2.495544	5.915705	3.4813373	2.687245	2.0619867	2.1523905	2.747697	6.3530536	7.026444	4.858694	3.2472322	2.2917438	3.2644954	3.1541517	2.3419197	4.486614	4.1443353	7.8267417	1.6867745	3.3705406	3.3422718	9.255539	1.209141	5.249658	4.039813	4.7601066	2.8622441	3.010769	3.8566575	4.0880466	3.0237453	3.5029297	3.2152376	1.7944547	2.3049057	2.6694658	3.464071	5.640278	2.353477	3.197234	5.446223	6.608457	9.751285	6.3173513
1.7610598	2.5600476	3.2712495	3.284893	1.1610154	1.1320527	1.2817813	5.2491894	5.600041	1.5360539	4.1859474	5.894562	2.1558566	2.3035564	1.4155946	2.1093483	2.619609	1.3197937	1.4332765	1.9592006	4.332711	1.5596279	2.3550715	1.2092025	1.1928588	5.7390122	2.8250675	1.2949893	2.7234592	2.09152	2.7922633	1.3985052	2.6423242	2.882111	1.6782496	3.072657	2.03225	3.4323232	2.1238248	2.8376617	2.908576	2.1579773	3.4938385	1.4366319	13.928401	2.9814951	3.659838	1.8700217	3.2195418	1.446202	1.7708412	3.1292193	2.5601919	1.1882827	3.574753	3.3071182	1.6962805	4.1078806	1.7503002	2.3073187	1.6420034	1.2532864	2.0094028	4.816348	5.9757013	2.1580691	1.4341877	1.4260739	1.1382469	1.666317	1.2791189	4.1366653	1.8115928	4.249085	1.1265712	2.3408036	2.2692885	12.649574	1.0465728	3.7211118	3.4131207	3.5184581	1.7948011	3.0230706	5.8080034	3.4727318	3.8124225	2.003222	1.8138335	1.2945487	2.599923	1.6018345	2.27617	2.6041324	1.4331093	2.998263	4.1915617	9.050906	4.2528954	14.156259
2.6185956	5.1298294	5.8125668	5.676513	3.4144096	6.463867	3.9451647	7.695636	3.2754126	3.1860392	6.1417437	4.2233257	3.40533	1.6500022	7.1018295	4.633282	3.2607696	2.0619128	5.1918864	2.5846384	5.7628236	3.978431	2.8809147	6.736252	2.5953505	2.6656055	3.4950469	5.6908927	3.7247233	1.5226765	4.4802494	8.099854	3.1629534	2.0221083	4.001947	5.3439884	3.5110042	6.256717	3.639389	4.680423	4.349433	3.7798877	5.6017966	5.0072145	10.860978	4.427893	2.9615319	4.2370167	4.7094593	2.461117	3.9948285	3.5747075	5.2347574	1.959265	4.9741216	3.0947819	1.9282234	6.4414005	4.2862186	5.2579446	3.3142464	4.109292	2.1425002	3.8855164	7.2499614	4.7035975	4.2585716	4.7441416	6.21443	3.075659	2.9314988	4.791087	5.9259872	5.6992607	3.8748243	5.0004816	4.0203085	2.9966338	6.4425426	8.246448	6.481314	6.714625	3.9905837	5.5725913	4.01151	3.424578	4.3529596	3.5480287	3.9077473	3.7453427	3.8682146	6.277887	7.001977	4.12469	8.761421	7.055527	6.893864	10.042478	3.1714418	4.653239
3.91368	2.6048357	3.3643317	4.161498	2.770413	2.8270793	2.0679104	6.1719227	5.0148783	1.9201398	4.4498253	4.897073	3.6386213	4.0745	3.528639	3.3425138	5.6704025	3.7036557	2.790086	4.0235014	4.9054523	2.995078	4.0930533	3.3858283	2.853603	3.0952697	6.5911727	2.3495266	3.5313046	4.3077545	2.8110862	3.4503152	3.8558102	2.1158545	6.1090145	4.8881636	5.175088	6.34309	3.9966931	5.4147224	5.0963387	3.4250195	3.3992586	3.294397	12.905054	3.9915814	4.041849	3.3122325	4.888744	3.2631598	4.5990295	3.5074844	3.439631	2.532998	3.7334251	4.4375687	3.0634782	6.045133	4.560718	3.2691348	1.8746884	2.9649498	2.6065514	5.0321975	6.8313046	4.9631596	4.0105014	2.6765003	3.5582862	2.7022216	2.5550134	4.6015844	4.1712203	7.5223627	2.1343827	4.0794325	4.4678035	8.24444	1.56144	4.4388075	3.2231667	5.333611	3.0642529	2.8462763	4.9877014	2.8804042	5.168624	3.5342515	3.140863	1.7108984	3.6182382	2.39117	4.8327327	5.041402	4.745358	4.178	6.4792514	5.6724873	8.847162	3.9750788
3.8953915	5.353587	6.977853	7.364252	3.9608762	4.5189505	4.886901	9.287988	3.6822312	4.37483	5.026639	4.0335984	4.4362626	1.7067294	9.137513	5.3298473	3.9805117	5.1791477	6.75375	5.247303	5.6693544	4.253912	3.5459332	6.783437	5.4391813	2.5277448	4.1734657	4.6901264	5.4822116	2.2039237	5.309106	6.7258487	5.5046606	1.3539637	5.9276137	9.10714	4.751318	6.653446	3.2114518	4.906948	3.7246227	3.2284467	5.5621448	3.5284386	10.086314	5.195759	3.8476827	5.307426	4.64565	2.939356	3.27615	3.9620469	8.498594	1.4382362	3.5032003	2.5105171	3.3329144	7.0484204	2.4701989	6.8960576	5.202208	5.7126083	1.8742528	10.426137	7.4907746	4.1959696	5.1387587	6.513032	4.43224	2.96228	4.28613	3.9032853	8.4150715	4.326746	5.320485	5.836487	4.6664047	3.2278423	4.953349	6.7608004	6.711176	4.64265	4.1800885	9.602651	4.0348296	5.6036606	3.981821	3.8899007	2.7004197	4.81044	2.489232	7.935832	7.0919256	6.1652446	6.6514797	6.387009	6.162184	9.906947	2.2726855	2.0261204
0.983922	1.1300087	2.7632892	2.9814134	2.8130858	0.9026469	1.0383441	4.585002	2.6993158	0.8802427	3.5306935	2.3285007	0.9714519	0.87324905	1.2536598	1.4234482	1.5316999	0.9203978	0.9131217	1.8244925	1.1937764	0.9056443	1.2586076	0.89109516	1.8649762	4.139376	0.8790247	0.9374385	2.5571806	1.4619792	1.1880981	1.0134071	1.4096503	0.88505536	1.9566612	0.8969434	1.1428413	1.0935171	0.9013058	1.0658352	0.87429017	0.87774795	0.97762674	0.9399259	3.3498056	1.6187874	0.9350315	1.9195347	3.1807098	0.9576999	0.9033916	1.5446795	0.9039471	1.1411947	1.1577768	0.87936974	1.0261874	1.757155	0.89010644	1.1382768	1.2941825	0.892399	1.1137941	0.9252284	2.7149096	1.1313994	0.8837409	1.3564405	0.8922148	0.8734531	0.95420533	1.0222026	0.9477626	1.2063476	0.8856921	1.3501154	0.95576197	0.9810978	0.8737269	1.7343657	1.960402	0.9663181	1.0777178	1.6244578	6.0060096	1.3104689	6.523543	0.8842095	0.8770266	0.93026483	0.8788143	0.9541006	1.3503814	1.710235	1.0050902	1.1092925	1.132883	1.7739801	5.5883956	1.4955584
4.209592	4.782481	5.599933	5.595128	4.094409	2.8365057	3.6680882	7.1485076	6.442577	3.9728684	6.6448164	6.5553765	5.6355376	4.7408466	3.4134216	5.3267446	6.714776	7.0741076	4.431438	5.51935	5.0057592	4.1064477	3.82716	3.3698	4.159964	3.946031	5.4184566	3.4226904	5.4492664	6.293636	4.3777785	3.965483	5.1424513	2.9163666	5.030601	6.555737	7.4435787	5.7857075	4.4127913	6.7965684	4.1560764	4.504859	3.8185997	4.864726	13.652448	5.5328164	4.0103703	5.887228	6.6803293	3.7863367	5.4964523	4.472557	5.6868634	4.3786316	5.8422947	5.944828	4.678142	6.292948	5.8182	4.816474	3.347848	5.1230984	5.498641	7.139281	9.035487	5.913258	4.45285	2.3184688	4.016374	3.794397	4.835776	5.455259	5.4442153	8.133052	3.9994535	5.6658287	5.4494004	6.6811094	2.0350614	6.9125795	4.6329126	6.734595	5.5402555	4.633842	4.4090652	4.1384125	4.363499	4.8473907	5.9165435	3.7789614	5.6590304	4.6310525	6.866481	8.04679	3.7009304	5.8812523	7.7157435	7.7990794	4.7368236	1.6094148
1.7884443	1.9136593	4.9461865	3.864065	2.968278	3.4529676	2.1169949	5.426153	5.570988	1.4096227	6.323429	4.6557875	2.511045	1.3065393	2.7603889	2.7206476	4.754059	2.6972706	1.71809	4.5951967	3.706616	2.2254748	3.7891173	1.9217272	3.2764173	5.5073214	2.4144893	3.6639009	2.7480886	3.033121	2.3166215	4.1341095	2.7934947	1.7526419	4.7521415	1.8685106	4.064835	4.989021	2.1738	2.4770446	1.5082228	1.9005222	2.1982093	2.6889875	10.875049	3.3792002	3.0574734	3.7837658	4.716113	1.9458892	3.9733486	2.7970865	1.7358571	2.9486172	4.214475	3.0280704	2.263099	4.6779685	2.6298418	3.2179723	2.6041534	1.7712116	1.8297181	1.4246161	6.1536975	4.8600254	2.0282152	3.8171473	2.5820186	1.5738757	1.4333271	3.1295617	2.1638224	6.552234	1.3996322	4.374927	3.93654	3.0802186	1.4456162	5.376225	4.6684384	3.6903121	3.67613	3.170913	6.5267034	2.7069604	6.91996	2.349892	2.4660864	1.5125563	1.7004931	2.5186644	2.9641278	3.7459896	2.4579813	3.4963555	3.8857946	4.4650917	11.254677	3.7377303
1.0235254	1.9631932	4.2004914	6.444281	1.2248276	2.001041	2.2259126	5.964916	2.7252903	2.9967096	5.6019197	2.7083893	1.9908543	1.2295337	2.0599918	2.0284476	1.210958	0.9452536	1.9507	1.8269322	2.8340697	2.0893745	1.0793378	4.7381396	1.1295248	9.346442	1.7998209	1.5367578	1.5258493	0.94099504	2.714418	2.8261316	3.1472137	2.7387495	2.5440342	0.92462564	1.1296687	3.3658369	1.4627686	1.0924535	1.936837	2.1955445	2.9708178	3.0839605	8.90427	3.2064054	1.0690826	2.4046361	2.6827009	1.070568	2.25791	2.0895317	1.0066427	2.3276925	4.2178774	2.5143695	1.8129473	3.3780851	1.2998549	5.321183	2.9616377	2.664785	2.0794685	0.88865733	3.4774156	1.847052	1.9561081	0.9612591	4.307431	3.6012692	1.441026	2.8413115	0.975948	3.4255679	3.2628527	2.3646207	2.621292	3.1650336	11.416665	8.266905	7.047475	7.1822414	3.0795653	4.044898	9.020076	1.7816362	7.3442435	2.6199257	1.7294328	3.45105	5.63333	3.9158623	5.273305	3.73855	1.1469423	6.491459	3.8229334	7.288572	1.0626886	1.1161606
