ENSG00000116688	ENSG00000132965	ENSG00000007312	ENSG00000196565	ENSG00000141506	ENSG00000158050	ENSG00000147202	ENSG00000155465	ENSG00000136045	ENSG00000084234	ENSG00000115085	ENSG00000164062	ENSG00000052841	ENSG00000123338	ENSG00000197872	ENSG00000140678	ENSG00000027075	ENSG00000213983	ENSG00000168010	ENSG00000107742	ENSG00000116701	ENSG00000175463	ENSG00000140105	ENSG00000134644	ENSG00000100353	ENSG00000198286	ENSG00000123146	ENSG00000000938	ENSG00000198909	ENSG00000184922	ENSG00000115457	ENSG00000134910	ENSG00000101474	ENSG00000164674	ENSG00000091140	ENSG00000172890	ENSG00000100325	ENSG00000095319	ENSG00000109790	ENSG00000101310	ENSG00000143537	ENSG00000067704	ENSG00000132300	ENSG00000096060	ENSG00000188404	ENSG00000108582	ENSG00000205744	ENSG00000143870	ENSG00000168056	ENSG00000163956	ENSG00000047365	ENSG00000143119	ENSG00000055163	ENSG00000155629	ENSG00000167986	ENSG00000140943	ENSG00000100453	ENSG00000162231	ENSG00000035681	ENSG00000188976	ENSG00000167895	ENSG00000197157	ENSG00000104870	ENSG00000183431	ENSG00000123329	ENSG00000229164	ENSG00000106263	ENSG00000072786	ENSG00000100219	ENSG00000141524	ENSG00000182866	ENSG00000075884	ENSG00000166986	ENSG00000134539	ENSG00000138744	ENSG00000223553	ENSG00000138095	ENSG00000136040	ENSG00000110713	ENSG00000125347	ENSG00000070961	ENSG00000132334	ENSG00000170345	ENSG00000100991	ENSG00000141968	ENSG00000106565	ENSG00000196305	ENSG00000013441	ENSG00000064012	ENSG00000172053	ENSG00000105819	ENSG00000185215	ENSG00000109320	ENSG00000132424	ENSG00000095564	ENSG00000147168	ENSG00000159674	ENSG00000115828	ENSG00000101294	ENSG00000081320	ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
5.634295	3.5332422	2.1297538	1.9370959	3.9066207	3.657861	3.4886308	3.6711888	2.8517487	6.8666945	4.7158575	3.1182888	4.401302	4.423783	4.7600493	7.575848	6.2744994	3.801543	5.4941006	4.799501	4.2195106	6.333111	5.1071744	3.1791196	5.8527904	4.3596063	7.0469456	5.356734	2.879071	3.3778105	2.2071347	3.9539845	4.278138	3.8526957	3.5529714	4.5185714	3.8023717	2.818427	3.5580456	3.0835793	3.3885596	2.6041296	2.4649837	3.9770489	7.2217703	4.34396	4.6063514	4.87681	2.7492294	4.772978	5.9357924	3.3495047	7.810521	3.1965797	4.6267357	5.011052	5.3524766	3.9657063	4.006884	3.9483118	4.4985523	5.9365463	4.954822	4.9827523	6.173459	3.9043047	3.8118725	5.7519145	4.190503	6.292101	6.9916244	4.4499607	5.9774346	4.9490147	4.7366133	1.9486256	4.891779	3.1845088	5.1637425	4.892837	4.716261	4.811784	3.3673913	4.214911	3.4449513	3.510134	4.2138333	7.8277874	3.8226666	7.1177807	4.2364283	5.8466263	5.9876976	5.783353	4.7646375	6.936139	3.787681	2.854144	4.7105203	4.0421786	3.169823	5.9455214	6.9149165	8.690945	4.8068323	3.0499344	3.7764509	9.653866	8.105314	5.064393	8.940838	6.221668	5.319553	4.3012424	4.7284737	5.3444214	4.983682	3.232537	4.490027	4.798928	5.6418185	5.2232704	4.249349	4.1481614	3.9531944	3.7652125	4.9448647	4.2545896	5.6776905	3.804877	5.982197	5.3187394	7.216777	3.2655869	3.874101	2.3129244	4.8879495	7.7382073	3.8037648	3.9154444	4.7863975	3.264413	3.5606272	7.023387	14.226226	7.323873	2.8458793	7.648127	5.55577	4.81746	6.1069107	4.1265645	4.2270303	5.177843	6.77875	4.898531	4.318442	7.9948244	5.448758	5.6544237	4.82855	4.3377476	5.800451	2.4444227	10.019616	6.920772	5.732881	3.499594	3.7343225	4.5667133	5.7439394	6.396847	2.6998515	7.395576	5.456948	6.488449	5.559618	3.9054546	3.0957801	8.82951	6.9249125	7.6890845	4.928249	5.8385396	5.1964254	8.032758	3.364629	5.791967	4.3565674	5.713963	7.2932754	5.1104603	9.106935	10.624075	3.080297	6.403948	6.499144	6.235109	1.5775139	4.1373053
4.1774216	2.0329459	1.5339887	3.1015077	0.9453772	1.8185863	2.4436028	1.8186419	2.0529552	2.997486	2.0728104	1.3376489	2.1427226	2.3154197	1.9713004	2.3486702	2.4880035	2.0038543	5.300592	1.4516762	3.4730723	1.9986153	2.0917544	1.8074385	2.2812593	1.7019527	2.3483467	1.64395	1.9317522	2.6736977	7.295689	3.2640424	3.895161	1.506188	1.80499	1.6850733	2.5541248	3.8136091	5.7096176	1.4213035	1.5923443	1.2800782	0.9625819	1.4634076	1.9944186	1.6059585	2.0628698	1.4428577	3.0631416	2.0937636	2.4552927	3.7735178	2.9460347	4.706924	2.038231	2.1074991	2.5664117	1.636769	1.6794112	0.9907847	1.643759	3.3655646	1.8203135	2.442179	2.9422286	2.4097958	2.5054586	2.1107078	1.214997	3.0891855	3.6176088	3.2641559	2.371419	1.4529351	1.4238571	2.2899992	1.669772	1.6354917	2.6263554	2.0890048	2.4731104	1.0171965	1.6095393	1.093406	2.6323729	1.1034217	2.1326406	1.8387375	1.5857022	3.0228748	1.2950367	2.5969715	1.6715689	3.6012573	1.5731258	3.0577946	1.163439	0.9248126	2.2275598	1.2681148	1.0302373	2.8951929	4.8101635	1.478487	1.2743912	1.686028	1.3490757	4.5151434	2.4818006	0.9804969	2.298281	4.8741264	1.5033767	2.2163846	1.7321801	1.790255	2.9050634	1.6806208	1.43412	4.9744196	1.5148903	1.4108737	2.6767616	1.2672883	1.0475559	4.34118	1.3630629	1.7856312	1.5812138	2.5593014	1.7351587	1.0873353	2.314559	0.93948025	3.1665545	0.99776405	2.718733	3.9568846	1.3902738	1.8282099	1.8716271	1.5790218	1.0594761	1.1351246	7.6032004	1.6091769	1.8234372	2.6747975	1.5724674	2.4934278	2.1464238	1.364115	2.5543091	1.7138329	3.0782838	1.2327672	1.7644559	2.680643	1.7518935	1.22595	1.0534805	1.612834	1.342111	1.2796504	2.9946039	1.32917	2.2359877	1.6577926	1.1477927	0.9878976	1.8060083	1.3075114	1.0434904	2.4467158	1.1530951	2.1028395	1.2109828	3.0195847	1.2156518	4.357286	1.5182662	2.6095598	1.3538415	2.0096169	3.091076	1.8169439	5.101924	1.4946373	0.9761092	1.5262499	1.0645342	1.0138468	1.297221	2.6911864	1.489231	2.5132692	1.9018078	4.9099817	9.418591	2.77707
3.7880418	1.3962538	2.0358748	3.1891143	0.9475049	2.4946816	1.6207166	1.1231037	1.5894341	2.4592793	3.1123013	1.8813245	2.4340699	1.6857845	1.119843	2.3928142	1.3602135	1.490051	3.8198035	1.5593793	4.9533234	2.5524778	2.2696118	1.6892722	1.9136007	2.138583	2.3798635	2.6525047	1.6356103	1.4111375	5.404756	1.0567379	2.7427702	1.0857539	1.6264954	1.7398663	2.1821375	1.3671097	4.695199	1.316686	1.1079923	1.534122	1.8657839	1.417198	2.5141082	1.1171898	2.3319714	1.1499732	1.8480848	2.2054532	1.5576344	3.2903006	3.5506454	1.6286566	1.5694783	1.3094733	2.6595433	3.1491752	1.0949676	1.5781755	1.8905389	3.2884603	1.2657082	1.5489992	2.421549	2.851037	2.990077	2.4507887	1.0337622	2.6894248	3.9357526	3.7580495	1.9088886	1.1387155	1.8840961	3.5693307	1.8020364	1.0032351	1.493575	2.122734	2.112425	1.3247933	1.1092896	1.8560432	1.6243286	1.0031492	1.9704583	2.6269956	1.0631958	3.5477269	1.8123747	1.4153864	1.361012	2.5990818	2.0891678	2.5816197	1.1069783	0.9236392	1.7407317	1.7364056	1.0787231	2.121383	5.8010473	1.6932986	1.5361068	1.030038	1.4617169	4.3431087	2.2439435	1.0267575	2.6594243	3.0619042	2.4601698	2.1673214	1.7408122	2.6036344	2.0088143	2.0657725	1.7479335	2.5788717	1.2227325	1.4006903	3.832213	1.3326402	1.2955922	5.041972	2.1854534	2.2754292	1.5360788	2.738462	2.4328187	1.10462	2.2878454	1.0111843	7.6078906	2.805199	2.2551832	2.4515924	1.2003744	2.5349905	1.3570383	1.7735368	1.0333385	1.4358628	8.96531	2.1551955	2.1645243	2.2705178	3.3142242	1.2364887	1.876476	1.4911041	1.1751143	1.1146666	1.6356511	2.6430104	1.6532804	2.6993084	1.1858827	1.9134445	1.1330943	1.5668054	1.0917597	2.4331012	2.133663	1.1286827	1.052466	1.2793266	1.2180527	0.9084041	1.3841085	2.0335727	2.0668945	3.8024182	1.1348966	2.485559	1.5182686	7.491301	0.9427653	2.203614	2.0426447	2.4413989	1.1971109	1.2205126	7.354903	1.6370993	8.0427265	1.410043	0.9429279	1.3064768	1.0745927	1.1839939	2.6259053	3.3677373	2.409683	1.4157484	1.5735439	7.271743	3.373363	6.2923293
4.9285407	1.9105151	1.6832561	3.5162046	1.2163647	3.4755046	1.9487846	1.3878773	4.434496	2.8596947	2.5017188	3.2090082	2.905594	3.1944158	1.6006312	3.1849017	1.8237951	1.9393303	2.0131578	2.4076152	4.262638	2.5782814	3.9851341	2.2785425	2.7278533	2.3045805	2.5449367	2.7918448	1.9216969	2.470919	5.6197357	1.8917937	3.0290442	1.7172369	2.5253787	2.4996858	3.3003895	1.8006208	4.764721	2.56378	1.7830188	2.6955988	2.3757029	2.5093546	2.6042857	1.1947246	2.6332936	1.7183304	3.813237	2.722421	2.8690236	5.223553	2.9190726	2.3909833	1.9257152	1.5494826	3.4635417	3.0841022	1.4421163	1.4497902	2.797633	3.6440897	2.322889	2.4139197	2.579804	4.402989	2.3768294	3.1067755	1.2974037	4.37069	4.48965	4.59685	2.4602823	1.2531362	1.7672231	4.770363	2.4321406	1.9221618	2.7224255	4.249338	2.1328568	1.5069475	1.6733727	1.6236129	1.763402	1.2714155	2.7110186	2.4284766	1.4916806	3.2764468	2.1765194	2.4172404	2.1974554	2.0189464	2.0915513	3.9550223	1.5519212	1.1319562	2.7982838	2.1635716	1.3026882	3.199557	3.6220002	3.4886243	2.4898164	2.0465147	2.3495362	4.8403234	4.955245	1.2503606	3.136746	4.3234406	2.4248905	1.7690206	2.7735884	3.1600578	3.3457153	4.665796	2.1883073	3.088278	2.1581826	2.1826906	3.3534238	2.457277	1.6544087	5.4300094	2.6694386	3.838476	1.9242964	3.3824801	2.424309	1.1275728	4.189704	1.23755	5.8815675	1.9006948	2.3998501	2.4018877	1.2910129	2.4339223	1.5427494	1.9356818	1.2064487	1.3767905	8.563401	3.084183	4.011316	2.7656503	2.5477705	1.9707096	2.6907742	2.8079019	1.6069388	1.4744599	1.6036547	1.80915	2.8476691	3.2933311	2.2474825	2.3850613	1.8227062	2.611957	1.1522456	2.4437373	4.723329	1.5085546	1.5491191	1.6718192	1.7202954	1.3777981	1.996177	1.9436278	2.307062	3.5217874	1.58627	4.142105	1.804704	7.8707547	1.0908643	3.7713773	3.0809813	4.338245	1.6943681	1.7107904	6.227694	1.5705259	6.590229	1.8456249	1.3762603	1.62445	1.9681704	1.5692766	2.6335719	2.9557228	2.8315485	3.4995854	4.2996697	5.419235	6.841106	5.551246
7.304187	2.8552186	2.4626875	1.4622724	1.7635605	2.0964715	3.4714332	2.409293	3.7023027	6.2704153	4.06897	2.8151515	2.8121982	3.5241823	4.5761733	6.613322	3.4597821	4.6707025	5.827681	2.6185923	3.8256304	4.705871	5.2373137	1.9925225	4.5460997	3.2571557	5.733604	5.318518	3.1835873	4.6449914	2.8891604	2.6655385	3.3529773	5.5391417	4.1242504	4.7841744	4.148446	2.1560738	3.4015007	3.004389	2.9954855	2.7759418	2.5420356	4.632134	5.1252756	3.316953	4.1720424	3.395442	3.3900251	4.848296	5.110748	6.947257	7.754761	2.3248923	3.9924664	2.973149	6.009818	4.0653644	2.7417092	3.0504127	4.675996	5.6614847	2.676045	6.379802	5.224096	3.9175568	3.3324945	6.3974957	2.0033445	5.100938	8.751908	4.534894	3.8253396	4.2129693	3.216433	2.583287	3.924736	3.6755319	4.2792516	4.937714	4.8175297	2.8453853	3.5673854	3.0208232	3.2150507	1.979202	3.6476223	4.739898	4.7714067	5.461511	3.3746665	4.434782	5.714756	3.7272751	5.2314353	10.1567955	4.909181	1.7625754	2.962965	4.4666543	3.5662005	4.1759686	5.4638	8.0459795	2.5542128	5.418148	4.0991597	10.679014	7.0719075	3.0445879	6.9018116	7.425439	2.7674716	4.1409936	4.235462	5.722869	8.04459	3.0505946	3.586808	6.1252756	4.3146715	3.6687896	4.644149	3.4502566	4.9773602	4.940573	3.889795	3.3622322	5.888565	4.629223	4.65556	3.8777335	5.6752095	4.3475733	1.9454422	1.5879929	5.834175	7.8766646	2.1674101	2.3622577	2.262305	3.8573875	3.9538949	4.587679	12.469567	5.432787	3.8121073	6.7356462	5.587761	4.391416	3.5506012	2.3921766	3.9942012	3.606984	5.1970816	3.5736518	3.9137292	5.6051097	2.6956255	4.5135064	3.384066	4.8534417	2.3608758	2.6274958	12.029225	4.1520033	3.9272532	3.5089152	4.648031	2.7508829	5.5566373	4.2647104	2.7981763	7.7208877	3.451554	4.3750024	6.002638	5.5687933	2.4468288	7.8520327	5.8647676	5.940095	6.7404447	6.6584635	3.2927923	6.815489	2.4458466	6.1581836	3.295535	5.0579295	3.642161	4.2243075	9.883671	8.734422	3.0892382	4.8416214	10.978465	4.646898	1.9629009	3.205255
4.230128	3.8460798	4.212993	5.0963306	1.4347908	3.4434016	2.1155028	3.9864252	3.7760246	4.838744	5.139936	2.838824	5.294056	2.769465	2.1535988	5.668536	3.4332237	2.2792716	6.0361557	2.9844017	6.653527	5.692455	3.7409825	2.9025233	4.389321	3.59238	5.6807084	3.6553771	2.7461255	3.9092817	6.5867834	1.8450438	2.8632705	2.240797	3.700072	2.6881742	4.252917	3.6488798	6.442007	3.9912984	3.049528	2.3279536	2.9576185	2.595557	4.6535773	2.2646964	2.7640316	1.7329314	4.1527534	2.3058865	4.237639	3.8600633	6.649057	3.1956282	5.7517004	2.4778073	3.6782446	3.8704052	1.5508208	3.1536357	3.1341462	3.587028	2.5183616	2.9019384	3.1014097	3.0408792	3.8523672	3.4099202	1.8936567	3.9374824	4.1792655	4.056909	4.2254496	2.3159976	3.1236513	4.535278	1.9669726	2.6420658	2.3793416	3.3093495	5.232455	3.3326588	2.4721837	2.9693136	3.4116538	1.8102384	4.2252274	3.4003732	3.1165915	4.278477	3.6825843	2.8698332	2.8295875	3.654927	3.1660535	4.5387187	1.4836235	1.3012254	4.034836	3.416533	2.1389253	4.4853387	4.5736084	2.7383506	2.9088824	2.6719844	2.8767142	7.001851	3.0639658	1.7099639	4.8696785	2.5552418	4.936009	3.3166478	2.5926301	3.9662828	3.8443046	3.3023288	2.482068	3.9100022	2.4393601	2.362457	3.8088791	3.350862	2.6550145	6.24913	5.4747233	3.5569282	4.764854	5.869819	3.798128	2.8518915	3.984683	1.483794	5.6969357	4.4113526	3.1347225	5.2818346	1.8534249	5.0341253	3.8623343	3.8777242	2.677892	4.7424207	9.760631	4.599551	4.0138216	4.4288306	5.123241	3.2948298	3.5098805	2.7316434	1.887533	3.430659	3.568615	4.2916255	3.190663	5.7115674	3.029895	3.2392337	2.9313767	1.8977866	1.9883766	3.5514042	5.2027273	3.348571	2.4274364	2.8777869	2.6899035	1.1830107	2.1059945	3.8788898	4.2350945	7.715589	1.7183065	3.0292118	3.6834648	4.5234385	2.0106485	4.925601	3.184023	3.863648	1.9630222	3.4682713	5.904657	3.735181	8.3975	3.9212837	1.4710546	2.1472704	2.215253	1.7855631	5.7535133	4.873418	4.5530176	3.407109	2.779343	8.704882	9.596292	7.3216076
5.7168646	5.460797	3.963664	2.4735587	4.8765507	7.4317236	5.300409	4.321473	4.4558535	8.530332	5.8605423	5.846869	7.463596	7.539321	7.1873493	7.443924	6.428843	4.37171	7.624003	6.1838026	7.0223594	5.4664574	6.485144	5.3011355	7.1995454	6.131095	7.7354546	6.655687	5.6097655	5.700929	3.7829025	4.043135	7.7325473	6.9404593	7.516563	7.295746	5.6396537	7.090407	4.3847246	5.5639296	5.4180026	4.8682194	4.250895	4.938908	7.787291	4.458278	6.523723	8.213307	3.871549	7.62403	6.220113	7.51902	8.075418	4.92758	6.540859	6.8171644	7.552274	6.3770394	7.1790695	5.7391744	5.663951	5.334066	6.342785	6.735587	6.7896743	5.3092947	6.8600974	6.1725893	6.0908995	6.924277	7.2439833	7.777934	5.318072	5.72489	5.683816	2.9164824	7.5439034	6.07005	6.5145326	7.864483	7.9939427	7.985736	6.141824	5.8170853	7.06743	5.2314444	5.229845	7.189724	5.865956	7.9494643	6.1360817	7.302963	5.9747996	7.515555	6.564355	7.492174	6.3833	5.684837	7.5695996	7.661329	6.1375723	7.21076	7.635383	8.458146	6.757848	6.3809447	6.984805	9.000722	7.5923963	6.519446	7.0676603	7.263458	6.4632983	6.0597353	6.618615	6.2401137	4.6803765	5.19226	5.950117	6.741949	6.5940723	6.3075857	6.495848	6.781718	6.2146397	4.4873476	5.6117473	5.829516	6.1815443	6.5180345	6.4396024	6.598363	7.6285467	4.9091177	3.847995	4.2556434	6.5598316	8.053475	8.172994	8.338079	6.9147635	5.815192	6.8942556	7.352145	11.269523	7.3916373	6.2155375	8.551662	6.9166317	6.773523	5.9932265	6.611614	6.079581	5.2616963	5.8352413	6.7827964	7.0247536	9.890143	7.009184	7.379765	7.8303413	6.812267	7.064638	4.562168	8.681408	8.841049	6.438552	7.6557336	7.1811876	6.7394466	7.242104	8.925633	3.371606	9.4540205	7.0695047	8.469942	7.313869	6.1297965	4.9395976	8.87582	9.806583	8.074922	6.6247454	8.419866	6.146943	7.5420675	4.179637	7.1300707	6.6905904	6.869698	7.186758	7.2598987	7.5830364	9.892883	4.2499733	9.008877	9.41149	5.1343317	3.0584176	5.1867204
4.843489	2.3313777	2.1098692	3.0897486	1.1513772	3.7065654	2.0902765	1.5842806	4.568333	3.093467	3.8477917	2.8590932	3.4581437	2.2754192	2.124772	3.0171547	1.9090352	1.8021517	4.283391	2.547481	5.505848	3.0306044	4.0656633	1.7884338	2.114059	2.633696	2.4134161	2.9041865	2.2516556	1.9567063	6.095886	1.6836016	6.2048845	1.2663312	2.5233696	1.8826821	2.8696866	2.4846427	4.452149	2.0782413	1.4627161	2.3507519	2.4615402	1.7993574	3.051344	1.3039136	2.936361	1.4279746	2.8781714	2.8743672	2.2787783	5.8958673	3.11896	3.2659857	2.195932	1.6179218	3.6844878	2.3210564	1.265536	1.8345923	2.479366	3.2675624	2.2636745	3.061532	3.0711412	3.7867177	3.6695206	2.311443	1.2404698	3.833219	4.164788	4.8693686	2.0327475	1.6419597	2.4713976	3.9928937	2.3589456	1.1560098	2.9358432	4.10079	2.8205929	1.5806087	1.2872639	1.8232989	2.486928	1.3780094	2.229092	1.9183645	1.3052827	3.6021073	2.2003543	3.2706409	1.7784846	3.1801171	2.7943432	2.7617533	1.3497732	1.1397079	3.1020534	2.6682005	1.4078465	3.0877318	4.1275625	2.6921172	2.4682815	1.5401527	2.447343	3.9387922	3.6301773	1.1292051	2.7854645	4.356116	2.5139458	3.263874	2.0865278	3.6924307	3.532484	2.5750868	2.5832403	3.850053	2.0646064	1.8086643	5.2383833	1.677209	1.5478773	5.659688	2.7413504	3.391523	1.4502833	3.60186	2.3912196	1.2131611	3.8054385	1.05143	5.857525	2.6894925	3.428249	2.959698	1.562839	3.2572443	1.6612264	2.539567	1.4434788	1.2312635	8.803155	2.48298	4.2790747	3.360738	3.0034776	1.545327	2.4892251	2.460841	1.6763811	1.6556704	2.3146794	1.6993845	2.1393511	3.1795065	2.421742	2.2075589	1.4508181	2.2770483	1.2765157	2.9061472	2.2965815	1.638875	1.3766505	1.9183922	1.4945486	1.0822465	2.1218336	2.65721	1.8187293	2.8239331	2.08788	2.2794514	2.4564762	7.9957213	1.5464947	3.2286732	2.2959812	3.1645577	1.2948093	1.8062803	6.400822	1.705646	9.908128	1.9095244	1.0705988	1.9336538	1.3873746	1.6613743	2.67246	3.136409	4.4193664	2.8211894	2.411644	9.202516	5.912613	7.175907
5.065058	2.7102017	2.4932792	1.2392045	2.2613158	5.188517	3.2674348	3.090476	3.8176706	6.9264717	3.7279873	2.8203669	5.468183	6.9961867	6.273772	6.1700253	5.29369	2.7944288	7.5219855	5.2018275	4.5420613	4.532543	4.2629266	2.812624	5.53819	4.794169	6.5086675	4.670865	3.4896755	4.6686506	1.7476056	2.1279156	5.90233	4.97774	5.9713383	6.119945	4.197596	5.012297	2.7118855	2.893255	3.7540238	2.391295	2.582059	3.5039527	5.7789903	2.9783564	5.0762477	6.863999	1.9043021	5.431397	5.3505874	7.178828	8.256921	2.3160582	5.6318893	3.9522424	6.8896575	5.3823566	5.2329974	2.628813	4.6163673	4.5439167	4.1120543	5.124056	5.278317	3.7600048	3.381594	5.8771353	5.0798993	5.4198074	6.293149	5.508398	5.168689	3.5851994	4.334122	2.1872773	5.1288123	4.9095106	6.284751	5.569385	6.2307415	5.895307	4.251419	4.2066097	4.4134374	3.3809328	3.0591826	6.076282	5.2917776	6.3876047	3.654643	5.3405046	4.1113772	6.1026273	5.8435073	6.2537117	5.518362	4.4939184	5.9848557	6.6914496	6.5756145	7.516381	6.6051235	8.609835	4.4095306	5.793538	5.036237	9.373244	6.7066464	5.369161	9.125268	6.589876	4.5862894	4.8036747	6.892914	4.1767316	3.4375107	3.9412193	3.6539598	5.3475156	4.8047504	4.3606067	5.272973	3.6541376	5.8497176	3.8869388	3.6191168	3.884552	4.060431	6.0629263	5.2850018	6.6027203	5.6165624	3.2553575	2.0602925	2.3278782	4.281882	6.6695833	6.563216	5.779351	4.9494967	4.8142385	3.883532	5.924403	13.761736	8.5955715	4.2642107	6.847006	6.58728	5.874133	4.482886	4.7639823	5.548952	3.679005	3.7815897	5.5524116	5.6360145	8.52443	4.3425756	6.1685634	6.7614436	6.440723	4.7027984	2.5494914	9.313053	7.0700235	4.0994573	6.526783	5.578813	4.8730054	6.914923	7.0718365	2.506864	9.905205	4.844079	7.3153243	6.6058693	4.711565	3.1959682	9.7369585	9.280839	7.0700464	7.8515124	8.588015	4.6692576	6.123811	1.7327752	7.419918	5.7984457	5.1425385	6.903085	6.567441	7.983897	8.887141	2.299784	8.48622	10.469074	5.7180467	1.4274197	3.2556212
6.211196	4.0302224	3.8807726	3.2184854	3.5524807	5.3045855	4.845096	4.2374864	4.5741386	5.636135	4.243994	4.981329	5.8876047	5.079751	3.596815	5.33613	4.886537	3.9432979	6.120131	5.152046	4.9708796	4.709242	4.691204	4.1848035	5.1579075	5.098883	6.815449	4.530731	5.78081	5.217855	4.174609	3.086892	4.1910424	3.691339	4.807764	4.8371563	5.4896445	3.7310684	6.157423	4.054012	4.290383	3.6441898	3.5225637	4.132679	5.968548	5.633659	5.294477	4.366537	4.4032702	5.4683166	3.9675343	5.7839117	6.8926473	3.9966285	6.2553625	3.7019057	5.886598	5.092471	2.256231	5.3484893	5.42651	3.999456	5.9096875	4.8508496	4.3041863	3.8827362	5.8724256	3.8767097	5.037512	5.5041323	8.3794365	6.586818	5.4354687	3.63916	2.7037911	3.2579262	6.0848436	3.5089607	4.5684495	6.4137135	6.482334	5.6460032	4.255762	3.1638308	5.331136	3.8280618	4.454234	5.4897285	3.8546033	6.1149106	6.342153	5.350059	4.134884	5.4200144	5.290101	6.079686	5.157632	3.0927553	4.910221	4.8586535	3.50679	5.9550066	6.101666	6.6814437	6.814529	3.9873831	2.9751456	6.958638	5.911192	4.3550544	6.1261253	5.0984387	5.239861	2.6887486	4.90875	6.594683	5.715194	6.365621	4.3378496	3.9992762	4.6186767	3.8878398	4.3395324	4.533342	3.4542518	4.136016	5.4471684	4.330994	3.9364684	5.0144963	6.7155666	3.341855	5.4685907	4.004561	5.9759884	4.219752	4.5014	6.58719	4.0634136	6.0116568	4.0644717	4.1836467	3.662494	5.7984476	12.013465	6.076556	4.3329515	5.7500334	5.071019	4.6624656	5.1254945	4.4291077	4.534213	3.679781	4.6692038	4.645364	5.32465	7.0279274	4.5824394	6.694368	4.2376475	4.9674125	4.219994	4.331864	8.097345	5.2711387	3.8556273	3.9940639	3.8580809	3.2195132	6.4461384	7.2111297	3.6969552	6.050847	4.307685	7.4661684	6.054276	6.373305	1.628006	6.1928577	7.539133	6.969924	4.024661	5.546211	7.8169804	4.416	6.2490563	3.633625	4.1153765	4.47148	5.6881723	6.2939253	6.661533	6.6615667	3.5529633	8.360443	6.813016	6.2098517	4.0574317	5.887233
