ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
7.328114	6.0088606	5.8758545	4.448902	5.6723566	5.826633	7.258504	8.81092	7.822138	4.682046	5.3697014	5.984523	7.0770674	1.9066889	9.332486	8.027044	5.4532804	4.6046486	4.3898544	7.093806	5.869334	8.447191	4.28919	7.3575406	5.9484596	7.2235456	7.0277925	6.793335	2.1489189	5.9358706	6.0502634	7.8258038	7.7403626	6.237647	7.9681273	5.763724	1.7738887	5.153845	8.318123	5.288676	8.692131	3.5796661	8.670958	8.979697	3.1347208	7.747341	8.5631075	2.5167842	1.7902291	6.6796727
1.3733113	1.6144776	2.3744118	1.2839903	2.7599492	1.4764562	4.64242	5.2727346	2.4006188	1.8511901	1.4106055	1.3226359	1.4092985	2.5390217	6.4542694	3.5663123	1.1278799	1.1683445	1.2035154	1.1890496	1.9588182	2.8572047	1.8152021	3.5902977	1.1099821	2.7518818	1.4470147	3.429658	0.9193115	3.2735462	2.0207138	3.6380382	1.6304928	4.0339212	4.8919673	3.0562377	6.0872307	1.277591	1.5977924	1.6780641	1.7486274	1.3433208	3.4817302	5.24413	2.6734772	2.2495255	3.3800106	1.6952722	10.998866	2.3321917
2.9846518	5.2920494	3.745494	3.7503543	6.0270114	3.3181865	3.202891	7.3976173	2.9969819	7.622494	7.6778927	6.9248676	3.4330819	3.125695	9.418458	5.794963	5.0484896	8.396834	5.9996285	3.954044	5.8775873	5.814563	3.7016907	9.214311	4.1551886	4.206294	4.031462	4.545327	9.072759	11.303003	8.794209	8.600112	5.516863	5.9964213	3.506981	7.3036427	3.9732063	5.88807	2.245093	6.6734886	3.0499873	9.864917	7.7020364	9.5917	2.100964	6.935014	7.4606495	10.372144	2.7734766	2.4929018
2.9883406	2.5259602	1.2220477	0.903586	3.6015334	1.5179625	2.0181882	3.5537403	1.216013	2.5570667	1.081528	1.1411393	1.1253563	1.3290505	3.954534	1.8017349	0.99436057	0.99406123	2.137766	0.9951032	1.1572323	1.4545653	1.2637503	3.1924562	1.1694307	2.11098	1.0835788	3.1698782	1.3501009	5.2330317	2.0832617	3.6216474	1.3974705	3.187267	7.9049487	1.4759954	2.5761895	1.7927055	0.9991145	1.3917314	2.2499814	1.3571055	2.5760343	2.615369	9.525515	2.6340444	3.086247	10.220842	5.8508925	5.29855
7.803842	5.7800155	5.0907583	3.70069	7.2407975	7.4157395	5.2741976	7.862284	7.178505	5.9318986	5.847637	5.2295628	6.1247168	4.9897084	9.030809	5.472338	6.0126357	6.3043723	7.6057014	5.592456	5.0621767	7.1001306	5.89771	7.346708	5.6657386	7.7347527	6.587893	3.8231845	5.5525374	8.368109	7.1913686	7.7381573	6.928881	6.5324407	6.214436	5.934097	2.844442	7.333046	6.6406746	6.4627304	7.2917433	6.59516	6.6983466	8.67043	3.420411	8.441324	7.477561	4.3217835	4.552203	4.013111
5.1665483	3.5991626	3.646342	5.09088	4.163396	6.4201345	5.1664157	4.372469	5.502287	5.8518686	2.5896149	6.536311	5.1262383	2.991135	9.551194	6.1737127	3.1978717	1.9131904	6.248881	3.9303365	6.0912356	5.48341	2.2022066	8.565648	3.147211	6.636886	5.1691008	8.72474	2.3514416	7.3527513	6.0312233	5.7201233	5.6604376	3.3315654	7.9585156	4.7377605	5.3254275	5.996855	4.0718307	7.229423	3.400761	2.5074904	6.951623	8.582959	1.994323	6.6655726	9.210165	5.4584675	5.731323	7.9437065
3.629626	7.3545566	5.28181	6.208812	5.009302	5.2844267	5.790559	7.922077	5.1849513	6.500958	5.424724	6.0792165	7.2482066	1.5554125	9.769586	5.6100926	5.931183	3.996792	5.730618	5.343104	6.3512816	5.828567	2.379942	7.346285	5.5671644	7.4548087	7.04856	4.4043207	6.1426926	8.765396	7.4606314	6.0326176	5.9541426	7.9213014	7.8098335	7.414343	7.4840655	8.672281	6.1047587	7.140161	6.474395	4.493553	9.506614	9.969292	3.2678623	9.020717	8.602652	3.867749	2.3924553	1.756487
4.089383	4.425646	2.4710426	1.7973523	2.35346	1.6792064	4.018415	4.6349716	2.9800303	2.7217996	1.6066428	2.9443893	2.4794722	1.9567826	5.420211	3.824371	1.7998443	1.2326583	1.4893247	1.3018292	2.6441321	2.5365849	2.1495428	4.362496	1.3738763	2.663199	2.5377486	6.2063546	0.9212011	3.6690037	2.7115836	2.1322036	1.4370747	2.8601985	7.476228	2.54701	6.421038	1.9735031	1.4573262	1.4327787	1.2584474	1.3266721	3.2532804	4.6955075	6.195022	2.3687239	2.8252633	4.3013225	6.624893	7.2896028
3.6872554	6.2302	6.202962	4.7003565	7.6869736	6.0181437	4.983169	6.330115	3.5139763	6.5227337	5.414035	4.753206	4.620176	7.6368623	9.5834	6.279122	4.7088766	7.06609	5.9237013	6.1972427	5.6516542	5.939029	6.4949055	7.5566673	4.093586	6.8104286	3.9424021	5.6026835	8.070952	9.788275	8.546597	7.9316072	6.5443764	7.8656387	7.0306897	6.7898192	4.9973803	5.870199	3.9728558	5.507327	5.4042735	9.541682	6.4963665	7.6480813	2.0238671	6.3015375	6.88536	6.2953424	7.6536374	8.8604555
2.1035244	2.4067538	2.9012573	5.3171816	4.0210037	3.4277668	4.1281548	3.1799333	2.081321	3.9881904	2.7929387	2.8394666	1.9627509	1.0738552	6.289587	3.1398575	2.3557742	2.1020586	1.5114888	3.7662406	3.081986	2.3715599	1.2801728	3.9530804	2.6583354	2.3452659	3.165712	5.0264974	4.068413	5.1186156	4.080739	5.7111554	2.6219623	3.643293	8.900143	2.3101158	4.1180806	1.539245	1.7823211	1.6222631	1.278988	4.051859	3.8247228	4.544325	3.119378	2.7183237	3.2370706	2.6373608	5.0052547	3.5852325
