d_loss,gradient_norm
"tf.Tensor(1.9140009, shape=(), dtype=float32)",0.7041791
"tf.Tensor(1.8305576, shape=(), dtype=float32)",0.46972775
"tf.Tensor(1.8296213, shape=(), dtype=float32)",0.3857199
"tf.Tensor(1.8555737, shape=(), dtype=float32)",0.32507768
"tf.Tensor(1.8170524, shape=(), dtype=float32)",0.2697417
"tf.Tensor(1.8159397, shape=(), dtype=float32)",0.2849152
"tf.Tensor(1.8468592, shape=(), dtype=float32)",0.29820034
"tf.Tensor(1.8504913, shape=(), dtype=float32)",0.3041982
"tf.Tensor(1.757683, shape=(), dtype=float32)",0.28718805
"tf.Tensor(1.8196375, shape=(), dtype=float32)",0.3145596
"tf.Tensor(1.748327, shape=(), dtype=float32)",0.3347195
"tf.Tensor(1.6823076, shape=(), dtype=float32)",0.43097487
"tf.Tensor(1.6191263, shape=(), dtype=float32)",0.46286863
"tf.Tensor(1.6035292, shape=(), dtype=float32)",0.48661903
"tf.Tensor(1.5590608, shape=(), dtype=float32)",0.59422
"tf.Tensor(1.4948578, shape=(), dtype=float32)",0.5627119
"tf.Tensor(1.3859532, shape=(), dtype=float32)",0.59359
"tf.Tensor(1.3394731, shape=(), dtype=float32)",0.6203044
"tf.Tensor(1.4100151, shape=(), dtype=float32)",0.6371425
"tf.Tensor(1.2795045, shape=(), dtype=float32)",0.6220058
"tf.Tensor(1.3726118, shape=(), dtype=float32)",0.71809655
"tf.Tensor(1.376936, shape=(), dtype=float32)",0.80283695
"tf.Tensor(1.3386838, shape=(), dtype=float32)",0.68637913
"tf.Tensor(1.3205948, shape=(), dtype=float32)",0.69879556
"tf.Tensor(1.3370004, shape=(), dtype=float32)",0.8468033
"tf.Tensor(1.3159896, shape=(), dtype=float32)",0.75461054
"tf.Tensor(1.418422, shape=(), dtype=float32)",0.9775987
"tf.Tensor(1.4477763, shape=(), dtype=float32)",0.9540595
"tf.Tensor(1.3782183, shape=(), dtype=float32)",1.1260074
"tf.Tensor(1.4603211, shape=(), dtype=float32)",1.1680992
"tf.Tensor(1.3768784, shape=(), dtype=float32)",1.2070227
"tf.Tensor(1.4170735, shape=(), dtype=float32)",1.3197501
"tf.Tensor(1.4941888, shape=(), dtype=float32)",1.5459585
"tf.Tensor(1.5890101, shape=(), dtype=float32)",1.6096871
"tf.Tensor(1.5605037, shape=(), dtype=float32)",1.7783139
"tf.Tensor(1.4855167, shape=(), dtype=float32)",1.8020184
"tf.Tensor(1.6019223, shape=(), dtype=float32)",1.8780643
"tf.Tensor(1.4601109, shape=(), dtype=float32)",2.0859733
"tf.Tensor(1.545855, shape=(), dtype=float32)",1.9395342
"tf.Tensor(1.5751451, shape=(), dtype=float32)",2.114665
"tf.Tensor(1.6652819, shape=(), dtype=float32)",2.4459436
"tf.Tensor(1.5638587, shape=(), dtype=float32)",2.4218466
"tf.Tensor(1.627718, shape=(), dtype=float32)",2.5904715
"tf.Tensor(1.6059247, shape=(), dtype=float32)",2.5325983
"tf.Tensor(1.6327207, shape=(), dtype=float32)",2.8595707
"tf.Tensor(1.6318157, shape=(), dtype=float32)",2.894875
"tf.Tensor(1.6625147, shape=(), dtype=float32)",3.079169
"tf.Tensor(1.6472173, shape=(), dtype=float32)",3.0877817
"tf.Tensor(1.7248585, shape=(), dtype=float32)",3.1573002
"tf.Tensor(1.7449359, shape=(), dtype=float32)",3.549257
"tf.Tensor(1.6778624, shape=(), dtype=float32)",3.5726964
"tf.Tensor(1.7262402, shape=(), dtype=float32)",3.6699932
"tf.Tensor(1.8349524, shape=(), dtype=float32)",3.8992803
"tf.Tensor(1.6780676, shape=(), dtype=float32)",3.9047925
"tf.Tensor(1.7795706, shape=(), dtype=float32)",3.9167578
"tf.Tensor(1.7271695, shape=(), dtype=float32)",3.975917
"tf.Tensor(1.6670706, shape=(), dtype=float32)",4.2830787
"tf.Tensor(1.66682, shape=(), dtype=float32)",4.2626004
"tf.Tensor(1.7509713, shape=(), dtype=float32)",4.4726214
"tf.Tensor(1.7229397, shape=(), dtype=float32)",4.802403
"tf.Tensor(1.7402442, shape=(), dtype=float32)",4.7950516
"tf.Tensor(1.7264893, shape=(), dtype=float32)",4.740372
"tf.Tensor(1.8369024, shape=(), dtype=float32)",4.941727
"tf.Tensor(1.7588753, shape=(), dtype=float32)",5.1451163
"tf.Tensor(1.8099549, shape=(), dtype=float32)",5.5397916
"tf.Tensor(2.003973, shape=(), dtype=float32)",5.477964
"tf.Tensor(2.052565, shape=(), dtype=float32)",5.622587
"tf.Tensor(2.0891798, shape=(), dtype=float32)",5.5767274
"tf.Tensor(2.1400995, shape=(), dtype=float32)",5.685355
"tf.Tensor(2.2533562, shape=(), dtype=float32)",5.3933115
"tf.Tensor(2.3611434, shape=(), dtype=float32)",5.213357
"tf.Tensor(2.5850525, shape=(), dtype=float32)",4.637292
"tf.Tensor(2.5757732, shape=(), dtype=float32)",4.2511325
"tf.Tensor(2.733198, shape=(), dtype=float32)",3.1667585
"tf.Tensor(2.9178162, shape=(), dtype=float32)",2.5203726
"tf.Tensor(2.9882183, shape=(), dtype=float32)",2.0445452
"tf.Tensor(3.0636606, shape=(), dtype=float32)",1.4534013
"tf.Tensor(3.1196702, shape=(), dtype=float32)",1.1336998
"tf.Tensor(3.1468906, shape=(), dtype=float32)",0.9642546
"tf.Tensor(3.1743774, shape=(), dtype=float32)",0.7517298
"tf.Tensor(3.1892533, shape=(), dtype=float32)",0.6550512
"tf.Tensor(3.1871848, shape=(), dtype=float32)",0.61624753
"tf.Tensor(3.18999, shape=(), dtype=float32)",0.62065727
"tf.Tensor(3.1641045, shape=(), dtype=float32)",0.6428991
"tf.Tensor(3.1347933, shape=(), dtype=float32)",0.74923795
"tf.Tensor(3.0898733, shape=(), dtype=float32)",0.9475057
"tf.Tensor(3.0356302, shape=(), dtype=float32)",1.1307989
"tf.Tensor(2.9980855, shape=(), dtype=float32)",1.4221604
"tf.Tensor(2.9556065, shape=(), dtype=float32)",1.5914993
"tf.Tensor(2.9748077, shape=(), dtype=float32)",1.4389299
"tf.Tensor(2.9592488, shape=(), dtype=float32)",1.4651508
"tf.Tensor(2.8624098, shape=(), dtype=float32)",1.607792
"tf.Tensor(2.9066777, shape=(), dtype=float32)",1.3973196
"tf.Tensor(2.8947957, shape=(), dtype=float32)",1.1208583
"tf.Tensor(2.905918, shape=(), dtype=float32)",1.2280846
"tf.Tensor(2.9460912, shape=(), dtype=float32)",1.0398024
"tf.Tensor(3.0381818, shape=(), dtype=float32)",0.8637598
"tf.Tensor(2.9524076, shape=(), dtype=float32)",0.84670794
"tf.Tensor(3.0052423, shape=(), dtype=float32)",0.8485681
"tf.Tensor(2.996724, shape=(), dtype=float32)",0.7390138
"tf.Tensor(2.9471602, shape=(), dtype=float32)",0.7543602
"tf.Tensor(2.8863482, shape=(), dtype=float32)",1.116156
"tf.Tensor(2.9339395, shape=(), dtype=float32)",0.71459085
"tf.Tensor(3.022951, shape=(), dtype=float32)",0.5304375
"tf.Tensor(2.958136, shape=(), dtype=float32)",0.7499193
"tf.Tensor(3.0509815, shape=(), dtype=float32)",0.6216183
"tf.Tensor(2.9792972, shape=(), dtype=float32)",0.6429903
"tf.Tensor(3.0418124, shape=(), dtype=float32)",0.55320704
"tf.Tensor(3.0378623, shape=(), dtype=float32)",0.5902141
"tf.Tensor(2.9999628, shape=(), dtype=float32)",0.4861548
"tf.Tensor(2.9775376, shape=(), dtype=float32)",0.48390558
"tf.Tensor(3.0579858, shape=(), dtype=float32)",0.43932313
"tf.Tensor(3.0512643, shape=(), dtype=float32)",0.44253838
"tf.Tensor(3.0296195, shape=(), dtype=float32)",0.40766564
"tf.Tensor(3.0514352, shape=(), dtype=float32)",0.38693535
"tf.Tensor(3.0403628, shape=(), dtype=float32)",0.3835008
"tf.Tensor(3.0969322, shape=(), dtype=float32)",0.3884682
"tf.Tensor(3.0409808, shape=(), dtype=float32)",0.38819674
"tf.Tensor(3.077848, shape=(), dtype=float32)",0.46243507
"tf.Tensor(3.0590725, shape=(), dtype=float32)",0.46455047
"tf.Tensor(3.1025298, shape=(), dtype=float32)",0.5228888
"tf.Tensor(3.0480337, shape=(), dtype=float32)",0.507336
"tf.Tensor(3.110106, shape=(), dtype=float32)",0.4116782
"tf.Tensor(3.0410955, shape=(), dtype=float32)",0.56545335
"tf.Tensor(3.0900884, shape=(), dtype=float32)",0.66438735
"tf.Tensor(3.1206946, shape=(), dtype=float32)",0.4490722
"tf.Tensor(3.1166043, shape=(), dtype=float32)",0.48216972
"tf.Tensor(3.153923, shape=(), dtype=float32)",0.4263951
"tf.Tensor(3.1772792, shape=(), dtype=float32)",0.17533557
"tf.Tensor(3.1178436, shape=(), dtype=float32)",0.33036196
"tf.Tensor(3.1476598, shape=(), dtype=float32)",0.28619453
"tf.Tensor(3.136278, shape=(), dtype=float32)",0.34687254
"tf.Tensor(3.2144246, shape=(), dtype=float32)",0.30353263
"tf.Tensor(3.2057552, shape=(), dtype=float32)",0.2047676
"tf.Tensor(3.2099557, shape=(), dtype=float32)",0.23834656
"tf.Tensor(3.1957922, shape=(), dtype=float32)",0.2277982
"tf.Tensor(3.2423248, shape=(), dtype=float32)",0.22682317
"tf.Tensor(3.1966796, shape=(), dtype=float32)",0.4292646
"tf.Tensor(3.1144485, shape=(), dtype=float32)",0.91607314
"tf.Tensor(2.6403377, shape=(), dtype=float32)",4.1168056
"tf.Tensor(2.0989766, shape=(), dtype=float32)",3.5841053
"tf.Tensor(1.693685, shape=(), dtype=float32)",2.840343
"tf.Tensor(1.7439991, shape=(), dtype=float32)",3.021656
"tf.Tensor(1.7039812, shape=(), dtype=float32)",2.8880675
"tf.Tensor(1.6754336, shape=(), dtype=float32)",2.9308956
"tf.Tensor(1.6883345, shape=(), dtype=float32)",3.0411491
"tf.Tensor(1.6574626, shape=(), dtype=float32)",3.5607321
"tf.Tensor(1.6277524, shape=(), dtype=float32)",3.3276095
"tf.Tensor(1.7109118, shape=(), dtype=float32)",3.0482302
"tf.Tensor(1.5972188, shape=(), dtype=float32)",3.2653878
"tf.Tensor(1.6710026, shape=(), dtype=float32)",3.1621344
"tf.Tensor(1.7445638, shape=(), dtype=float32)",3.5705724
"tf.Tensor(1.5309299, shape=(), dtype=float32)",3.3011732
"tf.Tensor(1.6302032, shape=(), dtype=float32)",3.1813056
"tf.Tensor(1.6346831, shape=(), dtype=float32)",2.9585745
"tf.Tensor(1.5256507, shape=(), dtype=float32)",2.9983597
"tf.Tensor(1.605504, shape=(), dtype=float32)",3.3369691
"tf.Tensor(1.6682963, shape=(), dtype=float32)",3.2673914
"tf.Tensor(1.6479793, shape=(), dtype=float32)",3.305906
"tf.Tensor(1.5682123, shape=(), dtype=float32)",2.8786523
"tf.Tensor(1.5870651, shape=(), dtype=float32)",3.14064
"tf.Tensor(1.5371485, shape=(), dtype=float32)",3.3290594
"tf.Tensor(1.6119317, shape=(), dtype=float32)",2.980885
"tf.Tensor(1.4597032, shape=(), dtype=float32)",2.5685706
"tf.Tensor(1.5984588, shape=(), dtype=float32)",2.8894072
"tf.Tensor(1.448561, shape=(), dtype=float32)",3.0412593
"tf.Tensor(1.3972831, shape=(), dtype=float32)",2.6871488
"tf.Tensor(1.4190514, shape=(), dtype=float32)",2.9081373
"tf.Tensor(1.4384481, shape=(), dtype=float32)",2.8003824
"tf.Tensor(1.3974755, shape=(), dtype=float32)",2.7294524
"tf.Tensor(1.3091846, shape=(), dtype=float32)",3.0757015
