ENSG00000116688	ENSG00000132965	ENSG00000007312	ENSG00000196565	ENSG00000141506	ENSG00000158050	ENSG00000147202	ENSG00000155465	ENSG00000136045	ENSG00000084234	ENSG00000115085	ENSG00000164062	ENSG00000052841	ENSG00000123338	ENSG00000197872	ENSG00000140678	ENSG00000027075	ENSG00000213983	ENSG00000168010	ENSG00000107742	ENSG00000116701	ENSG00000175463	ENSG00000140105	ENSG00000134644	ENSG00000100353	ENSG00000198286	ENSG00000123146	ENSG00000000938	ENSG00000198909	ENSG00000184922	ENSG00000115457	ENSG00000134910	ENSG00000101474	ENSG00000164674	ENSG00000091140	ENSG00000172890	ENSG00000100325	ENSG00000095319	ENSG00000109790	ENSG00000101310	ENSG00000143537	ENSG00000067704	ENSG00000132300	ENSG00000096060	ENSG00000188404	ENSG00000108582	ENSG00000205744	ENSG00000143870	ENSG00000168056	ENSG00000163956	ENSG00000047365	ENSG00000143119	ENSG00000055163	ENSG00000155629	ENSG00000167986	ENSG00000140943	ENSG00000100453	ENSG00000162231	ENSG00000035681	ENSG00000188976	ENSG00000167895	ENSG00000197157	ENSG00000104870	ENSG00000183431	ENSG00000123329	ENSG00000229164	ENSG00000106263	ENSG00000072786	ENSG00000100219	ENSG00000141524	ENSG00000182866	ENSG00000075884	ENSG00000166986	ENSG00000134539	ENSG00000138744	ENSG00000223553	ENSG00000138095	ENSG00000136040	ENSG00000110713	ENSG00000125347	ENSG00000070961	ENSG00000132334	ENSG00000170345	ENSG00000100991	ENSG00000141968	ENSG00000106565	ENSG00000196305	ENSG00000013441	ENSG00000064012	ENSG00000172053	ENSG00000105819	ENSG00000185215	ENSG00000109320	ENSG00000132424	ENSG00000095564	ENSG00000147168	ENSG00000159674	ENSG00000115828	ENSG00000101294	ENSG00000081320	ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
5.489966	5.0499687	4.5606055	3.330696	4.184658	3.0724277	4.5660377	3.5285861	3.9395614	5.153999	4.2944655	4.348056	5.445537	4.5784893	3.6343684	4.8674655	3.928629	3.6602554	5.423787	5.773953	4.011528	5.606332	5.955029	3.5354006	5.711357	3.4230585	5.479828	5.413334	4.124288	5.942018	4.803745	3.7647388	4.2165527	3.2625492	3.0846543	4.571176	5.569255	3.8444118	5.2585354	3.8675485	3.664752	3.5465522	3.0618129	4.418728	5.9065228	2.9208746	4.195114	5.253925	5.3949924	5.0371895	5.401365	5.202092	5.341476	3.5946984	4.6373105	4.541666	5.3828998	3.5154939	2.8838115	3.3014505	3.6425242	5.2842946	4.4272184	4.182479	5.461451	4.0132217	4.9292207	3.6678822	3.817895	5.4145684	6.660995	5.580867	4.828388	4.384059	3.0971925	3.0716555	4.227437	3.2723954	3.3559742	5.17675	4.1129227	3.6068902	3.7903168	3.6473632	4.051704	3.0854602	4.958103	5.2194777	3.188947	4.70649	4.932334	4.108091	4.7251577	5.7139454	3.4006543	6.292727	3.8488598	2.3848443	3.374483	4.5698943	3.5431435	4.420821	4.7024994	5.6502438	4.803703	3.8087115	3.9120193	6.9252405	5.6249847	4.171186	5.311407	6.4376173	4.0911036	3.180938	6.017144	5.209561	5.122137	5.1474667	5.20758	5.601285	4.328598	4.199004	4.747506	3.6208823	4.1683893	5.7220592	3.7497106	3.5936875	4.0535526	4.7842426	4.226959	3.9899871	5.0282416	3.862977	5.2746854	3.0162666	5.7593365	5.1670866	4.2340503	4.1872597	3.208193	2.7276664	4.3936825	3.6641994	10.420834	4.679959	4.8676476	5.7445054	5.969991	4.1061797	5.646619	4.2121897	4.4682875	3.98419	4.473844	4.102272	4.4811664	6.7166905	3.9090858	3.3253222	4.7548394	3.705194	5.0366573	3.0564985	7.7030478	3.8872852	5.1410913	4.647789	3.0233967	3.147352	5.1434774	4.7101746	3.8027425	6.5518527	2.7704582	4.624833	5.05822	5.832657	2.4522223	6.788784	5.4926386	5.1190557	3.661812	5.716027	5.88655	4.276669	4.7327724	3.1766212	4.070221	3.24016	4.5152297	3.8598514	5.551831	6.5266657	4.1130433	4.76123	5.883609	6.3484554	5.4591246	7.202869
3.244766	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87321323	0.87315995	0.87315995	0.9855944	0.87315995	0.8732904	0.8738638	0.87315995	0.87316406	0.87320775	0.87315995	0.87315995	0.87315995	0.87315995	0.8732151	0.87315995	0.87316453	0.87316775	0.87315995	0.87315995	0.8733249	0.93026066	0.87315995	0.87315995	0.8844011	0.87315995	0.8732601	0.87315995	0.87315995	0.87315995	0.8732638	0.87315995	0.8802762	0.87334234	0.87315995	0.87315995	0.87315995	0.8732151	0.87319577	0.87315995	0.8731774	0.87315995	0.87315995	0.87315995	0.87315995	0.87316227	0.8927634	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87317926	0.8735624	0.87315995	0.87315995	0.87315995	0.87364054	0.87316823	0.87315995	0.87315995	0.8746026	0.87316227	0.8751608	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87408847	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.8731691	0.87315995	0.87315995	0.87315995	0.87316364	0.8732514	0.8731627	0.87316227	0.87347054	0.87315995	0.8732551	0.87315995	0.87315995	0.87315995	0.87315995	0.8732436	0.87362903	0.87315995	0.87315995	0.8731673	0.91947436	0.8735776	0.87315995	2.7641418	0.87327206	0.87315995	0.87315995	0.8731627	0.87315995	0.87315995	0.87315995	0.8739566	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	1.5373142	0.87315995	0.8732174	0.87315995	0.87315995	0.87315995	0.87315995	0.8736056	0.87315995	0.8782873	0.87315995	0.87315995	0.87320954	0.87315995	0.87315995	0.87315995	0.87315995	0.873828	0.8734889	2.7350001	0.8753598	0.87315995	0.8734283	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87320405	3.7341442	0.8737384	0.87316686	0.8731654	0.87315995	0.87315995	0.87315995	0.87424606	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87315995	0.87389183	0.87315995	0.87315995	0.87315995	0.9987675	0.87315995	0.87965274	0.8731705	0.8731691	0.87318933	0.87315995	0.92997444	0.87315995	3.187305	0.87315995	0.87315995	0.87315995	0.87337863	0.87315995	0.8731779	0.8820846	0.87315995	0.87319577	0.87340987	7.028062	0.87315995	0.91209114
5.2934556	4.895011	4.3381715	3.1486163	3.5644593	3.312666	4.5981593	3.264278	4.430835	4.9039617	4.2789817	3.8664412	5.215108	4.4372663	3.6908994	5.4763756	3.9161725	3.485401	4.8587537	5.8396463	3.5811155	5.5939803	5.221011	3.2198188	5.897009	3.5221364	5.329055	4.622856	4.2320595	5.760749	4.785328	3.0604134	4.4210563	3.2588313	2.9650917	4.7337646	4.9020324	3.3401263	5.3425655	3.6010303	3.5735457	3.7394242	2.8063052	4.062447	5.875463	2.4801962	4.3035984	4.7406287	5.223068	5.1177554	5.2187595	5.262358	5.8101277	3.5449896	4.6810966	4.396751	4.837384	3.764636	2.7673934	2.928146	3.5756223	5.1454635	4.8223147	3.6860917	5.1676884	3.7732224	4.7913833	4.087787	3.8621805	4.945327	6.570681	5.3715625	4.142851	3.944583	2.8455012	3.086929	3.5310998	2.9861608	3.0497167	5.0716586	3.5246584	3.4355412	3.522008	3.3835056	3.8631282	2.9319496	4.778663	5.14302	3.077079	4.4660783	4.504588	4.031282	4.4516287	5.3358016	3.1029015	6.071893	3.8399746	2.391916	3.1379082	4.915353	3.6940494	4.5739865	4.9554753	5.7009826	4.4581103	3.7047997	3.3161778	7.005511	5.470031	3.7357905	4.819862	5.8199162	4.212205	2.6348886	5.95943	5.0366917	5.469878	5.1553946	5.3198223	4.8985734	4.061332	3.6202314	4.4713507	3.5614588	4.087044	5.701125	3.9802396	3.4824078	4.1674	4.736409	3.9529393	3.620957	4.807564	3.754793	4.89726	3.1105535	5.8300247	4.932632	4.3188562	4.4848313	3.2930322	2.6281047	4.539847	3.5556133	10.37342	4.6178617	4.4579363	5.3902397	5.7641354	4.2374353	5.374506	3.853214	4.636245	3.78212	4.42908	4.1753335	4.5159707	6.4694915	3.534239	3.2896647	4.791189	3.427131	4.8873067	3.150627	7.564758	3.6711426	4.0112047	4.639733	2.8336084	3.1350832	5.0447865	4.2020297	3.455868	6.207708	2.515882	4.5723333	4.974942	5.283925	2.5052578	6.236158	5.272755	5.297418	3.584394	5.3640947	5.8472595	4.054843	4.7475276	2.9168913	3.5482364	3.3747902	4.351198	3.9868557	5.4717484	6.5280814	4.3751893	4.9483733	6.3507648	6.330866	5.3194265	7.0906553
5.632146	4.737849	4.5190988	3.8239245	2.9271686	3.3691216	3.7689097	3.685376	3.6857371	4.751833	4.1921663	3.3474722	4.4183526	4.0427103	3.559378	5.1539655	3.8112648	3.9932303	4.441873	5.15576	4.0755653	4.9831734	5.1089807	3.425985	5.8408213	3.9215343	5.4283137	4.507677	3.8510027	5.3727393	4.754719	3.2255833	4.507824	3.714005	2.9024553	3.7731907	4.72817	3.8070621	4.464838	3.4033797	3.2784626	3.6678717	2.3142824	4.455633	4.8985124	2.2528965	4.2324243	4.6246696	4.953201	5.0589805	5.1219482	6.3631954	4.834123	3.3999174	4.686339	4.432439	4.9856873	4.0069714	2.6285567	2.7829652	3.04947	4.6998076	4.0248146	4.197729	4.6944265	4.1275554	4.8473024	4.446785	4.0412354	4.3801365	6.6280036	4.5761104	4.6099033	3.6726499	3.1930866	3.5127428	3.6873455	2.8365848	3.2874155	4.7791333	3.4468355	3.4217877	3.4029677	2.9606123	3.671727	3.0067213	4.5853047	5.8653364	3.4607465	4.654996	4.0925198	4.2646465	4.5114813	5.380445	3.3320386	6.5236373	3.755726	2.3309886	3.1928625	4.4649897	3.9633884	4.936683	4.4329066	5.365554	4.4184194	3.9903924	4.048903	7.627742	6.694179	3.6837761	4.5293508	5.8297124	4.176307	3.448857	5.3383527	4.0664835	4.937613	4.3228183	5.1068187	5.2094636	4.147551	3.8293064	3.5965054	3.714376	4.2826076	5.3667784	3.9004908	2.8300464	4.4172463	3.848732	3.4372723	3.6290076	4.304871	3.3458467	4.268705	2.6499069	5.461737	5.054705	4.343318	4.0336637	3.2460473	2.695976	4.2137	3.7210102	9.433613	4.5311027	3.8428426	5.45005	5.990628	4.7383304	4.725128	4.710643	5.0032697	4.306905	4.412252	4.373504	4.4653697	6.375018	3.0863843	3.634718	5.1354876	3.3420787	4.927598	3.068954	7.5433264	3.1924448	4.328629	4.73528	2.492541	3.1545367	4.46403	3.9511986	3.2738242	5.7767277	2.3294013	4.5568776	4.589918	4.8406334	2.3568225	6.3704104	4.997355	5.5798483	3.4506788	4.792562	6.5063415	3.6687753	5.2960453	3.2190626	3.535413	3.4939356	4.4931917	4.4554753	5.5548906	5.9956903	3.7228172	5.1784263	5.336093	6.1964383	5.0635753	7.8612976
5.664178	5.240548	3.9618561	2.2680774	5.433606	3.1518762	3.3873405	4.455302	3.3486512	4.894591	3.0900395	5.2300534	4.4451156	4.799906	4.554148	3.8418763	4.6147485	3.4611406	4.4078946	3.3262663	6.1387424	3.3270023	6.0186696	4.751715	6.1295686	2.1826186	5.600877	6.0206084	6.861099	3.8914688	4.7222624	3.9376004	4.595154	5.506309	5.013066	3.95549	4.2937202	2.6552072	7.7483115	5.4995446	3.142444	3.9816673	2.3969598	6.965945	4.980897	4.0158734	5.4563274	4.3631315	3.5622633	2.5798	3.4367049	6.4512644	4.709282	6.2478075	5.8130255	4.4256516	5.7952523	6.7655897	5.5660033	3.302095	6.942901	8.371059	5.5075746	4.602596	6.727864	4.350064	6.6592193	5.5150304	4.6632295	4.0971494	7.1618567	4.5320873	4.36049	3.3909469	5.2846856	6.372258	4.594807	6.449754	4.450625	5.7088695	3.959155	6.0827155	3.3931255	3.5891905	2.7726526	3.9728966	2.8089728	5.7004247	3.289894	4.9075656	5.382825	6.117256	5.55372	4.9270034	5.689107	6.2515254	3.6485453	4.9637413	2.6635885	3.7998536	3.235856	5.961232	6.0478487	6.5759153	5.9625616	4.389117	5.3662972	6.965187	5.2456536	3.8330095	5.7402134	5.7684383	7.8300414	4.0675373	6.4701643	4.7928624	4.7893167	4.1904707	5.2813935	6.531892	4.3712177	3.94946	4.4488134	3.5997913	5.0638986	5.395339	5.2501397	3.231852	5.0291348	3.7634838	4.018197	4.273462	4.701731	4.0624337	8.349883	3.6944656	4.962619	6.09716	3.8596387	3.1834679	3.9394262	3.5223684	5.264875	5.1876793	9.856152	5.6957283	3.5783858	5.8642516	6.633938	5.316167	3.6116476	4.388673	4.5697417	4.0830083	5.1033673	5.0551443	4.437205	8.196024	5.8115253	3.1872365	4.9814577	3.8767905	2.2204177	3.8612216	8.860632	4.998806	4.5186076	5.8363004	2.7600882	3.48657	3.842503	4.1907516	2.821731	4.510387	3.7495322	4.0816665	5.758223	3.405819	4.1392436	7.9414787	8.134815	5.931659	6.617441	4.7187276	8.173955	4.563929	6.794956	3.3898473	5.046111	6.2711005	4.4229994	4.5019655	5.394122	6.2457094	4.0539684	4.647683	5.17079	8.019046	6.292763	6.4598055
5.405061	4.890847	4.082286	3.3833182	2.8857636	3.275888	3.6772559	3.2895656	3.734788	4.984286	4.2850075	3.1879442	4.4759407	3.6015918	3.3933413	5.134982	3.894475	4.2699237	3.7403646	5.186711	3.970835	4.6683307	5.156465	3.1729245	5.7919865	3.159673	5.50464	4.0004516	3.5645704	5.1073074	4.618153	2.7670736	4.4911947	3.29762	2.8461068	3.7406783	4.4858003	3.948784	4.3673735	2.991421	3.0695944	3.593846	2.175103	3.5553422	4.712274	2.2252653	4.185046	4.101174	5.1443663	5.6323547	4.612693	5.830149	5.062329	3.4184494	4.4650316	4.4474454	4.560309	3.693361	2.3915627	2.648275	3.3434365	3.8802571	3.9567018	3.6794143	4.065423	3.9894102	4.3475437	4.7518134	3.7092545	4.489131	6.9037857	4.7541003	4.0957766	3.7095513	2.9338152	3.0753834	2.8677552	2.943977	2.7782242	4.9339724	3.3250482	3.0279984	3.0221965	2.5049179	3.550219	3.0568652	4.45649	6.462976	3.5881839	4.423571	3.9153285	4.210233	4.1502843	6.1768103	3.0256572	6.363052	3.688067	2.081339	2.8303773	4.667548	3.950944	4.4168797	4.004659	5.44327	4.027776	3.66017	3.49721	8.0155735	6.71403	3.298934	4.0865192	5.4490867	4.25734	2.9532828	5.225253	3.444521	5.205074	4.46294	5.2469115	5.2107773	3.8156679	4.0304575	3.3150527	3.647264	4.1803946	5.050603	4.270483	2.6667106	4.288844	3.755623	3.2126212	3.67428	3.9920015	3.5889194	3.8504899	2.4403825	4.990685	5.058543	4.3602247	3.9073908	3.3854508	2.3223925	4.5895524	3.5573459	9.548658	4.6368513	3.9307606	5.7027974	5.769721	4.940082	4.4979835	4.6025915	5.2778687	4.0649834	4.2448487	4.1333857	4.8420954	6.2480884	2.7157784	3.5569975	4.7247515	3.4611392	4.9066706	2.8663993	6.880176	3.1090214	4.033812	4.160459	2.4232202	3.0509012	4.3286786	3.5082269	2.8636196	5.585763	2.1565495	4.7391734	3.9037526	4.306483	2.3239582	5.6502676	4.7568245	5.5095277	3.2538157	4.4323745	6.9587793	3.069146	5.4730105	2.7154512	3.4126728	3.2619522	4.8278823	3.921679	5.6046314	6.1539583	4.1065454	5.212825	5.635768	5.854432	5.3375893	8.413986
5.1868796	4.946747	4.5991726	3.6252825	4.1605453	3.3576176	4.7212253	4.1345425	4.0460515	5.5880322	4.2483068	4.2974706	5.3103647	4.4796696	4.0100865	5.5650287	3.9769878	3.6904836	6.170861	5.658833	4.180388	5.209894	5.610986	3.7812016	5.702179	3.9793618	5.6762304	5.4824038	4.9851522	6.248981	4.911041	3.9154673	4.1902065	3.7805073	3.5884848	4.36419	4.642304	3.93268	5.2451234	3.6601384	3.7921817	3.845797	3.3866413	4.597082	5.1974244	2.482419	4.029807	5.484008	5.298838	4.5154104	5.5207596	5.1762614	5.698845	3.4407635	4.8280897	4.4063716	5.0623126	4.0741944	3.1003385	3.6515505	3.4647331	5.1286836	4.9944415	4.088312	5.2295437	4.4244933	5.4495463	4.129631	3.8466346	5.1219406	7.069478	5.533189	4.8242717	4.2823334	3.0421731	3.779414	4.696119	3.428302	3.8726904	4.946314	3.8418732	4.160272	3.8215864	4.176177	3.903621	2.8048306	5.7366047	6.0736685	3.8930838	5.0794773	4.676433	3.8839302	4.479027	5.6307635	3.664797	6.1007986	4.154108	3.045051	3.6982229	4.4368477	3.9395373	4.840072	5.4862666	5.868848	4.9695024	3.742777	3.8328037	7.2365212	6.209257	4.5472646	5.3181376	5.7662115	4.6459994	3.2937696	5.7333817	5.277404	5.52969	4.984871	5.332882	5.3908	4.0106797	3.4796548	4.7875495	3.7119322	4.1110206	5.936228	3.6687226	3.6084569	4.464057	5.166582	4.00484	3.8442595	5.1145954	3.8573787	4.816681	3.135452	6.0790496	5.4590454	4.4785237	4.57993	3.3549166	3.0087795	4.766625	4.2241497	10.630971	4.825727	4.7773023	5.8368716	6.0435667	4.2715306	5.894415	4.5148516	5.267028	4.15059	4.832813	4.2066875	4.2085705	6.1591105	3.888908	3.6279223	5.1794724	3.7252576	5.0728755	3.444017	7.858941	4.0559745	5.1641173	5.005027	3.6243768	3.8640816	5.2920737	4.4487257	3.5535402	6.444502	2.5519857	4.269785	5.620148	5.9698725	2.8427184	6.548649	5.2786183	5.4917903	3.731184	5.923746	6.070828	4.250765	4.9876676	3.2542777	3.9245307	3.2475939	4.4487567	4.4019165	5.495765	6.518611	4.550615	5.4132624	6.1014385	6.0308523	5.60609	6.7373447
6.6018915	5.1665406	5.0210447	4.587862	6.2988715	4.3118653	5.107406	4.6669774	5.544933	6.7323728	5.0901403	6.4894094	5.658985	5.4919767	5.907007	6.394413	4.3950515	4.10296	7.4554067	6.7830057	6.544007	5.7783775	5.429475	5.665948	6.7157383	5.009667	7.7923913	7.4332128	6.0874395	5.9395223	5.074545	5.2111764	5.908963	5.147109	4.6995792	5.3259435	5.8100567	5.1458406	6.660069	4.418758	3.7389464	4.2546034	4.960223	5.6797843	6.6349807	5.6690516	5.574486	7.3097625	6.2247477	4.682556	5.386146	5.686171	6.7173314	4.5464067	6.3500075	5.830961	6.1904917	5.6236973	4.289058	3.9276264	5.448257	8.463689	5.259346	4.872548	6.747645	5.207485	6.371457	4.9494934	4.8377004	6.2508154	6.913726	5.7893224	4.583839	6.2911963	4.5798798	5.532338	6.5723567	4.4943914	4.2795715	6.579601	5.5658207	5.4787116	4.2254953	5.514195	4.1062055	5.0225067	6.153614	7.705574	4.9594593	5.5913024	5.7086215	5.9002895	6.324479	5.8980875	5.5835495	6.6221466	6.4667354	4.014662	4.5749464	5.9723473	3.8643012	5.4843645	7.2794366	7.987781	6.598284	4.851788	4.8792973	6.373135	7.472052	5.902004	6.4983788	6.8018217	6.005779	4.403601	7.7602253	6.2934933	6.76597	5.958086	6.218397	7.5772567	5.1355667	4.50702	5.7995815	4.2675667	5.9390807	6.3634143	4.6732407	4.276923	5.7890406	6.1365037	5.958153	5.7592525	5.7660384	5.580326	6.5329833	4.09254	7.0621495	5.816375	4.5855236	5.575665	5.048204	4.1696305	5.473731	4.868513	9.737875	5.7015696	5.1438947	5.73404	8.018225	5.53582	6.1055923	5.8677325	6.285329	3.951152	6.256742	6.1219106	6.254297	6.239028	5.643535	4.7892504	5.403647	5.3034053	6.0277123	4.9871163	7.9748034	6.8752046	6.537748	6.0516686	4.118323	6.202708	6.534045	6.027473	4.2312794	7.5264525	4.258743	4.777051	6.7553067	6.248042	3.7503588	6.6197333	7.732479	6.9605637	4.947012	6.1933904	6.3382645	5.165694	5.385988	4.149119	5.761001	3.4899683	6.5381823	5.5361633	7.1843624	5.755782	4.786507	5.789704	7.0697145	7.323482	6.191047	8.286309
4.87805	4.665818	5.183056	4.272447	3.8833215	3.1636462	4.847404	4.1327662	4.038311	5.110873	4.4199996	4.932017	4.852759	4.3955584	4.50319	5.085679	3.8135889	3.7327714	6.036461	4.8523107	4.311842	6.3202314	5.6198125	3.8465686	5.957704	3.5452566	6.226997	5.1493797	4.5093493	6.132843	4.0898843	4.756913	4.388774	3.4691217	3.0771701	4.7664213	5.6121984	3.7982492	5.0147576	3.66997	3.8982406	3.823292	3.413928	4.997559	5.589256	2.9385793	4.502061	5.117873	5.337529	4.2640867	5.8545756	5.7131424	5.6888056	3.3681154	4.6118274	4.6685357	5.5966134	4.0971975	2.8695905	3.294409	3.3171086	5.6989903	3.867752	4.2891407	5.403328	4.4834	5.91036	4.1863074	3.866247	5.2615247	6.538861	4.826272	5.1259427	4.4277887	3.6018202	3.4975183	4.5173774	3.3343763	3.4732094	5.8528666	4.1231604	4.2827	3.826451	3.592539	3.812049	3.5023956	5.32749	6.02722	3.6244462	5.22499	4.1881275	4.9500794	4.2344546	6.1812496	4.316999	6.0648336	4.248871	3.0759668	3.6398232	3.9827275	3.9694855	5.177919	4.726004	5.839338	4.9467897	4.1187167	4.4801717	7.582429	6.0805326	5.039502	5.7522197	6.5248775	4.162435	3.897187	5.257564	5.093358	4.867363	4.9420342	5.344356	6.5559015	5.094775	4.06172	4.5312686	3.7503018	5.089288	5.5259724	3.5972464	3.7028103	4.7022552	5.052442	4.2869253	4.2558756	4.688069	3.3373094	5.498506	3.2378123	5.6563535	5.5202975	4.2006116	4.420404	3.2372632	3.0992062	4.6077447	4.3293486	10.23578	4.73959	4.895465	5.919343	5.932495	4.227654	5.6788025	4.746279	5.069492	4.6569724	4.649853	4.84219	4.778298	7.577098	4.1439443	3.8682666	4.977547	3.6704767	5.5655103	3.6836874	8.640329	4.1554294	5.7126765	4.803826	3.453948	3.5259807	5.129526	4.7126446	3.2980373	6.655114	2.6341228	5.015866	5.7219276	5.8134375	2.646433	7.1534195	5.860076	5.7032523	4.0292172	5.9594536	6.2383246	3.9321244	4.8909707	4.0993714	4.5616436	3.3835158	4.5866723	4.2774835	5.4200306	6.2082386	4.3250675	4.634549	5.9820175	6.432919	5.2856936	6.912426
5.9363112	4.722328	3.5309234	3.4675443	3.6808836	3.9215264	4.303386	3.7393148	4.226369	5.1605134	4.1524315	3.8426118	4.89805	4.4715757	3.6063318	4.9313607	4.428586	3.67867	5.9606595	5.682402	4.25825	4.7869396	5.7775364	3.605304	5.636979	4.0522923	5.5938826	5.0304074	5.0360613	6.142102	5.423765	3.4602544	3.9688218	3.777839	3.6287847	4.245942	4.6656394	4.036155	5.9274836	3.6590505	3.8050742	3.9554553	3.2085087	4.346858	5.4482827	2.1247005	3.6805804	6.1375256	4.901773	5.0291686	4.727513	5.0814586	5.2562366	3.7713888	4.8405333	4.0689664	4.5808215	4.4127245	3.7081563	4.0308723	3.6241996	4.512951	4.2669153	4.4321346	5.4003124	3.9727073	5.3309054	4.4710817	3.42571	5.671369	6.7508073	6.199877	4.1323047	4.584293	3.223412	3.3655522	4.1160164	3.3579433	4.2093306	4.219585	3.7386513	3.7184598	3.9952776	3.7152336	3.6657395	2.675065	5.2131476	6.3709416	4.0148597	5.078365	4.889012	3.5586662	5.0437512	5.2257204	3.279621	6.45602	4.527944	2.4666553	3.6958296	4.6095796	4.2316766	4.6712856	5.3807616	4.570271	4.8394327	3.0758126	3.666998	8.387096	6.108264	3.8505275	4.351395	5.201749	4.682611	3.0123062	5.553969	4.8040485	6.0009537	4.6933165	5.5968523	4.9707065	4.4641614	2.8379796	4.088419	3.6175652	3.422545	6.263074	3.3847148	3.6002538	4.868958	4.782278	3.3406434	3.3564336	4.6681747	4.146089	4.5658774	2.9762402	5.363729	5.832344	4.6428323	4.23232	3.3879297	2.782764	4.6270013	4.5209045	9.3460245	4.8077035	4.9958954	6.2167835	5.087935	5.196814	4.9690514	4.911153	5.0479956	4.0496116	4.7064586	4.321603	3.8802493	4.988794	3.2512822	3.4412217	6.469623	3.708501	4.5766296	2.9697642	7.143433	3.86569	4.030373	5.0388446	2.9505813	4.110491	4.9615865	4.339285	4.132676	5.329374	2.7119572	3.5532389	4.9323072	5.3467345	2.6434095	5.82382	4.8985076	6.2049475	3.3580682	5.1452684	6.9394283	3.5088959	5.895499	3.4322355	3.5900517	3.626306	4.441772	4.7434683	5.248807	6.3951836	4.2238884	5.288901	5.2827845	6.03102	5.800213	7.744105
