ENSG00000116688	ENSG00000132965	ENSG00000007312	ENSG00000196565	ENSG00000141506	ENSG00000158050	ENSG00000147202	ENSG00000155465	ENSG00000136045	ENSG00000084234	ENSG00000115085	ENSG00000164062	ENSG00000052841	ENSG00000123338	ENSG00000197872	ENSG00000140678	ENSG00000027075	ENSG00000213983	ENSG00000168010	ENSG00000107742	ENSG00000116701	ENSG00000175463	ENSG00000140105	ENSG00000134644	ENSG00000100353	ENSG00000198286	ENSG00000123146	ENSG00000000938	ENSG00000198909	ENSG00000184922	ENSG00000115457	ENSG00000134910	ENSG00000101474	ENSG00000164674	ENSG00000091140	ENSG00000172890	ENSG00000100325	ENSG00000095319	ENSG00000109790	ENSG00000101310	ENSG00000143537	ENSG00000067704	ENSG00000132300	ENSG00000096060	ENSG00000188404	ENSG00000108582	ENSG00000205744	ENSG00000143870	ENSG00000168056	ENSG00000163956	ENSG00000047365	ENSG00000143119	ENSG00000055163	ENSG00000155629	ENSG00000167986	ENSG00000140943	ENSG00000100453	ENSG00000162231	ENSG00000035681	ENSG00000188976	ENSG00000167895	ENSG00000197157	ENSG00000104870	ENSG00000183431	ENSG00000123329	ENSG00000229164	ENSG00000106263	ENSG00000072786	ENSG00000100219	ENSG00000141524	ENSG00000182866	ENSG00000075884	ENSG00000166986	ENSG00000134539	ENSG00000138744	ENSG00000223553	ENSG00000138095	ENSG00000136040	ENSG00000110713	ENSG00000125347	ENSG00000070961	ENSG00000132334	ENSG00000170345	ENSG00000100991	ENSG00000141968	ENSG00000106565	ENSG00000196305	ENSG00000013441	ENSG00000064012	ENSG00000172053	ENSG00000105819	ENSG00000185215	ENSG00000109320	ENSG00000132424	ENSG00000095564	ENSG00000147168	ENSG00000159674	ENSG00000115828	ENSG00000101294	ENSG00000081320	ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
4.7893	3.5302465	1.7716572	2.4092546	2.1059787	4.1168714	3.1822002	2.7169287	1.6548103	4.5542893	3.629234	2.2191358	3.802676	5.786128	4.445622	5.561555	1.9919252	4.4213676	6.8996515	2.8544056	5.8764715	3.2822108	3.038583	2.350258	6.4066777	2.7348585	4.9858694	5.1661835	2.312757	5.483651	7.328647	1.5181137	2.1632352	2.2148983	3.0737228	4.6193304	2.4356148	3.449612	7.3020816	2.4529133	1.2114961	2.0200744	2.7271292	3.0719674	5.1841435	4.0163884	2.8510425	4.6197157	2.89805	3.922392	2.968787	4.651674	4.328711	3.6134758	4.9686093	4.1141286	2.9835002	3.4792473	1.40481	2.0210676	1.9180236	3.7665758	4.076872	3.1176717	6.8956647	3.0703285	3.8854382	4.5866737	3.1166394	3.5642483	4.4205503	3.7595537	2.1462998	2.9608507	2.0933	3.3358078	3.7672276	3.915629	4.814751	4.634369	3.841036	3.8356407	3.8712244	2.3807507	3.457482	1.8054087	3.362756	3.7356856	1.8576725	4.136942	2.434753	4.750016	2.826199	4.4408894	2.9003327	4.9985976	2.1236386	2.632552	3.6802642	6.016228	2.9522824	2.5690463	3.422923	6.4765515	2.0761485	5.174027	3.374775	7.2962565	4.145789	4.605867	3.3281229	4.8783956	3.2782445	1.5567522	5.3013916	2.2154212	3.6924324	2.0036259	3.279412	5.355474	5.1003757	2.7912843	4.2799177	4.214932	2.6715086	7.836129	4.258645	3.5001707	5.2015414	4.2879467	3.7082434	2.549201	7.018344	2.03214	2.4277346	1.0895958	3.3580449	4.292965	2.3745863	3.2388244	2.9204414	2.0276573	2.8891916	3.027081	9.447621	4.825027	3.8787262	4.2092485	4.0217977	3.7551117	2.646264	3.1475656	2.7044652	3.3553588	6.3261395	4.3446593	3.6652887	7.4980736	3.2254553	6.089133	2.9683943	4.9146366	3.0278316	1.1321156	6.6604843	2.4717293	1.6080801	2.536837	3.9996457	3.9473166	3.6457772	2.8936903	1.3121523	5.69766	1.7583206	5.200397	4.530938	5.552837	4.299155	9.831293	8.02585	6.423235	3.0674644	8.104092	10.844705	5.1714406	4.325557	3.3462794	2.554554	3.6202185	2.6933851	3.9833887	5.650542	6.1090584	1.5756435	4.912044	4.974682	4.3958664	1.9804649	9.797285
6.4814167	5.3538203	5.686683	3.2663496	5.1935215	5.2335134	4.831024	5.4351606	5.275368	7.278344	5.707227	5.7875314	5.713788	6.438755	5.3811913	6.45331	6.260536	5.5870776	5.908875	5.6084366	6.187914	6.305057	6.6570916	6.324043	6.8938932	5.549267	7.5084367	7.0753064	6.0897303	4.9336767	4.7734466	5.081644	6.0857124	5.4173245	6.121988	6.066774	5.6962705	6.0806794	6.096063	5.3519344	5.4195237	4.7002606	5.0418005	5.620919	7.4899845	3.4456134	7.1192966	5.9047947	4.4987326	5.717771	5.733633	7.555444	7.7511272	5.5805726	5.603451	6.3489037	7.3082075	6.812809	5.432283	5.7868977	5.85388	5.6145	5.610996	5.2979116	6.253595	6.0692825	6.111314	6.1751046	4.973939	6.9254723	6.952537	6.33928	6.3725457	5.532308	5.458707	2.841153	6.5238	5.516209	4.7709947	6.6056285	4.822569	5.5232477	6.423965	5.3781867	4.99587	3.9088693	5.577215	6.011859	4.9408684	6.5211134	4.721664	5.019173	5.638352	5.7254467	5.5258317	7.991795	5.875377	3.3950045	5.622804	5.466347	5.7602205	6.387812	7.116352	7.709766	5.1691604	3.8999782	6.4938855	9.869417	7.6410594	5.0925903	7.225788	7.8946185	6.141198	4.913566	6.947307	6.028862	5.71045	5.582887	6.2674017	6.4814405	5.2502656	5.6455803	6.2099233	4.9737763	6.2226586	5.762037	5.444284	5.927192	6.7121477	5.1863837	5.964366	3.346587	7.5478706	4.2915306	2.6874602	4.6511083	7.1729555	6.496605	5.543565	6.314227	6.235234	6.3214164	5.4100494	5.389466	10.309496	6.593382	4.76465	7.174497	7.11387	6.129248	4.816464	5.8730555	5.929648	6.3336816	4.9060807	5.4281945	6.875192	7.960561	4.842374	7.115149	6.0165286	6.15261	5.6164575	4.5257373	9.71374	7.423974	6.136729	3.6336439	4.428787	5.2103796	7.984065	6.925741	4.830373	7.059603	6.5491323	6.418762	7.547505	4.6270404	2.375026	7.473236	7.355791	5.7175136	4.362551	6.3833447	6.748502	7.033105	3.7757435	7.252307	6.960773	8.082071	5.7279587	6.0464416	8.477816	10.031269	1.9188879	7.391388	8.381847	4.3219666	3.704814	4.0828137
6.6342406	2.2579558	1.9936991	1.2476118	1.5640974	4.377166	2.0804641	2.1746638	3.0846632	4.5979505	3.1999815	2.3118167	3.304468	3.7123616	2.4462886	2.9012125	2.1233788	2.4551098	2.6805007	2.0927124	3.846192	3.9980793	2.6988273	2.9331772	4.531937	2.171252	5.732397	4.9271073	2.8431833	3.3088832	5.99037	1.320101	3.0926487	2.6104434	2.9681747	3.6190865	2.6088314	2.7532048	3.9974651	2.7750463	2.32824	2.0896153	2.9112797	2.6829596	3.6044734	3.5956764	3.6412842	3.2160919	1.5915536	3.8720798	2.5387106	3.7712915	4.6916056	2.0826924	3.0146966	2.5208375	3.8003418	3.736203	2.002552	1.9877031	2.0202572	3.8183787	2.0086668	2.9322283	4.655081	2.896528	4.044375	3.7171357	1.837893	6.0117874	3.525738	5.3888993	3.4924033	2.8947206	2.3942235	2.6260724	4.247243	1.5111012	1.7664955	4.938069	3.4677129	3.229376	4.246325	3.1333194	2.9196143	1.085629	2.0252872	5.0115223	1.9259229	4.08999	3.288442	2.4192739	3.6732035	2.775135	2.639922	3.78272	2.3119264	1.0599761	2.423131	3.6621633	2.5581524	2.5245516	3.46402	4.7844596	3.3352933	2.807906	2.4622366	6.369902	5.3552437	3.0434513	3.377765	3.8117511	3.614577	1.4206575	4.4631753	4.6219997	3.3617172	1.9642792	2.6385436	3.654826	1.9809709	2.2971544	2.5142846	2.7681332	4.172953	4.7848287	1.9514866	3.9815648	3.7707126	3.7919333	3.9217381	1.7972918	5.0824723	1.891927	2.9326768	1.6863565	4.160475	2.437042	2.046352	3.4874713	1.6561298	2.0713856	4.110641	3.123496	11.983049	4.0029	3.0341673	3.5919514	5.8976912	1.3848872	2.7623074	2.0897586	1.9443562	2.0479655	2.2301478	3.4341195	2.311672	3.8978105	4.110278	3.604133	2.4588938	3.0649383	2.4091253	2.196489	7.604164	3.2204874	2.6432698	2.4285975	1.3889639	1.3890673	3.0912786	1.988457	3.4252713	4.897639	1.6991496	1.7004838	2.8028255	3.7157543	1.5686513	8.039439	5.6207256	4.793252	1.9204555	4.45062	3.3517878	3.4307752	5.853326	1.7846512	1.5781076	3.5221934	1.3976184	2.8264394	3.1788964	6.965848	1.5669031	2.7518137	3.7216172	3.458651	2.853691	4.052358
7.0794835	5.4779315	4.906255	5.385825	3.0359151	5.928228	4.608444	3.8469114	5.501427	5.8358526	4.8183455	6.274772	6.336001	4.805725	3.1507096	6.2121625	6.128594	5.8415084	5.2402697	4.7606645	4.599468	5.859372	7.3632417	4.8022475	6.9538693	4.3238797	8.243188	7.9110007	4.596476	5.074711	4.6713486	1.8576546	7.6619043	5.232885	3.0883718	6.1991935	6.4606376	5.877692	6.574336	6.1789155	2.583355	2.8571994	4.204387	3.189611	5.860109	1.6605722	6.234124	6.2847037	3.238296	5.7527375	5.2333894	6.2734833	8.034564	5.0505877	6.701233	4.703986	8.113513	5.113182	4.042669	4.928392	4.4030643	6.256617	4.708758	5.257215	6.412467	4.5878277	5.1500483	6.898007	6.347083	6.746927	7.0165353	7.037362	5.900242	7.532809	5.2362757	3.1997724	4.9415507	2.031134	5.57808	6.498783	5.4037695	4.1186776	4.871644	5.62605	5.1248665	2.5615156	4.68325	6.0905986	3.1867979	6.9250402	5.736082	2.5794947	4.780397	5.6406417	4.782911	8.201475	4.9568086	2.3874788	4.4856625	4.63816	4.115631	6.177145	7.2186513	8.117878	6.1025076	4.171359	5.6662946	10.667719	7.7837224	5.6827984	6.7977047	7.9368143	4.358239	1.639465	6.4912996	5.6073513	5.879544	4.590897	7.344409	5.0681815	2.6282947	4.0459733	6.7771325	3.1906972	5.2521	2.8655071	3.856615	5.3217278	6.201041	5.430085	5.9405766	3.5080101	9.858529	1.4473258	2.5194845	3.4652877	6.6797657	7.6663585	2.2338564	5.0229087	2.6113484	5.715672	3.4155903	5.8202887	13.247969	6.356461	4.270202	7.5082517	7.452378	4.4659963	4.8577347	4.7678323	5.1860166	3.3747456	4.166831	3.605895	6.8303227	8.192276	4.298777	6.662416	7.0936832	6.131621	3.8433106	3.7023077	10.350084	8.025159	5.2790365	3.8585641	3.5353937	1.8387756	6.6761293	4.716479	6.2368793	6.6971574	4.881416	4.822402	7.1494	5.504329	0.93726164	8.277881	5.6121993	3.1490846	1.8986459	6.035274	3.3189013	7.250584	3.2874434	2.8867528	3.216879	6.1013823	1.4690964	5.9099	6.829244	8.540229	0.99692374	7.20612	5.9352736	6.1337924	1.3834682	8.389158
6.723934	3.705534	4.151071	2.1220849	2.026868	4.800653	2.8863409	2.798096	3.6278713	4.3989544	5.315892	3.8891816	4.6469254	4.429778	2.5803213	2.8809512	2.9406898	3.6968768	3.671855	3.724841	3.3639753	4.6639943	3.3847907	3.5685368	4.8162527	4.181731	6.140235	4.0063033	3.030699	5.636138	5.8772607	1.6485018	3.3879614	3.6371691	3.3960924	6.4017997	3.25908	4.291134	5.7964253	3.4316642	2.5950446	3.303557	4.4922385	2.4814606	3.8108268	2.3836222	5.004763	4.6022496	3.1806188	4.6810665	3.8728225	4.9504848	4.844998	3.1123748	4.336284	3.2282822	5.572536	4.3273745	2.5695717	4.4517946	2.988722	4.498217	2.6486936	3.5258634	5.6588373	4.6680827	4.3662076	4.399665	2.9746537	6.5626197	4.4194045	5.3776116	4.381631	4.3615313	4.0189853	6.818633	4.7237325	1.5992768	2.6768637	4.4011445	4.411229	3.0961785	4.061077	3.6379116	3.7255495	1.1601484	3.3333187	4.448697	3.0127256	4.976003	4.198964	2.262202	3.3511887	4.6751027	3.5489867	6.8783455	3.4473336	1.2359103	3.3856485	4.122678	3.6465228	3.8679988	4.7560234	5.610268	4.62616	4.368039	3.3481958	5.998539	7.1883593	3.8185582	3.4901397	5.526257	3.751869	1.3821802	5.0312285	4.52742	4.420389	4.563152	3.8896642	4.655498	2.3923388	2.6148374	4.4389076	3.551132	5.1290455	3.5507421	3.2320137	4.9205785	4.740791	5.21247	4.613597	2.352032	5.332166	1.7437737	4.6053886	1.6256454	5.726327	4.7245536	2.2905087	3.6562433	2.0138195	2.6754298	3.2043328	4.3779426	8.61793	5.042803	4.571291	4.4907274	5.813124	2.0399158	2.5790846	2.779486	2.1947262	3.1059306	3.5804677	2.8487148	5.547389	5.4441156	3.2874196	4.691048	3.5817647	4.655936	2.190062	2.2716959	7.0443764	4.8400564	4.371129	3.2382202	1.6871697	1.8298247	4.646876	2.277099	3.695939	6.09883	2.0972357	2.1442225	4.757314	4.6871176	1.2340895	7.5487885	4.803916	2.528099	2.014928	4.7381673	3.4026537	5.684925	6.6077466	2.5863483	1.731678	2.825708	1.3753705	4.068694	3.9000342	6.619919	1.6258886	3.2838194	3.0916007	5.169748	2.074275	3.4147394
7.529002	2.2899928	2.1269743	1.4637306	2.2044985	3.6013172	2.556508	2.4327667	3.2625954	3.800999	4.5340905	2.540719	3.1390574	4.8527827	2.8941944	2.6556435	2.2393417	3.5622797	4.572842	2.776178	3.4408324	4.447411	3.4876528	2.6006136	4.667867	3.1019192	7.1283307	2.7408376	2.914457	3.6238017	5.143634	1.458855	1.7656713	2.0990765	2.8154643	4.3829064	3.5052824	3.565194	3.6085143	2.123942	2.2736578	2.5651147	3.6091092	2.1870964	4.140723	2.2377548	5.3122764	2.8536305	3.137017	3.6562002	4.056712	4.870898	3.3875248	4.229683	3.290852	3.5488398	3.5310194	4.2879786	2.2887628	2.7096527	2.4553423	2.9901621	2.8880107	2.3962233	4.601281	4.60774	4.544979	3.9803426	1.5282872	7.3360796	5.238106	5.873504	5.526348	2.624922	3.7944312	2.956149	4.4264145	1.5971009	2.4326138	4.936994	4.3954463	2.6699643	4.5382185	2.8516457	3.619616	1.40942	2.5289807	5.0625515	2.826726	3.9858873	3.6691995	2.9577672	3.0444927	4.848411	3.1690984	5.701833	2.1821473	1.0337939	2.4408498	4.296768	3.4592528	2.3454509	4.006488	5.0882597	2.4566545	3.267705	2.418238	4.329447	7.139807	4.400848	4.9105897	5.1411505	3.6398022	2.078778	4.3550777	2.9302368	4.720797	2.8883224	2.1368458	3.7366786	4.3857756	3.050977	3.5328815	3.0107133	3.6625876	3.6227074	3.074479	4.0221334	4.9998074	4.1351886	4.23129	1.8688107	3.5537484	2.4050722	1.847482	1.7203183	6.468576	3.3259	2.0413644	4.191814	1.5006256	2.4500263	6.25784	4.6684146	11.323138	5.6991053	3.62228	5.048841	6.097632	2.1852126	2.2403376	1.5280886	1.7289531	3.0661812	2.5187297	3.4387403	3.3740098	5.068415	3.9359019	4.619927	2.611834	3.285171	2.126279	2.2232363	7.131834	4.063471	2.2669628	2.599463	1.4001242	2.20838	4.405221	2.682303	2.7876809	5.6856055	1.9381356	2.9272008	3.2531297	7.189267	1.2031531	6.864573	4.44234	4.1983123	2.0187442	5.8527675	3.0502477	3.8714101	5.0180483	3.444094	2.0330594	2.6870036	2.0280437	3.6284065	3.1531787	6.590559	1.1178142	3.5519438	4.5053153	3.3083072	2.5249496	6.9282475
6.855991	3.8725715	5.1508927	2.7980251	2.362514	3.894534	4.2661204	3.0556705	4.0225477	4.288037	6.2096224	3.7873566	4.620914	4.5999417	3.1482654	4.7503724	4.1967177	4.1019635	5.238296	4.12943	4.555884	4.455428	5.1621833	3.657085	4.912945	6.9915247	4.3783917	5.3335686	2.6354496	6.029179	6.3093343	2.2846746	4.262833	4.065275	5.210917	4.7817445	5.1166544	5.3106737	7.2604294	4.6083975	2.4691606	4.33554	5.225981	3.1913977	4.363051	2.4664962	6.0035486	4.0618076	4.0640574	5.5735817	4.607945	3.9540865	4.7029667	3.0943625	4.153861	3.5235598	5.3440194	7.274896	4.7769914	3.6568813	5.1275053	6.807201	4.8430114	4.194629	6.089837	4.51225	4.3464227	5.2631135	3.4065316	4.82212	3.755409	5.328089	4.032132	4.152603	4.152094	8.078471	4.7724013	4.642349	5.274449	6.2371645	5.169107	4.976036	5.0445147	4.003368	5.829719	1.7914743	3.9484837	5.8989973	3.4938033	5.758234	6.4554787	4.5900416	5.816158	4.3251734	5.6347184	6.516873	4.5858493	1.9731202	4.0633025	5.8739915	4.9457083	4.1071587	4.806461	6.547411	4.52618	4.5574512	5.9260426	6.2526326	5.982892	3.0970373	3.672366	5.744743	6.0043087	3.7772655	4.238903	7.12488	3.7783797	4.861165	5.7031107	5.890688	4.560119	4.4596825	4.355975	4.9033146	6.6124506	5.3149586	4.496873	5.4291615	6.280044	5.4973307	5.0084386	2.736592	4.6407886	3.9562633	7.5128016	2.3290582	5.259145	4.4644065	4.0277433	5.0913787	4.4265256	2.1977885	3.1380048	4.909228	8.336701	6.7197857	5.466633	4.5009136	6.390422	2.9664016	4.0586343	5.13081	2.8252454	3.7316494	5.127522	3.757058	4.753498	6.4424896	4.5141816	6.278708	3.9841864	6.4774737	4.67052	2.0544178	9.404328	4.4244885	3.299757	4.411891	3.0211582	3.744751	4.083081	3.2380695	3.394207	6.4610667	2.1013122	4.74656	5.002637	5.8662596	2.186922	7.6146584	6.5774045	5.4360294	2.263794	5.5542135	5.248674	6.9378214	5.1887736	3.249626	2.48535	2.832792	2.7303188	4.078629	6.433158	7.341542	3.5150745	5.091809	6.3886676	7.1081414	3.5908267	4.9332952
10.77149	2.7845163	0.8896254	1.2571801	1.9915421	2.2534041	1.5618925	1.8921432	1.1743089	4.5374613	1.7894675	3.3189065	1.9274871	2.4673805	3.844826	2.9158645	1.5057276	2.5539784	2.5943072	1.2732785	3.7033048	2.678231	4.321155	1.8205192	1.9698546	1.2792894	3.221872	2.6445646	3.802186	1.2610036	7.8025846	1.0388372	4.036025	1.6648109	2.80308	1.7240311	1.1799439	1.8147326	4.5851073	2.1119206	0.914851	1.6518836	1.008311	2.1113455	2.133712	3.8312323	3.4759378	1.9026783	1.0375407	2.008222	1.629032	2.6070383	3.2276347	1.8861053	2.1734078	3.6934354	2.295229	1.7573259	1.0533702	0.9436065	1.0575552	2.2055838	1.6751218	1.1217148	2.0698953	1.6643865	3.0191708	2.510658	1.7799888	1.5441806	3.7007346	3.0325446	2.2006552	2.1586146	1.4136994	1.305489	2.826427	0.9258358	5.7869115	2.4737337	1.916492	3.2036965	2.8344405	2.2813888	3.1090899	1.2303989	2.567967	3.450518	0.9496936	3.3581614	1.7293427	1.5030041	4.4136195	1.8767056	1.6675694	2.8832827	1.4656143	2.6622784	1.4452386	1.8014538	1.0499221	3.1409268	5.5019507	3.3715262	1.3767335	1.5352485	2.100817	7.0913935	1.7305611	1.1283753	4.622109	3.9427233	1.069118	0.95501304	2.185616	5.299899	2.1019692	0.8980033	1.9736624	1.4921062	3.1786427	1.1742804	2.5789604	1.737847	1.0854254	4.4404573	1.0591059	1.1877048	2.1090589	1.0331318	3.0718157	2.4470973	3.048286	0.9153403	3.542185	1.0613172	1.491677	3.0927405	0.9575349	1.3953111	0.9908628	1.8219715	2.2240088	2.2524798	10.112992	2.2180893	1.1503049	4.6121154	2.7573118	1.0187995	2.466316	3.9763093	2.4888504	1.3194895	2.6366718	1.4388547	1.5373818	4.867402	1.6577439	1.4047816	4.3406672	1.3699536	2.1352217	1.2140303	5.6417775	1.694931	1.0893302	1.8201995	1.8276829	0.9861609	1.527174	2.63492	1.171256	4.2358923	1.7001953	2.882233	1.2607036	1.8386691	3.7853036	6.303858	3.3739038	4.1979384	4.295894	2.7297022	5.9689918	1.8597275	8.306421	1.4182386	0.93700343	2.3314545	1.5603019	1.7983222	3.3218143	3.9797106	1.2527709	4.4070683	4.1052833	8.456854	3.0951824	5.2393317
5.971997	2.4590137	2.708093	2.4752421	1.5015459	4.7179074	1.9676094	1.8773925	3.2163987	5.896496	3.8436341	3.2603033	3.6999485	3.6160715	1.6421187	3.602753	2.3230133	3.3138714	3.219531	1.8949928	2.9651423	4.407757	2.9989686	3.2306745	4.0874615	3.0884585	4.632932	5.995027	2.2922099	4.114473	6.3772726	1.7403913	2.6240056	2.0904694	3.0729284	4.0587525	4.6019664	1.9163463	3.9830992	2.437622	2.8552046	2.7623937	5.9645786	2.1817083	3.5173721	2.550087	3.4135969	3.6844194	3.1940837	3.228714	2.961114	2.7351475	4.818696	1.7518121	3.6596868	1.6183095	4.6259007	4.376407	1.5560722	2.7203472	2.6127896	5.929066	2.5553825	3.5395603	5.8615656	3.5138524	3.8591278	3.759789	1.4443262	5.539193	4.3753543	5.6989665	2.2900028	4.828654	2.0013492	5.702275	3.8712673	1.0219008	1.6894567	4.3723335	3.3095362	3.1831493	2.3128633	2.6296456	3.832156	0.9740339	1.7687802	4.124732	2.6150408	3.2750568	4.4114184	1.6828523	2.6174116	3.0147803	2.700999	5.588984	2.3515174	1.052013	3.942712	2.2286642	4.009041	3.0986753	4.7461615	5.1796455	4.2594438	1.8180116	3.1219344	7.1339393	4.4442654	1.9860845	4.743543	3.073121	4.204184	1.2109778	4.1986537	3.4216564	2.89449	5.9783587	2.4650893	4.6135416	1.647543	1.5969648	3.9856377	2.382902	8.320743	4.215545	3.4492328	2.2168813	3.7379384	5.1661334	3.8227475	1.7779434	3.4094503	1.652564	6.501423	3.2385209	6.7500954	2.9003913	1.6925607	3.1411045	2.2448971	1.4064897	2.421533	2.794578	11.355994	3.5473204	3.9164643	3.7237825	4.9220757	2.4991097	2.6011634	3.7198346	3.5704572	1.5604985	3.2827713	2.8399749	4.175665	3.9595883	4.199669	3.6042345	1.9761567	4.0036435	2.0179453	4.365125	7.8884	2.8846955	2.9259179	1.6944399	1.5232236	1.1137022	3.4792867	2.1390285	2.2050815	4.1005526	2.0873322	1.7243394	3.2082596	5.6826687	1.2398596	6.126604	5.971826	3.0014832	1.7159045	3.6062799	3.1336088	2.8752756	5.7595577	1.4263918	1.3216466	2.8191946	0.9708615	1.6958462	4.499892	6.315868	4.3494687	2.3602734	3.742106	9.334388	2.4118571	4.1219325
6.408315	2.8511624	1.4669127	1.1701587	2.029149	3.5625641	2.7768106	2.2358034	2.4474266	3.2445703	2.8540678	2.4007719	2.4402914	3.260147	3.069208	3.1679869	2.289462	2.7884965	2.8546298	1.8555093	4.504967	2.5191045	3.816981	3.9268935	4.106709	2.3371856	6.051975	3.7776928	3.4986477	2.844669	5.881323	1.6144742	2.5667067	1.7088567	3.5053182	3.3351104	1.9021568	2.993273	6.10259	3.27638	1.1433425	1.6058275	2.4608607	2.4741611	3.3950465	3.2652736	3.1172009	2.2137628	1.667393	3.5615075	2.3789134	4.21154	4.703452	2.0158634	3.0587337	4.027461	3.4780867	2.9963558	3.397471	1.9426117	1.5812542	2.6475596	1.9959619	2.4562607	3.5143352	4.272353	3.6809998	3.6610086	2.6428678	4.1914053	3.1876686	3.7519243	2.4048786	2.488695	2.1805599	4.120989	4.6781754	2.09964	3.0670955	3.9381535	3.362711	3.0887778	2.6156561	2.7692306	3.089367	1.2059202	3.8416278	4.99712	1.8418764	2.9723003	3.3886433	2.2989044	4.817148	3.2977479	2.6615355	3.7909412	1.7885711	1.4444675	1.9473958	3.6444952	1.9107664	3.1346467	3.4318008	5.323348	2.5978918	2.7735279	2.4370782	6.2043552	6.3391747	3.8013701	4.7178645	4.08019	2.5306034	1.3249197	3.592835	4.6288347	2.435657	1.3882481	3.2850175	3.1145737	3.4768324	2.5837474	1.9034584	2.8280423	1.4435833	7.1076927	1.9231327	3.0319033	4.8118625	1.6926746	3.5836635	2.1876476	3.769709	1.7905958	3.7479877	0.9800402	3.2670438	3.1169431	1.7665381	1.9908681	1.7622805	3.7510035	3.0257857	2.460818	7.077267	6.081752	1.5436862	4.100131	6.1862216	1.6353106	2.4101577	2.3080354	1.7558019	2.324971	3.2023969	3.0920308	2.8796096	5.223277	2.7517443	4.3727	4.165158	2.5637126	1.8791573	1.1450416	7.0714073	2.4254897	1.8307675	2.5516706	1.9138799	1.9296498	3.0430048	2.349954	1.6618743	3.7451823	1.6930046	2.7019382	3.694997	2.8683298	2.722023	7.4756427	5.5706925	4.2715516	2.4051874	5.1836576	8.441469	2.4637616	8.148225	3.0596213	1.554055	2.5957394	2.5715292	2.8297923	3.2842531	5.414084	1.1646947	3.7200894	3.8649719	4.514663	4.071856	3.3252068
