ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
6.197101	5.288091	6.0071335	7.1727376	9.234682	8.880338	6.5717444	5.1344857	7.482594	4.915533	7.3072567	4.0864925	4.836144	4.834424	4.7593937	4.4221077	6.5367813	7.159174	7.568675	1.7457459	7.5555143	7.151492	5.329786	5.659269	8.9387865
5.4832916	7.477854	3.0118651	2.7299685	9.895597	9.29841	4.8300176	1.8616996	6.9419146	4.3868423	8.141849	2.8934093	5.650778	4.1480794	5.356849	3.2377605	9.236353	7.2188053	8.968021	0.9385642	7.38776	8.086119	3.5888577	2.3977358	3.340882
6.1141505	5.703423	5.261618	2.000639	7.8995	7.0240602	6.1033506	2.8210664	5.871555	4.1974783	5.4995875	5.166964	6.425878	7.3029943	4.722456	4.5814376	6.1094136	7.7299776	8.832915	2.038986	6.94019	8.742548	2.0561926	5.088576	2.6918595
7.129449	7.962153	8.235776	2.9817843	6.464906	6.091931	9.334512	8.318292	6.833821	7.7406125	5.947481	1.6640956	7.4234414	6.3975034	7.1629405	9.33256	4.653959	9.679153	9.332074	11.586008	6.4319334	9.880155	1.6211439	3.3856964	0.9547203
9.091406	8.34384	4.3557625	3.7665386	8.441893	8.028048	9.010676	6.2262554	7.878855	5.314593	8.129663	2.3701632	8.600498	9.49357	7.709904	8.366334	5.7435246	9.982153	10.428688	1.0908623	9.889765	10.799073	5.928999	1.8860233	1.7788799
1.9549139	2.8784688	7.6599274	0.89434415	4.454826	3.0908952	2.8771982	0.9978887	1.9117095	1.2324334	3.1691349	1.4820691	1.6964397	1.0154281	1.3375212	1.0965616	2.3832848	3.2428951	5.19925	6.9833794	2.1015127	2.6815197	6.181049	0.9138082	0.87968534
4.7787437	2.12105	6.4308467	1.5178635	2.5955262	1.6092885	4.9678144	2.9950378	1.9929602	11.10128	1.4668224	6.0730233	1.6258099	3.9186695	1.7067072	2.094725	0.8838749	4.0269866	3.88956	5.58942	4.793737	6.102938	1.3551264	8.08608	3.9448187
7.942228	6.339949	10.163228	7.5313153	7.570608	5.2376027	10.034205	5.724792	5.6912293	6.6136427	4.786105	3.3017833	7.886678	8.176933	5.590036	8.603684	4.0271435	9.876169	7.8515105	4.1557665	8.596889	10.623843	3.648366	1.6851811	1.2886147
3.959058	3.6056635	5.3176365	2.1056924	5.5852385	4.733732	4.8534036	3.6479292	4.3324766	4.3363323	5.7667074	7.145419	2.9454162	1.9824154	4.390644	2.3095877	2.8891728	5.533432	6.979815	3.086157	5.373803	4.297197	9.207589	0.9132395	4.2157993
6.1472063	5.4715443	4.0824513	3.3506167	7.2182946	6.598024	5.825272	4.9588666	6.9917893	7.463038	6.448971	4.147307	4.7802544	5.1331177	6.1822443	4.922693	4.624122	6.699399	8.514752	2.1868994	7.6124268	6.876584	5.8010187	2.235841	8.033341
5.1589165	4.3991656	4.521048	10.475823	10.381816	7.81829	8.625431	7.498589	7.64279	7.2164354	3.9139092	4.3636737	6.3892455	2.8886034	4.76316	5.8730865	8.961242	7.4690003	6.97473	1.8761609	6.9952083	6.797426	10.32655	1.3964132	0.9605239
5.6021223	5.438376	2.7563007	4.110443	7.5581913	6.6883926	6.401904	4.2829776	4.8891807	5.851153	6.610226	7.3795805	4.77682	3.1912034	4.869744	4.7900553	5.820575	6.349252	7.734214	6.3514485	5.8211546	5.3161902	8.90676	1.7345784	2.1901162
0.96067995	0.9280453	2.3798525	0.87317	1.2478603	1.0832292	1.0997404	0.87458175	0.9231816	3.6175227	0.96153426	2.267826	0.93952227	0.891717	0.8946304	0.8734324	0.87395924	1.0148642	1.5408872	0.8748804	1.0502915	1.0968723	9.733328	7.3788986	1.581349
5.4728413	5.8393855	3.6706042	3.1208572	7.2265186	6.842122	5.750741	4.4499197	5.6578975	4.2911696	6.712816	3.7753534	6.0914593	5.0633736	5.9809833	5.351152	5.946526	6.6912193	7.8413725	4.0060744	6.669703	7.7107024	6.90376	2.6228907	1.0420483
2.585418	1.7903521	2.0781615	1.38733	4.0981097	2.837555	2.6906004	2.7916079	1.7462751	9.844774	1.3041148	10.006998	1.1880386	1.3280258	1.623591	1.4695928	1.0767219	3.6708603	3.7328875	1.8300486	2.8818145	2.7817733	4.378988	5.1763244	3.2896218
4.5950074	4.8760657	6.562373	1.8128273	6.465608	5.384377	4.8318863	3.5851722	5.7239146	7.185075	5.8551884	3.1035757	3.3828378	3.1873577	5.2546625	2.7367215	3.5379653	5.287793	6.4972315	1.7465163	5.4672585	4.6488123	9.286017	3.9315696	11.324552
2.768421	1.7040889	2.7265325	1.8532099	5.3358173	3.482435	4.1384807	1.3255167	2.636398	5.474687	2.0144303	7.1336675	2.0309167	2.1826375	1.1395205	1.2059695	1.2042772	2.841992	4.4799614	0.9268087	4.1031003	4.20063	1.1794719	9.953581	4.321736
6.789399	5.156395	8.182185	2.4773138	9.353946	7.737508	6.904705	2.5445633	7.085977	3.4560878	6.589972	2.4156702	5.7262607	5.7378316	5.112086	4.300936	7.275051	7.881458	8.641923	1.5533102	6.3734407	9.245438	1.956408	5.022652	10.39729
5.7038727	6.6014714	2.935065	3.5942132	7.34735	7.3045373	5.4751973	5.467689	6.571886	7.0376506	7.24952	3.987524	5.245585	5.6071663	7.0334983	5.1704006	5.483742	7.005887	8.397502	2.093058	7.348362	6.3777323	4.744805	2.6931498	4.994438
5.7717376	6.6004486	3.3454082	1.4056385	7.862407	7.050546	5.0305624	2.594029	6.3754835	4.2544436	7.7576637	1.4350666	5.09324	5.736806	6.632706	5.401306	5.7870636	7.3309736	8.86011	2.509654	6.592011	8.308592	1.9895465	4.0500965	2.9319983
3.5628211	4.3874035	4.5521555	1.2316904	6.73923	5.9429245	4.242132	1.979758	4.5383677	3.9653513	8.269745	3.004188	2.8173487	1.9188855	5.3628144	2.297362	5.365238	5.6414423	7.3934464	5.778663	4.3505974	3.6685743	9.882157	1.4798856	9.57434
1.0193776	0.9753673	1.1944143	0.87324286	1.078999	0.99282336	0.983245	0.8985964	0.9153636	11.352759	0.8928687	8.583862	0.87961656	0.9289627	0.89620453	0.8750022	0.8731995	1.0510184	1.4647268	0.90408057	1.057477	1.1721714	2.9309306	12.063923	6.5470643
8.304764	8.766794	6.845256	3.8563464	8.933274	8.403501	8.925754	5.633178	6.961378	7.56857	7.3012204	3.8083398	7.684992	8.160005	7.4763384	7.695984	5.297091	10.079074	10.279689	1.1798185	9.505298	10.484489	3.7976098	1.2152706	5.3539414
3.0318127	1.7211869	4.1058536	2.0733035	5.7470655	4.1045046	4.1324024	1.3875872	2.3290555	7.113835	2.0907083	4.2413797	2.3094227	1.092363	1.2965615	1.3360226	1.3706518	2.4867234	3.41249	0.9812665	3.0533285	3.1727831	5.746741	2.9273705	4.4392467
4.17885	2.5530229	3.8010619	5.7340393	7.6429434	5.7873397	6.2435927	6.638332	3.5776918	9.208239	2.223305	5.092791	2.8171809	1.7664804	3.4482312	2.693831	3.5134902	5.290914	4.7112947	2.9584801	5.776202	3.973511	2.3853076	1.3485792	1.7799369
