ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
2.2157748	2.9338608	4.4529285	4.4972477	4.221097	3.9869032	7.1351924	5.747469	7.020307	4.4309597	5.2550945	5.5280333	4.4065137	1.3352566	7.591021	4.5961294	6.486839	1.6839197	2.4569442	3.1561556	4.1467037	5.0568323	1.5810369	5.5271416	5.368865	2.699154	4.2520022	4.798486	1.3719962	3.9007914	3.585314	4.586225	4.412377	4.972037	7.6866813	6.8441343	5.0761766	4.5778832	3.1356103	3.8401372	3.2345462	3.7138033	6.3151054	7.181948	5.7752514	4.626645	3.5590432	4.1111465	3.4818485	2.4671657
2.7559345	3.0621228	1.9305127	1.441949	3.2479327	3.112674	1.4886888	3.0617323	2.3325531	2.9455507	2.4203002	2.29606	1.6705325	2.0435107	6.5835743	2.636875	1.5291274	1.9678438	2.0469348	1.3304136	1.7241311	2.2255683	1.2864573	6.1124177	1.1205659	5.378457	1.8900566	5.0225987	1.3413994	6.341076	3.3199153	4.598057	3.3543885	3.449055	7.149787	2.827329	7.5098968	2.1660647	1.4313254	1.7335484	1.3478587	1.4954112	4.2022495	3.883287	5.299147	3.4855194	5.0624814	6.4794917	8.936151	10.226424
4.051482	4.968101	3.1505225	2.2240553	6.614828	2.7649212	3.254653	4.6226726	3.3892815	4.390713	2.213607	2.1529632	1.8929126	1.8823466	7.471995	5.3204627	2.0992398	1.514725	2.4310057	1.6947811	3.1238	4.5178447	2.795226	6.441178	2.5931551	4.0908823	3.1110618	3.416233	3.6712794	4.4372964	6.254244	4.682997	2.3769577	4.5143623	9.014267	3.9385695	6.2889323	3.766966	2.3640268	3.5313764	2.4542599	2.829433	3.9649158	5.833165	5.3188047	5.119484	3.7737439	7.157105	8.281919	4.219032
2.0997763	1.7162739	1.3946673	1.4622276	2.4298475	1.7890012	1.6079929	3.8149068	2.0158129	2.8002942	2.2412634	1.3056343	1.320891	3.3572576	6.5216994	2.1785738	1.183794	1.1099539	1.1729968	1.0758307	2.57992	2.8094876	1.9683177	4.5173397	0.9910224	3.3891695	2.0983758	6.017964	1.1117469	4.5018	4.9595857	3.644604	1.1550931	2.3322887	4.6065536	2.7638254	3.5743694	1.3474553	1.0634661	1.3132992	1.5574806	1.2927961	4.7722716	5.0866027	4.269532	3.8470886	2.905956	5.6494203	2.5224392	5.0813336
7.596378	3.9956508	4.85236	2.9104645	7.285625	6.126827	5.03024	5.1480474	6.617762	4.6123557	3.704517	3.8487127	4.9459877	3.3757784	8.718665	5.4028864	3.9116268	3.6097848	6.4677467	4.6260657	3.6413004	5.485931	3.2278376	7.978797	3.2047985	5.913163	5.270693	7.9222665	3.239355	6.346118	4.9418225	8.260751	6.738189	6.0942397	8.114688	4.8151956	4.466027	3.5626335	5.746057	3.2276208	3.690034	2.5838227	6.221593	5.2968817	3.3088343	4.125852	6.2724347	5.829663	4.0231433	9.999711
0.8942435	1.0172428	0.87655014	0.87322235	1.4709113	0.91792095	0.92464834	2.278397	0.878835	0.980334	0.8807699	0.8751978	0.87320894	0.87327033	3.3500996	0.94959223	0.87317	0.8733559	0.87352335	0.8731784	0.88972545	1.1702087	0.8742462	2.2563033	0.87316227	2.2961571	0.89356565	1.6440134	0.89851487	3.7451959	2.907562	1.8384309	0.8738002	1.9613013	8.629369	1.1424041	5.357247	0.8904932	0.8731754	0.87332904	0.8733821	0.87411934	2.839569	4.5481205	0.9153602	1.6948545	3.7511187	8.452338	0.8961421	1.4705398
2.072722	2.0905585	1.529712	1.7335763	2.1415274	2.5677736	4.2269807	5.9531794	2.1104422	3.909905	1.6350367	1.5292943	1.6738646	2.5284882	8.125109	3.259371	1.3042288	0.9470953	1.1263647	1.0200953	3.3254268	2.800006	2.6512306	3.527535	1.1682298	2.0254898	3.973476	4.520435	0.9495258	3.5006807	3.2434666	3.1456366	1.0898979	1.8589336	3.7142036	2.4128907	4.7038217	2.6144023	1.0199598	1.2124757	1.7887046	1.0509475	5.327613	6.0228906	2.4840775	4.585379	4.3103166	4.108384	1.889272	1.3368585
5.2726297	8.839701	4.5394344	6.4592943	7.1064525	6.0818977	4.7723327	8.834528	6.230164	6.9885716	6.64768	4.809685	5.7956214	2.8190787	9.372921	7.3265004	4.1960025	3.0769281	5.2543693	7.427874	7.3268914	6.7053385	2.4581242	6.9456234	4.765766	6.6045003	7.1173244	6.8969355	2.6374292	8.089299	6.1049476	7.58315	5.869174	6.7508445	9.735044	7.0516295	7.1031494	6.808977	6.5248523	6.055439	6.512373	4.089212	8.577253	8.746697	3.1132612	6.9769588	9.110826	4.8078146	5.029792	5.8378706
6.434634	7.399047	7.208334	4.9622183	9.086186	7.4797397	5.3977823	9.9457855	6.708927	6.479395	7.5307946	6.643827	6.8759766	2.701137	11.290225	8.098744	6.3934593	6.7512646	7.93135	7.6598096	5.8161135	9.254769	3.1244478	10.224348	5.948419	8.989923	8.150045	4.4955254	7.888349	11.220399	9.743017	10.315307	7.519955	9.421119	4.6536613	8.549316	2.9910483	8.706891	7.0876274	6.7561903	7.740024	7.6622367	10.333062	10.459561	1.3869674	10.0572405	10.448394	7.458947	1.089328	3.562095
5.382579	5.2786384	3.321928	5.1872306	4.554083	3.4109879	4.6669264	4.680153	3.300476	5.1182766	5.7685537	4.1463237	3.335339	1.8579679	6.3495626	4.5158668	2.3345659	3.9451985	4.808044	1.7826343	3.2743132	4.7491918	2.4384658	4.1513586	2.3729565	3.5801747	3.8913531	4.7788606	1.5627322	6.3392625	4.0681167	4.850735	3.8294888	4.1557302	9.755013	4.0023603	4.8255835	4.305945	2.3239164	2.202129	2.5882905	3.654535	4.2101345	6.5466495	2.790837	3.5089138	4.9487104	2.3116958	6.333099	7.277113
