ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
3.815921	2.962461	6.075628	5.590498	3.7437282	2.2662327	2.3513172	7.761301	4.180238	3.1343062	2.9836733	4.667346	2.0465348	1.3895121	2.2784014	4.766868	2.4959335	1.9577777	4.001685	3.2272406	3.3418317	4.37162	3.0599167	2.1450698	2.1702664	3.5271037	3.5503633	2.3457491	3.9840734	3.6899464	3.4235148	2.043162	3.7184653	3.2347777	9.325373	3.63054	3.3210278	3.3697896	2.3841345	3.2726095	2.001881	2.442918	2.5872152	4.640913	10.060562	3.8924723	3.914304	4.789364	4.910871	2.556507	3.909766	3.5786176	3.3983343	2.584073	3.4931982	1.9117928	4.5117736	5.6251593	3.1592832	2.7762578	4.5305586	2.8071475	2.4757934	2.2403653	5.489034	2.5332062	2.4270592	2.1172967	1.6899116	1.495954	2.7528107	4.603577	3.0454829	3.9687	2.7844243	2.7789755	3.3012364	4.893121	1.0960665	4.5065207	4.0775566	3.5884023	2.728831	3.2980185	4.47498	3.9100845	8.584523	1.9546282	3.2362685	2.7887146	1.8931894	1.3507411	4.5799127	5.519013	1.7919788	5.012107	3.8532622	5.3474803	2.6119378	9.46609
3.0538287	3.9718995	4.9290805	4.9594274	2.2426147	1.7077127	3.8059654	8.715113	5.1805844	4.156494	4.9976063	4.796611	2.292896	3.933639	2.8714187	4.466835	2.2104795	1.6936928	4.4830256	2.820072	3.8523474	3.0787973	3.9527147	4.134262	2.2979898	7.40719	3.3009105	3.3088346	4.4183846	1.7653329	4.8030963	2.9093983	5.648201	1.9932663	7.1656146	1.2989144	3.0932734	7.4228225	3.4018478	3.2961764	4.7692866	3.1779728	3.043614	4.7049923	11.071706	4.0196176	1.8520613	5.265594	4.18389	2.6153316	2.0540514	3.945796	3.0025537	2.1083035	5.1921453	3.808061	4.8304906	5.2346663	3.081266	6.152706	2.9628897	4.8666844	3.4392874	1.2886858	6.683779	4.6222014	3.3947012	1.5326532	3.6583934	3.2438369	3.5126274	4.250994	2.4900131	5.00611	3.9821396	5.3240747	4.1819315	3.339165	5.6941977	5.8214006	5.0354652	6.018965	6.1124454	5.1403284	8.446418	4.3458447	3.6219661	3.480814	2.6915905	4.699151	4.4244723	2.7399886	5.794772	6.7574935	3.6544933	7.103414	6.2571106	3.6223412	2.264634	1.237353
4.499891	3.6212687	5.737286	4.844499	2.4366312	1.8792803	5.0281625	7.0092816	4.7266173	2.6804667	5.8080783	4.383937	2.455521	2.0985868	4.0171924	5.245032	2.915586	1.6367419	4.0060415	3.631952	4.8441925	2.5975761	5.404968	5.7644362	3.193875	6.0969696	2.3080442	2.721866	3.7190864	2.7558036	3.8694956	2.5577466	4.4592223	1.541559	4.2134314	1.4881737	3.2203214	3.9026163	4.289384	2.2803853	2.9752367	1.6903371	3.1342092	3.957938	8.217296	4.1841364	2.2423768	5.3168807	4.587479	2.4870703	2.5157928	4.2077	2.3793302	2.6508117	3.0729437	2.0152507	3.103854	5.141343	3.420748	4.8273063	3.1425338	3.3208714	2.3081706	1.3815582	7.070324	4.230873	1.4860241	2.5576386	1.893167	2.3727407	3.5979626	3.0590827	1.8808033	4.289449	2.703322	2.6628187	2.5771158	2.9460607	1.5814035	5.6872106	5.1912546	3.4722455	2.3328958	3.6534235	7.902065	5.4486823	4.720179	2.1634278	1.3952684	3.2519732	1.7038809	3.3383427	4.719509	4.721977	4.582805	3.575179	2.5110106	3.1000383	7.191689	4.768341
4.2555017	4.5383387	5.5544	5.5202856	4.183857	4.2987456	3.1996841	5.343313	6.758288	2.9699743	4.0165253	6.01289	4.3594456	2.5067809	5.132212	5.000613	4.228285	3.9294627	3.2002802	5.715594	4.044845	2.247443	3.5445213	4.0582576	3.3049366	4.9091563	2.649443	5.7702227	4.8368855	6.266489	3.5036607	3.0123742	4.8911996	2.055849	3.8185427	1.715174	4.1166205	5.664253	2.6306071	2.8720582	2.5098917	3.7151883	3.9976737	4.5967226	7.5469985	6.118872	3.8481188	7.497035	9.074396	3.1799927	2.945854	3.7446907	2.939658	3.9861917	3.93256	3.1993356	4.2404137	5.374867	3.7003734	3.6234777	4.010866	5.365406	1.6776533	1.690311	7.199322	4.459605	4.5797443	3.221532	3.550899	2.255207	3.8287597	2.5277348	1.8814585	7.5899024	3.2712035	2.1056433	4.2036386	2.4983075	2.3321524	6.6683264	5.5051265	5.025709	2.2611191	4.229195	6.1252675	5.3542895	7.863074	4.068164	1.705581	2.83358	1.7503148	6.457011	5.275627	7.2442627	6.0525174	4.545145	3.4673748	7.261346	2.5089834	1.1882925
5.6319075	6.37043	7.2987833	6.846479	4.9276485	3.2324295	6.028146	10.516751	8.390386	5.08042	7.907863	7.7701545	6.236542	6.195385	4.736174	6.8342466	6.254474	5.3611617	6.325928	6.647276	5.867293	7.275155	6.339133	4.413791	6.4783344	5.9776564	6.5583835	7.313212	8.966055	4.0886893	7.5239644	4.5389814	9.09335	4.9885697	4.129767	1.8884292	6.489825	7.5307646	6.429604	7.7077003	7.181996	6.280167	5.231529	6.499161	9.598031	5.926648	4.5888324	7.4769244	6.8662386	7.0339103	4.6930084	7.330279	7.2096834	5.238417	5.7212467	6.8812895	8.012072	9.109378	7.0567293	7.6171083	6.079042	6.470272	7.1026163	2.033489	10.359509	9.46235	6.947996	3.0171657	5.750457	5.4998007	7.05531	7.5299244	2.3243635	7.3569345	6.422625	7.9569964	7.6249022	3.365919	2.1715121	6.778617	6.678076	6.7079706	7.3292108	6.416276	5.747355	7.4108567	3.2903774	7.0184054	7.1945643	8.146313	7.56666	4.2171946	9.649604	9.704701	2.384709	7.9794836	10.203348	4.745331	2.259894	1.4794674
2.001263	1.6797493	4.4874544	3.934942	1.4934027	1.0767438	2.4150493	4.503981	3.1432815	1.0488576	3.015436	3.0776198	1.321732	1.3434778	4.119869	2.321486	3.8473542	4.5299945	2.0155907	2.7319925	2.2144027	1.2596886	1.9122632	1.3791237	2.6566758	1.690032	2.4861999	1.7478329	2.0405686	4.5634723	2.254362	2.5803967	3.3469567	1.011313	7.162066	1.6452627	3.1767719	2.5498314	1.6663469	1.6433561	0.9561612	1.8180685	1.4009452	1.779413	6.0034614	2.935478	3.5372195	2.713704	6.2862096	2.2483444	1.4562601	1.360569	2.3356786	1.7784367	2.1838756	1.6133779	2.41232	3.5973783	2.7128017	1.6095209	1.6616418	1.9603782	1.5758839	1.4094486	4.3132267	1.5846813	1.3073273	1.7268221	1.9784908	0.90190166	2.0002544	1.2432375	1.2074094	4.855817	1.3934968	3.2225902	2.7806156	1.1478864	1.7757103	2.9089513	3.110317	2.1042213	0.9861448	1.7378869	2.3294587	1.7117484	9.262375	1.6341207	1.1627539	1.2795393	1.1026223	1.5266373	2.6308608	4.876407	3.3203037	2.7508318	2.4194293	5.200191	3.9828746	0.901303
3.1696174	2.6171699	4.6014237	5.248063	3.055506	3.080049	3.6404164	6.6144767	5.3559155	2.317351	3.3329372	5.352265	3.037242	1.2224951	5.15353	3.9376867	3.4338963	3.5667882	3.5998423	5.002773	3.631955	1.8802288	2.9031296	3.9135482	3.5975957	1.6614566	2.4790032	4.8260875	3.457806	7.417989	2.5025978	2.7799242	4.4874268	1.8218474	6.1497254	4.7546115	4.1850815	3.8344877	1.7400854	3.0268424	1.7669475	1.9339442	3.3895698	4.4901342	7.803822	5.136287	2.863669	6.43102	6.153367	3.0158794	2.4113615	2.7120376	3.4245884	3.3883982	3.2285564	1.9561408	3.3096187	4.996909	2.0223696	3.3188853	4.444751	3.623779	1.5129325	3.939883	6.898743	4.405793	3.038164	3.6352239	2.4033253	1.1183604	4.639478	2.8376925	2.6312752	5.6301703	1.6340408	2.5531363	2.685872	2.0816233	1.309844	5.951652	4.335383	3.1046875	1.5260422	3.3157363	2.0897486	4.7000227	7.464671	2.1891518	1.7238795	2.3403673	1.3826411	3.0366592	5.0752525	6.097602	5.3846726	3.7030218	2.8390915	6.137784	2.2044158	2.4901974
6.047253	5.699342	7.003851	8.339483	5.348283	3.9973884	6.367854	9.511527	7.2050323	5.1553054	5.9458766	7.2290325	5.01006	3.703516	7.4949017	6.6259336	5.744243	6.3073897	6.786181	5.769309	5.2113304	4.981925	6.9014945	4.8267074	7.7187157	5.211495	4.8726406	6.3032675	7.1251645	7.080356	6.8907933	3.285387	7.4903965	4.257949	4.069499	5.596298	7.7745633	7.07989	5.0486784	6.614982	3.8210902	3.8496895	4.963054	6.370461	9.840975	6.8921957	4.99433	7.9576097	6.8036914	4.8571897	5.73528	5.577299	5.7806783	4.5588956	3.9516308	4.7031302	6.8411417	7.5303125	5.073818	7.0965395	7.5938406	7.620347	4.688815	5.120363	9.071071	7.327606	4.8859286	5.3624263	4.872181	4.0893455	7.865899	6.3505955	6.3831844	6.8463492	5.339307	6.2327766	5.9995646	3.596469	1.4876041	6.957199	6.5983076	5.053316	4.1994767	6.403435	5.94047	6.8015213	4.8187366	4.2895017	5.76594	6.0669565	4.0649304	4.3565784	7.094643	8.807227	2.0234635	6.499286	5.9423876	3.0674186	5.2002864	6.68815
1.4622393	2.6014428	4.8761954	4.5417743	1.6199824	1.1953573	4.1226892	4.442382	3.1813033	1.4521439	3.2290504	3.2467341	1.2549716	1.140403	2.7974904	3.79897	1.9664512	1.6293817	2.8263972	1.801892	1.2967765	1.4014915	2.4968395	2.354444	1.4704536	1.7087786	1.9278696	1.7791089	2.9003417	2.2167726	2.6144252	1.4062402	3.0821395	1.0073347	5.4701037	1.3457328	2.2770944	4.001335	1.3669397	1.6539462	1.235099	1.4242642	1.3032138	2.017075	7.418482	2.6179821	1.5681661	4.6289454	4.62876	1.4107023	1.3097122	1.6857436	1.4852214	1.4082214	2.2578576	1.2833803	3.5627608	3.9478197	1.3521498	2.11455	1.5613471	2.1557505	1.0550835	1.7017124	4.423262	1.8985655	1.5644139	1.2263052	1.3769013	1.0156037	1.6324732	1.3879904	2.2233825	2.8520982	2.072933	1.4372203	2.0126746	1.4918557	1.3361337	4.9713655	3.1867363	2.16444	1.1333685	1.8795681	1.8045688	2.7045257	3.3703225	1.4024357	0.993477	1.5633053	1.1098769	1.7084464	2.5388904	3.952733	3.512673	2.9197628	1.9878082	4.991613	1.0364279	0.97049254
5.1649957	5.635977	7.3556876	7.0023327	5.056134	4.753039	4.684385	9.878557	7.7064347	6.490464	9.083365	6.388632	4.288748	6.1290545	5.3176107	4.419431	5.118572	3.875041	7.1988764	5.9370656	6.2962503	5.811061	5.300611	5.8809047	4.8629208	3.162051	4.6234503	5.8347163	5.0534444	2.979697	5.3737035	5.6628337	6.76772	4.75133	4.296119	4.367627	6.119973	7.0627937	6.4893856	5.964755	5.128111	7.495556	5.240788	6.881042	12.665133	6.0861416	4.496973	6.9411006	5.6984916	5.4889913	3.7470393	7.129505	7.6637006	4.6768656	6.309387	6.651427	4.795478	8.527945	7.3424654	6.497955	6.976424	5.7380943	5.7216196	5.529766	9.179106	6.7970295	7.158225	4.9848638	6.657518	4.842651	6.723848	8.015386	6.4497833	8.304759	7.1537	7.909917	7.199218	5.6942563	6.480236	8.514803	8.594657	8.732861	5.2734528	7.581126	3.968223	6.7873964	7.6743417	7.2864466	7.351853	7.3141093	7.110998	6.840438	8.729957	9.291194	1.2374719	10.573087	11.5333185	9.412488	1.1772305	1.1900177
