ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
2.5177445	1.9317636	3.8127902	4.522795	5.7422338	3.5681198	3.0065515	1.9888337	2.9902527	8.548556	1.7793849	10.037744	1.7129961	1.3192239	2.1744967	1.4467819	1.5441754	3.6562784	4.8490386	1.3625145	3.6673818	3.4484138	4.494673	3.300507	6.32919
5.7348437	3.1317234	7.4285407	2.3347726	4.4938974	3.1413388	7.3040166	4.5596285	4.080607	4.7194805	4.6766696	2.9072428	4.14694	4.7993665	2.7425747	3.1831558	1.4082164	5.5884995	7.3408494	8.346506	5.292237	6.8366404	1.472026	3.3549674	1.0564398
2.9930754	3.554176	4.1437273	0.8921127	3.9918745	3.5637877	2.2835567	1.1282227	3.3603783	3.5787542	3.2376978	2.6451237	1.3895247	1.4778514	2.6955063	2.8181436	1.4831456	2.859259	4.251103	1.0556616	4.220294	2.240743	8.148689	1.5539025	6.831094
5.0747337	4.1127076	4.340338	5.0024776	7.7796946	7.6587358	4.5792284	7.238409	5.698955	7.9778543	7.120227	5.9827414	3.4483054	2.7850363	5.589141	3.5826628	5.3277593	5.1169386	7.3863225	3.1560194	4.892837	4.9497952	5.9164557	4.989945	9.640332
5.498671	3.783743	5.700922	9.402867	9.473722	7.582399	8.68702	8.593943	5.905547	7.8682694	3.9588768	6.448944	5.4085236	2.8313084	3.5572088	4.2406335	6.2338963	6.6032114	6.0028486	7.242853	5.6922703	6.7844915	9.778011	1.0907774	1.2789884
5.2300024	6.044955	5.7377534	1.7708747	5.7148376	6.2688475	5.4416466	4.0235257	5.0341063	7.1498747	5.9243574	7.576765	4.474343	3.9738667	4.6842957	4.2236967	2.7751586	6.6941495	8.329295	1.7881219	7.25845	6.3593574	6.6591086	1.2056047	1.8311982
1.16571	0.8971105	8.894078	1.3651359	4.4715977	1.3501626	3.7103019	0.90384704	0.92067254	11.310205	0.89594144	9.333775	1.0005866	0.91283983	0.8912633	0.99491227	0.8859151	1.3247825	1.3341519	1.7658439	1.1484745	3.7407148	7.3715997	11.200469	9.533786
6.6704655	6.6937075	3.9034746	3.3853407	7.9719405	7.7044873	6.1075606	5.368731	6.6577134	5.0041084	7.614552	4.465206	4.6071467	4.755702	6.1796937	4.8829656	6.202678	6.493923	9.14998	1.1164539	7.8279333	7.092255	5.97962	3.6837738	10.160301
2.1672404	1.3761843	2.2963886	1.951031	3.2726014	2.6584146	2.3707092	1.7663026	1.9390104	5.527724	1.2565789	7.3350782	1.1164086	1.041343	1.4112909	1.3728058	1.0132079	2.243263	2.873655	2.0254436	3.388529	2.2806957	5.826373	6.0456147	3.6915789
7.675888	7.4924865	4.9323235	4.3295574	8.989574	8.414013	7.600742	4.6941767	7.431798	5.31322	7.7911196	1.671685	6.9085736	6.555202	7.3385267	7.522179	6.6484814	9.249427	9.480087	1.6834459	8.58299	9.598454	3.5241692	2.4952753	2.723675
4.992907	4.981859	6.1996913	3.5803618	6.4561048	5.18288	6.485345	2.7624555	4.715576	7.8708096	4.5799713	5.8105617	4.677612	6.09857	3.9109304	6.117039	2.9384146	5.334055	5.123127	1.3419521	5.991867	6.376745	8.454765	6.0846686	6.339559
7.999275	6.4507475	3.7718456	1.3823295	4.222416	5.9071884	7.181667	5.624077	6.2670555	5.1401606	7.209744	8.526595	6.874563	7.7830853	8.716391	7.4177346	2.1380694	9.611525	10.124653	1.8818543	9.872388	10.090357	5.932556	1.4495499	0.9548649
