ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
1.7850751	1.7474972	3.9366693	2.9159	4.2581954	3.2970173	2.2654839	1.4794703	2.095252	8.723093	1.8147417	4.915806	1.4591088	1.0238882	1.4795417	1.4352582	1.3277657	2.6647935	3.162614	1.2938371	1.8405566	1.84164	9.415668	3.9755874	6.8979278
4.805353	3.1407518	4.2216077	5.3746705	7.098852	6.2109184	5.2758904	4.4242992	4.1575127	7.4431334	4.285789	4.911897	2.939211	2.498159	3.658614	3.7055323	5.318709	5.445432	4.994832	10.33926	3.4517448	5.3275375	8.488683	5.9879026	5.2937074
8.512483	8.838982	1.1421728	8.852728	10.855226	10.030622	10.226803	8.6510105	9.171384	8.690078	7.533882	0.94467247	9.636063	9.791004	10.362223	9.769201	8.445689	10.471685	11.372022	0.87335086	10.999601	11.375375	4.070863	0.91583705	0.88019973
1.9981141	1.7724001	3.4216743	0.98459834	3.2835581	2.1965644	2.3103626	1.3211651	1.3923488	7.0507436	2.0329814	2.1069663	1.3117814	1.1816175	1.4352522	1.5854177	1.2777975	2.2254686	3.0414515	2.7387557	1.6988336	2.4716501	7.017467	7.2848544	2.460838
5.0098825	3.7198482	4.1736627	1.5135189	6.6239552	5.2020473	4.195378	3.5224876	4.725283	6.39234	5.239291	5.4996953	2.7469256	2.0001209	3.824638	2.6283014	3.411388	5.040455	6.1660447	4.5782948	4.126113	4.4856815	5.807353	4.958511	8.048273
5.1092405	3.316122	3.8090217	1.1981444	7.9501095	7.186919	4.014208	3.5170429	5.949308	2.8060827	7.370336	3.442542	2.222737	2.8881795	4.618727	2.0411658	6.647377	5.6974297	9.15167	5.84613	3.571268	4.600641	3.1558082	8.221894	11.058162
4.60117	4.7300997	2.4182267	1.3867707	8.655941	6.823215	2.9891412	3.609924	6.569877	4.2918205	6.0469913	5.3044415	2.4225388	3.323148	4.46534	2.221098	4.45225	4.857605	8.678949	1.2190528	4.870942	4.353852	3.2402782	5.8728495	11.600648
1.5278959	1.3454802	11.4373455	0.89335626	2.7066462	1.5304582	3.0939183	1.0043782	1.2070721	11.205774	2.2385051	1.313586	1.1677986	0.9914445	2.602264	1.2354649	0.963896	2.1594732	2.4909363	1.056879	1.8594823	2.4331748	11.572774	2.1361067	11.965538
3.1152556	3.7607062	3.3580039	1.1549884	7.6514335	5.9903736	2.892867	2.7529376	4.5285435	6.0806584	4.651774	10.608066	2.4513178	1.4364903	3.0365515	1.0955169	3.0449443	3.622989	7.0086894	1.024853	4.419786	3.604878	7.4358406	2.3375332	7.4446383
3.4599292	3.7028747	3.8057325	1.9968319	6.7696176	5.6323433	3.49936	3.0304272	6.3946304	4.7537413	5.2731767	1.5812285	2.2259867	2.7588382	4.598577	3.445903	6.683565	5.0275836	7.0116434	2.3722396	3.5970774	4.0596485	2.1984048	9.787751	9.710603
4.3074117	5.229591	4.162106	1.689708	6.7274604	6.2293797	3.787126	2.7936652	5.226339	2.703988	5.4382763	5.706477	3.8430731	3.1184187	3.3739102	2.2154844	5.551672	5.0783505	6.484854	5.7289667	4.9817233	5.0961633	7.8443885	2.5371544	1.5840805
