ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
5.969665	7.051247	7.6576543	8.6965275	7.0823164	4.8023105	6.1224127	8.959842	7.9343963	6.0715065	7.57776	7.8590918	5.7610555	5.503173	7.777414	6.49314	6.6159286	5.822692	6.0779576	6.056674	5.4867506	6.371704	8.299796	5.175284	5.812748	2.6477563	6.5145907	5.2452803	6.606536	6.5425262	7.493105	4.9446507	7.2775126	5.334196	2.9860823	7.544332	6.6243463	6.027498	6.2105203	7.31797	5.075576	5.519047	5.602203	5.894605	12.402286	7.0827217	7.1783094	7.538061	7.178932	5.216882	5.711596	5.0618587	6.91276	6.902195	5.232224	5.0858607	8.152812	8.382095	7.654431	5.8072157	6.7398157	6.203917	5.1730785	6.001027	9.649444	6.143242	6.1504245	5.289531	5.0934277	4.154833	7.183717	7.663761	7.4995503	7.962784	4.8424654	7.4425716	7.3612514	6.5656796	2.0761995	7.745337	7.2771826	6.633456	4.011983	7.38434	3.4121275	7.846352	5.5593896	6.5993676	6.1083913	5.446887	4.2239013	5.5010877	7.2226534	9.531251	2.2046566	7.7795897	8.553802	7.727646	1.5094693	5.9830494
6.4635	7.9174504	9.08998	7.843604	6.568343	4.047314	7.8099475	10.417432	8.093243	6.422929	9.075945	7.7263274	6.6346407	8.245075	5.7060447	6.893949	7.5283813	6.012596	6.550217	6.8014736	7.180466	7.5767035	7.757439	6.1428657	6.45795	4.872974	8.756822	5.9023337	8.500497	5.9223723	7.8034277	5.4272256	7.981171	7.192146	3.095049	4.1821337	7.464337	8.168578	7.997135	7.2028203	6.3310766	7.5468564	5.842939	6.9402575	10.647577	7.152119	6.132814	8.369306	8.081164	8.8689165	6.000858	6.4900327	8.098876	8.6858	6.99728	6.924064	8.769706	9.651145	8.286654	7.179855	6.999447	6.7017646	7.7833405	3.968117	11.348992	7.521	7.6238914	5.1123643	7.192361	6.3897953	8.130383	8.474503	3.1628103	9.001284	7.945258	8.489319	8.507054	5.211783	3.1644254	7.708289	7.2466297	8.427973	6.6819496	7.827238	5.4428844	7.9379106	5.4913764	8.429372	8.177027	7.720583	7.7365575	5.2651734	9.613862	10.287052	1.780705	8.905668	10.355025	6.6445866	1.9665346	2.740229
3.8193252	3.715667	5.613128	4.177611	4.687363	1.4605467	2.2698848	7.071413	5.5753903	1.9212403	4.202664	4.73614	2.6200006	1.646658	3.6981664	3.4777863	4.141719	3.262461	2.2474654	4.676397	1.9102976	2.819945	3.6993136	2.0018933	3.0183856	3.8820972	4.0358887	2.25839	3.781954	5.7888694	3.628288	2.8591352	4.1795177	1.6373093	6.560231	3.2138033	3.8246362	3.1969354	2.3717568	3.4664385	1.755949	2.8062358	2.7119567	3.7005413	9.446406	3.126103	3.2106264	5.014825	6.179475	3.0570076	3.4634516	4.619291	4.179804	2.4119394	2.9047143	2.622169	4.0074883	5.889246	4.6512637	2.0576658	2.3874705	1.8135481	3.25794	2.5813763	6.3402033	4.4670715	2.0908391	1.7143552	1.8639718	1.2504884	3.4047627	3.6270967	1.7662202	5.692506	2.3413968	4.4818826	2.8732977	3.0973372	1.0378273	3.9097455	3.8533137	3.6925597	2.0011895	2.2122993	6.38498	3.1598575	7.7301917	1.8852067	2.1084676	2.4349015	1.2693852	1.5616131	3.9332802	5.0565753	5.6625047	4.5460634	3.662	6.023672	5.9363656	5.0033135
2.7433577	1.956665	3.3919995	4.6692057	3.9991903	1.631474	1.5921959	4.4868174	3.8208804	1.3316643	3.8483076	4.1196337	3.1375206	1.4054822	4.709149	2.012291	1.8057666	2.292499	1.2669566	3.9084172	2.3256967	1.4150782	1.9858537	4.9290195	1.6385746	1.1526306	1.8094885	3.5137122	2.4787192	1.8998201	2.2889779	3.4164264	2.6165552	1.3259493	5.4215794	4.071033	3.6247983	2.3555512	1.2126515	1.9840193	1.685445	1.7706382	2.863644	1.8376886	8.141037	4.4945498	1.476611	3.3509603	5.7062826	1.1442853	2.232453	3.1123683	2.8915007	1.3084298	2.753811	1.8560712	2.7100432	4.045906	2.7796297	1.5675974	1.4429791	2.026671	1.262013	2.239712	5.8161592	2.9035974	1.6988206	1.4237946	1.3546584	0.93694186	2.4702003	2.0717683	2.5646029	3.078652	1.3420963	3.274023	1.6315814	1.5915908	0.97420806	5.4983673	3.1984694	2.1317308	1.5756596	1.6408677	1.4520144	2.520379	4.094217	1.4815197	1.3808475	1.2899833	0.9316762	1.8396287	3.469451	3.651844	6.31805	2.7312574	2.7283795	10.954895	0.9598611	1.0226285
3.3251162	4.423425	5.534249	4.2751374	2.966454	1.2786479	3.809732	7.4893694	4.395469	2.3506315	3.4402747	4.277965	2.5646968	1.9725327	3.3008435	5.0806794	3.3820415	2.894001	4.5330977	3.6263294	2.5975602	4.523779	2.5475545	2.1920881	2.9821973	5.649394	4.2531013	2.9870057	6.9183545	2.6291397	4.868512	1.4472444	5.4954953	3.4334626	6.657063	2.9519458	2.9367611	5.5351753	2.219546	3.451569	4.336867	2.2886884	1.7316031	3.0236585	9.631793	2.8612783	2.5757732	4.7173367	3.9487069	5.4068103	4.0063	3.2020159	3.2141988	1.7612972	6.110904	3.9812803	4.1666713	5.6164994	4.464329	3.476547	2.1794958	2.666959	3.3900414	3.09533	6.4634886	3.669313	3.3087928	1.3432941	2.9914656	2.5188923	3.9450657	3.8186657	2.8749192	4.1303306	4.5542517	4.094476	3.7688546	4.8108177	1.3080329	3.307602	3.9291968	3.130612	2.457607	2.5784068	6.904211	3.593327	2.829474	1.7271838	2.5957801	4.7280655	4.7953997	1.5000067	5.30633	4.581637	3.4239686	4.562255	3.6592655	4.403378	5.4427743	10.720496
5.8925743	4.7856345	5.7783923	5.7865443	6.229158	4.2094054	2.7251506	6.2348504	7.510227	3.61126	5.856919	7.859909	5.6461105	4.6417036	5.1360383	3.8593025	7.8221965	5.231294	3.0601115	6.689643	4.8331876	4.4675274	8.083028	3.4457314	4.367176	7.6871595	5.0032077	4.3714614	4.120172	7.8847632	4.3689003	6.6825213	4.5351434	4.1782765	4.307358	3.536332	5.082544	5.4989977	4.5049458	7.1508517	3.2373073	3.1145823	3.0904558	4.2741733	13.4874325	7.4272594	7.3331594	6.677226	5.7858605	3.3570983	5.255085	3.8090813	4.437594	5.1596627	4.959748	4.6056066	4.484141	7.069955	4.3662295	4.2031627	4.225291	3.4281013	5.2289023	3.0556471	8.033193	4.748502	4.3854604	6.9021487	3.51777	3.1845272	4.170232	6.95124	5.0650077	8.232894	1.8915379	4.846202	3.77466	8.4609375	2.6471958	6.806901	6.0402575	6.3356323	3.7785864	5.142261	8.945511	6.0371566	4.6580896	6.774554	4.1865034	4.020567	2.3832877	3.8934371	5.9017444	7.72759	3.3154538	4.677914	5.801123	2.8695068	7.3648834	7.8546543
2.2616425	2.209461	5.2108464	4.1877913	2.1282437	1.047228	1.5442793	5.3960094	5.5150104	1.0532347	3.0255878	4.3933706	3.382656	1.3258872	2.7589726	2.094123	3.1065986	6.1298866	2.059465	3.7853057	1.370725	1.5496309	2.2989905	1.4212396	2.21577	5.0596523	5.971186	1.4494576	3.6619358	3.547811	2.8113136	1.6318884	2.9716508	1.7288847	5.7914515	5.21443	4.626689	3.3127577	1.7258427	3.4245007	1.7021074	2.5914266	1.5500243	1.7105892	10.1298895	3.6747417	2.3082182	2.940481	4.587896	2.5821707	5.0762286	2.2805002	2.3723981	1.5612521	3.0806274	3.5567236	3.8132908	4.0389285	3.1667438	1.7513614	1.1968184	1.1129313	1.9067338	2.8333094	5.460285	3.4105783	1.8127584	1.1288669	1.6391199	1.0286573	1.5162134	2.633662	2.0570111	4.8156476	1.4315647	3.3861034	3.9590144	2.7724252	1.0332642	3.2471275	2.8921509	2.9823189	1.3230677	1.4851415	6.400457	1.5614257	4.4389615	1.282765	2.4200108	1.1712977	1.1546521	1.2330604	2.9308357	3.2915173	2.8333502	3.2958884	2.737335	6.585285	8.891724	3.4241102
3.3666975	6.9767866	5.757378	6.226136	4.530733	4.69694	4.365444	7.920642	7.0274076	6.0086107	5.5515485	6.204864	4.236309	2.023614	5.353997	3.7851584	6.385573	4.021942	5.5345464	4.409559	3.105477	5.5500665	4.8111978	3.3932977	6.413745	6.143799	3.57148	4.25174	5.868836	6.385152	4.759974	3.3664746	6.098525	2.8442607	3.0190816	2.6953769	3.5712397	5.748011	3.9624276	5.4128046	3.247916	3.1857235	2.9928603	4.0121884	12.621617	4.626693	4.720963	5.8124456	6.442117	3.620886	3.7157578	3.1135612	4.8766727	3.5201573	5.4447985	4.2072763	5.2099137	8.155324	4.1689262	6.2677417	6.7736998	5.1672506	3.9662921	2.8601627	9.551988	4.8343086	3.7666042	4.5785813	3.642542	3.0031683	5.7372994	4.2221036	3.2174273	6.7725015	3.0129573	3.5805278	4.585712	6.2208276	1.2738799	7.4167943	6.312153	5.3681993	2.0304976	5.2553973	8.260649	6.660047	3.2805486	2.8373272	3.7831013	7.4670906	3.6157115	4.232993	6.1841655	8.030272	1.0335531	6.313074	4.930514	2.733288	2.7160232	14.128446
5.320583	5.5553617	5.085922	5.905817	4.8694954	2.065756	5.311929	8.588165	7.5411277	3.0080311	6.161287	6.5272746	3.5063996	2.82073	5.5626073	4.4486647	6.0635448	5.641764	4.7934294	4.980591	3.199731	3.1241577	7.367515	2.5122993	5.2140565	3.283489	5.3119774	3.9830093	5.2126656	7.200019	6.0993605	4.5170355	5.797085	2.4650006	2.372372	4.828108	5.8220034	5.8332367	4.3710213	5.0581317	2.7608013	3.2669582	3.315201	4.749595	11.147399	5.363159	4.8187237	6.520184	6.6035323	6.002261	3.3096633	3.349767	4.114963	7.060389	2.602007	2.2605765	6.8807864	5.744091	4.4794407	5.4488435	5.61887	5.047185	2.4956284	3.983002	8.947998	5.092859	4.021296	4.0928617	2.399252	1.451633	7.2184114	5.3896413	6.554353	7.520224	3.5100725	5.45104	5.1169257	7.1025443	0.98525804	4.695867	5.9515295	3.7969835	1.374922	5.313198	4.2807527	6.1644273	7.141526	4.909831	3.305119	2.8419447	2.043078	3.227299	5.2031717	8.102016	1.6655649	5.7554936	5.870856	5.046925	3.7231102	3.7377508
1.1873634	1.2385902	1.9308279	2.3571188	1.0758944	0.8736056	1.8744452	4.756418	1.4570494	1.0014354	2.318717	1.5303118	0.9751435	0.9763844	1.0584273	3.8741474	0.9588149	1.0477499	1.4918511	1.0654263	1.7754521	1.6041837	1.1572369	1.070557	0.95626044	3.7656946	1.4836676	1.0407342	2.4367478	0.9035478	2.610388	0.9113933	1.9189954	2.407022	5.837351	1.9160779	1.080311	2.1628635	1.5621351	1.3930097	1.2377903	0.9873122	0.91037375	1.2997156	7.417649	1.1879396	0.912557	2.1608717	1.1212701	3.5974972	2.108763	2.1478562	0.9887172	0.9295233	2.3017952	1.3658127	2.9274418	2.5613818	1.7687204	1.6419101	0.95937455	1.1162788	1.1767693	2.806241	3.1465375	1.33873	0.9531771	0.8753809	1.1637992	1.0179409	1.6522884	1.7952569	1.0715126	1.4199969	1.1461126	1.805507	1.0633143	3.1919289	0.8884722	1.3794875	1.2742378	1.3883638	1.1963483	1.1300372	3.6917212	0.9865027	3.7226036	1.0715292	1.1489124	1.5398434	1.2114556	0.894161	2.5094814	3.4786646	1.3228362	2.6057868	1.7977993	1.935149	4.2930493	3.0221953
