ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
1.8354256	1.3067365	7.2906375	0.885242	3.8935008	1.9470351	4.8233094	1.2919304	1.5559944	7.1175227	1.8149155	4.980892	1.3046547	1.0347266	1.2777846	1.2971572	0.93508774	2.1825795	2.9409568	1.0639453	1.8253176	3.2277658	11.634413	1.7831047	10.797644
2.3211553	2.197804	3.489026	0.95583236	4.775377	2.608894	3.283049	1.0338945	1.9163313	2.954557	1.405212	5.6349316	1.4893472	1.1117046	1.0204524	1.1295029	1.4178823	2.136683	3.3048642	1.2977098	4.035043	4.3112397	4.3938994	8.054538	2.2101793
6.236828	5.371074	6.5674767	1.3990816	5.649901	2.7861667	6.007079	5.4677076	2.8695326	4.2485285	3.900164	3.4503865	4.13278	4.170929	3.5372038	4.5364633	2.702957	4.677768	4.7819376	10.9884	4.4267716	7.323147	5.5340033	6.0036507	2.3077288
8.52076	6.1844134	2.122968	8.815584	9.560317	9.297644	11.016862	8.915638	9.275803	4.1838703	8.331579	4.7096376	9.410521	6.57863	7.652261	7.4989576	3.9395611	10.086674	10.802881	2.6192849	9.742291	11.383436	8.761619	0.9229752	1.4467037
2.6874843	3.7957273	4.1616325	3.9797633	4.7798486	3.9388666	3.192764	3.4462826	3.3546991	4.0299993	4.7026854	3.0912557	2.721347	2.8862941	5.6597366	2.5202835	5.4651566	5.678955	5.361242	11.168275	5.248089	3.9795337	6.9252844	1.2021638	1.1163327
3.8701727	4.578255	7.127436	1.4058712	7.14164	5.757255	4.968715	2.4393108	4.0664096	5.1434965	4.11232	8.24669	5.0504923	3.2126222	2.609344	2.2483635	4.183815	4.477393	6.5270424	2.0358906	4.4435325	6.389301	9.232813	2.685491	5.446355
4.6754	1.831274	6.5922513	1.626564	5.8518577	5.5971293	3.628255	1.8366215	3.7098281	3.4941905	5.222607	4.5897307	2.484614	2.0295985	2.0064204	1.4573085	2.9809828	4.2028213	7.7001348	4.6382875	2.1197946	4.587257	8.536504	4.9385095	8.811821
3.1218426	3.006246	2.0457187	1.0291429	6.0087447	4.5300703	2.6104748	1.8596876	5.4666495	6.574706	3.4506252	6.7804513	1.5056325	2.1003902	1.8808177	1.7395875	2.7198238	3.3205504	5.165161	3.6663013	3.2919285	3.4772344	2.2833636	2.9650521	5.084479
2.1024597	2.783767	1.5448308	2.967294	3.5827017	3.4447293	2.5323799	1.6102505	2.0004876	11.282426	1.2506566	7.765174	1.8059133	1.5461574	1.0913643	1.30716	1.1308221	3.6143372	4.75922	0.9785407	4.310514	3.310112	1.1800528	5.3214087	1.0087513
4.4125743	7.867458	5.940194	1.6256137	7.458942	7.3978653	4.219553	3.8735328	6.098413	2.6187506	7.7260046	7.4272437	5.06708	5.8045015	8.272564	4.4447904	5.862737	7.5064983	8.5751095	1.6128569	5.620895	6.769578	10.924814	1.1651845	1.8147652
7.605069	6.512077	7.336613	5.3825808	9.095844	6.75656	8.706164	4.8224335	6.919445	5.723308	5.5296717	3.9108465	5.2408414	7.160248	8.426442	4.7976184	6.604593	8.719143	8.861745	1.0554469	8.626545	10.133259	7.004864	1.8719561	7.0022116
3.7163568	3.4789126	3.0920832	6.718747	9.864786	7.15085	4.568486	2.0760658	5.3389244	7.2169085	5.1841087	8.004492	4.3502645	2.441328	1.9971483	1.4561968	7.853421	4.9229007	6.9188733	1.0773803	3.9723961	3.5233357	6.006667	7.416881	3.4365122
4.9915247	4.3387346	4.913551	0.96502084	4.86357	3.517678	4.3949957	2.4577372	3.555704	8.520351	5.473601	3.5324664	2.5363543	5.3839326	3.3364637	2.9493816	2.5532186	3.9119422	7.0426445	1.4876688	4.316122	5.917905	7.146362	6.568905	8.902308
4.5682263	3.2811518	7.5078125	5.437942	5.6354213	5.3515162	7.2618704	5.2704253	4.660186	8.040404	4.670855	4.014089	4.742752	2.9378724	3.8895237	4.0908475	3.5590796	3.6554837	4.9692326	2.2364645	4.5036564	5.462577	8.13279	3.6007779	10.536927
1.5300095	1.7494454	1.8030674	1.1252708	3.438864	2.6619473	2.4497645	1.3508909	2.6586096	6.1209188	1.4625704	10.88988	1.1828365	1.0321882	1.378526	0.9197377	1.5621071	2.479852	3.9539924	0.95526594	3.3200233	1.767314	4.286295	2.5230367	1.139076
6.75064	5.3907666	7.838021	1.0837657	4.982789	5.4825535	4.6404133	4.463343	6.6153607	4.6914506	6.4667735	4.3425016	5.452749	6.6466174	4.7448435	4.814367	2.7157204	7.042722	7.9372916	1.9747541	6.832694	7.823958	5.2637744	9.000718	11.025306
4.74631	2.5363262	1.435941	10.609103	9.170487	6.498842	8.009855	6.541784	5.8270755	9.361419	2.8492482	2.3586433	2.1842144	1.9088047	2.872601	3.3441288	5.9803057	4.000136	4.8477907	1.6646831	6.758072	4.0173755	5.0413394	2.8763905	3.0164819
1.612633	1.9097209	2.2941554	0.8883456	3.7801132	2.0081189	2.1153598	1.3010356	1.2158797	3.367099	1.8667495	4.9703746	1.0050862	0.9113187	1.4696503	0.9066758	0.9693536	2.7015347	3.5111496	4.3895006	1.854985	1.9228144	8.286307	1.1494784	1.2933441
2.7781386	1.6397809	2.8185294	1.0037155	5.184348	3.0400014	2.8617268	1.3434772	3.5344553	5.0115647	1.7342641	4.9700775	1.227357	1.0115012	1.0745823	0.9351884	1.3734441	1.9877582	4.566155	1.9380212	1.825411	2.4926927	1.7472429	11.467803	5.8897076
2.8826108	3.336668	2.8108687	2.2740927	5.5498133	4.5973344	4.0251303	2.8177955	4.9409046	7.0511765	3.7797163	3.9844193	1.7758541	1.505856	3.0392618	1.8696353	3.1211388	3.5986037	4.999575	4.9609694	3.6771693	3.32431	4.90904	2.861912	6.1730776
3.9365997	2.5799727	6.306411	1.0625665	3.4157653	3.0886326	4.777467	1.5719424	2.7132869	6.23346	3.6101663	6.550258	4.822983	3.6562388	2.4899404	3.487929	1.8223557	4.6098456	5.2313595	4.8537583	3.7078462	5.5319567	7.5275927	7.979685	6.3740144
8.561227	6.606594	2.3246539	6.407985	9.313823	8.840966	9.924591	6.598616	6.079397	9.5464	6.193801	4.5253105	8.5949135	8.296657	6.7196074	9.828933	5.1143675	9.397406	8.709139	2.3448586	9.799693	11.190769	9.333375	1.6739044	1.029214
3.99375	5.1578655	3.7128325	2.3276834	6.8755584	5.8850255	4.3220983	3.6250336	5.1882257	4.293437	6.684941	4.6973634	3.575013	2.3536253	4.674895	2.7640016	3.9343703	5.7527	7.237986	2.9033263	6.596974	4.6374807	7.7442346	1.6722693	3.7510455
3.7128394	2.9687316	6.154075	1.3530216	4.6550155	3.3037457	4.7024713	1.6987209	2.8052735	4.3247647	3.2709777	9.123778	3.7872806	2.3895597	1.6125246	1.355017	2.3063421	4.1837993	4.90467	6.147207	2.8412294	4.0796494	6.7326984	7.8297195	1.1270372
4.1772943	2.8004825	7.6902475	2.5332355	4.086385	4.590915	4.997764	3.3092356	2.386672	9.342337	3.2001853	4.1284046	3.145858	2.392994	3.2034795	3.6608193	1.8680485	4.1827087	4.924368	2.01138	2.8105483	4.1233835	6.2757974	8.015476	7.0200562
3.3230183	3.9953501	1.9399221	2.4393497	5.4242	5.5549345	4.476202	5.192254	5.1485114	10.686093	3.0447223	7.3176446	3.0228336	1.9105935	1.9699199	1.6590319	3.026101	4.6970806	5.9545097	2.1716616	6.769893	4.611245	1.27297	4.147884	1.5758924
2.1520877	2.156584	2.4059136	2.00493	7.2029867	3.8174582	3.2087264	1.5782232	2.2989378	4.531271	2.872399	5.198972	0.98668855	1.2458006	1.7550689	0.9919479	4.590607	2.654305	3.3329234	5.479584	1.7145568	2.2798643	8.556614	7.2838674	3.4820695
2.9644716	1.5130421	3.649852	9.551969	5.9225516	4.802927	5.0467024	6.191495	4.160568	8.583618	3.450805	5.5950255	5.238937	1.912507	4.1138797	2.5173926	4.203035	2.7644467	3.6776407	2.718526	3.1027088	3.3256974	3.1479323	10.234055	4.7403307
6.1555095	5.4994564	6.8501167	1.1143599	5.8459253	6.175496	5.3797946	3.682537	5.08617	5.923246	7.0490685	6.10234	6.1155467	7.082871	4.17701	5.9680777	3.3021762	6.9283686	8.656523	2.498284	5.677007	6.49428	4.492943	4.631679	5.456431
2.0104697	3.712824	3.6356683	3.6621172	8.0879545	6.5562224	2.4116395	3.3536901	7.261171	7.3620477	3.1110957	7.99539	1.9785416	1.2654332	2.3236587	1.1582373	3.0561583	3.0478578	6.351984	0.91675687	2.2550974	2.7229748	2.0853186	12.04614	10.770082
2.6628695	2.8211355	1.9003043	1.2767011	3.7224112	2.543471	2.6090062	1.4872653	2.3442478	8.278726	2.054745	6.908748	3.135723	2.347799	2.0951998	2.5648344	1.4630973	3.473801	3.848376	3.840315	3.2134032	5.2145286	2.043396	7.9326334	2.9572086
4.942861	6.362828	5.405555	3.450159	6.452513	4.743703	7.5262055	5.5498147	4.9814806	8.901551	5.0561147	3.369448	4.4982657	6.3595986	5.5762286	6.3874364	4.0257673	6.3434997	5.0522866	4.4033737	6.3137803	7.10914	4.258554	7.6042585	6.8631997
6.1296506	3.8807173	5.011421	2.659494	6.7679524	6.772352	3.6605873	4.35395	6.712803	8.879688	4.5109754	5.874886	2.878655	3.9152794	4.230944	4.433955	2.9286711	5.0540204	6.3992605	1.0059185	6.2401023	6.077334	2.8706517	5.350087	11.044365
5.376082	6.085644	6.0725656	1.2744143	8.35758	8.35171	5.118007	2.4659894	7.6388493	4.948662	8.289482	2.0005271	5.2403655	6.817633	6.4356604	4.0429254	7.3177648	7.3550115	9.540417	1.1300302	6.4251533	8.086239	5.2212524	5.5556235	11.309618
3.4140818	1.6686771	5.1038823	1.3782208	4.7554092	2.9415967	3.9206345	1.3877671	2.1921732	5.873906	3.0390244	2.1650803	1.1367314	1.3514153	1.0745093	1.4109176	1.8283899	3.3312953	4.26161	8.755777	1.5929573	3.7548964	8.768225	5.220621	1.8934352
7.71224	6.051132	1.7209454	2.93661	9.33052	7.8087316	8.89215	4.186515	7.9135203	9.0771475	6.7513757	7.3141537	6.6136527	7.856872	8.601099	6.2943974	5.5729485	8.542195	10.785075	1.5331297	9.896431	10.402766	2.996924	1.2553394	2.0777957
5.802983	5.9968767	6.2656436	4.427029	6.319162	6.14587	6.304881	5.4526386	4.6065817	6.0144224	5.1613083	5.953774	5.0599356	5.900777	6.028247	4.5689554	3.735658	6.362943	6.375361	5.23994	5.420859	8.161527	6.7333274	2.8844223	6.210083
3.413413	4.8294396	3.2120214	2.0192318	7.378675	5.895098	5.172914	6.03186	5.052216	9.826292	4.2508216	2.9427984	3.264303	3.2573752	4.9699073	3.650461	3.8713324	7.3051734	6.4281898	3.5911398	6.0454764	4.682205	2.644049	1.5773213	1.9690285
4.414515	6.803481	3.2763753	1.5546358	7.286452	5.2838264	6.817275	2.4733555	4.412915	5.537061	4.7110214	3.8755388	4.062612	3.8526394	3.078642	3.7510664	4.9552116	4.773499	6.6650686	1.712426	5.807147	7.532348	4.7207055	2.5870242	5.7978473
5.265912	3.0259175	7.6183076	3.0086584	8.059261	4.8074903	7.4076242	3.153222	3.6731071	3.3846507	5.2872176	3.2856362	3.256621	2.419663	3.6668265	3.5033557	4.1150312	5.928876	6.1344223	9.254494	3.2043803	4.6030803	9.017541	6.5342712	7.6783586
