d_loss,gradient_norm
"tf.Tensor(3.4540935, shape=(), dtype=float32)",0.45118117
"tf.Tensor(3.3494728, shape=(), dtype=float32)",0.33806702
"tf.Tensor(3.4300146, shape=(), dtype=float32)",0.26303333
"tf.Tensor(3.5184155, shape=(), dtype=float32)",0.1982938
"tf.Tensor(3.5668871, shape=(), dtype=float32)",0.19259271
"tf.Tensor(3.2879186, shape=(), dtype=float32)",0.24403559
"tf.Tensor(3.2154088, shape=(), dtype=float32)",0.2629751
"tf.Tensor(3.419486, shape=(), dtype=float32)",0.15267321
"tf.Tensor(3.482871, shape=(), dtype=float32)",0.16111898
"tf.Tensor(3.255144, shape=(), dtype=float32)",0.14682552
"tf.Tensor(3.6783297, shape=(), dtype=float32)",0.19346392
"tf.Tensor(3.5954456, shape=(), dtype=float32)",0.22225745
"tf.Tensor(3.4390526, shape=(), dtype=float32)",0.14740995
"tf.Tensor(3.7188687, shape=(), dtype=float32)",0.20712034
"tf.Tensor(3.595439, shape=(), dtype=float32)",0.25727835
"tf.Tensor(3.9980109, shape=(), dtype=float32)",0.2490404
"tf.Tensor(3.9650145, shape=(), dtype=float32)",0.18112892
"tf.Tensor(4.204651, shape=(), dtype=float32)",0.48514417
"tf.Tensor(4.24407, shape=(), dtype=float32)",0.21742001
"tf.Tensor(4.8727455, shape=(), dtype=float32)",0.34758925
"tf.Tensor(4.3495274, shape=(), dtype=float32)",0.38022512
"tf.Tensor(5.1755166, shape=(), dtype=float32)",0.40677527
"tf.Tensor(3.9081073, shape=(), dtype=float32)",0.40115735
"tf.Tensor(4.6644897, shape=(), dtype=float32)",0.46455997
"tf.Tensor(4.2014112, shape=(), dtype=float32)",0.5895682
"tf.Tensor(5.8624306, shape=(), dtype=float32)",0.5765978
"tf.Tensor(4.7152467, shape=(), dtype=float32)",0.51879305
"tf.Tensor(4.3549585, shape=(), dtype=float32)",0.31355914
"tf.Tensor(4.9454927, shape=(), dtype=float32)",0.44851533
"tf.Tensor(6.215598, shape=(), dtype=float32)",0.65136504
"tf.Tensor(5.5134974, shape=(), dtype=float32)",0.73853654
"tf.Tensor(4.2196302, shape=(), dtype=float32)",0.5170278
"tf.Tensor(4.5511103, shape=(), dtype=float32)",0.7769813
"tf.Tensor(5.2753425, shape=(), dtype=float32)",0.6881675
"tf.Tensor(4.532985, shape=(), dtype=float32)",0.92628807
"tf.Tensor(4.234486, shape=(), dtype=float32)",0.90434664
"tf.Tensor(4.992638, shape=(), dtype=float32)",0.82020515
"tf.Tensor(3.8959908, shape=(), dtype=float32)",0.99399626
"tf.Tensor(5.20317, shape=(), dtype=float32)",0.8427048
"tf.Tensor(4.25675, shape=(), dtype=float32)",1.1177874
"tf.Tensor(4.6615553, shape=(), dtype=float32)",0.6857914
"tf.Tensor(4.5910864, shape=(), dtype=float32)",1.0388434
"tf.Tensor(3.909859, shape=(), dtype=float32)",1.0187196
"tf.Tensor(4.7250967, shape=(), dtype=float32)",1.0522598
"tf.Tensor(4.1951737, shape=(), dtype=float32)",1.0320622
"tf.Tensor(3.8380523, shape=(), dtype=float32)",1.197128
"tf.Tensor(4.3943567, shape=(), dtype=float32)",1.2528415
"tf.Tensor(3.8531528, shape=(), dtype=float32)",1.0550532
"tf.Tensor(4.1138964, shape=(), dtype=float32)",1.4983572
"tf.Tensor(4.18207, shape=(), dtype=float32)",1.4153357
"tf.Tensor(4.694132, shape=(), dtype=float32)",1.206915
"tf.Tensor(3.9224315, shape=(), dtype=float32)",1.4473789
"tf.Tensor(4.6165247, shape=(), dtype=float32)",1.3481954
"tf.Tensor(4.0839276, shape=(), dtype=float32)",0.926034
"tf.Tensor(4.3360534, shape=(), dtype=float32)",1.6286409
"tf.Tensor(4.1529174, shape=(), dtype=float32)",1.0697433
"tf.Tensor(4.5046377, shape=(), dtype=float32)",1.4047179
"tf.Tensor(4.4061413, shape=(), dtype=float32)",1.7318059
"tf.Tensor(4.4768343, shape=(), dtype=float32)",1.5063766
"tf.Tensor(4.384756, shape=(), dtype=float32)",1.5787704
"tf.Tensor(4.529785, shape=(), dtype=float32)",1.4520476
"tf.Tensor(4.06807, shape=(), dtype=float32)",1.3826286
"tf.Tensor(4.5732, shape=(), dtype=float32)",1.8748397
"tf.Tensor(5.2901864, shape=(), dtype=float32)",1.646359
"tf.Tensor(4.0341387, shape=(), dtype=float32)",1.6444091
"tf.Tensor(4.5145073, shape=(), dtype=float32)",0.9874966
"tf.Tensor(4.731374, shape=(), dtype=float32)",1.353904
"tf.Tensor(5.663496, shape=(), dtype=float32)",1.6642382
"tf.Tensor(4.3116956, shape=(), dtype=float32)",1.3123472
"tf.Tensor(4.5425496, shape=(), dtype=float32)",1.7405102
"tf.Tensor(4.422377, shape=(), dtype=float32)",1.9289316
"tf.Tensor(4.876709, shape=(), dtype=float32)",1.5872364
"tf.Tensor(3.7540774, shape=(), dtype=float32)",1.6733725
"tf.Tensor(4.6254077, shape=(), dtype=float32)",1.7253724
"tf.Tensor(4.9523206, shape=(), dtype=float32)",1.600682
"tf.Tensor(4.412506, shape=(), dtype=float32)",2.029604
"tf.Tensor(5.1604633, shape=(), dtype=float32)",2.2270353
"tf.Tensor(4.861866, shape=(), dtype=float32)",1.8713901
"tf.Tensor(4.9960084, shape=(), dtype=float32)",2.717879
"tf.Tensor(4.104371, shape=(), dtype=float32)",1.6037191
"tf.Tensor(4.3456035, shape=(), dtype=float32)",2.7380102
"tf.Tensor(5.191454, shape=(), dtype=float32)",2.3281746
"tf.Tensor(4.26845, shape=(), dtype=float32)",1.530284
"tf.Tensor(5.3773475, shape=(), dtype=float32)",1.766378
"tf.Tensor(4.279658, shape=(), dtype=float32)",2.1813877
"tf.Tensor(3.8903584, shape=(), dtype=float32)",2.483294
"tf.Tensor(4.590152, shape=(), dtype=float32)",2.5430136
"tf.Tensor(4.502429, shape=(), dtype=float32)",2.1309154
"tf.Tensor(4.9908304, shape=(), dtype=float32)",3.3616118
"tf.Tensor(4.5037985, shape=(), dtype=float32)",2.5801625
"tf.Tensor(3.880259, shape=(), dtype=float32)",1.6268393
"tf.Tensor(3.886929, shape=(), dtype=float32)",2.216717
"tf.Tensor(5.4309354, shape=(), dtype=float32)",2.2406437
"tf.Tensor(4.9141483, shape=(), dtype=float32)",3.1726449
"tf.Tensor(3.9458823, shape=(), dtype=float32)",3.2006376
"tf.Tensor(4.361715, shape=(), dtype=float32)",3.445095
"tf.Tensor(4.9625225, shape=(), dtype=float32)",2.5180323
"tf.Tensor(4.979029, shape=(), dtype=float32)",3.823864
"tf.Tensor(3.8697004, shape=(), dtype=float32)",2.631547
"tf.Tensor(3.723633, shape=(), dtype=float32)",2.8514402
"tf.Tensor(4.2913675, shape=(), dtype=float32)",2.2244885
"tf.Tensor(4.4041123, shape=(), dtype=float32)",2.7732174
"tf.Tensor(5.0893373, shape=(), dtype=float32)",3.311372
"tf.Tensor(3.8354027, shape=(), dtype=float32)",3.3785748
"tf.Tensor(5.172753, shape=(), dtype=float32)",3.6956656
"tf.Tensor(5.1106043, shape=(), dtype=float32)",2.0724058
"tf.Tensor(5.1881337, shape=(), dtype=float32)",2.7568796
"tf.Tensor(3.9043226, shape=(), dtype=float32)",3.3288326
"tf.Tensor(5.458929, shape=(), dtype=float32)",3.0733485
"tf.Tensor(5.03083, shape=(), dtype=float32)",2.381094
"tf.Tensor(4.3376174, shape=(), dtype=float32)",2.0949516
"tf.Tensor(5.70191, shape=(), dtype=float32)",2.0338898
"tf.Tensor(4.5407143, shape=(), dtype=float32)",2.0863974
"tf.Tensor(5.0965095, shape=(), dtype=float32)",1.9451816
"tf.Tensor(4.9082403, shape=(), dtype=float32)",1.8152609
"tf.Tensor(4.1667695, shape=(), dtype=float32)",1.3211583
"tf.Tensor(4.8759065, shape=(), dtype=float32)",2.252064
"tf.Tensor(5.1631184, shape=(), dtype=float32)",1.691566
"tf.Tensor(4.504813, shape=(), dtype=float32)",2.0731874
"tf.Tensor(5.6005325, shape=(), dtype=float32)",1.3870924
"tf.Tensor(4.6939497, shape=(), dtype=float32)",1.6675408
"tf.Tensor(5.6702504, shape=(), dtype=float32)",1.4941068
"tf.Tensor(4.465168, shape=(), dtype=float32)",2.178475
"tf.Tensor(5.70588, shape=(), dtype=float32)",1.1697682
"tf.Tensor(4.6507444, shape=(), dtype=float32)",1.2580165
"tf.Tensor(4.4440637, shape=(), dtype=float32)",2.226945
"tf.Tensor(5.9124503, shape=(), dtype=float32)",1.8534211
