ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
6.379846	5.949262	4.8381295	3.758881	8.579861	7.315713	3.618376	6.342257	5.655787	5.6780334	5.02548	5.248029	5.084239	4.615739	8.483135	5.219453	3.7639997	4.5123186	6.934246	5.499104	3.5306952	7.0621567	4.4606633	7.9866304	5.966695	7.500098	6.4645686	4.2672358	7.7141995	7.707786	6.5585775	8.945535	7.53673	6.53095	7.356928	5.296362	6.577003	7.504359	7.6710258	5.884596	8.547087	4.143106	7.703668	6.5747705	1.8993111	8.698303	8.616828	9.202723	3.9822786	4.23079
1.8834987	2.5192194	1.9120367	1.5442047	2.9429195	2.4174385	1.9866264	4.637042	2.0673897	1.8014429	1.447556	1.426326	2.43568	1.8199862	4.2715297	2.617094	1.3551733	2.746192	1.9359765	1.074727	1.6647835	2.987152	1.8526605	3.5420501	1.2616007	3.2435787	2.0013084	3.628472	2.5139437	5.0570164	2.8659096	3.2961593	1.3476228	2.5733078	3.6564639	1.5783192	4.704018	3.1061394	3.2061074	1.3502305	2.7755964	1.0965565	3.6539114	4.4335175	1.1757109	4.510563	4.38336	4.8420696	1.1826224	1.047317
2.1738615	2.1286361	1.4563904	2.0361407	4.042316	2.712786	2.5079727	4.626918	1.750185	3.2980409	1.7397523	1.3540505	1.5621966	1.0650637	5.420511	3.7197435	1.370814	5.7201934	1.7103723	1.2759014	1.481947	2.622095	1.2944955	5.5803914	1.1406239	2.266642	2.6180217	2.3609838	2.1042633	6.177796	3.72685	4.018746	1.8108069	4.1747155	3.928634	1.4491317	6.9381046	2.9669347	1.7142582	1.7662902	1.6839533	1.359443	3.7465234	5.1065536	1.0197585	2.560858	5.3607793	1.6061509	7.0086765	1.0365267
6.106643	6.946896	5.8960166	4.135369	6.9332576	7.379255	6.177826	8.93679	7.774701	5.4942193	5.1485004	5.5674257	6.496059	4.0810733	10.358134	6.821414	5.9870186	3.9781973	7.081102	5.375465	7.40721	7.3248315	3.998224	9.867995	5.372526	7.9656057	8.61739	5.6555595	3.2634637	8.824916	8.301236	8.225269	5.2674727	7.8891907	6.607833	7.0543866	5.627428	8.547419	8.022623	4.973663	7.9887176	4.973282	9.279463	9.918172	1.2273946	9.200333	10.229963	6.566667	2.2190459	1.9360561
4.861204	4.664594	6.29028	5.3264728	5.713051	5.813453	5.775255	7.5155687	6.445105	7.6101065	6.0759945	6.693179	3.5105846	2.720727	8.993153	5.354219	6.3105702	5.690045	4.360806	4.511385	6.479136	5.743938	4.925356	8.161098	3.3630533	6.8252773	5.781975	5.843286	3.1987069	7.948102	7.3384843	7.2052155	5.2279487	6.0922694	5.6428328	8.032853	5.506504	4.1744924	3.2940664	5.4536753	2.6207712	7.012855	6.91773	9.312424	4.294438	6.136838	6.392878	5.193657	6.5959225	6.3303294
4.9762444	4.491072	3.5662534	4.2303348	4.422422	3.35392	3.2896006	5.2025595	4.659152	4.84477	4.2280884	4.3213105	2.2876368	1.5351783	6.6414685	4.1740336	3.9794564	3.549258	3.7821202	3.2707016	3.9653828	4.787323	2.0487204	5.634999	2.607435	4.8367796	4.1010613	3.9116433	2.397546	5.6686053	4.9719505	4.5620017	2.7783768	3.493976	6.0557065	4.806871	6.430538	3.0840406	2.9386263	3.3709962	2.5588758	3.1366162	5.30873	6.247986	3.8528867	4.7064557	4.8777094	5.611659	6.6667156	5.794701
1.4796615	3.413229	4.326069	3.3906126	3.7516549	1.6838601	4.7669616	5.4269567	2.0512042	5.35478	3.4281797	3.3879652	2.8421865	4.525746	7.5132265	3.0796585	4.1032043	4.4511733	1.7576478	1.415132	3.119595	4.080175	6.200577	5.6704826	2.5590029	3.3384511	2.1999733	7.1510997	4.486387	5.992381	4.6051397	4.1336827	2.3798995	4.2632093	4.319562	5.1445923	3.6453853	3.3454084	2.716956	3.1312158	2.0881002	3.326709	4.949581	7.811545	1.556633	5.3826513	3.9076352	7.047841	1.253112	2.617899
3.4782689	4.0811768	3.9096606	2.9316401	6.6758695	4.171218	3.523871	6.054562	2.6745422	4.136726	3.4722483	2.8086376	1.7063267	2.8025575	7.06648	3.3671336	3.036992	4.117597	3.8347414	1.6521975	3.0182312	3.988461	4.0776577	5.302716	1.7352579	2.9133222	3.7935495	3.7751737	5.7850194	6.5030212	5.69974	3.9444578	3.5407975	4.5271063	2.665543	5.3066015	3.134014	3.4876828	2.3724985	3.2687554	3.201772	4.9230065	4.0981565	5.3661995	4.3663526	4.035028	3.9567418	7.1516685	4.693518	1.3527914
4.828585	6.0688086	5.0264306	5.806526	5.4737706	4.932378	7.5738645	7.798419	6.813432	7.9577293	5.8045917	6.862122	4.558124	3.5301466	9.301408	6.9019966	7.116834	3.6784153	4.492315	5.052953	6.680268	7.298084	5.8628063	6.1214314	6.8905015	6.0420265	6.664857	7.2944455	3.9360406	6.70072	6.2076163	6.8518977	4.3150544	6.9913626	3.779645	7.760956	3.0532744	6.591927	5.0493393	7.7566175	4.7327895	6.371622	8.120237	8.727939	5.590619	6.7163076	7.7260756	7.598337	1.8044167	2.9267375
4.680675	2.8763905	5.070873	3.9287274	4.786739	5.154171	4.767644	6.3111935	4.956965	4.926593	3.2930453	5.0285425	3.70932	1.927073	7.661924	5.481272	4.4583344	2.4749615	3.4461534	2.3718283	4.6245546	5.008382	3.0819197	7.153253	2.8576577	5.0535774	5.3896527	4.881218	2.77833	5.314909	4.4251885	5.315554	3.6237528	3.5337453	4.314743	5.08417	5.902485	3.9900713	4.7587137	3.078628	3.15691	3.0338259	6.7418528	6.9097676	4.39207	5.8866243	5.8014746	3.9456668	5.8593197	2.1268988
