ENSG00000147162	ENSG00000168918	ENSG00000111144	ENSG00000092820	ENSG00000138378	ENSG00000179094	ENSG00000171608	ENSG00000136167	ENSG00000166598	ENSG00000159128	ENSG00000164733	ENSG00000152795	ENSG00000091592	ENSG00000196562	ENSG00000110848	ENSG00000143621	ENSG00000135596	ENSG00000177455	ENSG00000122122	ENSG00000168071	ENSG00000145819	ENSG00000110077	ENSG00000139626	ENSG00000069399	ENSG00000132182	ENSG00000184319	ENSG00000160593	ENSG00000197081	ENSG00000101347	ENSG00000155657	ENSG00000005844	ENSG00000173846	ENSG00000140575	ENSG00000123384	ENSG00000175606	ENSG00000196126	ENSG00000156738	ENSG00000153310	ENSG00000171298	ENSG00000137841	ENSG00000188906	ENSG00000121064	ENSG00000144802	ENSG00000051108	ENSG00000244734	ENSG00000163660	ENSG00000142102	ENSG00000134516	ENSG00000054654	ENSG00000182578	ENSG00000010327	ENSG00000161638	ENSG00000103811	ENSG00000164308	ENSG00000105835	ENSG00000018280	ENSG00000139641	ENSG00000135046	ENSG00000160883	ENSG00000124126	ENSG00000111371	ENSG00000151651	ENSG00000120708	ENSG00000198502	ENSG00000081237	ENSG00000115232	ENSG00000049860	ENSG00000135048	ENSG00000011422	ENSG00000166825	ENSG00000100242	ENSG00000126759	ENSG00000179344	ENSG00000110719	ENSG00000131238	ENSG00000197249	ENSG00000136250	ENSG00000158578	ENSG00000169429	ENSG00000100906	ENSG00000044574	ENSG00000119535	ENSG00000151726	ENSG00000120129	ENSG00000240356	ENSG00000137642	ENSG00000177359	ENSG00000106066	ENSG00000038427	ENSG00000028137	ENSG00000121316	ENSG00000118503	ENSG00000163131	ENSG00000160255	ENSG00000198336	ENSG00000090382	ENSG00000085265	ENSG00000257207	ENSG00000206503	ENSG00000234745
4.1339617	4.188239	5.0011888	4.9524593	3.4676151	4.573339	1.7735064	6.665783	6.4886184	3.8011794	5.8286314	5.5489464	3.5541325	1.5332348	3.9287822	6.2824755	3.1842456	3.0518355	3.0057077	3.6193647	2.015673	1.8346388	7.1059914	1.3996464	3.7209191	2.9454396	3.2719479	2.7066865	3.915038	3.1613305	4.149731	2.4368865	3.480086	1.9206913	4.0159087	2.1460323	4.1949983	4.1853576	3.0581048	3.5427847	1.5018294	4.2568336	3.1442688	3.0730765	15.2397785	5.246101	4.4519687	6.6552	5.3934155	5.5688305	1.4013463	2.9643106	3.6140146	1.7793745	2.1616254	2.666637	5.2790003	5.169978	3.6012256	4.3790035	1.9768097	3.5836966	3.7435734	1.996119	6.5839286	3.743188	3.779125	2.5574687	1.241493	1.1335583	4.818187	3.0704443	2.6729622	6.648651	2.508515	3.3742962	1.9732623	12.477338	0.8737035	5.8242517	4.8237567	2.9501493	1.0776724	5.078386	3.5864868	5.367423	4.9265146	2.2446008	1.35968	2.1548476	0.94726413	2.4019926	5.38173	6.814364	1.7013862	4.1085196	3.950036	9.266059	0.9934508	7.8161116
2.7960863	5.828952	6.322221	6.8577867	5.1050906	4.9116497	3.0686553	7.7345214	7.653632	4.2735767	5.149058	5.0864315	4.18777	1.9043136	6.8492413	5.831856	4.061968	2.7379901	4.910829	3.72627	4.7964354	2.7582064	4.12055	5.1160774	2.1757228	6.970946	1.8045417	3.2326095	4.3859625	3.3019834	3.3663363	6.835302	4.9824896	2.8948684	3.432286	2.1959717	4.7598643	5.785017	2.3984103	2.49826	2.2040856	4.1085167	6.033022	4.970942	8.916668	6.8720565	3.7602258	4.694558	7.943205	1.5691531	3.6937149	5.7264132	4.381068	3.4419384	4.280538	4.12581	2.8000486	5.6050673	2.6651094	4.5134845	7.604713	3.8898802	3.7441072	1.9064136	7.1576653	3.2118788	3.732958	5.650255	4.5197926	3.5374112	3.7321796	4.0424953	3.5451486	7.3756614	4.603875	4.1371717	4.5804734	2.9473665	6.290421	8.322867	8.04649	5.7555184	4.6547785	6.1188755	8.454105	4.9710116	5.3896213	3.6071436	2.5758524	4.4572635	3.386553	6.7812543	4.916295	6.9047375	2.974984	5.9387617	5.386253	6.669371	4.5651283	4.6405926
2.4979353	3.1545298	6.0860815	3.3728118	1.3257301	1.1206269	4.175183	9.359691	3.5288215	4.418654	8.253663	4.1580095	2.0485334	2.8454685	1.8293211	4.0822153	2.7415898	1.1274495	4.9489694	3.0239394	5.3439894	3.9206195	2.0862696	2.7134523	1.5146946	5.2404037	6.4029856	4.707127	5.1382813	1.173623	5.073323	2.3671095	6.684339	1.7547351	3.3974571	0.9737858	2.601684	6.8899965	2.4909036	3.3675337	6.7480326	4.1620393	2.864194	3.8800128	11.4313545	2.249431	1.3897165	6.457652	4.3194623	5.3768616	1.712812	3.7227185	3.1090314	3.0811508	6.4206414	5.1275616	3.8720102	6.007375	2.979934	5.9742455	2.3119254	5.237538	3.0627694	1.0110438	8.142737	3.4538844	4.3924403	1.2625073	4.199262	3.955282	3.7235472	4.4619427	1.1020476	5.638057	5.886675	4.9556293	4.663251	5.652879	2.9834146	4.8565216	5.974502	6.7999463	5.877062	5.0359178	5.847559	5.227022	6.29735	4.7784905	4.6856627	6.0627227	4.779341	2.3272915	7.230498	7.1718025	3.8122842	9.085406	6.915417	6.321025	0.9284362	1.0930328
4.159679	6.0196886	7.1591783	6.533148	5.946781	3.0642478	5.5644193	8.5819025	6.9595323	4.447995	6.6702776	6.4808345	4.2763176	2.6430314	6.5520287	6.035946	5.417908	5.6697574	6.0363193	6.43809	3.6327267	4.03274	5.0310826	3.0750272	4.84802	3.5253186	4.109417	4.4757576	5.489433	5.861805	5.846056	3.0283582	7.3345714	2.4190185	4.147238	3.7018998	6.2141104	5.33703	3.4655104	5.5697293	3.1352146	4.2287064	3.1453278	4.5899515	10.331796	4.9683523	4.9454384	7.300027	7.2043176	4.919077	3.8981726	4.468612	4.503616	4.587373	3.5811453	2.9254231	6.6323543	6.498182	3.8547866	5.7159634	5.9713116	5.867503	4.1106424	4.45057	8.390206	6.131306	4.773875	3.6520426	2.8502402	2.1743634	6.0745845	4.9628077	5.0668554	6.299563	5.2310634	4.7512393	5.273987	5.5086513	1.0168437	5.769466	5.3958063	3.6148531	2.396979	4.539619	4.274488	7.131757	7.5097547	3.880847	3.6200163	4.7105794	2.414232	3.3059065	6.175424	8.048199	1.6246774	5.557085	5.718694	6.557154	2.5828156	4.870077
7.740586	5.2382483	6.301586	7.3901925	4.7999673	5.8660507	5.1917243	7.7086	7.951731	5.3430076	6.7193747	7.697298	7.1163177	5.7726045	5.220875	3.9764605	8.1281805	4.763721	4.1096334	5.9272375	7.561109	6.7541976	6.046027	6.7865143	5.3732147	4.5744524	6.063348	4.058903	5.4006166	6.029404	5.4819646	5.539627	5.9054947	9.25573	2.1230824	7.8803473	4.9443436	5.652598	5.977406	6.9055204	6.9629846	3.892681	6.143236	5.7963176	13.695099	7.7446017	9.489341	7.420831	6.2733436	4.036081	8.545279	5.317058	5.325032	4.0565023	7.479321	9.594593	5.416292	8.538719	6.0209575	4.519092	4.196106	5.0939703	7.190325	9.130849	9.038471	4.34675	5.6123366	4.8341956	7.0399113	7.9936366	5.8912706	8.39429	7.588207	9.417014	3.840544	7.568305	5.5127892	6.661906	7.7087975	9.806949	7.736449	9.732602	6.6407537	7.973752	5.61304	6.5928526	2.6511037	5.6426105	6.078611	5.353906	6.92798	4.605732	7.658819	8.858782	1.5404844	8.442169	8.213812	6.6439533	2.1057904	11.790218
5.2369547	6.8284197	6.3637094	5.245301	5.093158	3.220825	1.6537039	7.339848	6.4487786	3.1833088	3.6622338	5.2976007	4.355282	1.2256734	3.3729303	5.3638935	4.999488	3.1571603	3.8469908	4.1985974	2.549526	2.473005	5.329725	1.3190131	4.1816826	5.0013723	4.491338	2.2463155	5.5288424	4.9478374	3.8961768	3.094617	5.291231	2.6774673	4.6555305	3.2210546	4.0245867	4.07336	4.573946	4.6443906	2.5030088	2.3801897	1.5851002	3.04529	14.097495	5.245198	4.5351944	5.6153493	6.97354	1.9908013	4.9701943	3.6285343	3.576616	1.3506975	4.38245	3.052879	5.0820384	5.801183	5.207727	2.5689561	5.2186646	2.5095766	4.1321864	2.857871	8.462276	4.626996	4.2929378	2.3754144	2.0535777	1.4411913	1.9812152	3.9411478	3.2054057	6.544263	2.664826	3.7668104	3.0931523	9.410331	0.876325	4.8294234	4.066376	3.7953987	3.131465	2.388358	6.6500072	6.4098315	3.2324295	1.6200908	1.8337424	4.5578485	1.1994913	1.6120276	5.9344683	5.2366414	3.6546688	3.257916	3.228774	9.178741	3.1231453	12.799549
4.573697	2.5034547	4.7052965	3.5418088	3.6225052	2.8317482	1.7480636	6.0113792	5.6509943	2.6290088	3.5480673	4.5735173	4.7801723	2.2934701	2.57704	2.6898544	4.8001904	3.6797116	4.742664	3.4577954	2.1402977	2.75774	2.9192183	1.6595697	3.924175	5.9373283	4.269332	3.5103211	6.545218	5.717495	4.5331764	1.1929581	3.9929557	4.9029117	2.9967155	6.291001	3.506164	3.3304746	2.8833637	4.471036	3.7450092	3.8013568	1.4967813	2.7861366	13.19158	4.8306966	3.7534077	4.8560843	4.985553	5.5219116	3.8617082	2.344919	4.453757	1.5862498	3.3458173	3.6121933	3.6505044	5.2106233	8.611798	3.010022	2.6954367	1.7135057	4.484499	4.834524	7.363511	4.6756873	3.3752968	2.1626196	2.0092134	3.2339025	2.2590704	3.2086163	3.2755523	8.399703	2.0164397	3.7011092	4.197836	8.290979	0.8827751	4.827622	2.591278	4.9330106	1.11285	3.1793208	8.330696	3.1117127	6.40078	2.5959976	4.5221434	4.41862	1.769877	1.6953611	4.261115	6.787572	1.4207393	5.0049243	6.658738	4.00826	4.948467	7.84718
5.6017933	7.028435	9.218144	7.289048	4.830647	3.0314007	7.238854	10.931817	8.348715	6.555871	10.247087	7.3758116	5.418172	6.868862	5.6448326	9.443593	5.5921035	4.54958	8.093048	6.05072	5.656764	7.7099934	5.6019506	5.73946	5.6467013	2.104538	8.288325	6.8641	9.356867	4.211241	7.140618	4.243062	8.668697	6.0443225	6.688556	3.1636894	7.0186653	7.8867893	8.2651	6.6540484	8.146393	8.723227	4.965258	8.038074	10.63776	6.5398054	4.5848937	8.518949	6.445398	10.003259	3.8881476	8.732431	7.6224437	7.0405846	5.9169717	6.4979734	6.553291	10.117701	7.6157346	6.958273	7.0279336	6.2681727	7.9650707	4.622095	10.579257	8.63877	8.3764925	4.9709454	5.8650784	6.8944836	8.206742	10.005825	4.336861	8.640851	9.389746	8.476661	7.892831	5.5840983	4.0286646	7.292429	8.072877	8.549027	5.8305225	8.367556	3.0256517	8.178624	6.515515	10.4877615	10.131174	7.975416	8.30961	6.1469374	11.2653475	9.829999	2.0944881	11.135508	12.455898	9.727446	1.3841205	0.94507074
1.2855451	1.5730579	2.5157516	3.3831036	1.2518175	1.4456502	1.4080082	4.8190966	3.9266064	0.9130946	4.382199	3.9101741	4.340174	1.3527889	2.7859907	1.1035168	6.268414	3.148927	1.0698379	2.6069033	1.6232858	1.4046111	5.605251	1.1826234	3.3022609	4.829167	3.8556585	1.1670957	1.4514451	4.4113736	1.5740075	2.9850283	1.5875554	1.6182122	2.7437203	2.3294458	2.1180992	2.632366	2.4341102	1.7337786	1.0539886	2.1565816	1.1804098	1.6773202	10.840898	2.6300113	2.4700003	1.9269459	2.029106	4.5121303	1.5104066	1.5071373	4.272769	1.1591165	1.654684	2.6049602	3.0479474	3.2583485	3.2764587	2.9116726	0.92405915	1.6050837	1.7407227	3.2726982	5.192944	2.29731	1.0409235	1.0502254	1.181773	1.0097246	6.0284605	1.532928	1.001107	5.823475	0.937292	2.247681	1.0951252	5.7790966	0.9607046	3.4930117	3.3182242	2.3574524	1.072834	3.0828621	6.5751777	1.834302	5.3745384	2.2143168	1.158177	1.4629896	1.0274374	2.5959966	2.2450993	5.465718	3.388187	3.1727068	4.2564416	4.1180425	12.62066	2.4024734
3.337929	2.13301	3.6684244	8.598074	1.7552882	3.48346	1.9263546	5.678445	6.9192357	2.842999	4.505451	5.7724986	2.9991767	1.7936672	3.1511097	3.3447633	4.0813627	4.481924	2.3376782	7.34939	4.6429257	2.1516147	3.1518476	1.9679921	3.2622633	1.3397903	2.9134436	2.3782794	3.863322	4.3520083	3.1232874	3.9066615	3.009401	1.6456587	4.9072137	2.6911492	5.132203	3.4073796	2.889459	4.9703765	1.7220936	2.00755	1.7700111	3.0267496	14.034854	5.045007	4.2733746	6.0841136	4.676014	2.4369256	1.945698	1.7996008	1.860855	2.3505113	3.152743	3.1681316	4.132779	5.3164525	1.6308234	3.3091033	1.7926118	5.14812	2.3693438	2.0225773	6.378388	4.2360435	4.053568	2.2879665	2.8724487	1.0334466	5.3906236	5.1835933	2.2726207	7.1942134	1.4267616	3.3216584	2.135734	7.1776257	0.8789319	6.363065	5.304785	3.2611125	1.1376197	2.6044443	1.4431992	5.9857945	5.046024	4.6808143	1.5313323	1.2301972	0.9987973	2.2019827	5.8467093	7.390505	2.6377547	3.2342653	2.70612	13.187457	1.0096622	2.846471
