	ENSG00000160883	ENSG00000174501	ENSG00000013441	ENSG00000135596	ENSG00000101596	ENSG00000132424	ENSG00000156508	ENSG00000170345	ENSG00000197043	ENSG00000124126	ENSG00000111144	ENSG00000105373	ENSG00000182866	ENSG00000143870	ENSG00000111371	ENSG00000164308	ENSG00000130592	ENSG00000104870	ENSG00000168028	ENSG00000123146	ENSG00000141068	ENSG00000196565	ENSG00000140988	ENSG00000182718	ENSG00000187653	ENSG00000162231	ENSG00000148303	ENSG00000100316	ENSG00000105193	ENSG00000151651	ENSG00000189343	ENSG00000100650	ENSG00000123329	ENSG00000101347	ENSG00000000938	ENSG00000105374	ENSG00000100453	ENSG00000055163	ENSG00000116688	ENSG00000167978	ENSG00000005844	ENSG00000115415	ENSG00000116701	ENSG00000131018	ENSG00000163660	ENSG00000123338	ENSG00000072818	ENSG00000142541	ENSG00000009790	ENSG00000122406	ENSG00000134516	ENSG00000164733	ENSG00000117289	ENSG00000175606	ENSG00000163563	ENSG00000223553	ENSG00000167526	ENSG00000211772	ENSG00000044574	ENSG00000126759	ENSG00000108654	ENSG00000084234	ENSG00000155657	ENSG00000100906	ENSG00000168010	ENSG00000028137	ENSG00000063177	ENSG00000142347	ENSG00000110077	ENSG00000049860	ENSG00000100242	ENSG00000105640	ENSG00000139641	ENSG00000141524	ENSG00000204287	ENSG00000140575	ENSG00000231500	ENSG00000038427	ENSG00000137154	ENSG00000136250	ENSG00000135046	ENSG00000120129	ENSG00000196126	ENSG00000136167	ENSG00000211899	ENSG00000197249	ENSG00000115232	ENSG00000076928	ENSG00000163682	ENSG00000184319	ENSG00000269028	ENSG00000188404	ENSG00000054654	ENSG00000019582	ENSG00000177600	ENSG00000137642	ENSG00000051523	ENSG00000166598	ENSG00000121316	ENSG00000115523	ENSG00000110719	ENSG00000119535	ENSG00000147168	ENSG00000106066	ENSG00000163131	ENSG00000160255	ENSG00000244734	ENSG00000090382	ENSG00000085265	ENSG00000081237	ENSG00000240356	ENSG00000177359	ENSG00000198336	ENSG00000257207	Group
0	5.6534414	5.7338185	5.6140184	4.0737348	5.6367755	5.3577967	11.280475	5.0496364	6.437323	4.435828	6.8216863	7.5370545	5.7441	4.557518	4.885749	3.8179836	7.543007	5.110214	8.405035	5.498785	5.3059645	5.617712	10.211134	6.437654	7.3196015	5.4325066	9.351469	10.64879	8.044668	4.326913	5.152062	7.6001916	5.87615	5.567864	5.5685735	6.6910653	5.992899	5.286358	6.068695	5.520793	4.6598334	5.308734	6.1194115	5.8280125	6.529455	4.8118553	7.0153103	10.550892	5.4803734	8.07007	5.522517	5.556588	6.6474147	4.675999	7.2989936	4.640162	9.952015	5.5955563	4.2977395	5.6554804	8.085466	5.3785048	4.524294	7.0808573	5.891943	4.00896	9.795059	5.664215	5.178093	5.860434	5.412939	9.83272	4.369204	5.478675	7.3710217	6.706955	11.043325	5.5634003	10.663248	4.6707916	7.2533283	6.4228787	6.6343346	7.9591413	6.8306046	5.9772544	5.9546957	6.094331	8.842567	5.60015	7.095493	6.5717077	6.4262614	8.965065	9.370638	7.0451746	7.8422084	5.787923	5.3783903	7.427589	5.566557	6.4490943	5.930236	5.3654413	7.8883824	6.366081	11.129441	8.518648	8.415024	9.7172165	6.2183404	7.4271293	4.924126	6.1840677	0
1	3.6920872	4.4432836	3.824561	3.9922497	4.617156	4.1190543	11.31231	3.8489358	6.0510674	4.0056624	5.563199	7.2184205	5.225706	4.04474	3.655872	3.1978605	6.415335	3.8400123	7.7007637	4.4333925	4.532834	3.9620252	8.416061	6.3636813	4.772213	4.6305175	6.67441	9.211182	5.562565	3.4060483	5.70985	5.7716155	4.8313704	6.0559015	4.6165686	5.2763224	4.4164767	4.263215	6.7492495	4.539647	3.8648367	5.493843	5.6998634	4.1156955	4.1796784	4.7998486	4.073515	8.717038	4.739254	6.8677573	4.6920786	5.042994	7.3360333	6.486621	5.845255	3.8974562	8.578434	4.7915726	5.5629797	4.8049593	8.130068	5.5323105	3.750935	6.4981947	5.947647	3.7841437	5.7491574	5.567281	4.780131	3.8343823	3.5716214	8.685426	3.8468237	3.6100986	5.399729	4.8731604	8.008659	4.4132047	8.457088	4.6210585	5.3890815	4.0825973	4.6545553	7.8470793	5.5875144	4.080739	4.6889277	4.9962573	6.959161	5.1050987	6.4614487	4.830222	4.170168	7.6350327	6.574159	5.009678	5.3932247	5.5526586	3.9941735	6.1858635	4.184269	4.401031	5.179597	3.9494584	5.312958	5.543597	8.857143	5.639435	6.302758	6.2844677	6.4336643	4.614151	4.2577114	6.6370997	0
2	4.2974696	5.677957	4.83806	4.8886127	5.8788795	4.997422	9.640457	3.5675662	5.9478507	5.3224297	4.9031754	6.5337358	6.064664	4.452488	4.7341337	4.3349276	5.854492	4.2703466	6.4595385	5.008952	5.3431883	4.709184	8.138894	5.9706116	6.062313	5.0168757	7.3774314	9.848528	7.269591	4.3053994	6.537405	5.7194614	5.322541	5.1027384	5.738431	5.701424	5.4914675	6.1098557	7.647458	5.0919003	5.2118406	6.472395	5.0138006	5.39645	4.659849	5.7986526	5.5512877	8.17988	6.0242405	8.128777	6.343074	4.167738	6.2481766	7.438269	5.429296	8.205147	8.375015	6.9388304	5.6870775	4.344096	7.5886216	4.1282926	4.279292	6.2351174	4.721364	3.8279796	6.714307	6.13717	3.9833732	3.9547327	5.564294	7.5096517	4.484997	4.352458	6.748491	4.4308596	8.458474	3.5524845	8.51487	4.2651954	5.7575836	4.382922	5.0114594	6.9774714	5.287919	4.4301796	4.80129	6.578785	8.209509	6.5027666	6.739173	5.8376822	5.767457	7.382147	7.5974874	4.23603	5.8316164	6.3448696	3.497636	6.4296966	4.238598	3.7469842	5.6721997	3.8050463	5.164492	5.1659985	8.627628	4.0882616	4.4545274	6.482091	7.8746333	5.8941994	3.94642	7.844269	0
3	3.6301947	3.8625188	3.6547217	3.403636	3.971263	3.3894005	9.690331	3.3740494	3.9374557	3.7950742	4.047089	5.7438726	4.5263796	3.3511417	3.2441103	3.196432	5.2232456	3.7250206	5.6947412	3.8076525	4.497013	3.8945851	7.206438	4.5305414	5.9117384	3.5746343	6.624645	8.496233	5.2015505	3.176005	4.2760158	4.6409216	3.7893128	4.596015	3.987547	3.9145641	4.038266	3.677816	7.6420035	3.4397564	3.656178	4.6413383	4.2418957	3.7150435	3.482528	4.1165953	4.295588	7.7034683	3.8697138	6.016302	3.877615	4.222738	4.699847	4.6338086	4.989113	4.704081	6.725582	3.7799668	3.8156095	3.3285437	5.127082	3.391494	3.1864405	4.945538	3.4079175	3.1404872	6.2133346	5.0262604	3.8220496	3.346848	3.2646246	6.987933	3.2740521	3.208609	5.2677927	3.6477299	7.7065477	3.195584	7.402028	3.9292665	4.893339	4.165505	3.656617	6.6342053	4.0227947	3.4109044	3.4192824	3.942401	6.557259	5.951632	7.1566844	3.9276798	3.4965563	6.1675134	7.3402724	3.4873438	4.6615877	3.8817205	3.128762	5.126428	3.2965183	3.7094018	4.0698576	3.2443774	4.0595136	4.346951	7.776448	5.307248	4.0499096	4.627381	6.3347006	5.5686774	3.5624454	7.391385	0
4	3.869923	4.659664	4.276502	3.4999561	4.8186593	3.7705317	9.436422	3.290365	4.528822	4.619939	5.1837935	5.9577065	4.9509416	3.6841717	3.8225434	3.1831188	6.3565865	4.0269046	6.4257736	4.5687428	4.801998	4.147232	7.1327515	5.1192513	5.488758	4.016111	7.8357024	9.175226	6.7799706	3.274908	5.7091446	5.427989	4.800847	5.6650205	4.497259	4.5909324	4.0137424	5.3110514	6.825654	4.0182595	4.962769	5.5210915	4.5561767	3.8337965	4.338317	5.446185	5.183899	8.324842	5.7775145	7.100876	4.974842	4.5202246	6.131687	6.0159893	4.619581	4.6531153	7.6338277	4.6185055	4.3510313	3.4970946	6.814899	3.4771729	3.821107	5.336307	3.5291834	3.1516438	6.388426	5.6021967	3.5397725	3.3353906	3.7189252	6.5221586	3.873097	3.415644	6.695409	4.0005627	8.261101	3.1435583	7.0667295	3.50456	5.6707354	3.6463459	3.9623759	7.1275463	4.437668	3.3991246	3.8404107	5.096571	7.0779333	6.3417754	6.760373	4.588178	4.738087	7.4815125	7.8492737	3.412511	6.4396915	4.965262	3.13422	4.8902817	3.35993	3.3715496	4.549268	3.4072978	4.1389027	4.468869	9.636549	4.0888295	3.425878	5.491645	7.5265822	6.100892	3.2051275	8.636221	0
5	5.307089	8.032494	8.006103	6.5531845	7.0824313	7.9201736	11.469199	4.3556275	6.946926	5.4406567	7.180785	9.489991	6.2577496	5.8785596	6.1608677	5.8222446	6.429122	5.7939672	9.80982	7.060804	5.3720045	5.5746098	10.153472	8.272608	6.5726223	6.151454	9.670511	11.342304	9.370974	5.9003143	8.083608	7.634969	7.1882305	6.280094	5.744767	7.7786374	6.9424553	6.8966913	5.1929812	7.8984704	4.969338	6.8709407	5.3390107	6.719835	7.0647845	5.596319	7.8937464	10.796461	7.3126206	9.685614	6.277416	5.437199	7.8278465	5.602176	7.085718	5.388981	10.393073	8.634353	6.0083294	5.545472	8.4369335	5.4316435	7.4636636	7.631961	6.567239	5.3471622	10.179748	6.9948277	6.185902	5.676454	6.518748	10.1969595	5.4208317	6.976904	8.214682	6.429969	11.116587	5.2297616	10.750231	5.544833	7.1985598	5.814166	7.390055	6.9195843	7.1904044	7.002943	6.821432	8.343033	10.294228	6.1301365	7.737415	7.0290403	8.399393	9.66937	9.918375	7.003212	8.333898	7.354004	5.1475143	9.541867	8.207123	5.427164	7.6680264	6.1057243	7.282193	7.315816	9.523251	6.205316	6.421298	9.367567	7.333352	7.1493196	6.3524323	5.033035	0
6	4.4996166	5.893306	6.243308	5.3609114	6.0982275	4.956482	9.382979	3.583976	5.194067	5.0227222	5.3219013	6.577189	5.746333	4.990891	5.0709877	5.516608	5.3900013	3.6907618	6.895835	5.900905	5.9205866	3.8450735	7.8374953	5.4319544	4.6111755	5.080221	8.191385	9.2311325	6.270178	4.644258	5.446074	5.8282824	4.7254033	5.056451	5.4203854	5.6617537	5.3195305	5.738459	8.052401	4.9940705	4.6183267	5.4883804	4.1469584	6.0606117	4.871729	4.9975033	6.708399	8.581881	7.2635355	8.379965	5.4267855	4.120158	6.630087	6.1882944	4.8936477	5.821099	8.527096	6.266	5.023436	3.8016925	7.584898	4.408268	5.542218	5.7635174	5.261855	3.8941321	7.299416	5.7665186	4.7767234	3.7498317	4.985059	7.3851604	5.886777	4.9235697	5.7379904	5.0018363	8.278982	3.9381447	7.996416	5.183918	4.617792	4.4995832	5.511314	6.0064917	5.7156363	4.259686	4.8959055	6.3822613	7.8550954	6.4805956	5.424887	5.27149	5.923904	6.5790787	7.4532638	5.3654943	5.992444	6.63132	3.495876	7.226271	5.970364	4.2117977	6.9426985	3.8626075	4.659854	5.046202	6.5652666	4.0549192	4.696937	6.134966	6.2053747	5.00133	6.6650906	5.5144114	0
7	4.6614847	5.813819	5.0068526	4.5686793	5.85342	5.405035	11.557253	4.9922667	7.1177864	4.659925	6.1917276	8.813374	7.0746055	5.2072654	4.2410436	3.5877376	6.669456	5.192288	8.643053	6.264868	5.415576	4.8391385	9.027993	7.738463	6.2781343	5.368682	7.2776737	10.456959	7.010957	4.8626747	6.4573584	6.7565846	6.1528587	6.1992636	6.5193057	6.030917	6.407009	6.070739	6.4729023	5.7699547	4.4905934	6.3288784	5.0964346	5.103671	5.3643336	5.3739805	5.3361597	9.682068	6.313713	8.7118225	5.339201	7.195634	7.0731244	6.767295	7.041121	4.016285	9.671243	6.752406	6.834073	5.400644	8.485914	5.688494	4.6023436	8.725107	6.57209	5.29173	7.512746	5.979617	5.4792795	4.490981	4.9950376	9.052428	4.736265	5.1596937	7.3457894	6.314048	8.988495	6.5998564	8.894583	6.1391945	6.30346	5.4211698	6.5246124	8.827906	6.90165	4.924024	6.2924867	6.6071615	8.259865	6.413562	5.694911	6.789255	5.5632973	9.920708	8.856697	6.8214893	6.1701107	7.571431	6.040765	8.02955	6.198824	5.6460943	6.426463	5.211528	6.270114	7.271915	10.742511	6.6627665	7.637022	8.589141	7.794871	6.576335	5.3878956	5.107379	0
8	7.3341336	6.6243043	6.454517	7.2558904	7.1049986	6.9917226	12.06215	7.1855893	8.492735	6.492143	9.2271	9.996088	7.717923	7.558408	7.0842223	6.6572967	9.298672	6.692365	8.048632	8.320578	5.6232204	4.4161406	10.043819	9.134452	4.710502	7.7177973	8.476019	10.875658	7.2302775	7.497609	7.365281	7.84842	6.9616804	7.780258	9.173355	8.220799	6.8071537	9.089918	6.767011	6.3266797	6.781209	8.034235	7.009001	7.6450596	7.3523664	7.847906	8.376867	10.532167	7.976182	9.250914	8.441667	9.310286	9.509237	6.673057	8.548174	4.946677	10.011543	7.3446965	7.92342	8.347405	11.052598	9.289084	5.9812994	7.210826	8.087912	8.4595585	8.63356	8.872591	8.288675	7.0666933	6.2859144	9.315784	8.213964	7.435101	9.282758	9.370809	10.205908	6.841159	10.032462	8.166746	8.970335	7.630567	8.022911	10.649541	8.142066	8.881758	7.9060626	8.739162	8.934765	5.0330076	4.96733	9.364652	8.044884	10.747704	8.022066	7.954897	9.276366	8.516584	7.8957	9.073814	8.147177	7.1081524	8.90906	8.887984	9.262063	10.083773	9.876651	10.046157	9.957384	10.954966	6.4246817	5.076425	4.781042	6.9484425	0
9	4.187915	4.9590197	4.5890865	3.6997318	4.984492	4.1063786	10.552341	3.9637103	6.1169996	4.084367	5.6037054	6.6855145	4.565625	4.1586604	5.226914	3.3364398	6.596427	4.6455617	7.0600514	5.0937133	5.127598	4.6009483	8.147232	6.364649	5.060228	4.9271045	6.9092436	9.17935	6.6570525	3.8022094	5.7712827	5.985707	5.0348215	5.109432	4.2156496	6.033202	4.0628114	6.062801	6.431001	4.8483725	4.130957	5.2436323	6.455848	4.0463214	4.901897	4.7571087	5.4527526	8.949947	5.1385794	7.275987	5.7163305	5.14059	6.9745092	6.4295444	5.53159	4.35213	8.265654	5.2560534	4.3357816	4.7567368	7.065427	5.175866	4.131146	5.165498	4.495434	3.91494	7.1621876	5.4734664	4.3020716	4.750144	3.6347044	8.604124	4.193482	4.3562155	5.5426855	5.3047647	8.783764	4.169791	8.937698	4.746661	6.189337	4.3179455	4.9434724	7.9582877	5.350481	4.831028	5.185301	5.4644775	6.6621513	5.2877827	6.8488235	5.1062813	4.462349	7.9995575	7.063983	5.189949	6.198735	5.081607	3.9479644	6.9212284	4.711485	4.8847322	5.490781	4.453047	5.4149327	4.907957	10.094635	4.9375057	4.9638653	7.2747545	6.648473	5.6048975	3.4395647	7.3956294	0
