ENSG00000160883	ENSG00000009790	ENSG00000105193	ENSG00000167978	ENSG00000177600	ENSG00000047365	ENSG00000100650	ENSG00000119707	ENSG00000108669	ENSG00000143621	ENSG00000162402	ENSG00000159339	ENSG00000197102	ENSG00000123338	ENSG00000162645	ENSG00000142541	ENSG00000000938	ENSG00000115875	ENSG00000159128	ENSG00000163714	ENSG00000130956	ENSG00000159674	ENSG00000122406	ENSG00000197043	ENSG00000171298	ENSG00000184792	ENSG00000143924	ENSG00000156508	ENSG00000086061	ENSG00000174501	ENSG00000115457	ENSG00000072786	ENSG00000012223	ENSG00000104870	ENSG00000105640	ENSG00000067082	ENSG00000164674	ENSG00000197081	ENSG00000231500	ENSG00000167526	ENSG00000116701	ENSG00000182463	ENSG00000129351	ENSG00000005844	ENSG00000145819	ENSG00000168028	ENSG00000081320	ENSG00000110077	ENSG00000182718	ENSG00000116754	ENSG00000148303	ENSG00000054267	ENSG00000166986	ENSG00000055163	ENSG00000172890	ENSG00000104312	ENSG00000211772	ENSG00000136286	ENSG00000100284	ENSG00000111144	ENSG00000100316	ENSG00000168010	ENSG00000163563	ENSG00000151883	ENSG00000063177	ENSG00000155903	ENSG00000106263	ENSG00000164308	ENSG00000166825	ENSG00000182866	ENSG00000115415	ENSG00000189343	ENSG00000137154	ENSG00000107742	ENSG00000020633	ENSG00000069399	ENSG00000096060	ENSG00000130511	ENSG00000138378	ENSG00000070961	ENSG00000135596	ENSG00000134539	ENSG00000139370	ENSG00000140678	ENSG00000143870	ENSG00000029363	ENSG00000102096	ENSG00000138772	ENSG00000130592	ENSG00000123329	ENSG00000170345	ENSG00000139641	ENSG00000168071	ENSG00000140105	ENSG00000162231	ENSG00000135976	ENSG00000215301	ENSG00000084234	ENSG00000184922	ENSG00000072818	ENSG00000049860	ENSG00000064012	ENSG00000144028	ENSG00000140575	ENSG00000099860	ENSG00000151726	ENSG00000110848	ENSG00000132424	ENSG00000142634	ENSG00000187653	ENSG00000140988	ENSG00000101596	ENSG00000018280	ENSG00000108582	ENSG00000188404	ENSG00000100307	ENSG00000155657	ENSG00000101347	ENSG00000141524	ENSG00000051108	ENSG00000105373	ENSG00000100362	ENSG00000142347	ENSG00000163682	ENSG00000100453	ENSG00000100242	ENSG00000011422	ENSG00000116688	ENSG00000136250	ENSG00000173846	ENSG00000204710	ENSG00000164733	ENSG00000131018	ENSG00000151651	ENSG00000095564	ENSG00000077150	ENSG00000105374	ENSG00000117289	ENSG00000223553	ENSG00000051523	ENSG00000124126	ENSG00000115232	ENSG00000204287	ENSG00000092820	ENSG00000197249	ENSG00000126759	ENSG00000038427	ENSG00000161638	ENSG00000166598	ENSG00000134516	ENSG00000196126	ENSG00000105835	ENSG00000121316	ENSG00000211899	ENSG00000013441	ENSG00000019582	ENSG00000132334	ENSG00000136167	ENSG00000147168	ENSG00000111371	ENSG00000158578	ENSG00000028137	ENSG00000144802	ENSG00000106066	ENSG00000196565	ENSG00000269028	ENSG00000125347	ENSG00000120129	ENSG00000153922	ENSG00000109320	ENSG00000076928	ENSG00000109790	ENSG00000135048	ENSG00000108654	ENSG00000163131	ENSG00000184319	ENSG00000137642	ENSG00000123146	ENSG00000135046	ENSG00000175606	ENSG00000115523	ENSG00000118503	ENSG00000054654	ENSG00000163660	ENSG00000119535	ENSG00000110719	ENSG00000160255	ENSG00000081237	ENSG00000090382	ENSG00000177359	ENSG00000198336	ENSG00000085265	ENSG00000100906	ENSG00000169429	ENSG00000240356	ENSG00000044574	ENSG00000147099	ENSG00000244734	ENSG00000141068	ENSG00000257207
4.247355	5.009894	5.3066444	5.523567	5.9450707	4.2816124	5.7128305	5.2192116	5.1172895	5.126736	4.171196	7.0608234	5.4085956	5.13004	5.1932125	7.636179	4.015909	5.9720564	4.547398	5.0101523	6.460907	4.150678	7.11884	5.514351	4.185835	7.8782825	4.4425864	9.130225	5.5724244	4.977188	6.792497	6.11054	4.9605246	4.456434	7.276997	5.7415457	4.2277546	4.317769	7.041629	7.4423437	4.879327	5.954948	4.871307	5.279127	4.8211527	6.3436112	4.9206076	4.5661826	5.111005	5.4309516	5.890394	6.2720366	6.6678267	5.959263	5.2312775	4.305204	5.3284845	5.23981	3.7920828	5.2754965	8.296818	3.9544644	5.0517473	5.6270514	6.0422516	4.298084	4.816142	5.004058	3.8986633	4.354376	7.247534	5.6031046	7.6582184	3.7496996	4.7423425	4.1810274	5.2505274	4.2899957	4.565218	4.9297643	4.2724843	5.0805726	5.166507	6.182976	5.0044136	5.004993	5.330821	5.4498663	5.5614834	5.1976066	4.2257986	4.887534	5.0904493	5.132062	4.937426	5.0148177	5.6560764	5.172703	4.27005	5.065219	3.5469177	4.167534	5.2547655	5.0945387	3.6721818	4.3409133	5.00306	4.715456	4.9721045	8.016306	7.094256	5.3403583	4.5168037	4.105698	4.60624	4.678423	3.6750526	5.9697914	3.9145355	3.8132625	6.2125664	7.151715	4.95931	7.3783255	4.721278	5.091321	4.665129	7.373959	4.2917733	4.5112348	6.011646	5.632206	5.3774605	4.8914466	5.597923	3.6608222	5.573633	6.9658594	5.2892118	5.393561	4.7549906	5.004175	5.3480773	6.193796	4.1956606	3.9784389	4.014364	5.2793674	5.3790855	5.2183647	5.33132	5.0099916	3.9061806	4.6677146	5.8455925	7.3535085	5.6897	7.6919556	5.599703	4.4574194	5.9080143	4.122244	4.4156375	4.0562825	5.7008486	7.141382	4.4884367	4.9134493	5.918878	5.8084526	4.9887486	6.8682075	4.142191	7.2023773	5.8195205	6.954875	4.7654257	4.7227955	6.1943083	6.411703	5.77629	4.993168	5.1888514	5.4399767	4.2486143	6.0008917	5.4117217	7.534462	4.9583774	7.4346175	4.462151	4.8363185	5.434519	4.938531	8.789446	4.497694	5.690838	10.075818	5.728194	7.677495
3.7979994	4.037518	5.8134327	3.6911712	5.8075876	3.6881776	4.580409	4.6264663	3.40934	3.4890656	3.567952	6.013075	3.6963775	3.7845392	3.574923	7.039255	5.221354	3.52925	3.614575	4.9466505	4.1886578	3.197849	5.4952745	4.602767	3.687138	7.461138	3.5528948	8.557312	4.8349333	3.8709567	6.9259496	3.7574697	4.1388373	3.7969618	6.737464	4.2685776	3.111118	3.9635987	6.355137	7.274637	4.856018	5.609371	4.4082603	3.3127086	3.5423362	6.155712	3.824126	3.3739767	4.9061394	5.192216	6.154644	5.190687	3.3948023	4.604438	3.474604	4.146424	3.7930994	4.1853366	3.6719837	6.0198097	7.2633605	4.430112	6.5441675	4.4583645	4.7023983	3.2574332	3.8062336	3.360931	3.6573606	4.573606	5.804701	4.931398	7.0420322	3.3387997	3.7255638	3.5253615	3.9290025	3.3742034	3.4469447	3.591155	3.4863467	3.1332352	3.1342645	4.116475	3.787248	4.5960455	3.5256054	6.182483	5.774602	3.538438	3.6372821	3.4499774	3.7761908	4.500538	3.3577309	4.1008024	5.031928	4.395738	3.667825	4.431714	4.0550776	3.577433	4.30787	4.794741	3.2790492	4.8906574	3.76311	3.8315756	3.7239804	4.7525334	7.227899	5.0362906	3.4198508	4.4022064	4.0674963	4.1634603	3.2177742	4.296688	3.4215987	3.8263724	6.0283046	8.663544	4.836171	6.0732307	3.4453576	3.3202155	3.3493915	6.5050983	3.3954978	3.4073026	4.8832498	4.9909387	4.0502	3.1916025	3.3497543	3.6970603	4.057907	5.3160467	5.0623283	5.802004	4.6603518	4.359155	5.8816767	3.6023054	4.3416276	3.8831003	3.5610263	3.3357322	4.1468744	4.0562296	4.4903193	5.494822	3.903193	4.151049	4.0474277	7.480741	3.7399142	6.67964	3.6631393	3.4196484	5.6927686	3.5862536	3.5233562	3.5353477	4.452093	6.90102	3.6352835	3.8737407	4.3751802	3.8447275	4.4970646	6.1617746	3.348158	6.7295704	4.8347316	4.7307034	3.5633903	4.548617	4.32642	5.4617214	4.951929	3.3574839	3.6326768	3.3891854	4.241397	3.8589365	4.3210106	4.5201163	4.8183947	4.5231686	4.471875	4.6990476	4.880267	3.834711	4.9237323	4.1926827	6.91465	11.637421	6.2332854	7.5977015
5.190277	5.099696	6.0265255	6.2382703	5.8392453	4.2947273	6.1612725	5.902726	5.5854273	5.073702	5.395652	7.00638	4.8811455	5.1193857	4.431548	7.7300825	4.2320757	5.763906	3.7892683	5.4446306	6.619265	5.1143427	7.169707	6.319744	4.0640793	7.320584	4.6566477	9.710022	4.9665465	5.1455574	6.2836895	5.8708863	3.8365664	4.5107675	7.2407656	6.600596	5.1971684	4.1651063	7.2571497	8.269103	4.394013	6.137018	5.7842135	4.798135	5.176944	7.1856756	5.274342	3.7370148	4.9641676	6.676818	6.835926	7.189488	5.7897954	5.8876486	5.0768886	5.3972287	5.012975	5.219599	3.4950867	4.76221	8.801316	4.286976	4.1296663	5.8003244	6.587966	5.134067	5.6602516	4.9068975	3.7986805	4.5374823	6.4783545	6.0078173	7.8901086	3.8301132	4.8312874	4.924095	4.5646505	4.8982196	5.3413563	4.5690727	5.220793	4.9428368	4.3490725	4.9120693	5.104457	5.4305015	5.2184677	5.8379	5.7643127	4.8832474	4.62066	5.3151426	4.4915547	5.0670023	5.286259	5.6903925	6.4872017	4.1899247	3.9895854	5.0410104	3.5799785	4.147878	4.9630303	5.901206	4.195379	3.7429314	5.838578	5.766074	4.812787	6.279628	7.6051683	4.907417	4.187453	3.7286344	5.0298824	5.277765	5.7116275	5.9598885	4.217964	4.4776564	5.9121447	6.725159	5.3862023	7.281135	5.2526155	4.8257017	3.9272084	7.378779	5.461252	4.0672235	5.9889364	5.787512	6.739935	5.0740776	6.331012	3.8584185	5.7094016	7.023177	5.287262	5.287864	4.57236	4.5191054	5.250697	5.9915357	3.849312	4.82016	3.7344959	5.231788	6.1154237	5.0758433	5.7879815	4.2066913	3.6664526	5.034811	5.411191	7.8120728	5.1039295	6.784319	6.7774267	4.761093	4.6633005	4.4911757	4.60784	3.8522596	5.372547	7.0027246	4.6415277	4.914333	6.2815084	5.91875	5.9171295	7.834949	4.488482	7.2946773	5.235855	8.037189	4.927397	5.4579782	6.735153	6.154519	6.719669	4.2726536	5.4102936	5.733198	3.973012	5.4291	5.663619	6.9660196	4.5366225	7.652313	4.430163	4.9135056	5.6768074	4.1462584	8.484797	5.631668	6.561472	8.851927	7.4363546	7.074173
5.3950896	5.6237226	7.6155615	5.8169136	8.519479	5.553939	7.50892	6.208367	5.823413	6.775534	5.7929683	8.74424	6.72924	5.5666747	6.479047	10.301561	5.698084	8.3771925	5.469469	6.8486104	4.4247913	5.906496	9.28676	5.24084	4.824849	7.6502113	6.8282027	11.665891	7.390668	5.396761	5.804749	5.712267	4.2943087	4.984704	9.366793	7.368241	6.004756	6.065094	9.193346	9.879227	4.4510775	6.887055	6.067246	6.4622064	5.7497597	7.438036	6.429345	3.7926652	5.8061376	8.145776	8.245499	8.587166	5.7629085	6.979002	4.7524886	5.712385	6.555787	6.7812138	5.6844063	6.5305195	10.652046	5.6071997	4.715664	6.8769913	8.035551	5.155623	6.5173807	5.803263	3.9903436	6.0255847	6.3186183	7.6546617	9.462631	5.768701	6.545557	5.848942	4.945922	4.836031	6.3393054	5.855862	6.6062536	6.538904	6.2173805	5.50346	6.057968	6.5255957	5.611159	6.0381136	6.6816173	5.202195	5.158292	6.2806444	5.943308	5.4718075	5.8194056	7.256077	8.2580385	5.220235	5.4944267	5.5409155	5.709453	6.8556957	7.2394385	5.923824	5.5151663	4.5077133	7.0723686	6.8145604	7.330277	4.0196304	9.298813	7.402377	4.266549	4.844561	5.9895935	5.5138617	5.1810575	6.441457	5.454541	5.606187	8.849791	7.617367	6.7558866	9.22426	7.055272	4.6892343	4.2261014	5.8064547	5.847802	4.797019	5.365881	5.96484	7.877474	5.9638596	6.0170527	5.532994	7.620665	8.077725	4.5045824	7.1081624	6.101886	5.775054	7.305144	7.570097	4.5210876	4.3466005	4.306603	5.7352257	7.966067	5.986415	7.1187186	5.4656143	4.99285	5.898134	8.135672	9.501549	5.71811	7.6094265	7.6986847	6.5718946	4.640847	6.2912793	6.831249	5.8013067	3.9845204	6.0161066	7.2221017	8.200012	7.704542	6.6176972	7.574222	5.8761997	5.756343	9.875677	6.759252	4.808546	7.3593864	6.6812515	8.234479	5.715831	9.416773	7.440322	7.3137765	7.549187	6.173218	7.3709626	8.833523	8.789808	6.368741	4.5413966	4.4215126	6.305314	8.552065	4.360034	5.1275325	7.9846177	8.367849	9.032974	8.047631	8.92062
3.5235415	3.6312428	5.27507	3.7476697	5.546608	3.2739265	4.7165613	4.461504	3.3857574	4.3509574	3.7106004	7.5534124	4.0266356	3.7682288	3.9338343	7.18147	5.2544746	4.64042	3.5755923	3.9173512	5.86648	3.2766798	5.647257	4.072524	3.6665802	6.1946917	4.179363	8.946199	4.973695	4.1173778	5.4579973	3.4926388	3.238654	3.4214556	6.444476	4.748245	3.3737755	3.3200533	6.6155434	6.4859686	4.5135884	5.3564367	4.4202824	3.7039158	3.5179129	5.508295	3.6156116	3.5438643	4.3918085	5.4114103	5.8886747	7.0785246	3.690354	4.380863	4.517485	3.5011208	4.2746468	3.9626374	3.3483436	5.929084	7.7891855	3.674169	5.129981	5.09151	5.856307	3.2801921	4.2170253	3.3595402	3.6073115	4.1971188	4.5568495	5.025625	6.6723375	3.4263432	3.742359	4.1702986	3.6961923	3.436782	3.5599794	3.7857146	3.4974866	4.0959496	3.4294648	3.942194	4.2475324	4.473939	4.646251	5.336305	4.656216	4.1533446	3.5381076	4.2494545	3.4990218	4.4181566	3.7928448	3.8874795	5.735156	5.241309	3.5086203	3.9197865	3.7090495	3.3909822	3.8136325	4.1546535	3.6729717	3.958207	4.0918965	4.0787044	4.3827786	3.9565892	7.3651505	5.3629994	3.5448148	3.459345	4.322976	5.4834204	4.209429	4.782586	3.7165818	4.1175737	5.8708606	7.38979	4.9773355	6.295368	3.6062565	3.4115949	3.3213768	6.056654	4.045401	3.8443694	4.2186337	5.488433	4.1936626	3.4531276	3.4358456	3.8195655	4.4086976	4.9463243	4.998642	4.756654	3.6614172	3.7900243	4.3938274	4.529246	3.772339	3.548943	3.2866094	4.320998	4.2336597	4.3100204	4.1735578	3.9628468	3.5834785	3.6794658	4.0605974	7.1205287	3.922876	6.4095545	4.8078194	4.205348	3.6066434	3.4500437	3.8748071	3.526235	3.81866	5.3052397	4.053282	5.0530663	5.0538282	4.0523415	5.133589	5.9575615	4.21552	6.8655663	4.9535685	7.5721207	3.4805388	5.9552794	4.5832567	5.050778	6.2406616	3.9646564	4.606537	3.8836646	4.019765	4.640989	5.6336856	5.1381183	5.1515875	5.4195166	3.7251582	4.778037	5.3927927	3.484409	8.549042	3.9890656	6.2720013	7.824885	7.308894	6.019251
3.4905772	4.0192122	5.8524685	3.8619928	5.003293	3.385492	4.151642	4.461651	3.522171	4.4487123	3.522787	7.404525	3.9503777	4.1663675	3.8180437	7.583378	4.615328	4.4042253	3.2818792	3.9870262	5.3655233	3.1732843	6.1616616	4.793376	3.3991206	5.653639	5.304101	9.173901	5.4202843	3.9862742	5.639749	3.6607237	3.4898326	3.370914	6.7862997	4.1538744	3.1935751	3.3246381	6.7869864	7.567264	3.944015	5.866316	5.424341	3.5696282	3.4305384	5.580245	3.896065	3.4767978	4.0943794	5.559487	6.5481725	6.169407	3.5572922	4.508116	3.3844743	3.5708785	3.6341634	4.0958343	3.3222914	5.255615	8.178036	3.494928	4.875711	4.8427086	5.043228	3.217562	4.084421	3.199069	3.3567576	4.0660563	5.842126	5.1708326	6.656865	3.2866242	3.3594625	3.7878633	3.6099424	3.4741106	3.5575185	3.7215521	3.5115328	3.356484	3.2843168	4.394726	4.1140947	4.587138	3.9456751	5.3372297	5.267532	3.8114014	3.577133	3.761942	3.50324	4.8557	4.035289	4.218129	5.957512	4.116374	3.4345942	4.241267	3.3348703	3.347539	3.5497088	4.298874	3.5765324	4.4557204	3.9257824	3.963338	4.264535	3.6387606	7.0726566	5.2322392	3.3988838	3.8176951	4.675721	5.1835847	3.9388883	4.2779565	3.3749716	4.361432	6.388941	6.966099	5.200218	6.19736	3.525295	3.277112	3.2211695	7.459392	3.6787684	3.8681574	4.333626	4.758691	4.316171	3.2273157	3.47656	3.9332695	4.553157	5.0603943	4.470366	4.2726293	3.5173144	3.5391502	4.957354	4.1981897	3.68704	3.7876463	3.3580687	4.147733	4.8877473	5.0771966	4.374864	4.42101	3.466228	3.617505	4.600285	7.2584944	3.9680555	6.535861	4.6036396	3.4134727	3.2628984	3.2466495	3.5091424	3.4152198	3.717001	4.6022744	4.378503	4.324299	4.5480156	3.5886617	4.439684	7.37235	3.82444	7.0578794	4.2903714	8.911863	3.3739285	5.3150244	5.319744	5.5906224	5.15277	3.4040668	4.8284883	3.9125268	3.5856009	4.0003734	5.5837474	5.186587	6.6429176	7.3918204	3.575636	4.645259	4.667944	3.6075761	8.842863	4.6143985	7.0877986	6.4569616	7.8338547	6.3025036
4.1991563	4.897168	5.1700273	3.9056058	6.235569	4.370973	5.447337	4.7768683	4.3164034	5.248125	4.879176	8.071516	4.291095	5.1077557	4.935562	7.8313036	4.9718738	4.60157	3.8445415	4.5493093	5.9899235	3.9468572	7.1945276	4.846635	4.359991	7.3726473	4.039292	9.120822	5.3298826	4.1740937	6.4107347	4.8988557	4.816335	3.8249202	6.6132812	5.4599676	3.4097219	4.0003557	6.565549	7.311932	5.3877134	5.917553	4.857891	4.138176	4.5361304	5.151392	4.072719	3.8515534	5.423315	5.189336	5.7334223	5.9625015	4.211895	5.5885563	3.6119087	4.2979536	4.6788406	5.082855	4.136431	5.470584	7.6612353	3.95654	5.9656043	5.703924	5.5505795	4.0082684	4.48504	3.6173043	4.0790987	4.603921	5.6536407	5.5904016	7.1191006	4.1046934	4.032453	3.85149	4.0539722	3.9474645	4.2497272	3.8506074	3.7971473	3.610168	3.4774115	4.859771	4.3201075	4.683001	5.0419874	7.1268687	5.5001307	3.7244961	3.945246	4.1674933	5.1540623	6.2405653	4.5204906	4.68277	5.1854205	5.5800066	3.9302242	5.709868	3.9551463	3.7970243	4.494383	5.0552235	3.8586411	4.9649477	4.588476	4.50369	4.7865305	5.707137	6.903796	5.469475	3.9819913	5.88295	5.342738	5.4574556	3.5276084	5.0535746	3.635138	3.8282576	7.100898	7.303153	6.935904	6.6967177	4.47647	4.1179943	3.5698657	6.4312544	3.9351134	3.91737	5.097637	6.467938	4.736762	3.597671	3.964743	3.787054	4.5977626	6.1839485	5.951984	5.4134674	4.9271326	3.6840942	5.0402036	4.8162284	4.647435	4.006707	3.9705217	5.183297	4.6620164	5.534025	4.663211	4.804288	4.082563	4.276204	5.118696	7.048835	4.4689355	6.921364	4.409474	3.6417801	4.305263	3.9070373	3.9509087	4.5053825	5.275882	6.247815	4.6309834	4.1914988	4.369725	4.055793	4.939474	6.321584	3.990745	6.895583	5.1659107	7.2491293	3.9362893	5.438943	5.78945	7.518318	4.7358217	3.7171965	4.715495	4.115058	4.3027134	5.0053196	5.0647354	5.8009205	5.719591	6.598407	3.9943118	5.1675477	5.6135607	4.43487	9.7595	4.931994	6.201724	8.676086	5.572684	7.3697104
5.260304	6.0804467	6.842019	6.2118196	7.684004	6.1777163	7.9203296	6.7508125	6.353199	7.6252646	6.3836937	8.012189	7.393728	5.4963894	6.2541194	9.436832	5.9085617	7.5489836	7.24544	6.942749	5.5366163	5.746911	7.935042	5.761998	5.4886484	7.903495	6.735337	10.86359	8.177602	5.8008184	5.8994336	5.8770795	5.3358383	5.9857416	8.580561	7.9797344	5.4812613	6.8299646	9.096638	9.176311	5.5563087	7.567021	6.503449	6.5894322	6.021264	7.464877	6.4532614	4.074446	5.991893	7.1724796	7.931908	8.498135	7.247667	7.180439	5.7778783	6.296076	6.5293617	6.397291	6.9140263	6.0852957	10.055904	5.795602	5.6203046	7.168188	8.469258	6.3082066	6.961581	5.9307895	4.881055	5.501231	6.8908796	7.950275	8.968732	6.413209	6.9019165	7.3472185	5.8926687	5.4628344	6.316392	6.44392	6.2923527	6.2615747	6.645763	6.0014544	6.1900663	7.9551563	6.57419	6.3682117	7.763971	6.7298408	5.894449	5.3389196	5.9501476	5.970052	6.2928934	7.3176446	7.5336185	6.1256638	6.0208106	6.5842447	5.6376963	6.7411313	7.038988	6.365672	6.184517	5.951065	7.440566	6.990074	7.5585647	4.60324	9.770794	7.2631335	5.2503433	6.090376	5.9913673	6.1985664	5.0932655	6.944569	5.8360715	6.8605757	8.432163	7.8080034	6.942511	8.496782	6.9988155	5.169594	5.579426	6.4380026	6.588338	5.976907	6.957935	6.353655	8.148045	6.8077574	6.967827	6.462746	8.178598	8.457299	4.7660646	6.8229475	6.414311	5.5482244	7.0949025	7.0238495	5.8607206	4.7801075	4.54393	6.5322294	7.7422347	6.613677	6.9911757	6.8456974	5.757304	5.7068367	8.08618	9.541967	7.0139785	8.467228	6.9918337	6.9897585	4.393812	6.041892	7.50082	6.3514385	4.8230762	6.1162386	8.170319	8.684474	7.4146366	8.221457	6.856198	6.231516	6.8477945	10.137467	8.5021515	5.2146115	8.152458	7.9219337	8.744512	6.0196304	8.062368	8.1632595	7.089589	7.9863815	7.0571504	7.511908	8.941842	8.617043	7.189413	4.9195805	5.070178	7.1752787	9.215243	6.8129873	5.5953555	8.572088	8.506415	9.063574	7.849693	9.604676
4.8654222	4.574522	5.9208975	5.4332123	6.355957	4.951327	6.4747677	5.461196	4.8342834	6.750108	5.476961	7.7987514	5.1307297	5.589698	5.303694	8.960726	5.441036	7.01476	5.7018833	6.1328773	4.9860535	6.271176	7.3881516	4.3609724	4.640666	7.1586623	6.120473	9.94259	6.3445005	5.9123516	5.9583836	4.6592455	4.64801	4.572102	7.5111694	7.905381	6.155349	4.350218	7.3496943	8.331453	5.6379375	6.1849594	5.935416	5.697401	5.169336	7.0223846	5.5713015	4.052684	4.888742	5.814122	7.861316	7.220307	5.8996344	6.476991	4.997443	5.3009233	5.1061735	5.2422924	5.4616776	4.6980853	9.147533	4.4715075	4.88288	7.82327	7.0488615	5.0273266	5.585125	5.507388	3.9705172	5.3176174	5.6093836	6.3075514	7.9493566	4.7303176	7.137422	7.1919794	5.3363442	4.832704	5.574518	5.0970073	5.3841143	5.943964	6.318309	5.1990566	5.9374194	6.832117	7.5455055	6.025049	6.49086	5.955329	4.9567327	4.6617613	4.284649	5.6668735	6.259288	6.074606	7.068677	5.943328	4.4066014	5.294375	4.18367	5.0135984	5.9648075	4.720745	5.7044544	5.2194185	6.857664	5.3271	7.008758	3.9280574	7.858564	6.387724	5.723775	5.796652	5.8168964	5.6741886	4.527966	5.344898	4.5347424	6.7543726	7.598575	6.3084927	5.983013	6.7432356	6.292609	5.9020214	4.9222727	6.468313	5.3806763	5.7521014	4.917792	6.5540905	6.4158	5.151923	5.542145	5.1022215	6.6430445	6.898883	4.672853	6.822304	5.2250204	4.601735	6.621682	6.575572	4.842846	4.694497	3.9657285	5.8384356	6.1957808	5.5203123	5.0138817	6.5923967	5.4202867	4.657258	6.8635135	9.409441	5.197052	7.8097153	6.70735	5.938756	3.6090646	5.381089	8.419432	5.0667686	4.102386	4.821194	7.049924	7.4958334	7.3267736	7.8983817	5.621232	6.3182597	5.2450953	9.41646	7.000945	5.7883224	6.1523514	7.470262	7.256166	5.526863	7.813083	7.7593136	6.0770683	8.367004	7.0637865	5.9810314	7.792477	7.125811	6.8882513	5.395418	4.115674	5.6501293	8.473201	6.721486	6.861829	7.802809	8.396515	7.1117716	7.3168173	7.6038017
5.76342	5.442242	5.806724	5.445096	5.9552517	4.748302	5.7172165	5.4097176	4.9817486	5.7578273	4.8449054	8.3499365	6.1687784	4.809828	5.029765	7.765655	5.6553445	5.4485693	4.546262	5.500672	5.5678806	5.5131416	6.872263	5.5501947	4.6822295	8.093268	5.287653	9.866135	5.673112	5.5370083	6.587181	4.9117293	4.6596217	4.6834145	7.3716736	6.849019	4.6709356	4.566735	7.7375574	7.8489313	5.4372873	6.4535313	5.395623	5.2694654	4.659116	6.0806284	4.7920046	4.0456715	5.9674654	6.322864	7.4441814	6.819025	4.9849787	6.280407	4.559003	5.3281064	5.261836	5.2638636	4.721686	5.7918706	9.02121	5.055151	5.7746544	5.349821	6.6336756	4.9837213	5.067415	5.0241137	4.2888446	5.854568	5.81089	6.698493	8.231802	4.255292	5.3336067	5.3122325	5.8200846	5.0282054	5.365694	5.077877	4.9213896	5.1928515	5.322503	5.2448163	5.122408	5.575016	5.6852083	6.471568	6.8508883	5.324585	4.429613	4.963365	4.3204722	5.0480366	5.041602	5.9099326	7.5136485	5.1478634	5.3589106	5.0128727	4.5884066	5.5891113	5.1868014	5.966854	5.3764925	5.042796	6.060198	5.3962765	6.2700753	4.990829	8.130827	5.857195	4.6502943	4.565412	5.764942	4.5993624	4.122512	5.963469	5.310137	5.370908	7.0119767	7.7079377	6.0184827	6.3405266	5.947572	5.029953	4.649956	6.3451777	6.48469	4.486523	6.02629	6.1715093	5.4595866	5.571046	5.256526	5.3212757	5.779391	7.602846	5.486869	6.1489134	5.432368	5.259131	6.2984343	6.1631775	4.998651	4.7835655	4.70868	5.15504	6.2800283	5.830038	5.124456	5.2732944	5.509801	4.8016076	5.9014626	7.9083977	5.1509247	7.3881903	6.2510843	5.57286	4.698533	5.502986	5.3965216	5.029512	5.6329412	5.8036456	5.5878954	5.789584	5.864769	6.240485	6.1602745	6.3737993	4.7351475	8.486311	6.018513	6.4030313	5.48899	6.85905	6.7303	5.8329067	6.2102747	5.524355	5.9753094	5.7703238	5.8342323	5.3255973	7.474726	6.5596695	6.275072	5.4743237	5.5843105	6.099831	6.9481316	4.651272	6.4584284	6.652961	6.497199	8.534032	6.2541537	7.9202886
