ENSG00000000938	ENSG00000005844	ENSG00000007312	ENSG00000010327	ENSG00000011422	ENSG00000013441	ENSG00000018280	ENSG00000027075	ENSG00000028137	ENSG00000035681	ENSG00000038427	ENSG00000044574	ENSG00000047365	ENSG00000049860	ENSG00000051108	ENSG00000052841	ENSG00000054654	ENSG00000055163	ENSG00000064012	ENSG00000067704	ENSG00000069399	ENSG00000070961	ENSG00000072786	ENSG00000075884	ENSG00000081237	ENSG00000081320	ENSG00000084234	ENSG00000085265	ENSG00000090382	ENSG00000091140	ENSG00000091592	ENSG00000092820	ENSG00000095319	ENSG00000095564	ENSG00000096060	ENSG00000100219	ENSG00000100242	ENSG00000100325	ENSG00000100353	ENSG00000100453	ENSG00000100906	ENSG00000100991	ENSG00000101294	ENSG00000101310	ENSG00000101347	ENSG00000101474	ENSG00000103811	ENSG00000104870	ENSG00000105819	ENSG00000105835	ENSG00000106066	ENSG00000106263	ENSG00000106565	ENSG00000107742	ENSG00000108582	ENSG00000109320	ENSG00000109790	ENSG00000110077	ENSG00000110713	ENSG00000110719	ENSG00000110848	ENSG00000111144	ENSG00000111371	ENSG00000115085	ENSG00000115232	ENSG00000115457	ENSG00000115828	ENSG00000116688	ENSG00000116701	ENSG00000118503	ENSG00000119535	ENSG00000120129	ENSG00000120708	ENSG00000121064	ENSG00000121316	ENSG00000122122	ENSG00000123146	ENSG00000123329	ENSG00000123338	ENSG00000123384	ENSG00000124126	ENSG00000125347	ENSG00000126759	ENSG00000131238	ENSG00000132182	ENSG00000132300	ENSG00000132334	ENSG00000132424	ENSG00000132965	ENSG00000134516	ENSG00000134539	ENSG00000134644	ENSG00000134910	ENSG00000135046	ENSG00000135048	ENSG00000135596	ENSG00000136040	ENSG00000136045	ENSG00000136167	ENSG00000136250	ENSG00000137642	ENSG00000137841	ENSG00000138095	ENSG00000138378	ENSG00000138744	ENSG00000139626	ENSG00000139641	ENSG00000140105	ENSG00000140575	ENSG00000140678	ENSG00000140943	ENSG00000141506	ENSG00000141524	ENSG00000141968	ENSG00000142102	ENSG00000143119	ENSG00000143537	ENSG00000143621	ENSG00000143870	ENSG00000144802	ENSG00000145819	ENSG00000147162	ENSG00000147168	ENSG00000147202	ENSG00000151651	ENSG00000151726	ENSG00000152795	ENSG00000153310	ENSG00000155465	ENSG00000155629	ENSG00000155657	ENSG00000156738	ENSG00000158050	ENSG00000158578	ENSG00000159128	ENSG00000159674	ENSG00000160255	ENSG00000160593	ENSG00000160883	ENSG00000161638	ENSG00000162231	ENSG00000163131	ENSG00000163660	ENSG00000163956	ENSG00000164062	ENSG00000164308	ENSG00000164674	ENSG00000164733	ENSG00000166598	ENSG00000166825	ENSG00000166986	ENSG00000167895	ENSG00000167986	ENSG00000168010	ENSG00000168056	ENSG00000168071	ENSG00000168918	ENSG00000169429	ENSG00000170345	ENSG00000171298	ENSG00000171608	ENSG00000172053	ENSG00000172890	ENSG00000173846	ENSG00000175463	ENSG00000175606	ENSG00000177359	ENSG00000177455	ENSG00000179094	ENSG00000179344	ENSG00000182578	ENSG00000182866	ENSG00000183431	ENSG00000184319	ENSG00000184922	ENSG00000185215	ENSG00000188404	ENSG00000188906	ENSG00000188976	ENSG00000196126	ENSG00000196305	ENSG00000196562	ENSG00000196565	ENSG00000197081	ENSG00000197157	ENSG00000197249	ENSG00000197872	ENSG00000198286	ENSG00000198336	ENSG00000198502	ENSG00000198909	ENSG00000205744	ENSG00000206503	ENSG00000213983	ENSG00000223553	ENSG00000229164	ENSG00000234745	ENSG00000240356	ENSG00000244734	ENSG00000257207
3.0839744	2.3550055	0.875793	1.2219809	1.3995099	1.643312	1.6458654	0.9550861	1.2167751	4.3224034	0.8868848	1.5260102	2.2847018	1.8459506	1.2617254	1.5311894	7.5858684	5.2408385	1.2961334	1.3673311	0.88827187	1.1818359	5.5063496	3.9611192	5.429856	1.2229555	3.0585191	1.4597559	2.0271208	4.009933	0.91568124	1.6741965	0.97706896	1.8105402	2.625715	0.9910585	2.3035254	2.864807	2.3976889	1.6617672	2.616079	2.2848911	1.3294961	1.0794362	5.2475157	6.012672	1.3523147	2.3422487	3.514175	1.7550865	1.7464345	1.2838264	2.237219	1.32764	0.92130935	1.1270287	2.6807225	2.7278006	3.760875	1.7802842	1.1093402	3.0505638	1.4073067	1.4623508	1.6290748	6.226615	1.1217515	7.0437436	2.5079134	0.88440156	1.3148105	1.051062	1.2114161	1.175333	1.0090322	1.3902054	2.42411	1.2504865	2.2524233	2.1317368	5.390449	3.018415	1.7899425	2.079049	1.2663038	0.8998429	1.9962752	1.3908637	3.0024548	4.6714263	0.9039806	1.8916302	1.0578203	3.492077	0.93608314	2.390156	1.3446572	0.8937994	3.095404	0.9636078	2.3695495	1.0228605	1.1869926	1.3748118	2.4525084	0.9895304	6.4794297	2.9304674	4.5197935	1.9876769	3.057234	0.90896237	1.6725581	1.1868447	0.8849639	1.9719281	0.8732647	1.1703426	2.3672311	0.8923618	1.4096277	1.0683177	3.1907349	1.8960912	0.9921102	1.404283	1.7589271	1.725511	1.1168002	2.7471619	1.3039706	1.2322159	1.4257095	4.691856	1.5424328	1.0440027	2.5809283	3.829341	3.083224	2.948773	2.279489	3.6878414	1.492125	1.9122052	5.3813663	0.8988767	1.2191669	3.1581213	4.1343966	0.8745916	1.6664163	1.3780622	3.270238	1.5123537	1.5752246	1.1515799	1.3354446	0.8740269	1.8515072	1.1450706	1.2189748	2.1533346	2.3553722	0.9801812	3.0930042	6.837021	6.0750833	1.3270454	0.8911475	1.1293039	1.123899	2.9735026	2.3556964	4.428883	1.6274414	1.1487727	4.2385683	1.7022688	0.8860202	1.4844036	1.0463003	0.8783452	3.2012877	1.5100579	2.2612698	4.6849713	0.9133555	1.6111221	4.2687893	1.7893026	1.6232917	2.677722	3.349971	0.99342096	2.1392395	4.477687	5.317895	8.995568	7.2987766	3.8103886
7.9424615	1.9306009	0.96928054	1.9088013	3.3615627	1.8608416	2.9865994	2.7727518	1.373806	2.5988584	1.1643684	2.3222575	6.423474	2.9916553	5.7824316	2.0772834	3.7914195	8.028923	1.5737801	1.2151537	1.6136857	1.4734275	5.0949545	5.07955	7.31424	1.6681722	3.5605366	7.404775	5.8808346	2.2942798	1.2108496	2.0200357	3.9994645	2.3209112	5.2775745	2.2192962	5.894653	3.0841246	2.7208285	1.8502345	3.4358153	1.7260187	4.3373203	2.6211267	3.8865256	5.961079	1.7270653	3.2997656	1.2369859	3.3553221	4.276284	1.7193508	2.102056	1.3837101	5.5962176	2.3573794	7.511667	3.2452838	1.8305526	3.3124137	1.4484546	3.8377762	2.7291505	1.7317717	6.088956	6.5311055	6.1114006	7.8034544	4.954776	1.6499016	5.2549233	5.205832	2.3053625	4.238932	5.813785	1.7810624	2.2886717	1.2241266	4.7476215	6.310833	3.4464138	5.888251	2.5061543	2.2831616	2.893202	1.3510462	3.1787517	1.7471175	1.7808075	4.217145	1.0088756	2.9552357	1.5258783	4.136902	1.328439	2.3869445	3.9820316	1.3035028	4.728178	2.180994	4.283964	1.3039196	1.8123362	2.0619464	3.414431	3.1964502	3.6970513	5.9752645	6.525408	3.1564844	2.8795016	1.3066499	2.572975	3.3790565	1.041653	5.0192337	0.88996905	1.8179018	5.7565565	2.0153494	6.875669	1.4653571	1.6599376	2.6035104	1.6057236	3.5423028	1.958478	3.8079343	4.1208158	1.8299084	1.3645961	1.2577682	1.9122477	5.073747	4.172019	1.8297279	4.770221	2.713391	4.5712895	5.6196623	2.621943	3.409142	1.5911286	6.6794395	4.0637803	1.11311	1.1515477	4.6227393	3.094149	1.2839375	3.15169	1.855609	8.577809	2.9531007	1.0601065	4.508234	1.6372628	0.94372874	3.5600302	1.5638856	3.8009195	4.5556192	4.695438	1.7326764	2.2192488	9.041388	7.2813206	1.0538356	1.6764344	1.82357	1.4356151	1.6635966	4.100206	6.6974072	1.5212164	2.5326107	4.5593553	3.650746	1.1074868	2.6321023	2.0599139	1.9694173	4.4415994	5.580871	3.7788346	6.9384966	2.971871	1.610193	8.707583	1.1526637	1.4892664	3.2494674	4.7323046	1.4285269	4.757774	2.0184946	1.6982818	8.826905	9.4025135	4.15144
2.4845517	1.8094771	1.0968076	3.85041	3.9866867	9.161811	3.910531	1.4611881	1.6364198	2.0923522	1.4057822	4.570413	3.8781211	2.005458	1.155668	4.1523986	5.5029874	3.6366568	3.0314512	3.9934542	1.3268273	2.555271	2.2556021	3.447424	6.7012153	4.0215063	2.9032419	2.3851252	1.8977642	5.0502415	4.1448507	3.3136683	1.4287198	3.7761173	2.3865616	3.0737169	4.122939	6.9242077	3.7589595	6.2256474	6.7387614	4.0116267	3.8461611	1.6973265	3.543585	2.4565322	3.6305852	2.198966	3.3948135	3.1417491	2.8520339	3.8627152	2.648292	4.059012	1.4025923	2.5062084	3.837621	1.690887	5.0522566	6.068228	3.6539268	4.9990134	1.903775	3.301325	4.0311728	5.2570357	1.3346575	3.3625877	2.5072155	0.9608709	2.281827	1.3757725	3.793029	4.1857433	1.6264234	2.5616097	5.82803	7.717057	4.7843375	3.507911	3.025974	3.4195373	3.112882	1.5921187	2.6799278	2.5343273	10.376926	4.9124584	2.0003202	4.9610043	3.8062844	1.8207076	2.695994	5.410951	3.2795136	7.0269117	1.2598954	1.995961	3.84372	1.4336638	4.26447	5.144286	3.8626857	7.0653377	2.9477694	2.7075205	2.8207746	2.5115297	1.8970163	3.1600566	4.227803	1.6413157	5.99225	6.8300586	2.3589218	2.4907055	1.0361104	1.2142421	4.3799624	1.8636787	3.9909673	3.9001744	5.8134274	4.0305715	2.4667645	1.5111423	2.9436767	4.4605393	4.3614945	2.940864	5.905878	3.2449098	3.4401236	7.89088	1.5523448	3.3654943	3.9460747	6.340954	4.644927	2.1285484	6.089118	4.088649	6.9305243	2.2116168	3.7800395	1.2501373	3.1968462	3.7160468	6.2220836	0.95059735	3.5323174	4.4739947	1.7278192	5.9300075	5.2857327	2.235373	2.026603	1.4417472	6.3334293	2.9105015	1.2329708	4.204987	4.359514	2.3608418	4.232405	3.3236547	9.115513	4.5296335	2.1372452	2.8018878	4.0321593	6.566844	4.1480713	9.780026	8.173243	2.877424	5.4408607	2.0812774	1.0521936	1.8393669	3.46018	1.7066647	4.1774817	3.8682082	3.376587	3.3093708	1.128792	7.6232133	2.487196	3.7250276	2.872422	3.536043	4.662872	3.911556	6.394017	4.264834	6.7356157	7.4072933	9.195348	2.2535155
6.108192	4.3393087	2.0223453	4.143208	3.9471352	6.8319283	2.9055827	4.591525	2.949165	3.2719553	3.1201036	6.555628	5.451711	4.378267	5.29302	4.0431504	6.83936	6.631798	3.2068887	4.269412	3.0504334	4.086475	5.6162333	6.8308043	7.714875	3.068528	4.8416367	7.2918324	5.7199354	3.5010629	4.4279585	5.251946	3.7382016	4.785843	4.926215	3.7473068	7.624829	5.279328	3.9429574	5.0767393	4.8586793	3.7686768	7.4105587	3.6249678	7.7911487	4.8724513	4.8322344	3.812925	2.2684505	5.5769334	6.0454993	3.7373006	3.9525928	3.5756376	4.2583647	5.0164785	5.132552	3.3735316	4.698664	6.3170347	3.4586275	4.0504885	4.0830455	3.1950526	6.6903844	4.8873167	4.429396	6.734809	4.741516	2.4130425	4.792583	4.737777	5.615512	8.437124	3.6844804	4.1412463	5.9308767	5.0784073	5.0959697	4.599443	4.33009	5.586452	5.8623652	2.5776951	4.263741	4.80116	5.3035483	3.902031	2.7935843	6.7964664	3.200378	4.0719132	5.121292	6.7683573	3.4159312	4.8740716	3.4424322	3.3234282	6.589098	4.203439	8.646375	6.5122375	5.583842	7.2043447	5.5018845	5.2191424	6.6440277	5.3082504	5.289519	5.344069	2.6844826	3.2736483	5.8032975	5.6726885	2.8869777	6.459304	1.526334	2.5978923	5.033198	2.7200558	4.4707437	4.3165708	5.1199026	5.2357736	4.349344	3.428305	3.035983	5.860382	8.663437	4.557502	5.580529	3.2191732	3.7655985	5.780706	2.8117175	4.2533484	7.6122675	5.4439263	6.651268	4.590374	8.82477	6.361526	3.7656882	5.6513467	4.4519587	2.5533288	2.7607489	6.60545	7.4497833	3.171737	4.4777727	6.987099	5.8391232	6.288438	3.3771727	4.055694	4.3607025	1.6855657	5.3165455	3.965991	3.010409	5.8248634	7.6757975	4.21976	5.657845	6.506156	5.485804	2.7589052	3.526412	3.3281214	2.9826934	4.0223627	3.8404856	8.194595	4.216146	6.0033545	6.8572664	3.4505966	2.020014	2.1595478	4.742443	3.4499528	4.596314	8.410027	4.0895047	6.4696193	3.0192406	6.283216	4.933771	2.332641	2.7865384	5.1247597	3.4867473	5.0130296	5.4792166	3.9827151	1.4964483	9.702068	9.413488	3.483231
5.422968	6.796594	6.353541	7.084672	6.8825035	6.055938	3.5208275	5.2675633	7.0927043	6.762755	2.2991025	6.916702	3.2821796	3.394949	8.927095	8.41831	9.714972	9.434886	8.006898	4.863592	3.6433036	5.5764318	5.5352325	9.110105	12.921386	2.5583417	7.4332266	6.5307183	8.660535	3.5874944	7.387459	9.832436	5.7480536	6.3655763	2.757067	3.2385795	3.4727113	3.6981328	9.4279585	6.6267824	4.3871155	7.810783	6.8279796	4.8149447	9.416628	5.7397532	4.5082016	4.895522	8.432235	5.5343757	4.0196443	6.820996	2.5709682	9.9039	1.3665657	8.257618	5.0196276	3.000431	3.0751278	6.347187	6.545786	3.1611242	3.5658767	4.8973455	5.873668	1.2013736	4.761949	10.207782	3.7939258	4.6335797	3.189396	4.46859	5.479129	5.1195374	3.9499378	9.041724	6.7944903	6.8566265	9.152069	1.783436	7.2178035	4.3236566	4.8108525	5.8438964	3.1914704	4.678456	4.8555074	4.8038883	3.3105924	7.7369523	7.6214967	6.848378	5.7597504	9.923349	2.9690554	5.4724646	5.788385	7.453509	12.463022	5.438785	9.113167	6.2896914	6.917677	3.9507082	3.809657	6.1751175	5.9336953	11.440026	7.4289136	3.603783	1.3179523	3.286881	7.06554	5.5013323	3.8974466	6.227003	6.9174066	9.656029	5.4306517	4.552018	1.3762746	3.6119163	10.961725	3.1364577	6.8605275	9.858219	9.602668	9.512163	3.6401606	6.515986	5.000782	10.9994545	3.2313719	2.8761163	5.0385365	5.3551817	12.373658	3.0484495	3.4474428	6.3447027	11.033546	6.820251	6.080187	6.462747	4.9259653	8.182269	4.73396	4.43262	10.91418	6.120472	6.174775	4.8314533	8.086771	7.1422954	5.873548	7.033657	4.9831977	1.1660573	2.1811957	6.640137	2.5394604	5.5890775	4.4145966	2.3891733	9.648394	2.6569483	1.6950078	5.9029107	3.7437718	3.8612082	6.0743613	4.299465	4.522533	1.8838756	3.817961	6.862519	5.807952	4.7239633	4.178543	1.6244509	3.7233975	4.309795	1.9760778	6.4021945	8.809343	8.497688	2.7018416	8.008766	0.9987445	2.589687	3.6867015	6.0416183	7.4366393	7.121573	3.0801532	7.4200077	1.0646012	4.2554913	9.868237	2.8886752
2.8623598	1.6503987	0.9459786	3.0955482	2.415419	6.0596437	3.8026576	1.1233991	1.4167514	2.6568193	1.0425508	3.4357955	3.4996781	2.1667752	1.156319	3.259457	6.742172	3.9071836	2.3989735	3.3462625	1.0661794	2.3148663	3.5394785	3.9570389	5.3376937	2.7293346	2.4511528	1.7219226	1.4119631	4.0577846	1.8834949	3.039491	1.2481039	3.4504356	2.5709064	1.6691339	3.558969	8.005715	2.9790435	4.372993	4.6041946	3.6365857	2.9908938	1.4299116	3.509157	3.0054877	2.8858256	2.451654	3.9865856	2.3091776	2.0641658	2.3297215	2.7436454	2.8917322	1.1477426	1.9079642	3.6115162	1.8718977	5.796036	5.464451	2.5715034	5.424528	1.5592024	3.1120398	2.9004052	4.578516	1.2970656	4.217645	2.0864906	0.938419	1.5710946	1.3365362	3.2364876	2.7836792	1.1973279	2.242764	5.833874	4.535752	4.8571935	2.812847	3.0714202	3.0204444	2.9678493	1.4941089	2.2461767	1.8629725	5.679445	4.623511	2.7219217	6.3697667	2.3799367	2.1001816	1.8823769	4.1383905	1.8522524	5.2402606	1.1931317	1.2905039	3.7688973	1.279294	4.412804	3.4083664	2.7278254	4.0217805	2.9166818	1.4766312	3.878708	2.4290857	2.1309888	3.1882818	3.662484	1.2573069	4.6895423	3.4378319	1.4017198	1.9841349	0.8950859	1.2341144	3.4552832	1.2168546	2.738699	2.6310763	5.5964212	3.9041746	1.7636166	1.28229	3.1340847	4.270285	2.2600625	2.8064072	4.37428	2.4056091	2.3949292	7.068158	1.455452	2.2011516	3.3346074	5.983222	5.008005	2.2181785	4.996797	4.276856	4.7438126	1.8378985	4.9148135	1.0530514	2.1499128	3.3610418	5.7614045	0.9001356	3.4651792	4.3069854	1.8372847	3.8342242	4.846002	1.4723842	1.7832191	0.9778546	4.238553	2.491934	1.1599724	3.4768245	3.382431	1.7269926	4.8314037	2.893373	7.9582233	2.9015355	1.3376802	2.0208373	3.1809647	5.028739	3.8431082	8.646238	5.5291576	2.4169428	5.5370126	1.7293261	0.9533173	1.6827048	1.900213	1.0651002	3.6240678	3.2844188	2.8329027	3.6568947	1.078538	5.19636	2.7344775	4.308188	2.0694256	4.401955	3.6468058	1.996464	4.6984653	5.359051	7.351459	7.4566975	10.160547	2.1462648
2.0517004	1.2676715	0.88031113	2.1138053	1.8614467	7.9393005	3.6990259	0.91636074	1.0632151	1.6316817	0.89337856	3.9550252	2.1071146	1.3191789	0.91932416	3.1788642	5.9918404	2.802303	1.5049719	2.7025838	0.89978826	1.692514	2.4826603	2.279555	4.099417	2.2681894	2.7369246	1.0020363	0.9753585	4.841206	1.4001536	2.4686396	0.9405122	2.237445	1.8411694	1.2226123	1.3572744	8.417924	3.0780187	2.9589937	3.9774032	3.381935	1.809483	0.99638665	3.175855	2.635253	1.2685118	1.8697268	4.56853	1.3639796	1.1568203	1.5685043	2.2762797	2.488736	0.88447183	1.0359629	2.061526	1.3880084	6.201019	4.3317857	2.250094	4.712759	1.132235	2.010591	1.6322141	5.532297	0.90584594	2.2762141	1.7894739	0.8783971	1.0980527	0.9255537	1.5163715	1.2348641	0.9186134	1.6825905	4.5696697	5.3933287	4.732129	2.1103535	3.407659	4.3263283	2.2160723	1.1804723	1.5053701	0.982914	5.989489	3.3109522	1.8540787	5.165787	1.7661958	1.4995133	1.3106605	3.9003131	1.4706442	4.205578	0.9486153	0.9365922	2.8704994	0.9091227	1.8124312	2.379671	1.9220903	2.7435405	2.2457132	0.9944772	2.1981964	1.6834207	1.4369851	2.241529	4.571487	0.9526419	3.0489118	1.9733155	1.0971701	1.1781131	0.87468666	0.94342965	3.38091	0.9577127	1.5054202	1.6466475	5.6593957	1.9069974	1.0571725	0.9888955	2.3486543	2.9495833	1.3192097	1.5992708	3.7460098	2.5843818	1.420357	7.048828	0.9864678	1.3674672	2.3103948	5.6627812	2.7783873	1.3150734	4.355049	3.248142	5.165942	1.0821004	4.4189734	0.9055395	3.0263312	2.5152407	5.467501	0.87426764	1.5178496	1.9204767	1.1349316	3.3691845	5.815405	1.146119	1.4165947	0.88966584	4.0474124	2.748547	0.9558653	2.0126414	1.7890658	1.1843228	3.961362	1.5369108	8.235709	4.5457163	1.1114427	2.2514143	2.3190272	6.651165	3.3068264	6.186988	4.817572	1.2448395	4.3251863	1.534184	0.88010806	2.1269987	1.0914818	0.8828362	2.5323935	1.4550714	1.6966649	1.9678235	0.89129406	3.7412164	1.841614	5.0519342	1.6568985	2.2487776	2.982746	1.190213	3.4848335	3.5347064	13.460697	4.626152	10.77213	2.5305624
2.6669307	2.3011718	0.87682074	1.3556421	1.590076	3.0750167	1.6019609	0.93798476	1.2919129	3.4761271	0.8831597	2.3471305	2.3303246	1.9694273	1.0941722	1.9141736	7.1443043	4.470364	1.2813959	2.0230615	0.88746005	1.2292655	3.3083756	3.499879	4.6446695	1.4954178	3.8775399	1.15125	1.3357345	3.7223375	0.93530995	1.9953668	0.98009485	2.1276336	2.7026494	0.9842455	1.8244226	4.7488275	2.8915422	2.2870793	2.8763149	2.7875807	1.7385535	1.0744944	5.7255583	4.1722717	1.2791764	2.7401292	4.0583367	1.5611005	1.5448624	1.2601693	1.994776	1.4698797	0.8986107	1.1204265	2.5567415	1.7825704	4.0060735	2.789525	1.437598	3.909069	1.1545599	2.62875	1.9832895	5.0346045	0.9783752	5.2368555	2.1530848	0.8860523	1.3339798	0.9925673	1.5022703	1.2612567	0.92053336	1.6672571	3.5465274	2.0688894	2.7018132	1.7427125	5.5007544	3.7697165	2.1107786	1.339659	1.530645	0.91470397	2.214142	2.2443416	2.1484225	5.214491	1.1258447	1.8010523	1.3196054	3.672694	0.9895598	3.6177545	1.1539015	0.9080793	3.2641613	0.97103053	3.0717523	1.5960543	1.6190952	2.2204673	3.4399114	1.0107791	4.6845317	2.3459415	2.6413429	2.1757333	2.444897	0.9266067	2.4012284	1.2755597	0.910977	1.718935	0.8733874	1.0807786	2.8759768	0.9031293	1.4148033	1.1280771	3.81896	2.3270407	1.0237266	0.9936727	2.0715349	2.434958	1.2062993	3.227303	2.3419569	1.6754649	1.5213376	4.795392	1.1912062	1.1848177	3.1538136	4.0242505	3.6594667	2.3250978	4.0760727	4.372044	2.0854757	1.3566123	6.382112	0.9209565	2.2666457	3.025302	6.058169	0.8743821	1.7186092	1.610074	1.9423902	2.4172583	2.5636418	1.199879	1.488863	0.8752752	2.3752007	1.4370503	1.0387582	2.1138687	2.3997936	1.0449353	5.5902777	3.8475657	5.681861	2.2148526	0.92667884	1.396496	1.4097431	3.984923	3.0174432	5.2011833	2.7532413	1.267072	4.2650623	1.1973076	0.89148706	1.4591146	1.0990824	0.8778077	2.732934	1.4609321	1.6603457	4.268657	0.8957718	2.6892874	2.808892	3.1295872	1.6561841	2.3484502	2.5690448	1.169369	2.3235724	3.826707	5.346063	6.4261675	8.810705	3.1717687
7.408517	5.9367785	5.3972874	8.300827	7.580604	7.872027	5.08866	5.7536483	7.27904	5.764931	5.105777	8.769638	5.0688586	4.3890233	8.639583	8.488054	7.337916	8.546751	6.7531714	4.6281714	6.413833	6.6285715	6.638207	8.341771	11.008043	5.788598	8.524697	9.207592	9.226331	5.82851	7.205315	9.638983	5.7192135	6.4227314	4.9802217	5.678342	4.0929	4.496937	7.1982684	6.2528167	7.59024	6.189084	7.6175075	7.044665	7.6794157	6.04309	5.605804	4.9193997	6.8680234	9.087637	5.144189	6.3350625	3.0340502	6.48627	3.7452636	8.33438	6.0984893	5.5096955	4.254016	6.859621	6.2740436	4.0779037	6.5180516	4.9629955	7.027582	2.8767068	5.7278867	7.5966167	6.9669876	6.024666	5.98219	7.0134187	4.666926	5.8822737	7.63847	7.8868303	7.2084618	7.7928667	8.000983	5.589238	6.8298087	6.668628	8.079064	5.04167	5.2961617	6.3555236	7.443241	7.0598392	4.762744	8.02056	6.815701	6.7628202	5.310727	9.9441395	5.5377517	6.1004744	5.957241	5.468751	11.545471	6.1348634	7.9688926	6.737331	6.369545	6.3161755	7.3049483	7.524745	6.344079	9.44122	8.459586	5.3838744	2.7943723	5.123121	7.802905	6.140203	5.338695	6.450719	6.49004	6.054022	5.3167477	7.0455575	3.4604166	6.351876	7.968052	4.879897	7.50612	8.133797	7.7461267	9.0595255	5.6337214	6.5331097	6.136523	8.605785	4.1566806	4.260445	7.8930163	5.8410196	10.495887	5.6740246	5.2159534	6.073787	9.379607	6.883835	6.543226	6.574579	3.869572	7.412898	6.315642	6.273295	9.559169	9.150278	6.2953463	5.9951425	7.4584084	8.062391	5.894326	6.575871	6.021436	3.2997715	5.1415553	8.232506	5.0993857	7.898043	5.424734	5.6499467	6.789147	4.60419	3.2010887	5.101192	7.0690527	5.7430453	5.040095	6.025705	4.4243855	4.042465	4.7220173	8.109683	6.1520896	7.1820474	4.3022594	4.129745	6.0458193	7.376404	4.3576093	6.0792294	7.9045377	8.910401	4.800225	7.086798	2.1730618	3.6212964	5.3182526	6.926656	6.7565265	7.092909	3.7220385	5.4997306	2.588006	6.802746	10.285441	5.5644526
4.653514	2.8455405	2.3170638	8.135559	5.4150476	8.694549	5.5761905	2.519359	2.3695133	2.0848808	3.1054463	5.6912203	3.8640053	2.8963819	2.1002936	6.4843526	7.1729827	5.480935	4.0144715	5.1136403	3.9013505	4.033874	4.0043783	4.195478	8.315185	3.4209285	3.8168037	4.993976	3.6013212	3.7254553	6.886906	5.292444	1.7288079	4.518607	2.9743772	5.223809	6.3426857	6.118879	4.4751277	7.5402374	8.575656	3.5847156	6.8389125	3.4526134	5.063295	2.207159	5.463154	2.5526335	2.493803	6.539357	4.429667	5.0850964	2.0860317	3.7714007	3.191858	5.314809	4.256021	2.7846873	5.163437	6.5985184	4.734336	5.5330696	3.4959269	3.080784	6.287106	5.199951	2.12717	3.1734166	4.6207037	1.8481565	4.451004	2.5881264	5.383565	7.3344946	4.0331874	3.2660367	5.9304256	7.7003837	5.8661804	5.62397	2.3210413	4.3127055	4.3639226	1.6313958	4.471944	5.5096216	10.171694	5.416843	2.7260447	4.6421113	5.0966635	1.9311728	3.3079202	6.823006	6.230291	7.4663553	1.6526009	4.0615478	6.401352	3.0232341	5.540352	7.854319	6.585373	7.827101	3.504082	4.7040167	3.0194817	3.6038563	3.6133208	5.088768	4.382264	3.742354	6.8203764	8.652173	5.330171	4.4201508	1.8188763	1.8149513	5.57165	4.1635466	5.8864436	5.667209	5.9312005	4.9034686	3.9410884	2.757525	3.5391681	5.603367	6.371842	2.507993	5.8368597	3.4756587	4.6861906	5.928913	2.8885226	5.9428444	7.78752	6.6868563	5.055079	3.492617	7.927758	4.747103	8.41815	3.9756477	2.4893203	2.1301022	3.111772	5.2931757	7.2100925	2.4888926	5.2523236	7.352624	2.0677252	8.189954	5.023487	4.1968894	2.8931174	4.2863173	5.5600886	3.552939	1.5220733	5.3776627	5.6519766	5.6918364	4.880223	3.6489263	6.4727836	5.1241903	4.018724	2.7904036	2.7888355	4.3294835	4.912975	10.188353	6.6544676	4.468474	5.585233	2.311659	1.600016	3.0226836	6.4718075	3.6082132	2.7583492	6.963252	5.359233	5.5076537	1.9037576	9.329763	2.189625	2.6720796	2.9045894	4.8521123	3.616782	6.3531914	5.0531054	5.3751693	3.3871803	7.85012	9.289212	2.5081367
